@timestamp,Classification,Date,JobType,LogType,Month,Path,Time,User,host.os.version.keyword,log.file.path
"Oct 25, 2022 @ 23:34:09.727",MONITOR,25,CMD,CRON[4006]:,Oct,/usr/bin/config/checkDb.sh,15:34:01,(root),22.04.1 LTS (Jammy Jellyfish),/var/log/cron.log
"Oct 25, 2022 @ 23:34:09.727",MONITOR,25,CMD,CRON[4005]:,Oct,/usr/bin/config/checkAdmin.sh,15:34:01,(root),22.04.1 LTS (Jammy Jellyfish),/var/log/cron.log
"Oct 25, 2022 @ 23:34:09.727",MONITOR,25,CMD,CRON[4007]:,Oct,/usr/bin/config/checkDev.sh,15:34:01,(root),22.04.1 LTS (Jammy Jellyfish),/var/log/cron.log
"Oct 25, 2022 @ 23:34:09.727",MONITOR,25,CMD,CRON[4008]:,Oct,/usr/bin/config/checkElk.sh,15:34:01,(root),22.04.1 LTS (Jammy Jellyfish),/var/log/cron.log
"Oct 25, 2022 @ 23:34:09.726",SERVICE,25,CMD,CRON[4004]:,Oct,/usr/bin/config/rsyslog.sh,15:34:01,(root),22.04.1 LTS (Jammy Jellyfish),/var/log/cron.log
"Oct 25, 2022 @ 23:33:05.716",MONITOR,25,CMD,CRON[3967]:,Oct,/usr/bin/config/checkAdmin.sh,15:33:01,(root),22.04.1 LTS (Jammy Jellyfish),/var/log/cron.log
"Oct 25, 2022 @ 23:33:05.716",SERVICE,25,CMD,CRON[3965]:,Oct,/usr/bin/config/rsyslog.sh,15:33:01,(root),22.04.1 LTS (Jammy Jellyfish),/var/log/cron.log
"Oct 25, 2022 @ 23:33:05.716",MONITOR,25,CMD,CRON[3966]:,Oct,/usr/bin/config/checkDev.sh,15:33:01,(root),22.04.1 LTS (Jammy Jellyfish),/var/log/cron.log
"Oct 25, 2022 @ 23:33:05.716",MONITOR,25,CMD,CRON[3969]:,Oct,/usr/bin/config/checkDb.sh,15:33:01,(root),22.04.1 LTS (Jammy Jellyfish),/var/log/cron.log
"Oct 25, 2022 @ 23:33:05.716",MONITOR,25,CMD,CRON[3968]:,Oct,/usr/bin/config/checkElk.sh,15:33:01,(root),22.04.1 LTS (Jammy Jellyfish),/var/log/cron.log
"Oct 25, 2022 @ 23:32:01.709",MONITOR,25,CMD,CRON[3926]:,Oct,/usr/bin/config/checkDev.sh,15:32:01,(root),22.04.1 LTS (Jammy Jellyfish),/var/log/cron.log
"Oct 25, 2022 @ 23:32:01.709",SERVICE,25,CMD,CRON[3927]:,Oct,/usr/bin/config/rsyslog.sh,15:32:01,(root),22.04.1 LTS (Jammy Jellyfish),/var/log/cron.log
"Oct 25, 2022 @ 23:32:01.709",MONITOR,25,CMD,CRON[3928]:,Oct,/usr/bin/config/checkAdmin.sh,15:32:01,(root),22.04.1 LTS (Jammy Jellyfish),/var/log/cron.log
"Oct 25, 2022 @ 23:32:01.709",MONITOR,25,CMD,CRON[3929]:,Oct,/usr/bin/config/checkDb.sh,15:32:01,(root),22.04.1 LTS (Jammy Jellyfish),/var/log/cron.log
"Oct 25, 2022 @ 23:32:01.709",MONITOR,25,CMD,CRON[3932]:,Oct,/usr/bin/config/checkElk.sh,15:32:01,(root),22.04.1 LTS (Jammy Jellyfish),/var/log/cron.log
"Oct 25, 2022 @ 23:31:07.688",MONITOR,25,CMD,CRON[3888]:,Oct,/usr/bin/config/checkDev.sh,15:31:01,(root),22.04.1 LTS (Jammy Jellyfish),/var/log/cron.log
"Oct 25, 2022 @ 23:31:07.688",SERVICE,25,CMD,CRON[3889]:,Oct,/usr/bin/config/rsyslog.sh,15:31:01,(root),22.04.1 LTS (Jammy Jellyfish),/var/log/cron.log
"Oct 25, 2022 @ 23:31:07.688",MONITOR,25,CMD,CRON[3897]:,Oct,/usr/bin/config/checkDb.sh,15:31:01,(root),22.04.1 LTS (Jammy Jellyfish),/var/log/cron.log
"Oct 25, 2022 @ 23:31:07.688",MONITOR,25,CMD,CRON[3898]:,Oct,/usr/bin/config/checkElk.sh,15:31:01,(root),22.04.1 LTS (Jammy Jellyfish),/var/log/cron.log
"Oct 25, 2022 @ 23:31:07.687",MONITOR,25,CMD,CRON[3887]:,Oct,/usr/bin/config/checkAdmin.sh,15:31:01,(root),22.04.1 LTS (Jammy Jellyfish),/var/log/cron.log
"Oct 25, 2022 @ 23:30:03.677",MONITOR,25,CMD,CRON[3848]:,Oct,/usr/bin/config/checkDb.sh,15:30:01,(root),22.04.1 LTS (Jammy Jellyfish),/var/log/cron.log
"Oct 25, 2022 @ 23:30:03.677",MONITOR,25,CMD,CRON[3849]:,Oct,/usr/bin/config/checkAdmin.sh,15:30:01,(root),22.04.1 LTS (Jammy Jellyfish),/var/log/cron.log
"Oct 25, 2022 @ 23:30:03.677",MONITOR,25,CMD,CRON[3852]:,Oct,/usr/bin/config/checkElk.sh,15:30:01,(root),22.04.1 LTS (Jammy Jellyfish),/var/log/cron.log
"Oct 25, 2022 @ 23:30:03.677",MONITOR,25,CMD,CRON[3856]:,Oct,/usr/bin/config/checkDev.sh,15:30:01,(root),22.04.1 LTS (Jammy Jellyfish),/var/log/cron.log
"Oct 25, 2022 @ 23:30:03.677",SERVICE,25,CMD,CRON[3861]:,Oct,/usr/bin/config/rsyslog.sh,15:30:01,(root),22.04.1 LTS (Jammy Jellyfish),/var/log/cron.log
"Oct 25, 2022 @ 23:29:09.667",MONITOR,25,CMD,CRON[3819]:,Oct,/usr/bin/config/checkDb.sh,15:29:01,(root),22.04.1 LTS (Jammy Jellyfish),/var/log/cron.log
"Oct 25, 2022 @ 23:29:09.667",MONITOR,25,CMD,CRON[3817]:,Oct,/usr/bin/config/checkElk.sh,15:29:01,(root),22.04.1 LTS (Jammy Jellyfish),/var/log/cron.log
"Oct 25, 2022 @ 23:29:09.666",MONITOR,25,CMD,CRON[3810]:,Oct,/usr/bin/config/checkDev.sh,15:29:01,(root),22.04.1 LTS (Jammy Jellyfish),/var/log/cron.log
"Oct 25, 2022 @ 23:29:09.666",SERVICE,25,CMD,CRON[3815]:,Oct,/usr/bin/config/rsyslog.sh,15:29:01,(root),22.04.1 LTS (Jammy Jellyfish),/var/log/cron.log
"Oct 25, 2022 @ 23:29:09.665",MONITOR,25,CMD,CRON[3809]:,Oct,/usr/bin/config/checkAdmin.sh,15:29:01,(root),22.04.1 LTS (Jammy Jellyfish),/var/log/cron.log
"Oct 25, 2022 @ 23:28:05.653",MONITOR,25,CMD,CRON[3770]:,Oct,/usr/bin/config/checkAdmin.sh,15:28:01,(root),22.04.1 LTS (Jammy Jellyfish),/var/log/cron.log
"Oct 25, 2022 @ 23:28:05.653",MONITOR,25,CMD,CRON[3771]:,Oct,/usr/bin/config/checkDb.sh,15:28:01,(root),22.04.1 LTS (Jammy Jellyfish),/var/log/cron.log
