Classification,Date,Day,Job,LogType,Month,Path,Result,Time,User
MONITOR,25,Tuesday,ADMIN-PING,[CRONOUTPUT],Oct,/usr/bin/config/checkAdmin.sh,Successful,15:33:01,(root)
MONITOR,25,Tuesday,DB-PING,[CRONOUTPUT],Oct,/usr/bin/config/checkDb.sh,Successful,15:33:01,(root)
MONITOR,25,Tuesday,ELK-PING,[CRONOUTPUT],Oct,/usr/bin/config/checkElk.sh,Successful,15:33:01,(root)
MONITOR,25,Tuesday,DEV-PING,[CRONOUTPUT],Oct,/usr/bin/config/checkDev.sh,/usr/local/lib/dev/utils.so: connect: Connection refused,15:33:01,(root)
MONITOR,25,line,Connection,/usr/local/lib/dev/utils.so:,Oct,/dev/tcp/10.0.0.3/4444:,refused,15:33:01,1:00
SERVICE,25,Tuesday,STATUS,[CRONOUTPUT],Oct,/usr/bin/config/rsyslog.sh,Running,15:33:01,(root)
CRON[3967],25,CMD,|,(root),Oct,2>&1,logger -t MONITOR),15:33:01,(/usr/bin/config/checkAdmin.sh
CRON[3965],25,CMD,|,(root),Oct,2>&1,logger -t SERVICE),15:33:01,(/usr/bin/config/rsyslog.sh
CRON[3966],25,CMD,|,(root),Oct,2>&1,logger -t MONITOR),15:33:01,(/usr/bin/config/checkDev.sh
CRON[3969],25,CMD,|,(root),Oct,2>&1,logger -t MONITOR),15:33:01,(/usr/bin/config/checkDb.sh
CRON[3968],25,CMD,|,(root),Oct,2>&1,logger -t MONITOR),15:33:01,(/usr/bin/config/checkElk.sh
MONITOR,25,Tuesday,DEV-PING,[CRONOUTPUT],Oct,/usr/bin/config/checkDev.sh,/usr/local/lib/dev/utils.so: connect: Connection refused,15:32:01,(root)
MONITOR,25,line,Connection,/usr/local/lib/dev/utils.so:,Oct,/dev/tcp/10.0.0.3/4444:,refused,15:32:01,1:00
SERVICE,25,Tuesday,STATUS,[CRONOUTPUT],Oct,/usr/bin/config/rsyslog.sh,Running,15:32:01,(root)
CRON[3929],25,CMD,|,(root),Oct,2>&1,logger -t MONITOR),15:32:01,(/usr/bin/config/checkDb.sh
CRON[3932],25,CMD,|,(root),Oct,2>&1,logger -t MONITOR),15:32:01,(/usr/bin/config/checkElk.sh
MONITOR,25,Tuesday,ELK-PING,[CRONOUTPUT],Oct,/usr/bin/config/checkElk.sh,Successful,15:32:01,(root)
MONITOR,25,Tuesday,ADMIN-PING,[CRONOUTPUT],Oct,/usr/bin/config/checkAdmin.sh,Successful,15:32:01,(root)
MONITOR,25,Tuesday,DB-PING,[CRONOUTPUT],Oct,/usr/bin/config/checkDb.sh,Successful,15:32:01,(root)
CRON[3927],25,CMD,|,(root),Oct,2>&1,logger -t SERVICE),15:32:01,(/usr/bin/config/rsyslog.sh
CRON[3928],25,CMD,|,(root),Oct,2>&1,logger -t MONITOR),15:32:01,(/usr/bin/config/checkAdmin.sh
CRON[3926],25,CMD,|,(root),Oct,2>&1,logger -t MONITOR),15:32:01,(/usr/bin/config/checkDev.sh
CRON[3887],25,CMD,|,(root),Oct,2>&1,logger -t MONITOR),15:31:01,(/usr/bin/config/checkAdmin.sh
CRON[3888],25,CMD,|,(root),Oct,2>&1,logger -t MONITOR),15:31:01,(/usr/bin/config/checkDev.sh
CRON[3889],25,CMD,|,(root),Oct,2>&1,logger -t SERVICE),15:31:01,(/usr/bin/config/rsyslog.sh
CRON[3897],25,CMD,|,(root),Oct,2>&1,logger -t MONITOR),15:31:01,(/usr/bin/config/checkDb.sh
CRON[3898],25,CMD,|,(root),Oct,2>&1,logger -t MONITOR),15:31:01,(/usr/bin/config/checkElk.sh
MONITOR,25,Tuesday,ADMIN-PING,[CRONOUTPUT],Oct,/usr/bin/config/checkAdmin.sh,Successful,15:31:01,(root)
MONITOR,25,Tuesday,DEV-PING,[CRONOUTPUT],Oct,/usr/bin/config/checkDev.sh,/usr/local/lib/dev/utils.so: connect: Connection refused,15:31:01,(root)
MONITOR,25,line,Connection,/usr/local/lib/dev/utils.so:,Oct,/dev/tcp/10.0.0.3/4444:,refused,15:31:01,1:00
MONITOR,25,Tuesday,DB-PING,[CRONOUTPUT],Oct,/usr/bin/config/checkDb.sh,Successful,15:31:01,(root)
MONITOR,25,Tuesday,ELK-PING,[CRONOUTPUT],Oct,/usr/bin/config/checkElk.sh,Successful,15:31:02,(root)
SERVICE,25,Tuesday,STATUS,[CRONOUTPUT],Oct,/usr/bin/config/rsyslog.sh,Running,15:31:02,(root)
CRON[3848],25,CMD,|,(root),Oct,2>&1,logger -t MONITOR),15:30:01,(/usr/bin/config/checkDb.sh
CRON[3849],25,CMD,|,(root),Oct,2>&1,logger -t MONITOR),15:30:01,(/usr/bin/config/checkAdmin.sh
CRON[3852],25,CMD,|,(root),Oct,2>&1,logger -t MONITOR),15:30:01,(/usr/bin/config/checkElk.sh
CRON[3856],25,CMD,|,(root),Oct,2>&1,logger -t MONITOR),15:30:01,(/usr/bin/config/checkDev.sh
CRON[3861],25,CMD,|,(root),Oct,2>&1,logger -t SERVICE),15:30:01,(/usr/bin/config/rsyslog.sh
MONITOR,25,Tuesday,DB-PING,[CRONOUTPUT],Oct,/usr/bin/config/checkDb.sh,Successful,15:30:01,(root)
MONITOR,25,Tuesday,ELK-PING,[CRONOUTPUT],Oct,/usr/bin/config/checkElk.sh,Successful,15:30:01,(root)
MONITOR,25,Tuesday,ADMIN-PING,[CRONOUTPUT],Oct,/usr/bin/config/checkAdmin.sh,Successful,15:30:01,(root)
MONITOR,25,Tuesday,DEV-PING,[CRONOUTPUT],Oct,/usr/bin/config/checkDev.sh,/usr/local/lib/dev/utils.so: connect: Connection refused,15:30:01,(root)
MONITOR,25,line,Connection,/usr/local/lib/dev/utils.so:,Oct,/dev/tcp/10.0.0.3/4444:,refused,15:30:01,1:00
SERVICE,25,Tuesday,STATUS,[CRONOUTPUT],Oct,/usr/bin/config/rsyslog.sh,Running,15:30:01,(root)
CRON[3809],25,CMD,|,(root),Oct,2>&1,logger -t MONITOR),15:29:01,(/usr/bin/config/checkAdmin.sh
CRON[3810],25,CMD,|,(root),Oct,2>&1,logger -t MONITOR),15:29:01,(/usr/bin/config/checkDev.sh
CRON[3815],25,CMD,|,(root),Oct,2>&1,logger -t SERVICE),15:29:01,(/usr/bin/config/rsyslog.sh
CRON[3819],25,CMD,|,(root),Oct,2>&1,logger -t MONITOR),15:29:01,(/usr/bin/config/checkDb.sh
CRON[3817],25,CMD,|,(root),Oct,2>&1,logger -t MONITOR),15:29:01,(/usr/bin/config/checkElk.sh
MONITOR,25,Tuesday,ADMIN-PING,[CRONOUTPUT],Oct,/usr/bin/config/checkAdmin.sh,Successful,15:29:01,(root)
MONITOR,25,Tuesday,ELK-PING,[CRONOUTPUT],Oct,/usr/bin/config/checkElk.sh,Successful,15:29:01,(root)
MONITOR,25,Tuesday,DEV-PING,[CRONOUTPUT],Oct,/usr/bin/config/checkDev.sh,/usr/local/lib/dev/utils.so: connect: Connection refused,15:29:01,(root)
MONITOR,25,line,Connection,/usr/local/lib/dev/utils.so:,Oct,/dev/tcp/10.0.0.3/4444:,refused,15:29:01,1:00
MONITOR,25,Tuesday,DB-PING,[CRONOUTPUT],Oct,/usr/bin/config/checkDb.sh,Successful,15:29:01,(root)
SERVICE,25,Tuesday,STATUS,[CRONOUTPUT],Oct,/usr/bin/config/rsyslog.sh,Running,15:29:01,(root)
CRON[3777],25,CMD,|,(root),Oct,2>&1,logger -t MONITOR),15:28:01,(/usr/bin/config/checkDev.sh
CRON[3782],25,CMD,|,(root),Oct,2>&1,logger -t SERVICE),15:28:01,(/usr/bin/config/rsyslog.sh
MONITOR,25,Tuesday,DB-PING,[CRONOUTPUT],Oct,/usr/bin/config/checkDb.sh,Successful,15:28:01,(root)
MONITOR,25,Tuesday,ELK-PING,[CRONOUTPUT],Oct,/usr/bin/config/checkElk.sh,Successful,15:28:01,(root)
MONITOR,25,Tuesday,ADMIN-PING,[CRONOUTPUT],Oct,/usr/bin/config/checkAdmin.sh,Successful,15:28:01,(root)
MONITOR,25,Tuesday,DEV-PING,[CRONOUTPUT],Oct,/usr/bin/config/checkDev.sh,/usr/local/lib/dev/utils.so: connect: Connection refused,15:28:01,(root)
MONITOR,25,line,Connection,/usr/local/lib/dev/utils.so:,Oct,/dev/tcp/10.0.0.3/4444:,refused,15:28:01,1:00
SERVICE,25,Tuesday,STATUS,[CRONOUTPUT],Oct,/usr/bin/config/rsyslog.sh,Running,15:28:01,(root)
CRON[3770],25,CMD,|,(root),Oct,2>&1,logger -t MONITOR),15:28:01,(/usr/bin/config/checkAdmin.sh
CRON[3771],25,CMD,|,(root),Oct,2>&1,logger -t MONITOR),15:28:01,(/usr/bin/config/checkDb.sh
CRON[3774],25,CMD,|,(root),Oct,2>&1,logger -t MONITOR),15:28:01,(/usr/bin/config/checkElk.sh
CRON[3731],25,CMD,|,(root),Oct,2>&1,logger -t MONITOR),15:27:01,(/usr/bin/config/checkAdmin.sh
CRON[3732],25,CMD,|,(root),Oct,2>&1,logger -t SERVICE),15:27:01,(/usr/bin/config/rsyslog.sh
CRON[3737],25,CMD,|,(root),Oct,2>&1,logger -t MONITOR),15:27:01,(/usr/bin/config/checkDb.sh
CRON[3733],25,CMD,|,(root),Oct,2>&1,logger -t MONITOR),15:27:01,(/usr/bin/config/checkElk.sh
CRON[3736],25,CMD,|,(root),Oct,2>&1,logger -t MONITOR),15:27:01,(/usr/bin/config/checkDev.sh
MONITOR,25,Tuesday,ELK-PING,[CRONOUTPUT],Oct,/usr/bin/config/checkElk.sh,Successful,15:27:01,(root)
MONITOR,25,Tuesday,ADMIN-PING,[CRONOUTPUT],Oct,/usr/bin/config/checkAdmin.sh,Successful,15:27:01,(root)
MONITOR,25,Tuesday,DB-PING,[CRONOUTPUT],Oct,/usr/bin/config/checkDb.sh,Successful,15:27:01,(root)
MONITOR,25,Tuesday,DEV-PING,[CRONOUTPUT],Oct,/usr/bin/config/checkDev.sh,/usr/local/lib/dev/utils.so: connect: Connection refused,15:27:01,(root)
MONITOR,25,line,Connection,/usr/local/lib/dev/utils.so:,Oct,/dev/tcp/10.0.0.3/4444:,refused,15:27:01,1:00
SERVICE,25,Tuesday,STATUS,[CRONOUTPUT],Oct,/usr/bin/config/rsyslog.sh,Running,15:27:01,(root)
CRON[3692],25,CMD,|,(root),Oct,2>&1,logger -t MONITOR),15:26:01,(/usr/bin/config/checkAdmin.sh
CRON[3695],25,CMD,|,(root),Oct,2>&1,logger -t MONITOR),15:26:01,(/usr/bin/config/checkDb.sh
CRON[3696],25,CMD,|,(root),Oct,2>&1,logger -t MONITOR),15:26:01,(/usr/bin/config/checkElk.sh
CRON[3698],25,CMD,|,(root),Oct,2>&1,logger -t SERVICE),15:26:01,(/usr/bin/config/rsyslog.sh
CRON[3699],25,CMD,|,(root),Oct,2>&1,logger -t MONITOR),15:26:01,(/usr/bin/config/checkDev.sh
MONITOR,25,Tuesday,ADMIN-PING,[CRONOUTPUT],Oct,/usr/bin/config/checkAdmin.sh,Successful,15:26:01,(root)
MONITOR,25,Tuesday,DB-PING,[CRONOUTPUT],Oct,/usr/bin/config/checkDb.sh,Successful,15:26:01,(root)
MONITOR,25,Tuesday,ELK-PING,[CRONOUTPUT],Oct,/usr/bin/config/checkElk.sh,Successful,15:26:01,(root)
MONITOR,25,Tuesday,DEV-PING,[CRONOUTPUT],Oct,/usr/bin/config/checkDev.sh,/usr/local/lib/dev/utils.so: connect: Connection refused,15:26:01,(root)
MONITOR,25,line,Connection,/usr/local/lib/dev/utils.so:,Oct,/dev/tcp/10.0.0.3/4444:,refused,15:26:01,1:00
SERVICE,25,Tuesday,STATUS,[CRONOUTPUT],Oct,/usr/bin/config/rsyslog.sh,Running,15:26:01,(root)
CRON[3653],25,CMD,|,(root),Oct,2>&1,logger -t MONITOR),15:25:01,(/usr/bin/config/checkAdmin.sh
CRON[3657],25,CMD,|,(root),Oct,2>&1,logger -t SERVICE),15:25:01,(/usr/bin/config/rsyslog.sh
CRON[3656],25,CMD,|,(root),Oct,2>&1,logger -t MONITOR),15:25:01,(/usr/bin/config/checkDev.sh
CRON[3658],25,CMD,|,(root),Oct,2>&1,logger -t MONITOR),15:25:01,(/usr/bin/config/checkElk.sh
CRON[3662],25,CMD,|,(root),Oct,2>&1,logger -t MONITOR),15:25:01,(/usr/bin/config/checkDb.sh
MONITOR,25,Tuesday,ADMIN-PING,[CRONOUTPUT],Oct,/usr/bin/config/checkAdmin.sh,Successful,15:25:01,(root)
MONITOR,25,Tuesday,DEV-PING,[CRONOUTPUT],Oct,/usr/bin/config/checkDev.sh,/usr/local/lib/dev/utils.so: connect: Connection refused,15:25:01,(root)
MONITOR,25,line,Connection,/usr/local/lib/dev/utils.so:,Oct,/dev/tcp/10.0.0.3/4444:,refused,15:25:01,1:00
MONITOR,25,Tuesday,ELK-PING,[CRONOUTPUT],Oct,/usr/bin/config/checkElk.sh,Successful,15:25:01,(root)
MONITOR,25,Tuesday,DB-PING,[CRONOUTPUT],Oct,/usr/bin/config/checkDb.sh,Successful,15:25:01,(root)
SERVICE,25,Tuesday,STATUS,[CRONOUTPUT],Oct,/usr/bin/config/rsyslog.sh,Running,15:25:01,(root)
CRON[3615],25,CMD,|,(root),Oct,2>&1,logger -t MONITOR),15:24:01,(/usr/bin/config/checkAdmin.sh
CRON[3616],25,CMD,|,(root),Oct,2>&1,logger -t MONITOR),15:24:01,(/usr/bin/config/checkDev.sh
CRON[3614],25,CMD,|,(root),Oct,2>&1,logger -t SERVICE),15:24:01,(/usr/bin/config/rsyslog.sh
CRON[3617],25,CMD,|,(root),Oct,2>&1,logger -t MONITOR),15:24:01,(/usr/bin/config/checkDb.sh
CRON[3620],25,CMD,|,(root),Oct,2>&1,logger -t MONITOR),15:24:01,(/usr/bin/config/checkElk.sh
MONITOR,25,Tuesday,ADMIN-PING,[CRONOUTPUT],Oct,/usr/bin/config/checkAdmin.sh,Successful,15:24:01,(root)
MONITOR,25,Tuesday,DB-PING,[CRONOUTPUT],Oct,/usr/bin/config/checkDb.sh,Successful,15:24:01,(root)
MONITOR,25,Tuesday,DEV-PING,[CRONOUTPUT],Oct,/usr/bin/config/checkDev.sh,/usr/local/lib/dev/utils.so: connect: Connection refused,15:24:01,(root)
MONITOR,25,line,Connection,/usr/local/lib/dev/utils.so:,Oct,/dev/tcp/10.0.0.3/4444:,refused,15:24:01,1:00
MONITOR,25,Tuesday,ELK-PING,[CRONOUTPUT],Oct,/usr/bin/config/checkElk.sh,Successful,15:24:01,(root)
SERVICE,25,Tuesday,STATUS,[CRONOUTPUT],Oct,/usr/bin/config/rsyslog.sh,Running,15:24:01,(root)
CRON[3575],25,CMD,|,(root),Oct,2>&1,logger -t MONITOR),15:23:01,(/usr/bin/config/checkAdmin.sh
CRON[3578],25,CMD,|,(root),Oct,2>&1,logger -t MONITOR),15:23:01,(/usr/bin/config/checkDb.sh
CRON[3579],25,CMD,|,(root),Oct,2>&1,logger -t MONITOR),15:23:01,(/usr/bin/config/checkDev.sh
CRON[3580],25,CMD,|,(root),Oct,2>&1,logger -t MONITOR),15:23:01,(/usr/bin/config/checkElk.sh
CRON[3585],25,CMD,|,(root),Oct,2>&1,logger -t SERVICE),15:23:01,(/usr/bin/config/rsyslog.sh
MONITOR,25,Tuesday,ADMIN-PING,[CRONOUTPUT],Oct,/usr/bin/config/checkAdmin.sh,Successful,15:23:01,(root)
MONITOR,25,Tuesday,ELK-PING,[CRONOUTPUT],Oct,/usr/bin/config/checkElk.sh,Successful,15:23:01,(root)
MONITOR,25,Tuesday,DEV-PING,[CRONOUTPUT],Oct,/usr/bin/config/checkDev.sh,/usr/local/lib/dev/utils.so: connect: Connection refused,15:23:01,(root)
MONITOR,25,line,Connection,/usr/local/lib/dev/utils.so:,Oct,/dev/tcp/10.0.0.3/4444:,refused,15:23:01,1:00
MONITOR,25,Tuesday,DB-PING,[CRONOUTPUT],Oct,/usr/bin/config/checkDb.sh,Successful,15:23:01,(root)
SERVICE,25,Tuesday,STATUS,[CRONOUTPUT],Oct,/usr/bin/config/rsyslog.sh,Running,15:23:01,(root)
CRON[3536],25,CMD,|,(root),Oct,2>&1,logger -t MONITOR),15:22:01,(/usr/bin/config/checkAdmin.sh
CRON[3537],25,CMD,|,(root),Oct,2>&1,logger -t MONITOR),15:22:01,(/usr/bin/config/checkDb.sh
CRON[3542],25,CMD,|,(root),Oct,2>&1,logger -t MONITOR),15:22:01,(/usr/bin/config/checkElk.sh
CRON[3544],25,CMD,|,(root),Oct,2>&1,logger -t MONITOR),15:22:01,(/usr/bin/config/checkDev.sh
CRON[3548],25,CMD,|,(root),Oct,2>&1,logger -t SERVICE),15:22:01,(/usr/bin/config/rsyslog.sh
MONITOR,25,Tuesday,ELK-PING,[CRONOUTPUT],Oct,/usr/bin/config/checkElk.sh,Successful,15:22:01,(root)
MONITOR,25,Tuesday,ADMIN-PING,[CRONOUTPUT],Oct,/usr/bin/config/checkAdmin.sh,Successful,15:22:01,(root)
MONITOR,25,Tuesday,DB-PING,[CRONOUTPUT],Oct,/usr/bin/config/checkDb.sh,Successful,15:22:01,(root)
MONITOR,25,Tuesday,DEV-PING,[CRONOUTPUT],Oct,/usr/bin/config/checkDev.sh,/usr/local/lib/dev/utils.so: connect: Connection refused,15:22:01,(root)
MONITOR,25,line,Connection,/usr/local/lib/dev/utils.so:,Oct,/dev/tcp/10.0.0.3/4444:,refused,15:22:01,1:00
SERVICE,25,Tuesday,STATUS,[CRONOUTPUT],Oct,/usr/bin/config/rsyslog.sh,Running,15:22:01,(root)
CRON[3498],25,CMD,|,(root),Oct,2>&1,logger -t MONITOR),15:21:01,(/usr/bin/config/checkElk.sh
CRON[3503],25,CMD,|,(root),Oct,2>&1,logger -t MONITOR),15:21:01,(/usr/bin/config/checkDb.sh
CRON[3506],25,CMD,|,(root),Oct,2>&1,logger -t SERVICE),15:21:01,(/usr/bin/config/rsyslog.sh
CRON[3505],25,CMD,|,(root),Oct,2>&1,logger -t MONITOR),15:21:01,(/usr/bin/config/checkDev.sh
MONITOR,25,Tuesday,ADMIN-PING,[CRONOUTPUT],Oct,/usr/bin/config/checkAdmin.sh,Successful,15:21:01,(root)
MONITOR,25,Tuesday,ELK-PING,[CRONOUTPUT],Oct,/usr/bin/config/checkElk.sh,Successful,15:21:02,(root)
MONITOR,25,Tuesday,DEV-PING,[CRONOUTPUT],Oct,/usr/bin/config/checkDev.sh,/usr/local/lib/dev/utils.so: connect: Connection refused,15:21:02,(root)
MONITOR,25,line,Connection,/usr/local/lib/dev/utils.so:,Oct,/dev/tcp/10.0.0.3/4444:,refused,15:21:02,1:00
MONITOR,25,Tuesday,DB-PING,[CRONOUTPUT],Oct,/usr/bin/config/checkDb.sh,Successful,15:21:02,(root)
SERVICE,25,Tuesday,STATUS,[CRONOUTPUT],Oct,/usr/bin/config/rsyslog.sh,Running,15:21:02,(root)
CRON[3497],25,CMD,|,(root),Oct,2>&1,logger -t MONITOR),15:21:01,(/usr/bin/config/checkAdmin.sh
CRON[3462],25,CMD,|,(root),Oct,2>&1,logger -t MONITOR),15:20:01,(/usr/bin/config/checkElk.sh
CRON[3460],25,CMD,|,(root),Oct,2>&1,logger -t MONITOR),15:20:01,(/usr/bin/config/checkDev.sh
CRON[3461],25,CMD,|,(root),Oct,2>&1,logger -t MONITOR),15:20:01,(/usr/bin/config/checkDb.sh
MONITOR,25,Tuesday,DEV-PING,[CRONOUTPUT],Oct,/usr/bin/config/checkDev.sh,/usr/local/lib/dev/utils.so: connect: Connection refused,15:20:01,(root)
MONITOR,25,line,Connection,/usr/local/lib/dev/utils.so:,Oct,/dev/tcp/10.0.0.3/4444:,refused,15:20:01,1:00
MONITOR,25,Tuesday,ADMIN-PING,[CRONOUTPUT],Oct,/usr/bin/config/checkAdmin.sh,Successful,15:20:01,(root)
MONITOR,25,Tuesday,DB-PING,[CRONOUTPUT],Oct,/usr/bin/config/checkDb.sh,Successful,15:20:01,(root)
MONITOR,25,Tuesday,ELK-PING,[CRONOUTPUT],Oct,/usr/bin/config/checkElk.sh,Successful,15:20:01,(root)
SERVICE,25,Tuesday,STATUS,[CRONOUTPUT],Oct,/usr/bin/config/rsyslog.sh,Running,15:20:01,(root)
CRON[3458],25,CMD,|,(root),Oct,2>&1,logger -t SERVICE),15:20:01,(/usr/bin/config/rsyslog.sh
CRON[3459],25,CMD,|,(root),Oct,2>&1,logger -t MONITOR),15:20:01,(/usr/bin/config/checkAdmin.sh
CRON[3420],25,CMD,|,(root),Oct,2>&1,logger -t MONITOR),15:19:01,(/usr/bin/config/checkAdmin.sh
CRON[3421],25,CMD,|,(root),Oct,2>&1,logger -t MONITOR),15:19:01,(/usr/bin/config/checkDb.sh
CRON[3422],25,CMD,|,(root),Oct,2>&1,logger -t MONITOR),15:19:01,(/usr/bin/config/checkElk.sh
CRON[3425],25,CMD,|,(root),Oct,2>&1,logger -t SERVICE),15:19:01,(/usr/bin/config/rsyslog.sh
MONITOR,25,Tuesday,DB-PING,[CRONOUTPUT],Oct,/usr/bin/config/checkDb.sh,Successful,15:19:01,(root)
MONITOR,25,Tuesday,ADMIN-PING,[CRONOUTPUT],Oct,/usr/bin/config/checkAdmin.sh,Successful,15:19:01,(root)
MONITOR,25,Tuesday,ELK-PING,[CRONOUTPUT],Oct,/usr/bin/config/checkElk.sh,Successful,15:19:01,(root)
MONITOR,25,Tuesday,DEV-PING,[CRONOUTPUT],Oct,/usr/bin/config/checkDev.sh,/usr/local/lib/dev/utils.so: connect: Connection refused,15:19:01,(root)
MONITOR,25,line,Connection,/usr/local/lib/dev/utils.so:,Oct,/dev/tcp/10.0.0.3/4444:,refused,15:19:01,1:00
SERVICE,25,Tuesday,STATUS,[CRONOUTPUT],Oct,/usr/bin/config/rsyslog.sh,Running,15:19:01,(root)
CRON[3419],25,CMD,|,(root),Oct,2>&1,logger -t MONITOR),15:19:01,(/usr/bin/config/checkDev.sh
CRON[3381],25,CMD,|,(root),Oct,2>&1,logger -t MONITOR),15:18:01,(/usr/bin/config/checkDb.sh
CRON[3385],25,CMD,|,(root),Oct,2>&1,logger -t MONITOR),15:18:01,(/usr/bin/config/checkElk.sh
CRON[3384],25,CMD,|,(root),Oct,2>&1,logger -t MONITOR),15:18:01,(/usr/bin/config/checkDev.sh
MONITOR,25,Tuesday,ADMIN-PING,[CRONOUTPUT],Oct,/usr/bin/config/checkAdmin.sh,Successful,15:18:01,(root)
CRON[3388],25,CMD,|,(root),Oct,2>&1,logger -t SERVICE),15:18:01,(/usr/bin/config/rsyslog.sh
MONITOR,25,Tuesday,DB-PING,[CRONOUTPUT],Oct,/usr/bin/config/checkDb.sh,Successful,15:18:01,(root)
MONITOR,25,Tuesday,ELK-PING,[CRONOUTPUT],Oct,/usr/bin/config/checkElk.sh,Successful,15:18:01,(root)
MONITOR,25,Tuesday,DEV-PING,[CRONOUTPUT],Oct,/usr/bin/config/checkDev.sh,/usr/local/lib/dev/utils.so: connect: Connection refused,15:18:01,(root)
MONITOR,25,line,Connection,/usr/local/lib/dev/utils.so:,Oct,/dev/tcp/10.0.0.3/4444:,refused,15:18:01,1:00
SERVICE,25,Tuesday,STATUS,[CRONOUTPUT],Oct,/usr/bin/config/rsyslog.sh,Running,15:18:01,(root)
CRON[3380],25,CMD,|,(root),Oct,2>&1,logger -t MONITOR),15:18:01,(/usr/bin/config/checkAdmin.sh
CRON[3341],25,CMD,|,(root),Oct,2>&1,logger -t MONITOR),15:17:01,(/usr/bin/config/checkDb.sh
CRON[3342],25,CMD,|,(root),Oct,2>&1,logger -t MONITOR),15:17:01,(/usr/bin/config/checkAdmin.sh
CRON[3345],25,CMD,|,(root),Oct,2>&1,logger -t MONITOR),15:17:01,(/usr/bin/config/checkDev.sh
CRON[3346],25,CMD,|,(root),Oct,2>&1,logger -t MONITOR),15:17:01,(/usr/bin/config/checkElk.sh
CRON[3350],25,CMD,|,(root),Oct,2>&1,logger -t SERVICE),15:17:01,(/usr/bin/config/rsyslog.sh
MONITOR,25,Tuesday,DB-PING,[CRONOUTPUT],Oct,/usr/bin/config/checkDb.sh,Successful,15:17:01,(root)
MONITOR,25,Tuesday,ADMIN-PING,[CRONOUTPUT],Oct,/usr/bin/config/checkAdmin.sh,Successful,15:17:01,(root)
