"@timestamp","_id","_index","_score","agent.ephemeral_id","agent.hostname","agent.id","agent.name","agent.type","agent.version","bytes_in","bytes_out","client.bytes","client.ip","destination.bytes","destination.ip","destination.mac","destination.packets","destination.port","ecs.version","event.action","event.category","event.dataset","event.duration","event.end","event.kind","event.start","event.type","flow.final","flow.id","host.architecture","host.containerized","host.hostname","host.id","host.ip","host.mac","host.name","host.os.codename","host.os.family","host.os.kernel","host.os.name","host.os.name.text","host.os.platform","host.os.type","host.os.version","icmp.request.code","icmp.request.message","icmp.request.type","icmp.version","network.bytes","network.community_id","network.direction","network.packets","network.transport","network.type",path,"related.ip","server.ip","source.bytes","source.ip","source.mac","source.packets","source.port",status,type
"Oct 22, 2022 @ 15:10:30.001","H8eH_oMBlM6FNcp7asuo",".ds-packetbeat-8.3.3-2022.10.21-000001","-","b281efe5-fbc1-4306-a86f-898b64cac420",c2be3c5be205,"a565428a-b91f-4602-8150-ea76bdfa24fc",c2be3c5be205,packetbeat,"8.3.3","360.8KB","76.1KB","-","-","76.1KB","192.168.0.2","02:42:c0:a8:00:02",325,9200,"8.0.0","network_flow",network,flow,"1510016.4","Oct 22, 2022 @ 15:10:21.402",event,"Oct 22, 2022 @ 14:45:11.385",connection,false,"EQQA////DP//////FP8BAAECQsCoAAICQsCoAAPAqAACwKgAA/AjxNQ","x86_64",true,c2be3c5be205,b9675852aa3f4a66b2fe60f5613e3a16,"172.17.0.3, 192.168.0.3","02:42:ac:11:00:03, 02:42:c0:a8:00:03",c2be3c5be205,jammy,debian,"5.4.0-131-generic",Ubuntu,Ubuntu,ubuntu,linux,"22.04.1 LTS (Jammy Jellyfish)","-","-","-","-",437KB,"1:tDN3KY3Lkgd8ecJMPTiPD5R6+wc=","-",660,tcp,ipv4,"-","-","-","360.8KB","192.168.0.3","02:42:c0:a8:00:03",335,54468,"-",flow
"Oct 22, 2022 @ 15:10:30.001","IMeH_oMBlM6FNcp7asuo",".ds-packetbeat-8.3.3-2022.10.21-000001","-","b281efe5-fbc1-4306-a86f-898b64cac420",c2be3c5be205,"a565428a-b91f-4602-8150-ea76bdfa24fc",c2be3c5be205,packetbeat,"8.3.3",980B,212B,"-","-",212B,"192.168.0.2","02:42:c0:a8:00:02",3,5044,"8.0.0","network_flow",network,flow,"0.0","Oct 22, 2022 @ 15:10:18.330",event,"Oct 22, 2022 @ 15:10:18.330",connection,false,"EQQA////DP//////FP8BAAECQsCoAAICQsCoAAPAqAACwKgAA7QTMOM","x86_64",true,c2be3c5be205,b9675852aa3f4a66b2fe60f5613e3a16,"172.17.0.3, 192.168.0.3","02:42:ac:11:00:03, 02:42:c0:a8:00:03",c2be3c5be205,jammy,debian,"5.4.0-131-generic",Ubuntu,Ubuntu,ubuntu,linux,"22.04.1 LTS (Jammy Jellyfish)","-","-","-","-","1.2KB","1:usFhOcZSP9MvUzRJofVE1n9GIQk=","-",7,tcp,ipv4,"-","-","-",980B,"192.168.0.3","02:42:c0:a8:00:03",4,58160,"-",flow
"Oct 22, 2022 @ 15:10:20.000","_ceH_oMBlM6FNcp7Q8pK",".ds-packetbeat-8.3.3-2022.10.21-000001","-","b281efe5-fbc1-4306-a86f-898b64cac420",c2be3c5be205,"a565428a-b91f-4602-8150-ea76bdfa24fc",c2be3c5be205,packetbeat,"8.3.3","357.9KB","75.7KB","-","-","75.7KB","192.168.0.2","02:42:c0:a8:00:02",323,9200,"8.0.0","network_flow",network,flow,"1499776.3","Oct 22, 2022 @ 15:10:11.162",event,"Oct 22, 2022 @ 14:45:11.385",connection,false,"EQQA////DP//////FP8BAAECQsCoAAICQsCoAAPAqAACwKgAA/AjxNQ","x86_64",true,c2be3c5be205,b9675852aa3f4a66b2fe60f5613e3a16,"172.17.0.3, 192.168.0.3","02:42:ac:11:00:03, 02:42:c0:a8:00:03",c2be3c5be205,jammy,debian,"5.4.0-131-generic",Ubuntu,Ubuntu,ubuntu,linux,"22.04.1 LTS (Jammy Jellyfish)","-","-","-","-","433.5KB","1:tDN3KY3Lkgd8ecJMPTiPD5R6+wc=","-",656,tcp,ipv4,"-","-","-","357.9KB","192.168.0.3","02:42:c0:a8:00:03",333,54468,"-",flow
"Oct 22, 2022 @ 15:10:20.000","_seH_oMBlM6FNcp7Q8pK",".ds-packetbeat-8.3.3-2022.10.21-000001","-","b281efe5-fbc1-4306-a86f-898b64cac420",c2be3c5be205,"a565428a-b91f-4602-8150-ea76bdfa24fc",c2be3c5be205,packetbeat,"8.3.3",980B,212B,"-","-",212B,"192.168.0.2","02:42:c0:a8:00:02",3,5044,"8.0.0","network_flow",network,flow,"0.0","Oct 22, 2022 @ 15:10:18.330",event,"Oct 22, 2022 @ 15:10:18.330",connection,false,"EQQA////DP//////FP8BAAECQsCoAAICQsCoAAPAqAACwKgAA7QTMOM","x86_64",true,c2be3c5be205,b9675852aa3f4a66b2fe60f5613e3a16,"172.17.0.3, 192.168.0.3","02:42:ac:11:00:03, 02:42:c0:a8:00:03",c2be3c5be205,jammy,debian,"5.4.0-131-generic",Ubuntu,Ubuntu,ubuntu,linux,"22.04.1 LTS (Jammy Jellyfish)","-","-","-","-","1.2KB","1:usFhOcZSP9MvUzRJofVE1n9GIQk=","-",7,tcp,ipv4,"-","-","-",980B,"192.168.0.3","02:42:c0:a8:00:03",4,58160,"-",flow
"Oct 22, 2022 @ 15:10:10.068","1seH_oMBlM6FNcp7HMp-",".ds-packetbeat-8.3.3-2022.10.21-000001","-","b281efe5-fbc1-4306-a86f-898b64cac420",c2be3c5be205,"a565428a-b91f-4602-8150-ea76bdfa24fc",c2be3c5be205,packetbeat,"8.3.3","356.2KB","75.2KB","-","-","75.2KB","192.168.0.2","02:42:c0:a8:00:02",321,9200,"8.0.0","network_flow",network,flow,"1490053.3","Oct 22, 2022 @ 15:10:01.439",event,"Oct 22, 2022 @ 14:45:11.385",connection,false,"EQQA////DP//////FP8BAAECQsCoAAICQsCoAAPAqAACwKgAA/AjxNQ","x86_64",true,c2be3c5be205,b9675852aa3f4a66b2fe60f5613e3a16,"172.17.0.3, 192.168.0.3","02:42:ac:11:00:03, 02:42:c0:a8:00:03",c2be3c5be205,jammy,debian,"5.4.0-131-generic",Ubuntu,Ubuntu,ubuntu,linux,"22.04.1 LTS (Jammy Jellyfish)","-","-","-","-","431.4KB","1:tDN3KY3Lkgd8ecJMPTiPD5R6+wc=","-",652,tcp,ipv4,"-","-","-","356.2KB","192.168.0.3","02:42:c0:a8:00:03",331,54468,"-",flow
"Oct 22, 2022 @ 15:10:00.002","tMeG_oMBlM6FNcp79cos",".ds-packetbeat-8.3.3-2022.10.21-000001","-","b281efe5-fbc1-4306-a86f-898b64cac420",c2be3c5be205,"a565428a-b91f-4602-8150-ea76bdfa24fc",c2be3c5be205,packetbeat,"8.3.3","354.5KB","74.7KB","-","-","74.7KB","192.168.0.2","02:42:c0:a8:00:02",319,9200,"8.0.0","network_flow",network,flow,"1479808.5","Oct 22, 2022 @ 15:09:51.194",event,"Oct 22, 2022 @ 14:45:11.385",connection,false,"EQQA////DP//////FP8BAAECQsCoAAICQsCoAAPAqAACwKgAA/AjxNQ","x86_64",true,c2be3c5be205,b9675852aa3f4a66b2fe60f5613e3a16,"172.17.0.3, 192.168.0.3","02:42:ac:11:00:03, 02:42:c0:a8:00:03",c2be3c5be205,jammy,debian,"5.4.0-131-generic",Ubuntu,Ubuntu,ubuntu,linux,"22.04.1 LTS (Jammy Jellyfish)","-","-","-","-","429.2KB","1:tDN3KY3Lkgd8ecJMPTiPD5R6+wc=","-",648,tcp,ipv4,"-","-","-","354.5KB","192.168.0.3","02:42:c0:a8:00:03",329,54468,"-",flow
"Oct 22, 2022 @ 15:09:50.001","kseG_oMBlM6FNcp7zsob",".ds-packetbeat-8.3.3-2022.10.21-000001","-","b281efe5-fbc1-4306-a86f-898b64cac420",c2be3c5be205,"a565428a-b91f-4602-8150-ea76bdfa24fc",c2be3c5be205,packetbeat,"8.3.3","352.8KB","74.3KB","-","-","74.3KB","192.168.0.2","02:42:c0:a8:00:02",317,9200,"8.0.0","network_flow",network,flow,"1470080.5","Oct 22, 2022 @ 15:09:41.466",event,"Oct 22, 2022 @ 14:45:11.385",connection,false,"EQQA////DP//////FP8BAAECQsCoAAICQsCoAAPAqAACwKgAA/AjxNQ","x86_64",true,c2be3c5be205,b9675852aa3f4a66b2fe60f5613e3a16,"172.17.0.3, 192.168.0.3","02:42:ac:11:00:03, 02:42:c0:a8:00:03",c2be3c5be205,jammy,debian,"5.4.0-131-generic",Ubuntu,Ubuntu,ubuntu,linux,"22.04.1 LTS (Jammy Jellyfish)","-","-","-","-",427KB,"1:tDN3KY3Lkgd8ecJMPTiPD5R6+wc=","-",644,tcp,ipv4,"-","-","-","352.8KB","192.168.0.3","02:42:c0:a8:00:03",327,54468,"-",flow
"Oct 22, 2022 @ 15:09:40.001","cMeG_oMBlM6FNcp7p8oL",".ds-packetbeat-8.3.3-2022.10.21-000001","-","b281efe5-fbc1-4306-a86f-898b64cac420",c2be3c5be205,"a565428a-b91f-4602-8150-ea76bdfa24fc",c2be3c5be205,packetbeat,"8.3.3",351KB,"73.8KB","-","-","73.8KB","192.168.0.2","02:42:c0:a8:00:02",315,9200,"8.0.0","network_flow",network,flow,"1459840.5","Oct 22, 2022 @ 15:09:31.226",event,"Oct 22, 2022 @ 14:45:11.385",connection,false,"EQQA////DP//////FP8BAAECQsCoAAICQsCoAAPAqAACwKgAA/AjxNQ","x86_64",true,c2be3c5be205,b9675852aa3f4a66b2fe60f5613e3a16,"172.17.0.3, 192.168.0.3","02:42:ac:11:00:03, 02:42:c0:a8:00:03",c2be3c5be205,jammy,debian,"5.4.0-131-generic",Ubuntu,Ubuntu,ubuntu,linux,"22.04.1 LTS (Jammy Jellyfish)","-","-","-","-","424.8KB","1:tDN3KY3Lkgd8ecJMPTiPD5R6+wc=","-",640,tcp,ipv4,"-","-","-",351KB,"192.168.0.3","02:42:c0:a8:00:03",325,54468,"-",flow
"Oct 22, 2022 @ 15:09:30.001","TseG_oMBlM6FNcp7gMoi",".ds-packetbeat-8.3.3-2022.10.21-000001","-","b281efe5-fbc1-4306-a86f-898b64cac420",c2be3c5be205,"a565428a-b91f-4602-8150-ea76bdfa24fc",c2be3c5be205,packetbeat,"8.3.3","349.3KB","73.3KB","-","-","73.3KB","192.168.0.2","02:42:c0:a8:00:02",313,9200,"8.0.0","network_flow",network,flow,"1450112.5","Oct 22, 2022 @ 15:09:21.498",event,"Oct 22, 2022 @ 14:45:11.385",connection,false,"EQQA////DP//////FP8BAAECQsCoAAICQsCoAAPAqAACwKgAA/AjxNQ","x86_64",true,c2be3c5be205,b9675852aa3f4a66b2fe60f5613e3a16,"172.17.0.3, 192.168.0.3","02:42:ac:11:00:03, 02:42:c0:a8:00:03",c2be3c5be205,jammy,debian,"5.4.0-131-generic",Ubuntu,Ubuntu,ubuntu,linux,"22.04.1 LTS (Jammy Jellyfish)","-","-","-","-","422.6KB","1:tDN3KY3Lkgd8ecJMPTiPD5R6+wc=","-",636,tcp,ipv4,"-","-","-","349.3KB","192.168.0.3","02:42:c0:a8:00:03",323,54468,"-",flow
"Oct 22, 2022 @ 15:09:20.001","LMeG_oMBlM6FNcp7WMrq",".ds-packetbeat-8.3.3-2022.10.21-000001","-","b281efe5-fbc1-4306-a86f-898b64cac420",c2be3c5be205,"a565428a-b91f-4602-8150-ea76bdfa24fc",c2be3c5be205,packetbeat,"8.3.3","347.6KB","72.8KB","-","-","72.8KB","192.168.0.2","02:42:c0:a8:00:02",311,9200,"8.0.0","network_flow",network,flow,"1439872.3","Oct 22, 2022 @ 15:09:11.258",event,"Oct 22, 2022 @ 14:45:11.385",connection,false,"EQQA////DP//////FP8BAAECQsCoAAICQsCoAAPAqAACwKgAA/AjxNQ","x86_64",true,c2be3c5be205,b9675852aa3f4a66b2fe60f5613e3a16,"172.17.0.3, 192.168.0.3","02:42:ac:11:00:03, 02:42:c0:a8:00:03",c2be3c5be205,jammy,debian,"5.4.0-131-generic",Ubuntu,Ubuntu,ubuntu,linux,"22.04.1 LTS (Jammy Jellyfish)","-","-","-","-","420.5KB","1:tDN3KY3Lkgd8ecJMPTiPD5R6+wc=","-",632,tcp,ipv4,"-","-","-","347.6KB","192.168.0.3","02:42:c0:a8:00:03",321,54468,"-",flow
"Oct 22, 2022 @ 15:09:10.001","CMeG_oMBlM6FNcp7Mcrb",".ds-packetbeat-8.3.3-2022.10.21-000001","-","b281efe5-fbc1-4306-a86f-898b64cac420",c2be3c5be205,"a565428a-b91f-4602-8150-ea76bdfa24fc",c2be3c5be205,packetbeat,"8.3.3","345.9KB","72.4KB","-","-","72.4KB","192.168.0.2","02:42:c0:a8:00:02",309,9200,"8.0.0","network_flow",network,flow,"1429632.4","Oct 22, 2022 @ 15:09:01.018",event,"Oct 22, 2022 @ 14:45:11.385",connection,false,"EQQA////DP//////FP8BAAECQsCoAAICQsCoAAPAqAACwKgAA/AjxNQ","x86_64",true,c2be3c5be205,b9675852aa3f4a66b2fe60f5613e3a16,"172.17.0.3, 192.168.0.3","02:42:ac:11:00:03, 02:42:c0:a8:00:03",c2be3c5be205,jammy,debian,"5.4.0-131-generic",Ubuntu,Ubuntu,ubuntu,linux,"22.04.1 LTS (Jammy Jellyfish)","-","-","-","-","418.3KB","1:tDN3KY3Lkgd8ecJMPTiPD5R6+wc=","-",628,tcp,ipv4,"-","-","-","345.9KB","192.168.0.3","02:42:c0:a8:00:03",319,54468,"-",flow
"Oct 22, 2022 @ 15:09:00.000","5seG_oMBlM6FNcp7CsnL",".ds-packetbeat-8.3.3-2022.10.21-000001","-","b281efe5-fbc1-4306-a86f-898b64cac420",c2be3c5be205,"a565428a-b91f-4602-8150-ea76bdfa24fc",c2be3c5be205,packetbeat,"8.3.3","344.2KB","71.9KB","-","-","71.9KB","192.168.0.2","02:42:c0:a8:00:02",307,9200,"8.0.0","network_flow",network,flow,"1419905.1","Oct 22, 2022 @ 15:08:51.291",event,"Oct 22, 2022 @ 14:45:11.385",connection,false,"EQQA////DP//////FP8BAAECQsCoAAICQsCoAAPAqAACwKgAA/AjxNQ","x86_64",true,c2be3c5be205,b9675852aa3f4a66b2fe60f5613e3a16,"172.17.0.3, 192.168.0.3","02:42:ac:11:00:03, 02:42:c0:a8:00:03",c2be3c5be205,jammy,debian,"5.4.0-131-generic",Ubuntu,Ubuntu,ubuntu,linux,"22.04.1 LTS (Jammy Jellyfish)","-","-","-","-","416.1KB","1:tDN3KY3Lkgd8ecJMPTiPD5R6+wc=","-",624,tcp,ipv4,"-","-","-","344.2KB","192.168.0.3","02:42:c0:a8:00:03",317,54468,"-",flow
"Oct 22, 2022 @ 15:08:50.000","xMeF_oMBlM6FNcp748m5",".ds-packetbeat-8.3.3-2022.10.21-000001","-","b281efe5-fbc1-4306-a86f-898b64cac420",c2be3c5be205,"a565428a-b91f-4602-8150-ea76bdfa24fc",c2be3c5be205,packetbeat,"8.3.3","342.5KB","71.4KB","-","-","71.4KB","192.168.0.2","02:42:c0:a8:00:02",305,9200,"8.0.0","network_flow",network,flow,"1409664.4","Oct 22, 2022 @ 15:08:41.050",event,"Oct 22, 2022 @ 14:45:11.385",connection,false,"EQQA////DP//////FP8BAAECQsCoAAICQsCoAAPAqAACwKgAA/AjxNQ","x86_64",true,c2be3c5be205,b9675852aa3f4a66b2fe60f5613e3a16,"172.17.0.3, 192.168.0.3","02:42:ac:11:00:03, 02:42:c0:a8:00:03",c2be3c5be205,jammy,debian,"5.4.0-131-generic",Ubuntu,Ubuntu,ubuntu,linux,"22.04.1 LTS (Jammy Jellyfish)","-","-","-","-","413.9KB","1:tDN3KY3Lkgd8ecJMPTiPD5R6+wc=","-",620,tcp,ipv4,"-","-","-","342.5KB","192.168.0.3","02:42:c0:a8:00:03",315,54468,"-",flow
"Oct 22, 2022 @ 15:08:40.001","oseF_oMBlM6FNcp7vMmp",".ds-packetbeat-8.3.3-2022.10.21-000001","-","b281efe5-fbc1-4306-a86f-898b64cac420",c2be3c5be205,"a565428a-b91f-4602-8150-ea76bdfa24fc",c2be3c5be205,packetbeat,"8.3.3","340.8KB",71KB,"-","-",71KB,"192.168.0.2","02:42:c0:a8:00:02",303,9200,"8.0.0","network_flow",network,flow,"1399936.9","Oct 22, 2022 @ 15:08:31.322",event,"Oct 22, 2022 @ 14:45:11.385",connection,false,"EQQA////DP//////FP8BAAECQsCoAAICQsCoAAPAqAACwKgAA/AjxNQ","x86_64",true,c2be3c5be205,b9675852aa3f4a66b2fe60f5613e3a16,"172.17.0.3, 192.168.0.3","02:42:ac:11:00:03, 02:42:c0:a8:00:03",c2be3c5be205,jammy,debian,"5.4.0-131-generic",Ubuntu,Ubuntu,ubuntu,linux,"22.04.1 LTS (Jammy Jellyfish)","-","-","-","-","411.8KB","1:tDN3KY3Lkgd8ecJMPTiPD5R6+wc=","-",616,tcp,ipv4,"-","-","-","340.8KB","192.168.0.3","02:42:c0:a8:00:03",313,54468,"-",flow
"Oct 22, 2022 @ 15:08:30.000","gMeF_oMBlM6FNcp7lcmb",".ds-packetbeat-8.3.3-2022.10.21-000001","-","b281efe5-fbc1-4306-a86f-898b64cac420",c2be3c5be205,"a565428a-b91f-4602-8150-ea76bdfa24fc",c2be3c5be205,packetbeat,"8.3.3","339.1KB","70.5KB","-","-","70.5KB","192.168.0.2","02:42:c0:a8:00:02",301,9200,"8.0.0","network_flow",network,flow,"1389696.2","Oct 22, 2022 @ 15:08:21.082",event,"Oct 22, 2022 @ 14:45:11.385",connection,false,"EQQA////DP//////FP8BAAECQsCoAAICQsCoAAPAqAACwKgAA/AjxNQ","x86_64",true,c2be3c5be205,b9675852aa3f4a66b2fe60f5613e3a16,"172.17.0.3, 192.168.0.3","02:42:ac:11:00:03, 02:42:c0:a8:00:03",c2be3c5be205,jammy,debian,"5.4.0-131-generic",Ubuntu,Ubuntu,ubuntu,linux,"22.04.1 LTS (Jammy Jellyfish)","-","-","-","-","409.6KB","1:tDN3KY3Lkgd8ecJMPTiPD5R6+wc=","-",612,tcp,ipv4,"-","-","-","339.1KB","192.168.0.3","02:42:c0:a8:00:03",311,54468,"-",flow
"Oct 22, 2022 @ 15:08:20.000","XseF_oMBlM6FNcp7bsmJ",".ds-packetbeat-8.3.3-2022.10.21-000001","-","b281efe5-fbc1-4306-a86f-898b64cac420",c2be3c5be205,"a565428a-b91f-4602-8150-ea76bdfa24fc",c2be3c5be205,packetbeat,"8.3.3","337.4KB",70KB,"-","-",70KB,"192.168.0.2","02:42:c0:a8:00:02",299,9200,"8.0.0","network_flow",network,flow,"1379968.5","Oct 22, 2022 @ 15:08:11.354",event,"Oct 22, 2022 @ 14:45:11.385",connection,false,"EQQA////DP//////FP8BAAECQsCoAAICQsCoAAPAqAACwKgAA/AjxNQ","x86_64",true,c2be3c5be205,b9675852aa3f4a66b2fe60f5613e3a16,"172.17.0.3, 192.168.0.3","02:42:ac:11:00:03, 02:42:c0:a8:00:03",c2be3c5be205,jammy,debian,"5.4.0-131-generic",Ubuntu,Ubuntu,ubuntu,linux,"22.04.1 LTS (Jammy Jellyfish)","-","-","-","-","407.4KB","1:tDN3KY3Lkgd8ecJMPTiPD5R6+wc=","-",608,tcp,ipv4,"-","-","-","337.4KB","192.168.0.3","02:42:c0:a8:00:03",309,54468,"-",flow
"Oct 22, 2022 @ 15:08:10.002","OseF_oMBlM6FNcp7R8l7",".ds-packetbeat-8.3.3-2022.10.21-000001","-","b281efe5-fbc1-4306-a86f-898b64cac420",c2be3c5be205,"a565428a-b91f-4602-8150-ea76bdfa24fc",c2be3c5be205,packetbeat,"8.3.3","335.7KB","69.6KB","-","-","69.6KB","192.168.0.2","02:42:c0:a8:00:02",297,9200,"8.0.0","network_flow",network,flow,"1369728.8","Oct 22, 2022 @ 15:08:01.114",event,"Oct 22, 2022 @ 14:45:11.385",connection,false,"EQQA////DP//////FP8BAAECQsCoAAICQsCoAAPAqAACwKgAA/AjxNQ","x86_64",true,c2be3c5be205,b9675852aa3f4a66b2fe60f5613e3a16,"172.17.0.3, 192.168.0.3","02:42:ac:11:00:03, 02:42:c0:a8:00:03",c2be3c5be205,jammy,debian,"5.4.0-131-generic",Ubuntu,Ubuntu,ubuntu,linux,"22.04.1 LTS (Jammy Jellyfish)","-","-","-","-","405.2KB","1:tDN3KY3Lkgd8ecJMPTiPD5R6+wc=","-",604,tcp,ipv4,"-","-","-","335.7KB","192.168.0.3","02:42:c0:a8:00:03",307,54468,"-",flow
