"@timestamp","@version","@version.keyword","_id","_index","_score","event.original","event.original.keyword","log.offset","log_type","log_type.keyword",message,"message.keyword",stream,"stream.keyword",tags,"tags.keyword"
"Oct 24, 2022 @ 07:18:13.699",1,1,xCRcCoQBHX4V2FyhSxy0,"smtp-2022.10.24","-","Oct 24 14:18:13 5a6cfb7a7ed3 postfix/master[342]: daemon started -- version 3.5.13, configuration /opt/postfix/conf","Oct 24 14:18:13 5a6cfb7a7ed3 postfix/master[342]: daemon started -- version 3.5.13, configuration /opt/postfix/conf","255,859","SMTP_LOG","SMTP_LOG","Oct 24 14:18:13 5a6cfb7a7ed3 postfix/master[342]: daemon started -- version 3.5.13, configuration /opt/postfix/conf","Oct 24 14:18:13 5a6cfb7a7ed3 postfix/master[342]: daemon started -- version 3.5.13, configuration /opt/postfix/conf",stdout,stdout,"beats_input_codec_plain_applied","beats_input_codec_plain_applied"
"Oct 24, 2022 @ 07:18:13.693",1,1,wyRcCoQBHX4V2FyhSxy0,"smtp-2022.10.24","-","Oct 24 14:18:13 5a6cfb7a7ed3 postfix/postfix-script[340]: starting the Postfix mail system","Oct 24 14:18:13 5a6cfb7a7ed3 postfix/postfix-script[340]: starting the Postfix mail system","255,698","SMTP_LOG","SMTP_LOG","Oct 24 14:18:13 5a6cfb7a7ed3 postfix/postfix-script[340]: starting the Postfix mail system","Oct 24 14:18:13 5a6cfb7a7ed3 postfix/postfix-script[340]: starting the Postfix mail system",stdout,stdout,"beats_input_codec_plain_applied","beats_input_codec_plain_applied"
"Oct 24, 2022 @ 07:18:12.312",1,1,2yRcCoQBHX4V2FyhSxzE,"smtp-2022.10.24","-","chown: cannot access '/usr/share/man/man1/mailq.1.gz': No such file or directory","chown: cannot access '/usr/share/man/man1/mailq.1.gz': No such file or directory","255,547","SMTP_LOG","SMTP_LOG","chown: cannot access '/usr/share/man/man1/mailq.1.gz': No such file or directory","chown: cannot access '/usr/share/man/man1/mailq.1.gz': No such file or directory",stderr,stderr,"beats_input_codec_plain_applied","beats_input_codec_plain_applied"
"Oct 24, 2022 @ 07:18:01.251",1,1,2SRcCoQBHX4V2FyhSxzD,"smtp-2022.10.24","-","2022-10-24 14:18:01,251 INFO success: postfix entered RUNNING state, process has stayed up for > than 1 seconds (startsecs)","2022-10-24 14:18:01,251 INFO success: postfix entered RUNNING state, process has stayed up for > than 1 seconds (startsecs)","255,147","SMTP_LOG","SMTP_LOG","2022-10-24 14:18:01,251 INFO success: postfix entered RUNNING state, process has stayed up for > than 1 seconds (startsecs)","2022-10-24 14:18:01,251 INFO success: postfix entered RUNNING state, process has stayed up for > than 1 seconds (startsecs)",stdout,stdout,"beats_input_codec_plain_applied","beats_input_codec_plain_applied"
"Oct 24, 2022 @ 07:18:01.251",1,1,wiRcCoQBHX4V2FyhSxy0,"smtp-2022.10.24","-","2022-10-24 14:18:01,251 INFO success: processes entered RUNNING state, process has stayed up for > than 1 seconds (startsecs)","2022-10-24 14:18:01,251 INFO success: processes entered RUNNING state, process has stayed up for > than 1 seconds (startsecs)","254,946","SMTP_LOG","SMTP_LOG","2022-10-24 14:18:01,251 INFO success: processes entered RUNNING state, process has stayed up for > than 1 seconds (startsecs)","2022-10-24 14:18:01,251 INFO success: processes entered RUNNING state, process has stayed up for > than 1 seconds (startsecs)",stdout,stdout,"beats_input_codec_plain_applied","beats_input_codec_plain_applied"
"Oct 24, 2022 @ 07:18:01.251",1,1,2iRcCoQBHX4V2FyhSxzD,"smtp-2022.10.24","-","2022-10-24 14:18:01,251 INFO success: syslog-ng entered RUNNING state, process has stayed up for > than 1 seconds (startsecs)","2022-10-24 14:18:01,251 INFO success: syslog-ng entered RUNNING state, process has stayed up for > than 1 seconds (startsecs)","255,346","SMTP_LOG","SMTP_LOG","2022-10-24 14:18:01,251 INFO success: syslog-ng entered RUNNING state, process has stayed up for > than 1 seconds (startsecs)","2022-10-24 14:18:01,251 INFO success: syslog-ng entered RUNNING state, process has stayed up for > than 1 seconds (startsecs)",stdout,stdout,"beats_input_codec_plain_applied","beats_input_codec_plain_applied"
"Oct 24, 2022 @ 07:18:00.249",1,1,wSRcCoQBHX4V2FyhSxy0,"smtp-2022.10.24","-","Oct 24 14:18:00 5a6cfb7a7ed3 syslog-ng[9]: syslog-ng starting up; version='3.28.1'","Oct 24 14:18:00 5a6cfb7a7ed3 syslog-ng[9]: syslog-ng starting up; version='3.28.1'","254,793","SMTP_LOG","SMTP_LOG","Oct 24 14:18:00 5a6cfb7a7ed3 syslog-ng[9]: syslog-ng starting up; version='3.28.1'","Oct 24 14:18:00 5a6cfb7a7ed3 syslog-ng[9]: syslog-ng starting up; version='3.28.1'",stdout,stdout,"beats_input_codec_plain_applied","beats_input_codec_plain_applied"
"Oct 24, 2022 @ 07:18:00.126",1,1,wCRcCoQBHX4V2FyhSxy0,"smtp-2022.10.24","-","Uptime: 1  Threads: 2  Questions: 25  Slow queries: 0  Opens: 29  Open tables: 20  Queries per second avg: 25.000","Uptime: 1  Threads: 2  Questions: 25  Slow queries: 0  Opens: 29  Open tables: 20  Queries per second avg: 25.000","254,609","SMTP_LOG","SMTP_LOG","Uptime: 1  Threads: 2  Questions: 25  Slow queries: 0  Opens: 29  Open tables: 20  Queries per second avg: 25.000","Uptime: 1  Threads: 2  Questions: 25  Slow queries: 0  Opens: 29  Open tables: 20  Queries per second avg: 25.000",stdout,stdout,"beats_input_codec_plain_applied","beats_input_codec_plain_applied"
"Oct 24, 2022 @ 07:18:00.104",1,1,2CRcCoQBHX4V2FyhSxzD,"smtp-2022.10.24","-","2022-10-24 14:18:00,104 INFO spawned: 'syslog-ng' with pid 9","2022-10-24 14:18:00,104 INFO spawned: 'syslog-ng' with pid 9","254,478","SMTP_LOG","SMTP_LOG","2022-10-24 14:18:00,104 INFO spawned: 'syslog-ng' with pid 9","2022-10-24 14:18:00,104 INFO spawned: 'syslog-ng' with pid 9",stdout,stdout,"beats_input_codec_plain_applied","beats_input_codec_plain_applied"
"Oct 24, 2022 @ 07:18:00.102",1,1,1yRcCoQBHX4V2FyhSxzD,"smtp-2022.10.24","-","2022-10-24 14:18:00,101 INFO spawned: 'postfix' with pid 8","2022-10-24 14:18:00,101 INFO spawned: 'postfix' with pid 8","254,349","SMTP_LOG","SMTP_LOG","2022-10-24 14:18:00,101 INFO spawned: 'postfix' with pid 8","2022-10-24 14:18:00,101 INFO spawned: 'postfix' with pid 8",stdout,stdout,"beats_input_codec_plain_applied","beats_input_codec_plain_applied"
