,LogName,RuleName,UtcTime,ProcessGuid,ProcessId,QueryName,QueryStatus,QueryResults,Image,User,EventType,TargetObject,Details,FileVersion,Description,Product,Company,OriginalFileName,CommandLine,CurrentDirectory,LogonGuid,LogonId,TerminalSessionId,IntegrityLevel,Hashes,ParentProcessGuid,ParentProcessId,ParentCommandLine,ParentUser,TargetFilename,CreationUtcTime,Protocol,Initiated,SourceIp,SourceHostname,SourcePort,SourcePortName,DestinationIp,DestinationHostname,DestinationPort,DestinationPortName
0," Process Create:
",-,2022-10-25 01:34:02.262,{fb91fd7c-3d0a-6357-0c01-000000000d00},960,,,,C:\Windows\System32\cmd.exe,MSHOME\Administrator,,,,10.0.17763.592 (WinBuild.160101.0800),Windows Command Processor,MicrosoftÂ® WindowsÂ® Operating System,Microsoft Corporation,Cmd.Exe,cmd.exe /Q /c \uploads\RunThis_Collection.bat 1> \\127.0.0.1\ADMIN$\__1666661380.4618123 2>&1,C:\,{fb91fd7c-3c05-6357-2754-0e0000000000},0xE5427,0,High,"MD5=975B45B669930B0CC773EAF2B414206F,SHA256=3656F37A1C6951EC4496FABB8EE957D3A6E3C276D5A3785476B482C9C0D32EA2,IMPHASH=272245E2988E1E430500B852C4FB5E18",{fb91fd7c-3d0a-6357-0b01-000000000d00},1932,C:\Windows\system32\wbem\wmiprvse.exe -secured -Embedding,NT AUTHORITY\NETWORK SERVICE,,,,,,,,,,,,
1," Process Create:
",-,2022-10-25 01:34:02.351,{fb91fd7c-3d0a-6357-0e01-000000000d00},3964,,,,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,MSHOME\Administrator,,,,10.0.17763.1 (WinBuild.160101.0800),Windows PowerShell,MicrosoftÂ® WindowsÂ® Operating System,Microsoft Corporation,PowerShell.EXE,Powershell.exe  -executionpolicy bypass -file Collection.ps1,C:\,{fb91fd7c-3c05-6357-2754-0e0000000000},0xE5427,0,High,"MD5=7353F60B1739074EB17C5F4DDDEFE239,SHA256=DE96A6E69944335375DC1AC238336066889D9FFC7D73628EF4FE1B1B160AB32C,IMPHASH=741776AACCFC5B71FF59832DCDCACE0F",{fb91fd7c-3d0a-6357-0c01-000000000d00},960,cmd.exe /Q /c \uploads\RunThis_Collection.bat 1> \\127.0.0.1\ADMIN$\__1666661380.4618123 2>&1,MSHOME\Administrator,,,,,,,,,,,,
2," File created:
",-,2022-10-25 01:34:02.511,{fb91fd7c-3d0a-6357-0e01-000000000d00},3964,,,,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,MSHOME\Administrator,,,,,,,,,,,,,,,,,,,,C:\Users\Administrator\AppData\Local\Temp\__PSScriptPolicyTest_y3tze3lw.qe3.ps1,2022-10-25 01:34:02.511,,,,,,,,,,
3," Registry value set:
",-,2022-10-25 01:34:28.459,{fb91fd7c-3b3c-6357-8d00-000000000d00},3908,,,,C:\Windows\Explorer.EXE,MSHOME\vagrant,SetValue,HKU\S-1-5-21-2437433168-2044137156-215967098-1000\Software\Microsoft\Windows\CurrentVersion\Shell Extensions\Cached\{E2BF9676-5F8F-435C-97EB-11607A5BEDF7} {A08CE4D0-FA25-44AB-B57C-C7B1C323E0B9} 0xFFFF,Binary Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4," Process Create:
",-,2022-10-25 01:34:29.247,{fb91fd7c-3d25-6357-0f01-000000000d00},5068,,,,C:\Windows\System32\notepad.exe,MSHOME\vagrant,,,,10.0.17763.475 (WinBuild.160101.0800),Notepad,MicrosoftÂ® WindowsÂ® Operating System,Microsoft Corporation,NOTEPAD.EXE,"""C:\Windows\System32\NOTEPAD.EXE"" C:\uploads\RunThis_Collection.bat",C:\uploads\,{fb91fd7c-3b39-6357-7555-060000000000},0x65575,1,High,"MD5=0E61079D3283687D2E279272966AE99D,SHA256=A92056D772260B39A876D01552496B2F8B4610A0B1E084952FE1176784E2CE77,IMPHASH=C8922BE3DCDFEB5994C9EEE7745DC22E",{fb91fd7c-3b3c-6357-8d00-000000000d00},3908,C:\Windows\Explorer.EXE,MSHOME\vagrant,,,,,,,,,,,,
5," Dns query:
",-,2022-10-25 01:34:42.025,{fb91fd7c-ca5c-6356-1600-000000000d00},368,DC,0,fe80::b9ef:a298:4cca:56f7;::ffff:10.0.0.2;,C:\Windows\System32\svchost.exe,NT AUTHORITY\LOCAL SERVICE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6," File created:
",T1053,2022-10-25 01:35:15.711,{fb91fd7c-ca5b-6356-1400-000000000d00},312,,,,C:\Windows\system32\svchost.exe,NT AUTHORITY\SYSTEM,,,,,,,,,,,,,,,,,,,,C:\Windows\System32\Tasks\Microsoft\Windows\Windows Defender\Windows Defender Verification,2020-05-13 04:22:02.776,,,,,,,,,,
7," File created:
",T1053,2022-10-25 01:35:15.733,{fb91fd7c-ca5b-6356-1400-000000000d00},312,,,,C:\Windows\system32\svchost.exe,NT AUTHORITY\SYSTEM,,,,,,,,,,,,,,,,,,,,C:\Windows\System32\Tasks\Microsoft\Windows\Windows Defender\Windows Defender Cache Maintenance,2020-05-13 04:22:07.714,,,,,,,,,,
8," File created:
",T1053,2022-10-25 01:35:15.733,{fb91fd7c-ca5b-6356-1400-000000000d00},312,,,,C:\Windows\system32\svchost.exe,NT AUTHORITY\SYSTEM,,,,,,,,,,,,,,,,,,,,C:\Windows\System32\Tasks\Microsoft\Windows\Windows Defender\Windows Defender Cleanup,2020-05-13 04:22:15.855,,,,,,,,,,
9," File created:
",T1053,2022-10-25 01:35:15.733,{fb91fd7c-ca5b-6356-1400-000000000d00},312,,,,C:\Windows\system32\svchost.exe,NT AUTHORITY\SYSTEM,,,,,,,,,,,,,,,,,,,,C:\Windows\System32\Tasks\Microsoft\Windows\Windows Defender\Windows Defender Scheduled Scan,2020-05-13 08:32:40.669,,,,,,,,,,
10," Process Create:
",-,2022-10-25 01:35:17.409,{fb91fd7c-3d55-6357-1001-000000000d00},3688,,,,C:\Windows\System32\cmd.exe,MSHOME\Administrator,,,,10.0.17763.592 (WinBuild.160101.0800),Windows Command Processor,MicrosoftÂ® WindowsÂ® Operating System,Microsoft Corporation,Cmd.Exe,"cmd.exe /Q /c powershell -c ""\uploads\Collection.ps1"" 1> \\127.0.0.1\ADMIN$\__1666661380.4618123 2>&1",C:\,{fb91fd7c-3c05-6357-2754-0e0000000000},0xE5427,0,High,"MD5=975B45B669930B0CC773EAF2B414206F,SHA256=3656F37A1C6951EC4496FABB8EE957D3A6E3C276D5A3785476B482C9C0D32EA2,IMPHASH=272245E2988E1E430500B852C4FB5E18",{00000000-0000-0000-0000-000000000000},1932,C:\Windows\system32\wbem\wmiprvse.exe -secured -Embedding,-,,,,,,,,,,,,
