,@timestamp,agent.name,client.bytes,client.ip,destination.bytes,destination.ip,event.dataset,event.end,event.start,event.type,host.mac,host.os.name,host.os.version,icmp.request.code,icmp.request.message,icmp.request.type,icmp.response.code,icmp.response.message,icmp.response.type,network.bytes,network.type,source.bytes,source.ip,status,type
0,"Oct 24, 2022 @ 13:25:37.156",webserver,84B,10.0.0.20,-,10.0.0.20,icmp,-,"Oct 24, 2022 @ 13:25:37.156",connection,"02:42:0a:00:00:14, 02:42:ac:11:00:04",Debian GNU/Linux,11 (bullseye),1,DestinationUnreachable(Host),3,-,-,-,84B,ipv4,84B,10.0.0.20,Error,icmp
1,"Oct 24, 2022 @ 13:25:37.156",webserver,84B,10.0.0.20,-,10.0.0.20,icmp,-,"Oct 24, 2022 @ 13:25:37.156",connection,"02:42:0a:00:00:14, 02:42:ac:11:00:04",Debian GNU/Linux,11 (bullseye),1,DestinationUnreachable(Host),3,-,-,-,84B,ipv4,84B,10.0.0.20,Error,icmp
2,"Oct 24, 2022 @ 13:25:37.156",webserver,84B,10.0.0.20,-,10.0.0.20,icmp,-,"Oct 24, 2022 @ 13:25:37.156",connection,"02:42:0a:00:00:14, 02:42:ac:11:00:04",Debian GNU/Linux,11 (bullseye),1,DestinationUnreachable(Host),3,-,-,-,84B,ipv4,84B,10.0.0.20,Error,icmp
3,"Oct 24, 2022 @ 13:25:37.156",webserver,84B,10.0.0.20,-,10.0.0.20,icmp,-,"Oct 24, 2022 @ 13:25:37.156",connection,"02:42:0a:00:00:14, 02:42:ac:11:00:04",Debian GNU/Linux,11 (bullseye),1,DestinationUnreachable(Host),3,-,-,-,84B,ipv4,84B,10.0.0.20,Error,icmp
4,"Oct 24, 2022 @ 13:25:37.156",webserver,84B,10.0.0.20,-,10.0.0.20,icmp,-,"Oct 24, 2022 @ 13:25:37.156",connection,"02:42:0a:00:00:14, 02:42:ac:11:00:04",Debian GNU/Linux,11 (bullseye),1,DestinationUnreachable(Host),3,-,-,-,84B,ipv4,84B,10.0.0.20,Error,icmp
5,"Oct 24, 2022 @ 13:25:37.156",webserver,84B,10.0.0.20,-,10.0.0.20,icmp,-,"Oct 24, 2022 @ 13:25:37.156",connection,"02:42:0a:00:00:14, 02:42:ac:11:00:04",Debian GNU/Linux,11 (bullseye),1,DestinationUnreachable(Host),3,-,-,-,84B,ipv4,84B,10.0.0.20,Error,icmp
6,"Oct 24, 2022 @ 13:25:37.156",webserver,84B,10.0.0.20,-,10.0.0.20,icmp,-,"Oct 24, 2022 @ 13:25:37.156",connection,"02:42:0a:00:00:14, 02:42:ac:11:00:04",Debian GNU/Linux,11 (bullseye),1,DestinationUnreachable(Host),3,-,-,-,84B,ipv4,84B,10.0.0.20,Error,icmp
7,"Oct 24, 2022 @ 13:25:37.156",webserver,84B,10.0.0.20,-,10.0.0.20,icmp,-,"Oct 24, 2022 @ 13:25:37.156",connection,"02:42:0a:00:00:14, 02:42:ac:11:00:04",Debian GNU/Linux,11 (bullseye),1,DestinationUnreachable(Host),3,-,-,-,84B,ipv4,84B,10.0.0.20,Error,icmp
8,"Oct 24, 2022 @ 13:25:37.156",webserver,84B,10.0.0.20,-,10.0.0.20,icmp,-,"Oct 24, 2022 @ 13:25:37.156",connection,"02:42:0a:00:00:14, 02:42:ac:11:00:04",Debian GNU/Linux,11 (bullseye),1,DestinationUnreachable(Host),3,-,-,-,84B,ipv4,84B,10.0.0.20,Error,icmp
9,"Oct 24, 2022 @ 13:25:37.156",webserver,84B,10.0.0.20,-,10.0.0.20,icmp,-,"Oct 24, 2022 @ 13:25:37.156",connection,"02:42:0a:00:00:14, 02:42:ac:11:00:04",Debian GNU/Linux,11 (bullseye),1,DestinationUnreachable(Host),3,-,-,-,84B,ipv4,84B,10.0.0.20,Error,icmp
