"@timestamp","@version","@version.keyword","_id","_index","_score","agent.name","agent.name.keyword","client.bytes","client.ip","client.ip.keyword","destination.bytes","destination.ip","destination.ip.keyword","event.dataset","event.dataset.keyword","event.end","event.start","event.type","event.type.keyword","host.mac","host.mac.keyword","host.os.name","host.os.name.keyword","host.os.version","host.os.version.keyword","icmp.request.code","icmp.request.message","icmp.request.message.keyword","icmp.request.type","icmp.response.code","icmp.response.message","icmp.response.message.keyword","icmp.response.type","network.bytes","network.type","network.type.keyword","source.bytes","source.ip","source.ip.keyword",status,"status.keyword",tags,"tags.keyword",type,"type.keyword"
"Oct 24, 2022 @ 13:25:37.156",1,1,"7SB0CIQBIFje4a_CG5H6","packetbeat-2022.10.24","-",webserver,webserver,84B,"10.0.0.20","10.0.0.20","-","10.0.0.20","10.0.0.20",icmp,icmp,"-","Oct 24, 2022 @ 13:25:37.156",connection,connection,"02:42:0a:00:00:14, 02:42:ac:11:00:04","02:42:0a:00:00:14, 02:42:ac:11:00:04","Debian GNU/Linux","Debian GNU/Linux","11 (bullseye)","11 (bullseye)",1,"DestinationUnreachable(Host)","DestinationUnreachable(Host)",3,"-","-","-","-",84B,ipv4,ipv4,84B,"10.0.0.20","10.0.0.20",Error,Error,"beats_input_raw_event","beats_input_raw_event",icmp,icmp
"Oct 24, 2022 @ 13:25:37.156",1,1,"8SB0CIQBIFje4a_CG5H6","packetbeat-2022.10.24","-",webserver,webserver,84B,"10.0.0.20","10.0.0.20","-","10.0.0.20","10.0.0.20",icmp,icmp,"-","Oct 24, 2022 @ 13:25:37.156",connection,connection,"02:42:0a:00:00:14, 02:42:ac:11:00:04","02:42:0a:00:00:14, 02:42:ac:11:00:04","Debian GNU/Linux","Debian GNU/Linux","11 (bullseye)","11 (bullseye)",1,"DestinationUnreachable(Host)","DestinationUnreachable(Host)",3,"-","-","-","-",84B,ipv4,ipv4,84B,"10.0.0.20","10.0.0.20",Error,Error,"beats_input_raw_event","beats_input_raw_event",icmp,icmp
"Oct 24, 2022 @ 13:25:37.156",1,1,"LCB0CIQBIFje4a_CG5L-","packetbeat-2022.10.24","-",webserver,webserver,84B,"10.0.0.20","10.0.0.20","-","10.0.0.20","10.0.0.20",icmp,icmp,"-","Oct 24, 2022 @ 13:25:37.156",connection,connection,"02:42:0a:00:00:14, 02:42:ac:11:00:04","02:42:0a:00:00:14, 02:42:ac:11:00:04","Debian GNU/Linux","Debian GNU/Linux","11 (bullseye)","11 (bullseye)",1,"DestinationUnreachable(Host)","DestinationUnreachable(Host)",3,"-","-","-","-",84B,ipv4,ipv4,84B,"10.0.0.20","10.0.0.20",Error,Error,"beats_input_raw_event","beats_input_raw_event",icmp,icmp
"Oct 24, 2022 @ 13:25:37.156",1,1,"NyB0CIQBIFje4a_CG5L-","packetbeat-2022.10.24","-",webserver,webserver,84B,"10.0.0.20","10.0.0.20","-","10.0.0.20","10.0.0.20",icmp,icmp,"-","Oct 24, 2022 @ 13:25:37.156",connection,connection,"02:42:0a:00:00:14, 02:42:ac:11:00:04","02:42:0a:00:00:14, 02:42:ac:11:00:04","Debian GNU/Linux","Debian GNU/Linux","11 (bullseye)","11 (bullseye)",1,"DestinationUnreachable(Host)","DestinationUnreachable(Host)",3,"-","-","-","-",84B,ipv4,ipv4,84B,"10.0.0.20","10.0.0.20",Error,Error,"beats_input_raw_event","beats_input_raw_event",icmp,icmp
"Oct 24, 2022 @ 13:25:37.156",1,1,"NSB0CIQBIFje4a_CG5L-","packetbeat-2022.10.24","-",webserver,webserver,84B,"10.0.0.20","10.0.0.20","-","10.0.0.20","10.0.0.20",icmp,icmp,"-","Oct 24, 2022 @ 13:25:37.156",connection,connection,"02:42:0a:00:00:14, 02:42:ac:11:00:04","02:42:0a:00:00:14, 02:42:ac:11:00:04","Debian GNU/Linux","Debian GNU/Linux","11 (bullseye)","11 (bullseye)",1,"DestinationUnreachable(Host)","DestinationUnreachable(Host)",3,"-","-","-","-",84B,ipv4,ipv4,84B,"10.0.0.20","10.0.0.20",Error,Error,"beats_input_raw_event","beats_input_raw_event",icmp,icmp
"Oct 24, 2022 @ 13:25:37.156",1,1,"NiB0CIQBIFje4a_CG5L-","packetbeat-2022.10.24","-",webserver,webserver,84B,"10.0.0.20","10.0.0.20","-","10.0.0.20","10.0.0.20",icmp,icmp,"-","Oct 24, 2022 @ 13:25:37.156",connection,connection,"02:42:0a:00:00:14, 02:42:ac:11:00:04","02:42:0a:00:00:14, 02:42:ac:11:00:04","Debian GNU/Linux","Debian GNU/Linux","11 (bullseye)","11 (bullseye)",1,"DestinationUnreachable(Host)","DestinationUnreachable(Host)",3,"-","-","-","-",84B,ipv4,ipv4,84B,"10.0.0.20","10.0.0.20",Error,Error,"beats_input_raw_event","beats_input_raw_event",icmp,icmp
"Oct 24, 2022 @ 13:25:37.156",1,1,"aCB0CIQBIFje4a_CG5L-","packetbeat-2022.10.24","-",webserver,webserver,84B,"10.0.0.20","10.0.0.20","-","10.0.0.20","10.0.0.20",icmp,icmp,"-","Oct 24, 2022 @ 13:25:37.156",connection,connection,"02:42:0a:00:00:14, 02:42:ac:11:00:04","02:42:0a:00:00:14, 02:42:ac:11:00:04","Debian GNU/Linux","Debian GNU/Linux","11 (bullseye)","11 (bullseye)",1,"DestinationUnreachable(Host)","DestinationUnreachable(Host)",3,"-","-","-","-",84B,ipv4,ipv4,84B,"10.0.0.20","10.0.0.20",Error,Error,"beats_input_raw_event","beats_input_raw_event",icmp,icmp
"Oct 24, 2022 @ 13:25:37.156",1,1,"OiB0CIQBIFje4a_CG5L-","packetbeat-2022.10.24","-",webserver,webserver,84B,"10.0.0.20","10.0.0.20","-","10.0.0.20","10.0.0.20",icmp,icmp,"-","Oct 24, 2022 @ 13:25:37.156",connection,connection,"02:42:0a:00:00:14, 02:42:ac:11:00:04","02:42:0a:00:00:14, 02:42:ac:11:00:04","Debian GNU/Linux","Debian GNU/Linux","11 (bullseye)","11 (bullseye)",1,"DestinationUnreachable(Host)","DestinationUnreachable(Host)",3,"-","-","-","-",84B,ipv4,ipv4,84B,"10.0.0.20","10.0.0.20",Error,Error,"beats_input_raw_event","beats_input_raw_event",icmp,icmp
"Oct 24, 2022 @ 13:25:37.156",1,1,"WCB0CIQBIFje4a_CG5L-","packetbeat-2022.10.24","-",webserver,webserver,84B,"10.0.0.20","10.0.0.20","-","10.0.0.20","10.0.0.20",icmp,icmp,"-","Oct 24, 2022 @ 13:25:37.156",connection,connection,"02:42:0a:00:00:14, 02:42:ac:11:00:04","02:42:0a:00:00:14, 02:42:ac:11:00:04","Debian GNU/Linux","Debian GNU/Linux","11 (bullseye)","11 (bullseye)",1,"DestinationUnreachable(Host)","DestinationUnreachable(Host)",3,"-","-","-","-",84B,ipv4,ipv4,84B,"10.0.0.20","10.0.0.20",Error,Error,"beats_input_raw_event","beats_input_raw_event",icmp,icmp
"Oct 24, 2022 @ 13:25:37.156",1,1,"OSB0CIQBIFje4a_CG5L-","packetbeat-2022.10.24","-",webserver,webserver,84B,"10.0.0.20","10.0.0.20","-","10.0.0.20","10.0.0.20",icmp,icmp,"-","Oct 24, 2022 @ 13:25:37.156",connection,connection,"02:42:0a:00:00:14, 02:42:ac:11:00:04","02:42:0a:00:00:14, 02:42:ac:11:00:04","Debian GNU/Linux","Debian GNU/Linux","11 (bullseye)","11 (bullseye)",1,"DestinationUnreachable(Host)","DestinationUnreachable(Host)",3,"-","-","-","-",84B,ipv4,ipv4,84B,"10.0.0.20","10.0.0.20",Error,Error,"beats_input_raw_event","beats_input_raw_event",icmp,icmp
