"@timestamp","_id","_index","_score","agent.ephemeral_id","agent.hostname","agent.id","agent.name","agent.type","agent.version","ecs.version","event.action","event.category","event.dataset","event.ingested","event.kind","event.module","event.outcome","event.timezone","event.type","fileset.name","host.architecture","host.containerized","host.hostname","host.id","host.ip","host.mac","host.name","host.os.codename","host.os.family","host.os.kernel","host.os.name","host.os.name.text","host.os.platform","host.os.type","host.os.version","input.type","log.file.path","log.offset",message,"process.name","process.name.text","process.pid","related.hosts","related.ip","related.user","service.type","source.ip","source.port","system.auth.ssh.event","system.auth.ssh.method","system.auth.sudo.command","system.auth.sudo.pwd","system.auth.sudo.tty","system.auth.sudo.user",tags,"user.effective.name","user.effective.name.text","user.id","user.name","user.name.text"
"Oct 24, 2022 @ 06:25:16.000",cqErCoQBnzfJo7CMWXJC,".ds-syslog-8.3.3-2022.10.22-000001","-","9e62cf87-8197-427d-ad0e-5f37b41cd535",hostB,"b538dadb-6c6e-4ed5-ac9e-3ddcfacd109b",hostB,filebeat,"8.3.3","1.12.0","-","-","system.auth","Oct 24, 2022 @ 06:25:23.905",event,system,"-","+00:00","-",auth,"x86_64",true,hostB,aad00724b7c789054c456a1963563f87,"10.0.0.3","02:42:0a:00:00:03",hostB,bullseye,debian,"5.15.0-52-generic","Debian GNU/Linux","Debian GNU/Linux",debian,linux,"11 (bullseye)",log,"/var/log/auth.log","14,217","pam_unix(cron:session): session closed for user root",CRON,CRON,303,hostB,"-",root,system,"-","-","-","-","-","-","-","-","_geoip_database_unavailable_GeoLite2-City.mmdb, _geoip_database_unavailable_GeoLite2-ASN.mmdb","-","-","-",root,root
"Oct 24, 2022 @ 06:25:01.000",3qErCoQBnzfJo7CMHnB9,".ds-syslog-8.3.3-2022.10.22-000001","-","9e62cf87-8197-427d-ad0e-5f37b41cd535",hostB,"b538dadb-6c6e-4ed5-ac9e-3ddcfacd109b",hostB,filebeat,"8.3.3","1.12.0","-","-","system.syslog","Oct 24, 2022 @ 06:25:08.861",event,system,"-","+00:00","-",syslog,"x86_64",true,hostB,aad00724b7c789054c456a1963563f87,"10.0.0.3","02:42:0a:00:00:03",hostB,bullseye,debian,"5.15.0-52-generic","Debian GNU/Linux","Debian GNU/Linux",debian,linux,"11 (bullseye)",log,"/var/log/syslog","1,113","(root) CMD (ping -c2 8.8.8.8 > /root/ping.txt)",CRON,CRON,413,hostB,"-","-",system,"-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Oct 24, 2022 @ 06:25:01.000",jaErCoQBnzfJo7CMKnFj,".ds-syslog-8.3.3-2022.10.22-000001","-","9e62cf87-8197-427d-ad0e-5f37b41cd535",hostB,"b538dadb-6c6e-4ed5-ac9e-3ddcfacd109b",hostB,filebeat,"8.3.3","1.12.0","-","-","system.auth","Oct 24, 2022 @ 06:25:11.906",event,system,"-","+00:00","-",auth,"x86_64",true,hostB,aad00724b7c789054c456a1963563f87,"10.0.0.3","02:42:0a:00:00:03",hostB,bullseye,debian,"5.15.0-52-generic","Debian GNU/Linux","Debian GNU/Linux",debian,linux,"11 (bullseye)",log,"/var/log/auth.log","13,836","pam_env(cron:session): Unable to open env file: /etc/default/locale: No such file or directory",CRON,CRON,412,hostB,"-","-",system,"-","-","-","-","-","-","-","-","_geoip_database_unavailable_GeoLite2-City.mmdb, _geoip_database_unavailable_GeoLite2-ASN.mmdb","-","-","-","-","-"
"Oct 24, 2022 @ 06:25:01.000",jqErCoQBnzfJo7CMKnFj,".ds-syslog-8.3.3-2022.10.22-000001","-","9e62cf87-8197-427d-ad0e-5f37b41cd535",hostB,"b538dadb-6c6e-4ed5-ac9e-3ddcfacd109b",hostB,filebeat,"8.3.3","1.12.0","-","-","system.auth","Oct 24, 2022 @ 06:25:11.907",event,system,"-","+00:00","-",auth,"x86_64",true,hostB,aad00724b7c789054c456a1963563f87,"10.0.0.3","02:42:0a:00:00:03",hostB,bullseye,debian,"5.15.0-52-generic","Debian GNU/Linux","Debian GNU/Linux",debian,linux,"11 (bullseye)",log,"/var/log/auth.log","13,964","pam_unix(cron:session): session opened for user root(uid=0) by (uid=0)",CRON,CRON,412,hostB,"-","root(uid=0)",system,"-","-","-","-","-","-","-","-","_geoip_database_unavailable_GeoLite2-City.mmdb, _geoip_database_unavailable_GeoLite2-ASN.mmdb","root(uid=0)","root(uid=0)",0,"(empty)","(empty)"
"Oct 24, 2022 @ 06:25:01.000",tqErCoQBnzfJo7CMPXHu,".ds-syslog-8.3.3-2022.10.22-000001","-","9e62cf87-8197-427d-ad0e-5f37b41cd535",hostB,"b538dadb-6c6e-4ed5-ac9e-3ddcfacd109b",hostB,filebeat,"8.3.3","1.12.0","-","-","system.auth","Oct 24, 2022 @ 06:25:16.907",event,system,"-","+00:00","-",auth,"x86_64",true,hostB,aad00724b7c789054c456a1963563f87,"10.0.0.3","02:42:0a:00:00:03",hostB,bullseye,debian,"5.15.0-52-generic","Debian GNU/Linux","Debian GNU/Linux",debian,linux,"11 (bullseye)",log,"/var/log/auth.log","14,068","pam_limits(cron:session): Could not set limit for 'core' to soft=-1, hard=-1: Operation not permitted; uid=0,euid=0",CRON,CRON,412,hostB,"-","-",system,"-","-","-","-","-","-","-","-","_geoip_database_unavailable_GeoLite2-City.mmdb, _geoip_database_unavailable_GeoLite2-ASN.mmdb","-","-","-","-","-"
"Oct 24, 2022 @ 06:20:01.000",fqEmCoQBnzfJo7CMglTd,".ds-syslog-8.3.3-2022.10.22-000001","-","9e62cf87-8197-427d-ad0e-5f37b41cd535",hostB,"b538dadb-6c6e-4ed5-ac9e-3ddcfacd109b",hostB,filebeat,"8.3.3","1.12.0","-","-","system.auth","Oct 24, 2022 @ 06:20:06.875",event,system,"-","+00:00","-",auth,"x86_64",true,hostB,aad00724b7c789054c456a1963563f87,"10.0.0.3","02:42:0a:00:00:03",hostB,bullseye,debian,"5.15.0-52-generic","Debian GNU/Linux","Debian GNU/Linux",debian,linux,"11 (bullseye)",log,"/var/log/auth.log","13,455","pam_env(cron:session): Unable to open env file: /etc/default/locale: No such file or directory",CRON,CRON,303,hostB,"-","-",system,"-","-","-","-","-","-","-","-","_geoip_database_unavailable_GeoLite2-City.mmdb, _geoip_database_unavailable_GeoLite2-ASN.mmdb","-","-","-","-","-"
"Oct 24, 2022 @ 06:20:01.000",f6EmCoQBnzfJo7CMglTd,".ds-syslog-8.3.3-2022.10.22-000001","-","9e62cf87-8197-427d-ad0e-5f37b41cd535",hostB,"b538dadb-6c6e-4ed5-ac9e-3ddcfacd109b",hostB,filebeat,"8.3.3","1.12.0","-","-","system.auth","Oct 24, 2022 @ 06:20:06.876",event,system,"-","+00:00","-",auth,"x86_64",true,hostB,aad00724b7c789054c456a1963563f87,"10.0.0.3","02:42:0a:00:00:03",hostB,bullseye,debian,"5.15.0-52-generic","Debian GNU/Linux","Debian GNU/Linux",debian,linux,"11 (bullseye)",log,"/var/log/auth.log","13,583","pam_unix(cron:session): session opened for user root(uid=0) by (uid=0)",CRON,CRON,303,hostB,"-","root(uid=0)",system,"-","-","-","-","-","-","-","-","_geoip_database_unavailable_GeoLite2-City.mmdb, _geoip_database_unavailable_GeoLite2-ASN.mmdb","root(uid=0)","root(uid=0)",0,"(empty)","(empty)"
"Oct 24, 2022 @ 06:20:01.000",z6EmCoQBnzfJo7CMllRl,".ds-syslog-8.3.3-2022.10.22-000001","-","9e62cf87-8197-427d-ad0e-5f37b41cd535",hostB,"b538dadb-6c6e-4ed5-ac9e-3ddcfacd109b",hostB,filebeat,"8.3.3","1.12.0","-","-","system.auth","Oct 24, 2022 @ 06:20:11.876",event,system,"-","+00:00","-",auth,"x86_64",true,hostB,aad00724b7c789054c456a1963563f87,"10.0.0.3","02:42:0a:00:00:03",hostB,bullseye,debian,"5.15.0-52-generic","Debian GNU/Linux","Debian GNU/Linux",debian,linux,"11 (bullseye)",log,"/var/log/auth.log","13,687","pam_limits(cron:session): Could not set limit for 'core' to soft=-1, hard=-1: Operation not permitted; uid=0,euid=0",CRON,CRON,303,hostB,"-","-",system,"-","-","-","-","-","-","-","-","_geoip_database_unavailable_GeoLite2-City.mmdb, _geoip_database_unavailable_GeoLite2-ASN.mmdb","-","-","-","-","-"
"Oct 24, 2022 @ 06:20:01.000",16EmCoQBnzfJo7CMnlQJ,".ds-syslog-8.3.3-2022.10.22-000001","-","9e62cf87-8197-427d-ad0e-5f37b41cd535",hostB,"b538dadb-6c6e-4ed5-ac9e-3ddcfacd109b",hostB,filebeat,"8.3.3","1.12.0","-","-","system.syslog","Oct 24, 2022 @ 06:20:13.832",event,system,"-","+00:00","-",syslog,"x86_64",true,hostB,aad00724b7c789054c456a1963563f87,"10.0.0.3","02:42:0a:00:00:03",hostB,bullseye,debian,"5.15.0-52-generic","Debian GNU/Linux","Debian GNU/Linux",debian,linux,"11 (bullseye)",log,"/var/log/syslog","1,033","(root) CMD (ping -c2 8.8.8.8 > /root/ping.txt)",CRON,CRON,305,hostB,"-","-",system,"-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Oct 24, 2022 @ 06:19:48.000",5aEmCoQBnzfJo7CMSFNC,".ds-syslog-8.3.3-2022.10.22-000001","-","9e62cf87-8197-427d-ad0e-5f37b41cd535",hostB,"b538dadb-6c6e-4ed5-ac9e-3ddcfacd109b",hostB,filebeat,"8.3.3","1.12.0","-","-","system.auth","Oct 24, 2022 @ 06:19:51.873",event,system,"-","+00:00","-",auth,"x86_64",true,hostB,aad00724b7c789054c456a1963563f87,"10.0.0.3","02:42:0a:00:00:03",hostB,bullseye,debian,"5.15.0-52-generic","Debian GNU/Linux","Debian GNU/Linux",debian,linux,"11 (bullseye)",log,"/var/log/auth.log","13,181","Received disconnect from 10.0.0.2 port 56448:11: disconnected by user",sshd,sshd,271,hostB,"-","-",system,"-","-","-","-","-","-","-","-","_geoip_database_unavailable_GeoLite2-City.mmdb, _geoip_database_unavailable_GeoLite2-ASN.mmdb","-","-","-","-","-"
