@timestamp,agent.hostname,error.message,event.ingested,event.original,event.timezone,host.hostname,host.id,host.ip,host.mac,host.name,host.os.codename,host.os.family,host.os.kernel,host.os.name,host.os.type,host.os.version
"Oct 24, 2022 @ 23:28:51.971",dvwa_web,Provided Grok expressions do not match field value: [Oct 24 23:28:44 dvwa_web sshd[256577]: error: kex_exchange_identification: Connection closed by remote host],"Oct 24, 2022 @ 23:28:55.366",Oct 24 23:28:44 dvwa_web sshd[256577]: error: kex_exchange_identification: Connection closed by remote host,+08:00,dvwa_web,bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b",dvwa_web,bullseye,debian,5.15.0-52-generic,Debian GNU/Linux,linux,11 (bullseye)
"Oct 24, 2022 @ 23:28:51.971",dvwa_web,Provided Grok expressions do not match field value: [Oct 24 23:28:44 dvwa_web sshd[256577]: Connection closed by 10.10.10.10 port 45464],"Oct 24, 2022 @ 23:28:58.960",Oct 24 23:28:44 dvwa_web sshd[256577]: Connection closed by 10.10.10.10 port 45464,+08:00,dvwa_web,bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b",dvwa_web,bullseye,debian,5.15.0-52-generic,Debian GNU/Linux,linux,11 (bullseye)
"Oct 24, 2022 @ 23:28:06.942",dvwa_web,Provided Grok expressions do not match field value: [Oct 24 23:28:01 dvwa_web CRON[256517]: pam_unix(cron:session): session closed for user root],"Oct 24, 2022 @ 23:28:20.025",Oct 24 23:28:01 dvwa_web CRON[256517]: pam_unix(cron:session): session closed for user root,+08:00,dvwa_web,bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b",dvwa_web,bullseye,debian,5.15.0-52-generic,Debian GNU/Linux,linux,11 (bullseye)
"Oct 24, 2022 @ 23:28:06.942",dvwa_web,Provided Grok expressions do not match field value: [Oct 24 23:28:01 dvwa_web CRON[256517]: pam_env(cron:session): Unable to open env file: /etc/default/locale: No such file or directory],"Oct 24, 2022 @ 23:28:16.729",Oct 24 23:28:01 dvwa_web CRON[256517]: pam_env(cron:session): Unable to open env file: /etc/default/locale: No such file or directory,+08:00,dvwa_web,bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b",dvwa_web,bullseye,debian,5.15.0-52-generic,Debian GNU/Linux,linux,11 (bullseye)
"Oct 24, 2022 @ 23:28:06.942",dvwa_web,Provided Grok expressions do not match field value: [Oct 24 23:28:01 dvwa_web CRON[256517]: pam_unix(cron:session): session opened for user root(uid=0) by (uid=0)],"Oct 24, 2022 @ 23:28:16.729",Oct 24 23:28:01 dvwa_web CRON[256517]: pam_unix(cron:session): session opened for user root(uid=0) by (uid=0),+08:00,dvwa_web,bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b",dvwa_web,bullseye,debian,5.15.0-52-generic,Debian GNU/Linux,linux,11 (bullseye)
"Oct 24, 2022 @ 23:27:11.926",dvwa_web,Provided Grok expressions do not match field value: [Oct 24 23:27:08 dvwa_web sshd[256478]: Connection closed by 10.10.10.10 port 51190],"Oct 24, 2022 @ 23:27:20.433",Oct 24 23:27:08 dvwa_web sshd[256478]: Connection closed by 10.10.10.10 port 51190,+08:00,dvwa_web,bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b",dvwa_web,bullseye,debian,5.15.0-52-generic,Debian GNU/Linux,linux,11 (bullseye)
"Oct 24, 2022 @ 23:27:11.926",dvwa_web,Provided Grok expressions do not match field value: [Oct 24 23:27:08 dvwa_web sshd[256478]: error: kex_exchange_identification: Connection closed by remote host],"Oct 24, 2022 @ 23:27:16.499",Oct 24 23:27:08 dvwa_web sshd[256478]: error: kex_exchange_identification: Connection closed by remote host,+08:00,dvwa_web,bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b",dvwa_web,bullseye,debian,5.15.0-52-generic,Debian GNU/Linux,linux,11 (bullseye)
"Oct 24, 2022 @ 23:27:04.925",dvwa_web,Provided Grok expressions do not match field value: [Oct 24 23:27:01 dvwa_web CRON[256468]: pam_unix(cron:session): session closed for user root],"Oct 24, 2022 @ 23:27:10.934",Oct 24 23:27:01 dvwa_web CRON[256468]: pam_unix(cron:session): session closed for user root,+08:00,dvwa_web,bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b",dvwa_web,bullseye,debian,5.15.0-52-generic,Debian GNU/Linux,linux,11 (bullseye)
"Oct 24, 2022 @ 23:27:04.925",dvwa_web,Provided Grok expressions do not match field value: [Oct 24 23:27:01 dvwa_web CRON[256468]: pam_env(cron:session): Unable to open env file: /etc/default/locale: No such file or directory],"Oct 24, 2022 @ 23:27:05.927",Oct 24 23:27:01 dvwa_web CRON[256468]: pam_env(cron:session): Unable to open env file: /etc/default/locale: No such file or directory,+08:00,dvwa_web,bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b",dvwa_web,bullseye,debian,5.15.0-52-generic,Debian GNU/Linux,linux,11 (bullseye)
"Oct 24, 2022 @ 23:27:04.925",dvwa_web,Provided Grok expressions do not match field value: [Oct 24 23:27:01 dvwa_web CRON[256468]: pam_unix(cron:session): session opened for user root(uid=0) by (uid=0)],"Oct 24, 2022 @ 23:27:05.927",Oct 24 23:27:01 dvwa_web CRON[256468]: pam_unix(cron:session): session opened for user root(uid=0) by (uid=0),+08:00,dvwa_web,bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b",dvwa_web,bullseye,debian,5.15.0-52-generic,Debian GNU/Linux,linux,11 (bullseye)
