@timestamp,agent.hostname,auditd.log.AUID,auditd.log.EGID,auditd.log.EUID,auditd.log.FSGID,auditd.log.FSUID,auditd.log.GID,auditd.log.OGID,auditd.log.SGID,auditd.log.SUID,auditd.log.SYSCALL,auditd.log.UID,auditd.log.a0,auditd.log.a1,auditd.log.a2,auditd.log.a3,auditd.log.arch,auditd.log.cap_fe,auditd.log.cap_fi,auditd.log.cap_fp,auditd.log.cap_frootid,auditd.log.cap_fver,auditd.log.dev,auditd.log.epoch,auditd.log.inode,auditd.log.item,auditd.log.items,auditd.log.key,auditd.log.kv,auditd.log.laddr,auditd.log.lport,auditd.log.mode,auditd.log.name,auditd.log.nametype,auditd.log.proctitle,auditd.log.rdev,auditd.log.record_type,auditd.log.saddr,auditd.log.saddr_fam,auditd.log.sequence,auditd.log.ses,auditd.log.subj_apparmor,auditd.log.success,auditd.log.syscall,auditd.log.tty,error.message,event.action,event.category,event.ingested,event.module,event.original,event.type,fileset.name,host.hostname,host.id,host.ip,host.mac,host.os.codename,host.os.family,host.os.kernel,host.os.name,host.os.type,host.os.version,message,network.direction,process.executable,process.executable.text,process.exit_code,process.name,process.name.text,process.parent.pid,process.pid,service.type,user.audit.id,user.effective.group.id,user.effective.id,user.filesystem.group.id,user.filesystem.id,user.group.id,user.id,user.owner.group.id,user.owner.id,user.saved.group.id,user.saved.id
"Oct 24, 2022 @ 23:32:44.973",dvwa_web,user,user,user,user,user,user,-,user,user,unlink,user,7f5aea0874de,7f5aea0874de,0,7f5ad9201640,x86_64,-,-,-,-,-,-,-,-,-,2,"delete""ARCH=x86_64",-,-,-,-,-,-,-,-,-,-,-,"485,994",3,-,yes,87,(none),-,syscall,process,"Oct 24, 2022 @ 23:32:47.692",auditd,"type=SYSCALL msg=audit(1666625564.973:485994): arch=c000003e syscall=87 success=yes exit=0 a0=7f5aea0874de a1=7f5aea0874de a2=0 a3=7f5ad9201640 items=2 ppid=9597 pid=10863 auid=1000 uid=1000 gid=1000 euid=1000 suid=1000 fsuid=1000 egid=1000 sgid=1000 fsgid=1000 tty=(none) ses=3 comm=4C5320546872656164 exe=""/snap/firefox/1993/usr/lib/firefox/firefox"" subj=? key=""delete""ARCH=x86_64 SYSCALL=unlink AUID=""user"" UID=""user"" GID=""user"" EUID=""user"" SUID=""user"" FSUID=""user"" EGID=""user"" SGID=""user"" FSGID=""user""",info,log,dvwa_web,bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b",bullseye,debian,5.15.0-52-generic,Debian GNU/Linux,linux,11 (bullseye),-,-,/snap/firefox/1993/usr/lib/firefox/firefox,/snap/firefox/1993/usr/lib/firefox/firefox,0,LS Thread,LS Thread,"9,597","10,863",auditd,1000,1000,1000,1000,1000,1000,1000,-,-,1000,1000
"Oct 24, 2022 @ 23:32:44.973",dvwa_web,-,-,-,-,-,-,user,-,-,-,-,-,-,-,-,-,0,0,0,"0OUID=""user",0,08:03,-,8274575,0,-,-,-,-,-,040755,/home/user/snap/firefox/common/.mozilla/firefox/613vsdl4.default/storage/default/http+++10.10.10.130+5601/ls/,PARENT,-,00:00,-,-,-,"485,994",-,-,-,-,-,-,path,-,"Oct 24, 2022 @ 23:32:47.693",auditd,"type=PATH msg=audit(1666625564.973:485994): item=0 name=""/home/user/snap/firefox/common/.mozilla/firefox/613vsdl4.default/storage/default/http+++10.10.10.130+5601/ls/"" inode=8274575 dev=08:03 mode=040755 ouid=1000 ogid=1000 rdev=00:00 obj=? nametype=PARENT cap_fp=0 cap_fi=0 cap_fe=0 cap_fver=0 cap_frootid=0OUID=""user"" OGID=""user""",-,log,dvwa_web,bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b",bullseye,debian,5.15.0-52-generic,Debian GNU/Linux,linux,11 (bullseye),-,-,-,-,-,-,-,-,-,auditd,-,-,-,-,-,-,-,1000,1000,-,-
"Oct 24, 2022 @ 23:32:44.973",dvwa_web,-,-,-,-,-,-,user,-,-,-,-,-,-,-,-,-,0,0,0,"0OUID=""user",0,08:03,-,8276398,1,-,-,-,-,-,0100644,/home/user/snap/firefox/common/.mozilla/firefox/613vsdl4.default/storage/default/http+++10.10.10.130+5601/ls/data.sqlite-journal,DELETE,-,00:00,-,-,-,"485,994",-,-,-,-,-,-,path,-,"Oct 24, 2022 @ 23:32:47.693",auditd,"type=PATH msg=audit(1666625564.973:485994): item=1 name=""/home/user/snap/firefox/common/.mozilla/firefox/613vsdl4.default/storage/default/http+++10.10.10.130+5601/ls/data.sqlite-journal"" inode=8276398 dev=08:03 mode=0100644 ouid=1000 ogid=1000 rdev=00:00 obj=? nametype=DELETE cap_fp=0 cap_fi=0 cap_fe=0 cap_fver=0 cap_frootid=0OUID=""user"" OGID=""user""",-,log,dvwa_web,bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b",bullseye,debian,5.15.0-52-generic,Debian GNU/Linux,linux,11 (bullseye),-,-,-,-,-,-,-,-,-,auditd,-,-,-,-,-,-,-,1000,1000,-,-
"Oct 24, 2022 @ 23:32:44.973",dvwa_web,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,/snap/firefox/1993/usr/lib/firefox/firefox,-,-,-,-,"485,994",-,-,-,-,-,-,proctitle,-,"Oct 24, 2022 @ 23:32:47.693",auditd,"type=PROCTITLE msg=audit(1666625564.973:485994): proctitle=""/snap/firefox/1993/usr/lib/firefox/firefox""",-,log,dvwa_web,bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b",bullseye,debian,5.15.0-52-generic,Debian GNU/Linux,linux,11 (bullseye),-,-,-,-,-,-,-,-,-,auditd,-,-,-,-,-,-,-,-,-,-,-
"Oct 24, 2022 @ 23:32:44.973",dvwa_web,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"485,994",-,snap.firefox.firefox,-,-,-,-,unknown[1420],-,"Oct 24, 2022 @ 23:32:47.693",auditd,type=UNKNOWN[1420] msg=audit(1666625564.973:485994): subj_apparmor=snap.firefox.firefox,-,log,dvwa_web,bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b",bullseye,debian,5.15.0-52-generic,Debian GNU/Linux,linux,11 (bullseye),-,-,-,-,-,-,-,-,-,auditd,-,-,-,-,-,-,-,-,-,-,-
"Oct 24, 2022 @ 23:32:44.973",dvwa_web,user,user,user,user,user,user,-,user,user,unlink,user,7f5abed20508,7f5afc6744a0,7f5afc6744a0,7f5afc674500,x86_64,-,-,-,-,-,-,-,-,-,2,"delete""ARCH=x86_64",-,-,-,-,-,-,-,-,-,-,-,"485,995",3,-,yes,87,(none),-,syscall,process,"Oct 24, 2022 @ 23:32:47.693",auditd,"type=SYSCALL msg=audit(1666625564.973:485995): arch=c000003e syscall=87 success=yes exit=0 a0=7f5abed20508 a1=7f5afc6744a0 a2=7f5afc6744a0 a3=7f5afc674500 items=2 ppid=9597 pid=10863 auid=1000 uid=1000 gid=1000 euid=1000 suid=1000 fsuid=1000 egid=1000 sgid=1000 fsgid=1000 tty=(none) ses=3 comm=4C5320546872656164 exe=""/snap/firefox/1993/usr/lib/firefox/firefox"" subj=? key=""delete""ARCH=x86_64 SYSCALL=unlink AUID=""user"" UID=""user"" GID=""user"" EUID=""user"" SUID=""user"" FSUID=""user"" EGID=""user"" SGID=""user"" FSGID=""user""",info,log,dvwa_web,bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b",bullseye,debian,5.15.0-52-generic,Debian GNU/Linux,linux,11 (bullseye),-,-,/snap/firefox/1993/usr/lib/firefox/firefox,/snap/firefox/1993/usr/lib/firefox/firefox,0,LS Thread,LS Thread,"9,597","10,863",auditd,1000,1000,1000,1000,1000,1000,1000,-,-,1000,1000
"Oct 24, 2022 @ 23:32:44.973",dvwa_web,-,-,-,-,-,-,user,-,-,-,-,-,-,-,-,-,0,0,0,"0OUID=""user",0,08:03,-,8274575,0,-,-,-,-,-,040755,/home/user/snap/firefox/common/.mozilla/firefox/613vsdl4.default/storage/default/http+++10.10.10.130+5601/ls/,PARENT,-,00:00,-,-,-,"485,995",-,-,-,-,-,-,path,-,"Oct 24, 2022 @ 23:32:47.694",auditd,"type=PATH msg=audit(1666625564.973:485995): item=0 name=""/home/user/snap/firefox/common/.mozilla/firefox/613vsdl4.default/storage/default/http+++10.10.10.130+5601/ls/"" inode=8274575 dev=08:03 mode=040755 ouid=1000 ogid=1000 rdev=00:00 obj=? nametype=PARENT cap_fp=0 cap_fi=0 cap_fe=0 cap_fver=0 cap_frootid=0OUID=""user"" OGID=""user""",-,log,dvwa_web,bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b",bullseye,debian,5.15.0-52-generic,Debian GNU/Linux,linux,11 (bullseye),-,-,-,-,-,-,-,-,-,auditd,-,-,-,-,-,-,-,1000,1000,-,-
"Oct 24, 2022 @ 23:32:44.973",dvwa_web,-,-,-,-,-,-,user,-,-,-,-,-,-,-,-,-,0,0,0,"0OUID=""user",0,08:03,-,8276399,1,-,-,-,-,-,0100644,/home/user/snap/firefox/common/.mozilla/firefox/613vsdl4.default/storage/default/http+++10.10.10.130+5601/ls/usage-journal,DELETE,-,00:00,-,-,-,"485,995",-,-,-,-,-,-,path,-,"Oct 24, 2022 @ 23:32:47.694",auditd,"type=PATH msg=audit(1666625564.973:485995): item=1 name=""/home/user/snap/firefox/common/.mozilla/firefox/613vsdl4.default/storage/default/http+++10.10.10.130+5601/ls/usage-journal"" inode=8276399 dev=08:03 mode=0100644 ouid=1000 ogid=1000 rdev=00:00 obj=? nametype=DELETE cap_fp=0 cap_fi=0 cap_fe=0 cap_fver=0 cap_frootid=0OUID=""user"" OGID=""user""",-,log,dvwa_web,bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b",bullseye,debian,5.15.0-52-generic,Debian GNU/Linux,linux,11 (bullseye),-,-,-,-,-,-,-,-,-,auditd,-,-,-,-,-,-,-,1000,1000,-,-
"Oct 24, 2022 @ 23:32:44.973",dvwa_web,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,/snap/firefox/1993/usr/lib/firefox/firefox,-,-,-,-,"485,995",-,-,-,-,-,-,proctitle,-,"Oct 24, 2022 @ 23:32:47.700",auditd,"type=PROCTITLE msg=audit(1666625564.973:485995): proctitle=""/snap/firefox/1993/usr/lib/firefox/firefox""",-,log,dvwa_web,bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b",bullseye,debian,5.15.0-52-generic,Debian GNU/Linux,linux,11 (bullseye),-,-,-,-,-,-,-,-,-,auditd,-,-,-,-,-,-,-,-,-,-,-
"Oct 24, 2022 @ 23:32:44.973",dvwa_web,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"485,995",-,snap.firefox.firefox,-,-,-,-,unknown[1420],-,"Oct 24, 2022 @ 23:32:47.701",auditd,type=UNKNOWN[1420] msg=audit(1666625564.973:485995): subj_apparmor=snap.firefox.firefox,-,log,dvwa_web,bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b",bullseye,debian,5.15.0-52-generic,Debian GNU/Linux,linux,11 (bullseye),-,-,-,-,-,-,-,-,-,auditd,-,-,-,-,-,-,-,-,-,-,-
