@timestamp,agent.hostname,bytes_in,bytes_out,destination.bytes,destination.ip,destination.packets,destination.port,event.duration,event.end,event.start,event.type,flow.final,host.id,host.ip,host.mac,host.os.codename,host.os.family,host.os.kernel,host.os.name,host.os.type,host.os.version,network.bytes,network.packets,network.transport,network.type,source.bytes,source.ip,source.packets,source.port
"Oct 24, 2022 @ 23:32:40.002",dvwa_web,551,957,957,127.0.0.1,5,80,"4,991,655,392","Oct 24, 2022 @ 23:32:02.573","Oct 24, 2022 @ 23:31:57.582",connection,False,bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b",bullseye,debian,5.15.0-52-generic,Debian GNU/Linux,linux,11 (bullseye),"1,508",10,tcp,ipv4,551,127.0.0.1,5,"41,970"
"Oct 24, 2022 @ 23:32:40.002",dvwa_web,735,"1,460","1,460",123.123.123.123,4,80,"1,652,358","Oct 24, 2022 @ 23:32:07.699","Oct 24, 2022 @ 23:32:07.697",connection,False,bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b",bullseye,debian,5.15.0-52-generic,Debian GNU/Linux,linux,11 (bullseye),"2,195",10,tcp,ipv4,735,123.123.123.2,6,"36,866"
"Oct 24, 2022 @ 23:32:40.002",dvwa_web,697,557,557,10.10.10.20,6,"3,306","233,189","Oct 24, 2022 @ 23:32:07.698","Oct 24, 2022 @ 23:32:07.698",connection,False,bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b",bullseye,debian,5.15.0-52-generic,Debian GNU/Linux,linux,11 (bullseye),"1,254",14,tcp,ipv4,697,10.10.10.10,8,"42,502"
"Oct 24, 2022 @ 23:32:40.002",dvwa_web,621,478,478,10.10.10.20,5,"3,306","108,109","Oct 24, 2022 @ 23:32:07.698","Oct 24, 2022 @ 23:32:07.698",connection,False,bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b",bullseye,debian,5.15.0-52-generic,Debian GNU/Linux,linux,11 (bullseye),"1,099",12,tcp,ipv4,621,10.10.10.10,7,"42,504"
"Oct 24, 2022 @ 23:32:40.002",dvwa_web,"1,548","3,687","3,687",123.123.123.123,6,80,"5,692,133","Oct 24, 2022 @ 23:32:07.705","Oct 24, 2022 @ 23:32:07.699",connection,False,bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b",bullseye,debian,5.15.0-52-generic,Debian GNU/Linux,linux,11 (bullseye),"5,235",15,tcp,ipv4,"1,548",123.123.123.2,9,"36,868"
"Oct 24, 2022 @ 23:32:40.002",dvwa_web,"1,079","1,565","1,565",10.10.10.20,8,"3,306","1,931,487","Oct 24, 2022 @ 23:32:07.703","Oct 24, 2022 @ 23:32:07.702",connection,False,bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b",bullseye,debian,5.15.0-52-generic,Debian GNU/Linux,linux,11 (bullseye),"2,644",18,tcp,ipv4,"1,079",10.10.10.10,10,"42,518"
"Oct 24, 2022 @ 23:32:40.002",dvwa_web,621,478,478,10.10.10.20,5,"3,306","1,006,518","Oct 24, 2022 @ 23:32:07.703","Oct 24, 2022 @ 23:32:07.702",connection,False,bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b",bullseye,debian,5.15.0-52-generic,Debian GNU/Linux,linux,11 (bullseye),"1,099",12,tcp,ipv4,621,10.10.10.10,7,"42,534"
"Oct 24, 2022 @ 23:32:40.002",dvwa_web,813,"1,971","1,971",123.123.123.123,4,80,"2,707,021","Oct 24, 2022 @ 23:32:07.707","Oct 24, 2022 @ 23:32:07.704",connection,False,bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b",bullseye,debian,5.15.0-52-generic,Debian GNU/Linux,linux,11 (bullseye),"2,784",10,tcp,ipv4,813,123.123.123.2,6,"36,878"
"Oct 24, 2022 @ 23:32:40.002",dvwa_web,697,557,557,10.10.10.20,6,"3,306","893,489","Oct 24, 2022 @ 23:32:07.705","Oct 24, 2022 @ 23:32:07.704",connection,False,bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b",bullseye,debian,5.15.0-52-generic,Debian GNU/Linux,linux,11 (bullseye),"1,254",14,tcp,ipv4,697,10.10.10.10,8,"42,538"
"Oct 24, 2022 @ 23:32:40.002",dvwa_web,621,478,478,10.10.10.20,5,"3,306","397,970","Oct 24, 2022 @ 23:32:07.705","Oct 24, 2022 @ 23:32:07.705",connection,False,bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b",bullseye,debian,5.15.0-52-generic,Debian GNU/Linux,linux,11 (bullseye),"1,099",12,tcp,ipv4,621,10.10.10.10,7,"42,552"
"Oct 24, 2022 @ 23:32:40.002",dvwa_web,814,"2,242","2,242",123.123.123.123,4,80,"2,365,631","Oct 24, 2022 @ 23:32:07.708","Oct 24, 2022 @ 23:32:07.706",connection,False,bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b",bullseye,debian,5.15.0-52-generic,Debian GNU/Linux,linux,11 (bullseye),"3,056",10,tcp,ipv4,814,123.123.123.2,6,"36,886"
"Oct 24, 2022 @ 23:32:40.002",dvwa_web,551,954,954,127.0.0.1,5,80,"5,075,491,507","Oct 24, 2022 @ 23:32:12.781","Oct 24, 2022 @ 23:32:07.706",connection,False,bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b",bullseye,debian,5.15.0-52-generic,Debian GNU/Linux,linux,11 (bullseye),"1,505",10,tcp,ipv4,551,127.0.0.1,5,"58,660"
"Oct 24, 2022 @ 23:32:40.002",dvwa_web,805,867,867,10.10.10.20,8,"3,306","789,899","Oct 24, 2022 @ 23:32:07.707","Oct 24, 2022 @ 23:32:07.707",connection,False,bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b",bullseye,debian,5.15.0-52-generic,Debian GNU/Linux,linux,11 (bullseye),"1,672",17,tcp,ipv4,805,10.10.10.10,9,"42,554"
"Oct 24, 2022 @ 23:32:40.002",dvwa_web,621,478,478,10.10.10.20,5,"3,306","483,849","Oct 24, 2022 @ 23:32:07.708","Oct 24, 2022 @ 23:32:07.707",connection,False,bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b",bullseye,debian,5.15.0-52-generic,Debian GNU/Linux,linux,11 (bullseye),"1,099",12,tcp,ipv4,621,10.10.10.10,7,"42,570"
"Oct 24, 2022 @ 23:32:40.002",dvwa_web,819,"3,875","3,875",123.123.123.123,4,80,"2,018,512","Oct 24, 2022 @ 23:32:07.710","Oct 24, 2022 @ 23:32:07.708",connection,False,bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b",bullseye,debian,5.15.0-52-generic,Debian GNU/Linux,linux,11 (bullseye),"4,694",10,tcp,ipv4,819,123.123.123.2,6,"36,896"
"Oct 24, 2022 @ 23:32:40.002",dvwa_web,697,557,557,10.10.10.20,6,"3,306","236,480","Oct 24, 2022 @ 23:32:07.710","Oct 24, 2022 @ 23:32:07.709",connection,False,bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b",bullseye,debian,5.15.0-52-generic,Debian GNU/Linux,linux,11 (bullseye),"1,254",14,tcp,ipv4,697,10.10.10.10,8,"42,586"
"Oct 24, 2022 @ 23:32:40.002",dvwa_web,553,546,546,10.10.10.20,6,"3,306","104,070","Oct 24, 2022 @ 23:32:07.710","Oct 24, 2022 @ 23:32:07.710",connection,False,bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b",bullseye,debian,5.15.0-52-generic,Debian GNU/Linux,linux,11 (bullseye),"1,099",12,tcp,ipv4,553,10.10.10.10,6,"42,602"
"Oct 24, 2022 @ 23:32:40.002",dvwa_web,"1,255","1,752","1,752",123.123.123.123,5,80,"863,998","Oct 24, 2022 @ 23:32:07.711","Oct 24, 2022 @ 23:32:07.710",connection,False,bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b",bullseye,debian,5.15.0-52-generic,Debian GNU/Linux,linux,11 (bullseye),"3,007",12,tcp,ipv4,"1,255",123.123.123.2,7,"36,898"
"Oct 24, 2022 @ 23:32:40.002",dvwa_web,697,557,557,10.10.10.20,6,"3,306","236,830","Oct 24, 2022 @ 23:32:07.711","Oct 24, 2022 @ 23:32:07.710",connection,False,bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b",bullseye,debian,5.15.0-52-generic,Debian GNU/Linux,linux,11 (bullseye),"1,254",14,tcp,ipv4,697,10.10.10.10,8,"42,614"
"Oct 24, 2022 @ 23:32:40.002",dvwa_web,621,478,478,10.10.10.20,5,"3,306","105,290","Oct 24, 2022 @ 23:32:07.711","Oct 24, 2022 @ 23:32:07.711",connection,False,bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b",bullseye,debian,5.15.0-52-generic,Debian GNU/Linux,linux,11 (bullseye),"1,099",12,tcp,ipv4,621,10.10.10.10,7,"42,624"
"Oct 24, 2022 @ 23:32:40.002",dvwa_web,551,956,956,127.0.0.1,5,80,"4,603,394,283","Oct 24, 2022 @ 23:32:22.509","Oct 24, 2022 @ 23:32:17.906",connection,False,bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b",bullseye,debian,5.15.0-52-generic,Debian GNU/Linux,linux,11 (bullseye),"1,507",10,tcp,ipv4,551,127.0.0.1,5,"49,120"
"Oct 24, 2022 @ 23:32:40.002",dvwa_web,735,"1,461","1,461",123.123.123.123,4,80,"629,819","Oct 24, 2022 @ 23:32:25.074","Oct 24, 2022 @ 23:32:25.074",connection,False,bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b",bullseye,debian,5.15.0-52-generic,Debian GNU/Linux,linux,11 (bullseye),"2,196",10,tcp,ipv4,735,123.123.123.4,6,"60,722"
"Oct 24, 2022 @ 23:32:40.002",dvwa_web,697,557,557,10.10.10.20,6,"3,306","236,150","Oct 24, 2022 @ 23:32:25.074","Oct 24, 2022 @ 23:32:25.074",connection,False,bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b",bullseye,debian,5.15.0-52-generic,Debian GNU/Linux,linux,11 (bullseye),"1,254",14,tcp,ipv4,697,10.10.10.10,8,"33,266"
