"@timestamp","_id","_index","_score","agent.ephemeral_id","agent.hostname","agent.id","agent.name","agent.type","agent.version","bytes_in","bytes_out","destination.bytes","destination.ip","destination.packets","destination.port","ecs.version","event.action","event.category","event.dataset","event.duration","event.end","event.kind","event.start","event.type","flow.final","flow.id","host.architecture","host.containerized","host.hostname","host.id","host.ip","host.mac","host.name","host.os.codename","host.os.family","host.os.kernel","host.os.name","host.os.name.text","host.os.platform","host.os.type","host.os.version","network.bytes","network.community_id","network.packets","network.transport","network.type","source.bytes","source.ip","source.packets","source.port",type
"Oct 24, 2022 @ 23:32:40.002",7uCfCoQBDsc6tFfS37TO,".ds-packetbeat-8.4.3-2022.10.24-000001","-","78c09f9d-9974-414d-ad01-dfd3da18d681","dvwa_web","3e603bcc-039f-4e01-9d12-067947d134a0","dvwa_web",packetbeat,"8.4.3",551,957,957,"127.0.0.1",5,80,"8.0.0","network_flow",network,flow,"4,991,655,392","Oct 24, 2022 @ 23:32:02.573",event,"Oct 24, 2022 @ 23:31:57.582",connection,false,"EAz/////AP//////CAwAAAF/AAABfwAAAVAA8qMuBAAAAAAAAA","x86_64",false,"dvwa_web",bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b","dvwa_web",bullseye,debian,"5.15.0-52-generic","Debian GNU/Linux","Debian GNU/Linux",debian,linux,"11 (bullseye)","1,508","1:b9yTb35vFo/UWOyn+WPBHC0roJg=",10,tcp,ipv4,551,"127.0.0.1",5,"41,970",flow
"Oct 24, 2022 @ 23:32:40.002","7-CfCoQBDsc6tFfS37TO",".ds-packetbeat-8.4.3-2022.10.24-000001","-","78c09f9d-9974-414d-ad01-dfd3da18d681","dvwa_web","3e603bcc-039f-4e01-9d12-067947d134a0","dvwa_web",packetbeat,"8.4.3",735,"1,460","1,460","123.123.123.123",4,80,"8.0.0","network_flow",network,flow,"1,652,358","Oct 24, 2022 @ 23:32:07.699",event,"Oct 24, 2022 @ 23:32:07.697",connection,false,"EAz/////AP//////CAwAAAF7e3sCe3t7ewKQUAA/BAAAAAAAAA","x86_64",false,"dvwa_web",bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b","dvwa_web",bullseye,debian,"5.15.0-52-generic","Debian GNU/Linux","Debian GNU/Linux",debian,linux,"11 (bullseye)","2,195","1:XZ/syxT7vmtE+fhTuTDNBA/N6+Y=",10,tcp,ipv4,735,"123.123.123.2",6,"36,866",flow
"Oct 24, 2022 @ 23:32:40.002",8OCfCoQBDsc6tFfS37TO,".ds-packetbeat-8.4.3-2022.10.24-000001","-","78c09f9d-9974-414d-ad01-dfd3da18d681","dvwa_web","3e603bcc-039f-4e01-9d12-067947d134a0","dvwa_web",packetbeat,"8.4.3",697,557,557,"10.10.10.20",6,"3,306","8.0.0","network_flow",network,flow,"233,189","Oct 24, 2022 @ 23:32:07.698",event,"Oct 24, 2022 @ 23:32:07.698",connection,false,"EAz/////AP//////CAwAAAEKCgoKCgoKFAam6gxABAAAAAAAAA","x86_64",false,"dvwa_web",bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b","dvwa_web",bullseye,debian,"5.15.0-52-generic","Debian GNU/Linux","Debian GNU/Linux",debian,linux,"11 (bullseye)","1,254","1:7fpI9k454ZBmeQh0e2XB84u76Mw=",14,tcp,ipv4,697,"10.10.10.10",8,"42,502",flow
"Oct 24, 2022 @ 23:32:40.002",8eCfCoQBDsc6tFfS37TO,".ds-packetbeat-8.4.3-2022.10.24-000001","-","78c09f9d-9974-414d-ad01-dfd3da18d681","dvwa_web","3e603bcc-039f-4e01-9d12-067947d134a0","dvwa_web",packetbeat,"8.4.3",621,478,478,"10.10.10.20",5,"3,306","8.0.0","network_flow",network,flow,"108,109","Oct 24, 2022 @ 23:32:07.698",event,"Oct 24, 2022 @ 23:32:07.698",connection,false,"EAz/////AP//////CAwAAAEKCgoKCgoKFAim6gxBBAAAAAAAAA","x86_64",false,"dvwa_web",bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b","dvwa_web",bullseye,debian,"5.15.0-52-generic","Debian GNU/Linux","Debian GNU/Linux",debian,linux,"11 (bullseye)","1,099","1:PFqrsBTvQ993CIPE8O/0ORPe5oM=",12,tcp,ipv4,621,"10.10.10.10",7,"42,504",flow
"Oct 24, 2022 @ 23:32:40.002",8uCfCoQBDsc6tFfS37TO,".ds-packetbeat-8.4.3-2022.10.24-000001","-","78c09f9d-9974-414d-ad01-dfd3da18d681","dvwa_web","3e603bcc-039f-4e01-9d12-067947d134a0","dvwa_web",packetbeat,"8.4.3","1,548","3,687","3,687","123.123.123.123",6,80,"8.0.0","network_flow",network,flow,"5,692,133","Oct 24, 2022 @ 23:32:07.705",event,"Oct 24, 2022 @ 23:32:07.699",connection,false,"EAz/////AP//////CAwAAAF7e3sCe3t7ewSQUABCBAAAAAAAAA","x86_64",false,"dvwa_web",bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b","dvwa_web",bullseye,debian,"5.15.0-52-generic","Debian GNU/Linux","Debian GNU/Linux",debian,linux,"11 (bullseye)","5,235","1:DYVzvwtWJ4kV2Y+AiX8MgxzxgY0=",15,tcp,ipv4,"1,548","123.123.123.2",9,"36,868",flow
"Oct 24, 2022 @ 23:32:40.002","8-CfCoQBDsc6tFfS37TO",".ds-packetbeat-8.4.3-2022.10.24-000001","-","78c09f9d-9974-414d-ad01-dfd3da18d681","dvwa_web","3e603bcc-039f-4e01-9d12-067947d134a0","dvwa_web",packetbeat,"8.4.3","1,079","1,565","1,565","10.10.10.20",8,"3,306","8.0.0","network_flow",network,flow,"1,931,487","Oct 24, 2022 @ 23:32:07.703",event,"Oct 24, 2022 @ 23:32:07.702",connection,false,"EAz/////AP//////CAwAAAEKCgoKCgoKFBam6gxDBAAAAAAAAA","x86_64",false,"dvwa_web",bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b","dvwa_web",bullseye,debian,"5.15.0-52-generic","Debian GNU/Linux","Debian GNU/Linux",debian,linux,"11 (bullseye)","2,644","1:gkniNLzIgAXn6eaSm7U6zlPjHag=",18,tcp,ipv4,"1,079","10.10.10.10",10,"42,518",flow
"Oct 24, 2022 @ 23:32:40.002",9OCfCoQBDsc6tFfS37TO,".ds-packetbeat-8.4.3-2022.10.24-000001","-","78c09f9d-9974-414d-ad01-dfd3da18d681","dvwa_web","3e603bcc-039f-4e01-9d12-067947d134a0","dvwa_web",packetbeat,"8.4.3",621,478,478,"10.10.10.20",5,"3,306","8.0.0","network_flow",network,flow,"1,006,518","Oct 24, 2022 @ 23:32:07.703",event,"Oct 24, 2022 @ 23:32:07.702",connection,false,"EAz/////AP//////CAwAAAEKCgoKCgoKFCam6gxEBAAAAAAAAA","x86_64",false,"dvwa_web",bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b","dvwa_web",bullseye,debian,"5.15.0-52-generic","Debian GNU/Linux","Debian GNU/Linux",debian,linux,"11 (bullseye)","1,099","1:NKRXLv1TSye0MY010qyDqxP48YE=",12,tcp,ipv4,621,"10.10.10.10",7,"42,534",flow
"Oct 24, 2022 @ 23:32:40.002",9eCfCoQBDsc6tFfS37TO,".ds-packetbeat-8.4.3-2022.10.24-000001","-","78c09f9d-9974-414d-ad01-dfd3da18d681","dvwa_web","3e603bcc-039f-4e01-9d12-067947d134a0","dvwa_web",packetbeat,"8.4.3",813,"1,971","1,971","123.123.123.123",4,80,"8.0.0","network_flow",network,flow,"2,707,021","Oct 24, 2022 @ 23:32:07.707",event,"Oct 24, 2022 @ 23:32:07.704",connection,false,"EAz/////AP//////CAwAAAF7e3sCe3t7ew6QUABFBAAAAAAAAA","x86_64",false,"dvwa_web",bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b","dvwa_web",bullseye,debian,"5.15.0-52-generic","Debian GNU/Linux","Debian GNU/Linux",debian,linux,"11 (bullseye)","2,784","1:9BMVDOPzxJRdkEYLCUChr9a7rsw=",10,tcp,ipv4,813,"123.123.123.2",6,"36,878",flow
"Oct 24, 2022 @ 23:32:40.002",9uCfCoQBDsc6tFfS37TO,".ds-packetbeat-8.4.3-2022.10.24-000001","-","78c09f9d-9974-414d-ad01-dfd3da18d681","dvwa_web","3e603bcc-039f-4e01-9d12-067947d134a0","dvwa_web",packetbeat,"8.4.3",697,557,557,"10.10.10.20",6,"3,306","8.0.0","network_flow",network,flow,"893,489","Oct 24, 2022 @ 23:32:07.705",event,"Oct 24, 2022 @ 23:32:07.704",connection,false,"EAz/////AP//////CAwAAAEKCgoKCgoKFCqm6gxGBAAAAAAAAA","x86_64",false,"dvwa_web",bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b","dvwa_web",bullseye,debian,"5.15.0-52-generic","Debian GNU/Linux","Debian GNU/Linux",debian,linux,"11 (bullseye)","1,254","1:c4QPxjz4Wp5G8X5xvwCRDVfBbyc=",14,tcp,ipv4,697,"10.10.10.10",8,"42,538",flow
"Oct 24, 2022 @ 23:32:40.002","9-CfCoQBDsc6tFfS37TO",".ds-packetbeat-8.4.3-2022.10.24-000001","-","78c09f9d-9974-414d-ad01-dfd3da18d681","dvwa_web","3e603bcc-039f-4e01-9d12-067947d134a0","dvwa_web",packetbeat,"8.4.3",621,478,478,"10.10.10.20",5,"3,306","8.0.0","network_flow",network,flow,"397,970","Oct 24, 2022 @ 23:32:07.705",event,"Oct 24, 2022 @ 23:32:07.705",connection,false,"EAz/////AP//////CAwAAAEKCgoKCgoKFDim6gxHBAAAAAAAAA","x86_64",false,"dvwa_web",bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b","dvwa_web",bullseye,debian,"5.15.0-52-generic","Debian GNU/Linux","Debian GNU/Linux",debian,linux,"11 (bullseye)","1,099","1:6OD09q0onTucFu0l7I+KI9V91v8=",12,tcp,ipv4,621,"10.10.10.10",7,"42,552",flow
"Oct 24, 2022 @ 23:32:40.002","-OCfCoQBDsc6tFfS37TO",".ds-packetbeat-8.4.3-2022.10.24-000001","-","78c09f9d-9974-414d-ad01-dfd3da18d681","dvwa_web","3e603bcc-039f-4e01-9d12-067947d134a0","dvwa_web",packetbeat,"8.4.3",814,"2,242","2,242","123.123.123.123",4,80,"8.0.0","network_flow",network,flow,"2,365,631","Oct 24, 2022 @ 23:32:07.708",event,"Oct 24, 2022 @ 23:32:07.706",connection,false,"EAz/////AP//////CAwAAAF7e3sCe3t7exaQUABIBAAAAAAAAA","x86_64",false,"dvwa_web",bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b","dvwa_web",bullseye,debian,"5.15.0-52-generic","Debian GNU/Linux","Debian GNU/Linux",debian,linux,"11 (bullseye)","3,056","1:rDdFMSFnBuvOsagrL8ZwqjSSlwQ=",10,tcp,ipv4,814,"123.123.123.2",6,"36,886",flow
