@timestamp,agent.hostname,bytes_in,bytes_out,destination.bytes,destination.ip,destination.packets,destination.port,event.duration,event.end,event.start,event.type,flow.final,host.id,host.ip,host.mac,host.os.codename,host.os.family,host.os.kernel,host.os.name,host.os.type,host.os.version,network.bytes,network.packets,network.transport,network.type,source.bytes,source.ip,source.packets,source.port
"Oct 24, 2022 @ 23:26:50.004",fileserver,"567,181","34,526","34,526",10.10.10.110,143,"9,200","460,800,581,991","Oct 24, 2022 @ 23:26:41.486","Oct 24, 2022 @ 23:19:00.685",connection,False,40beb5eb909e171860ceee669da56e1d,10.10.10.30,02:42:0a:0a:0a:1e,jessie,debian,5.15.0-52-generic,Debian GNU/Linux,linux,8 (jessie),"601,707",365,tcp,ipv4,"567,181",10.10.10.30,222,"60,192"
"Oct 24, 2022 @ 23:26:50.004",fileserver,"997,472","56,726","56,726",10.10.10.110,244,"9,200","460,288,815,904","Oct 24, 2022 @ 23:26:44.046","Oct 24, 2022 @ 23:19:03.757",connection,False,40beb5eb909e171860ceee669da56e1d,10.10.10.30,02:42:0a:0a:0a:1e,jessie,debian,5.15.0-52-generic,Debian GNU/Linux,linux,8 (jessie),"1,054,198",600,tcp,ipv4,"997,472",10.10.10.30,356,"60,450"
"Oct 24, 2022 @ 23:26:50.004",fileserver,"335,763","13,901","13,901",10.10.10.110,105,"9,200","184,316,798,794","Oct 24, 2022 @ 23:26:36.878","Oct 24, 2022 @ 23:23:32.561",connection,False,40beb5eb909e171860ceee669da56e1d,10.10.10.30,02:42:0a:0a:0a:1e,jessie,debian,5.15.0-52-generic,Debian GNU/Linux,linux,8 (jessie),"349,664",214,tcp,ipv4,"335,763",10.10.10.30,109,"47,640"
"Oct 24, 2022 @ 23:26:50.004",fileserver,"3,391","2,720","2,720",10.10.10.30,16,445,"249,599","Oct 24, 2022 @ 23:26:26.638","Oct 24, 2022 @ 23:26:26.638",connection,False,40beb5eb909e171860ceee669da56e1d,10.10.10.30,02:42:0a:0a:0a:1e,jessie,debian,5.15.0-52-generic,Debian GNU/Linux,linux,8 (jessie),"6,111",34,tcp,ipv4,"3,391",10.10.10.2,18,"33,364"
"Oct 24, 2022 @ 23:26:50.004",fileserver,"3,391","2,720","2,720",10.10.10.30,16,445,"201,920","Oct 24, 2022 @ 23:26:26.638","Oct 24, 2022 @ 23:26:26.638",connection,False,40beb5eb909e171860ceee669da56e1d,10.10.10.30,02:42:0a:0a:0a:1e,jessie,debian,5.15.0-52-generic,Debian GNU/Linux,linux,8 (jessie),"6,111",34,tcp,ipv4,"3,391",10.10.10.3,18,"39,414"
"Oct 24, 2022 @ 23:26:50.004",fileserver,109,-,-,ff02::fb,-,"5,353",0,"Oct 24, 2022 @ 23:26:15.890","Oct 24, 2022 @ 23:26:15.890",connection,False,40beb5eb909e171860ceee669da56e1d,10.10.10.30,02:42:0a:0a:0a:1e,jessie,debian,5.15.0-52-generic,Debian GNU/Linux,linux,8 (jessie),109,1,udp,ipv6,109,fe80::7026:acff:fec4:28aa,1,"5,353"
"Oct 24, 2022 @ 23:26:50.002",dvwa_db,697,557,557,10.10.10.20,6,"3,306","488,249","Oct 24, 2022 @ 23:25:53.614","Oct 24, 2022 @ 23:25:53.613","connection, end",True,-,10.10.10.20,02:42:0a:0a:0a:14,jammy,debian,5.15.0-52-generic,Ubuntu,linux,22.04.1 LTS (Jammy Jellyfish),"1,254",14,tcp,ipv4,697,10.10.10.10,8,"55,270"
"Oct 24, 2022 @ 23:26:50.002",dvwa_db,621,478,478,10.10.10.20,5,"3,306","258,660","Oct 24, 2022 @ 23:25:53.614","Oct 24, 2022 @ 23:25:53.614","connection, end",True,-,10.10.10.20,02:42:0a:0a:0a:14,jammy,debian,5.15.0-52-generic,Ubuntu,linux,22.04.1 LTS (Jammy Jellyfish),"1,099",12,tcp,ipv4,621,10.10.10.10,7,"55,282"
"Oct 24, 2022 @ 23:26:50.002",dvwa_db,"1,011","1,633","1,633",10.10.10.20,9,"3,306","378,790","Oct 24, 2022 @ 23:25:53.614","Oct 24, 2022 @ 23:25:53.614","connection, end",True,-,10.10.10.20,02:42:0a:0a:0a:14,jammy,debian,5.15.0-52-generic,Ubuntu,linux,22.04.1 LTS (Jammy Jellyfish),"2,644",18,tcp,ipv4,"1,011",10.10.10.10,9,"55,292"
"Oct 24, 2022 @ 23:26:50.002",dvwa_db,553,546,546,10.10.10.20,6,"3,306","206,049","Oct 24, 2022 @ 23:25:53.614","Oct 24, 2022 @ 23:25:53.614","connection, end",True,-,10.10.10.20,02:42:0a:0a:0a:14,jammy,debian,5.15.0-52-generic,Ubuntu,linux,22.04.1 LTS (Jammy Jellyfish),"1,099",12,tcp,ipv4,553,10.10.10.10,6,"55,308"
"Oct 24, 2022 @ 23:26:50.002",dvwa_db,805,799,799,10.10.10.20,7,"3,306","590,620","Oct 24, 2022 @ 23:25:53.615","Oct 24, 2022 @ 23:25:53.614","connection, end",True,-,10.10.10.20,02:42:0a:0a:0a:14,jammy,debian,5.15.0-52-generic,Ubuntu,linux,22.04.1 LTS (Jammy Jellyfish),"1,604",16,tcp,ipv4,805,10.10.10.10,9,"55,310"
"Oct 24, 2022 @ 23:26:50.002",dvwa_db,553,546,546,10.10.10.20,6,"3,306","136,240","Oct 24, 2022 @ 23:25:53.615","Oct 24, 2022 @ 23:25:53.615","connection, end",True,-,10.10.10.20,02:42:0a:0a:0a:14,jammy,debian,5.15.0-52-generic,Ubuntu,linux,22.04.1 LTS (Jammy Jellyfish),"1,099",12,tcp,ipv4,553,10.10.10.10,6,"55,314"
"Oct 24, 2022 @ 23:26:50.002",dvwa_db,697,557,557,10.10.10.20,6,"3,306","209,683","Oct 24, 2022 @ 23:25:53.615","Oct 24, 2022 @ 23:25:53.615","connection, end",True,-,10.10.10.20,02:42:0a:0a:0a:14,jammy,debian,5.15.0-52-generic,Ubuntu,linux,22.04.1 LTS (Jammy Jellyfish),"1,254",14,tcp,ipv4,697,10.10.10.10,8,"55,320"
"Oct 24, 2022 @ 23:26:50.002",dvwa_db,553,546,546,10.10.10.20,6,"3,306","184,744","Oct 24, 2022 @ 23:25:53.615","Oct 24, 2022 @ 23:25:53.615","connection, end",True,-,10.10.10.20,02:42:0a:0a:0a:14,jammy,debian,5.15.0-52-generic,Ubuntu,linux,22.04.1 LTS (Jammy Jellyfish),"1,099",12,tcp,ipv4,553,10.10.10.10,6,"55,330"
"Oct 24, 2022 @ 23:26:50.002",dvwa_db,697,557,557,10.10.10.20,6,"3,306","351,540","Oct 24, 2022 @ 23:25:53.616","Oct 24, 2022 @ 23:25:53.615","connection, end",True,-,10.10.10.20,02:42:0a:0a:0a:14,jammy,debian,5.15.0-52-generic,Ubuntu,linux,22.04.1 LTS (Jammy Jellyfish),"1,254",14,tcp,ipv4,697,10.10.10.10,8,"55,344"
"Oct 24, 2022 @ 23:26:50.002",dvwa_db,553,546,546,10.10.10.20,6,"3,306","231,480","Oct 24, 2022 @ 23:25:53.616","Oct 24, 2022 @ 23:25:53.615","connection, end",True,-,10.10.10.20,02:42:0a:0a:0a:14,jammy,debian,5.15.0-52-generic,Ubuntu,linux,22.04.1 LTS (Jammy Jellyfish),"1,099",12,tcp,ipv4,553,10.10.10.10,6,"55,346"
"Oct 24, 2022 @ 23:26:50.002",dvwa_db,432,611,611,127.0.0.1,6,"3,306","170,679","Oct 24, 2022 @ 23:25:53.616","Oct 24, 2022 @ 23:25:53.616","connection, end",True,-,10.10.10.20,02:42:0a:0a:0a:14,jammy,debian,5.15.0-52-generic,Ubuntu,linux,22.04.1 LTS (Jammy Jellyfish),"1,043",11,tcp,ipv4,432,127.0.0.1,5,"45,330"
"Oct 24, 2022 @ 23:26:50.002",dvwa_db,432,611,611,127.0.0.1,6,"3,306","114,950","Oct 24, 2022 @ 23:26:03.854","Oct 24, 2022 @ 23:26:03.854","connection, end",True,-,10.10.10.20,02:42:0a:0a:0a:14,jammy,debian,5.15.0-52-generic,Ubuntu,linux,22.04.1 LTS (Jammy Jellyfish),"1,043",11,tcp,ipv4,432,127.0.0.1,5,"44,996"
"Oct 24, 2022 @ 23:26:50.002",dvwa_db,432,611,611,127.0.0.1,6,"3,306","180,620","Oct 24, 2022 @ 23:26:13.586","Oct 24, 2022 @ 23:26:13.586","connection, end",True,-,10.10.10.20,02:42:0a:0a:0a:14,jammy,debian,5.15.0-52-generic,Ubuntu,linux,22.04.1 LTS (Jammy Jellyfish),"1,043",11,tcp,ipv4,432,127.0.0.1,5,"41,108"
"Oct 24, 2022 @ 23:26:50.002",dvwa_db,629,625,625,10.10.10.20,7,"3,306","325,554","Oct 24, 2022 @ 23:26:18.194","Oct 24, 2022 @ 23:26:18.194","connection, end",True,-,10.10.10.20,02:42:0a:0a:0a:14,jammy,debian,5.15.0-52-generic,Ubuntu,linux,22.04.1 LTS (Jammy Jellyfish),"1,254",14,tcp,ipv4,629,10.10.10.10,7,"57,248"
"Oct 24, 2022 @ 23:26:50.002",dvwa_db,621,546,546,10.10.10.20,6,"3,306","134,540","Oct 24, 2022 @ 23:26:18.194","Oct 24, 2022 @ 23:26:18.194","connection, end",True,-,10.10.10.20,02:42:0a:0a:0a:14,jammy,debian,5.15.0-52-generic,Ubuntu,linux,22.04.1 LTS (Jammy Jellyfish),"1,167",13,tcp,ipv4,621,10.10.10.10,7,"57,258"
"Oct 24, 2022 @ 23:26:50.002",dvwa_db,"1,011","1,633","1,633",10.10.10.20,9,"3,306","275,419","Oct 24, 2022 @ 23:26:18.194","Oct 24, 2022 @ 23:26:18.194","connection, end",True,-,10.10.10.20,02:42:0a:0a:0a:14,jammy,debian,5.15.0-52-generic,Ubuntu,linux,22.04.1 LTS (Jammy Jellyfish),"2,644",18,tcp,ipv4,"1,011",10.10.10.10,9,"57,260"
"Oct 24, 2022 @ 23:26:50.002",dvwa_db,621,478,478,10.10.10.20,5,"3,306","181,830","Oct 24, 2022 @ 23:26:18.194","Oct 24, 2022 @ 23:26:18.194","connection, end",True,-,10.10.10.20,02:42:0a:0a:0a:14,jammy,debian,5.15.0-52-generic,Ubuntu,linux,22.04.1 LTS (Jammy Jellyfish),"1,099",12,tcp,ipv4,621,10.10.10.10,7,"57,262"
"Oct 24, 2022 @ 23:26:50.002",dvwa_db,629,625,625,10.10.10.20,7,"3,306","157,770","Oct 24, 2022 @ 23:26:18.195","Oct 24, 2022 @ 23:26:18.194","connection, end",True,-,10.10.10.20,02:42:0a:0a:0a:14,jammy,debian,5.15.0-52-generic,Ubuntu,linux,22.04.1 LTS (Jammy Jellyfish),"1,254",14,tcp,ipv4,629,10.10.10.10,7,"57,276"
"Oct 24, 2022 @ 23:26:50.002",dvwa_db,621,478,478,10.10.10.20,5,"3,306","102,730","Oct 24, 2022 @ 23:26:18.195","Oct 24, 2022 @ 23:26:18.194","connection, end",True,-,10.10.10.20,02:42:0a:0a:0a:14,jammy,debian,5.15.0-52-generic,Ubuntu,linux,22.04.1 LTS (Jammy Jellyfish),"1,099",12,tcp,ipv4,621,10.10.10.10,7,"57,290"
"Oct 24, 2022 @ 23:26:50.002",dvwa_db,629,625,625,10.10.10.20,7,"3,306","167,850","Oct 24, 2022 @ 23:26:18.195","Oct 24, 2022 @ 23:26:18.195","connection, end",True,-,10.10.10.20,02:42:0a:0a:0a:14,jammy,debian,5.15.0-52-generic,Ubuntu,linux,22.04.1 LTS (Jammy Jellyfish),"1,254",14,tcp,ipv4,629,10.10.10.10,7,"57,296"
"Oct 24, 2022 @ 23:26:50.002",dvwa_db,621,546,546,10.10.10.20,6,"3,306","112,629","Oct 24, 2022 @ 23:26:18.195","Oct 24, 2022 @ 23:26:18.195","connection, end",True,-,10.10.10.20,02:42:0a:0a:0a:14,jammy,debian,5.15.0-52-generic,Ubuntu,linux,22.04.1 LTS (Jammy Jellyfish),"1,167",13,tcp,ipv4,621,10.10.10.10,7,"57,306"
"Oct 24, 2022 @ 23:26:50.002",dvwa_db,697,557,557,10.10.10.20,6,"3,306","323,470","Oct 24, 2022 @ 23:26:22.798","Oct 24, 2022 @ 23:26:22.798",connection,False,-,10.10.10.20,02:42:0a:0a:0a:14,jammy,debian,5.15.0-52-generic,Ubuntu,linux,22.04.1 LTS (Jammy Jellyfish),"1,254",14,tcp,ipv4,697,10.10.10.10,8,"59,704"
"Oct 24, 2022 @ 23:26:50.002",dvwa_db,621,478,478,10.10.10.20,5,"3,306","131,430","Oct 24, 2022 @ 23:26:22.798","Oct 24, 2022 @ 23:26:22.798",connection,False,-,10.10.10.20,02:42:0a:0a:0a:14,jammy,debian,5.15.0-52-generic,Ubuntu,linux,22.04.1 LTS (Jammy Jellyfish),"1,099",12,tcp,ipv4,621,10.10.10.10,7,"59,720"
"Oct 24, 2022 @ 23:26:50.002",dvwa_db,"1,011","1,633","1,633",10.10.10.20,9,"3,306","361,379","Oct 24, 2022 @ 23:26:22.798","Oct 24, 2022 @ 23:26:22.798",connection,False,-,10.10.10.20,02:42:0a:0a:0a:14,jammy,debian,5.15.0-52-generic,Ubuntu,linux,22.04.1 LTS (Jammy Jellyfish),"2,644",18,tcp,ipv4,"1,011",10.10.10.10,9,"59,722"
