"@timestamp","_id","_index","_score","agent.ephemeral_id","agent.hostname","agent.id","agent.name","agent.type","agent.version","bytes_in","bytes_out","destination.bytes","destination.ip","destination.packets","destination.port","ecs.version","event.action","event.category","event.dataset","event.duration","event.end","event.kind","event.start","event.type","flow.final","flow.id","host.architecture","host.containerized","host.hostname","host.id","host.ip","host.mac","host.name","host.os.codename","host.os.family","host.os.kernel","host.os.name","host.os.name.text","host.os.platform","host.os.type","host.os.version","network.bytes","network.community_id","network.packets","network.transport","network.type","source.bytes","source.ip","source.packets","source.port",type
"Oct 24, 2022 @ 23:26:50.004",KteaCoQBDsc6tFfSihGB,".ds-packetbeat-8.4.3-2022.10.24-000001","-","45c9ca18-c015-4a56-b661-00257cbf8424",fileserver,"9be41ded-4014-4d05-a8f0-546ec13fe6bf",fileserver,packetbeat,"8.4.3","567,181","34,526","34,526","10.10.10.110",143,"9,200","8.0.0","network_flow",network,flow,"460,800,581,991","Oct 24, 2022 @ 23:26:41.486",event,"Oct 24, 2022 @ 23:19:00.685",connection,false,"EAT/////AP//////CP8AAAEKCgoeCgoKbiDr8CM","x86_64",false,fileserver,40beb5eb909e171860ceee669da56e1d,"10.10.10.30","02:42:0a:0a:0a:1e",fileserver,jessie,debian,"5.15.0-52-generic","Debian GNU/Linux","Debian GNU/Linux",debian,linux,"8 (jessie)","601,707","1:1ftWw6/0HUicUjVpKUWs8etBjmk=",365,tcp,ipv4,"567,181","10.10.10.30",222,"60,192",flow
"Oct 24, 2022 @ 23:26:50.004",K9eaCoQBDsc6tFfSihGB,".ds-packetbeat-8.4.3-2022.10.24-000001","-","45c9ca18-c015-4a56-b661-00257cbf8424",fileserver,"9be41ded-4014-4d05-a8f0-546ec13fe6bf",fileserver,packetbeat,"8.4.3","997,472","56,726","56,726","10.10.10.110",244,"9,200","8.0.0","network_flow",network,flow,"460,288,815,904","Oct 24, 2022 @ 23:26:44.046",event,"Oct 24, 2022 @ 23:19:03.757",connection,false,"EAT/////AP//////CP8AAAEKCgoeCgoKbiLs8CM","x86_64",false,fileserver,40beb5eb909e171860ceee669da56e1d,"10.10.10.30","02:42:0a:0a:0a:1e",fileserver,jessie,debian,"5.15.0-52-generic","Debian GNU/Linux","Debian GNU/Linux",debian,linux,"8 (jessie)","1,054,198","1:cp77MWgq3DlRxNEudDgtl1ro8sY=",600,tcp,ipv4,"997,472","10.10.10.30",356,"60,450",flow
"Oct 24, 2022 @ 23:26:50.004",LNeaCoQBDsc6tFfSihGB,".ds-packetbeat-8.4.3-2022.10.24-000001","-","45c9ca18-c015-4a56-b661-00257cbf8424",fileserver,"9be41ded-4014-4d05-a8f0-546ec13fe6bf",fileserver,packetbeat,"8.4.3","335,763","13,901","13,901","10.10.10.110",105,"9,200","8.0.0","network_flow",network,flow,"184,316,798,794","Oct 24, 2022 @ 23:26:36.878",event,"Oct 24, 2022 @ 23:23:32.561",connection,false,"EAT/////AP//////CP8AAAEKCgoeCgoKbhi68CM","x86_64",false,fileserver,40beb5eb909e171860ceee669da56e1d,"10.10.10.30","02:42:0a:0a:0a:1e",fileserver,jessie,debian,"5.15.0-52-generic","Debian GNU/Linux","Debian GNU/Linux",debian,linux,"8 (jessie)","349,664","1:ynK/wUfPW7wnr7sHsTjGsq8pArQ=",214,tcp,ipv4,"335,763","10.10.10.30",109,"47,640",flow
"Oct 24, 2022 @ 23:26:50.004",LdeaCoQBDsc6tFfSihGB,".ds-packetbeat-8.4.3-2022.10.24-000001","-","45c9ca18-c015-4a56-b661-00257cbf8424",fileserver,"9be41ded-4014-4d05-a8f0-546ec13fe6bf",fileserver,packetbeat,"8.4.3","3,391","2,720","2,720","10.10.10.30",16,445,"8.0.0","network_flow",network,flow,"249,599","Oct 24, 2022 @ 23:26:26.638",event,"Oct 24, 2022 @ 23:26:26.638",connection,false,"EAT/////AP//////CP8AAAEKCgoCCgoKHlSCvQE","x86_64",false,fileserver,40beb5eb909e171860ceee669da56e1d,"10.10.10.30","02:42:0a:0a:0a:1e",fileserver,jessie,debian,"5.15.0-52-generic","Debian GNU/Linux","Debian GNU/Linux",debian,linux,"8 (jessie)","6,111","1:HYPgDH7WD6T47oJAnXuxBWp7gi8=",34,tcp,ipv4,"3,391","10.10.10.2",18,"33,364",flow
"Oct 24, 2022 @ 23:26:50.004",LteaCoQBDsc6tFfSihGB,".ds-packetbeat-8.4.3-2022.10.24-000001","-","45c9ca18-c015-4a56-b661-00257cbf8424",fileserver,"9be41ded-4014-4d05-a8f0-546ec13fe6bf",fileserver,packetbeat,"8.4.3","3,391","2,720","2,720","10.10.10.30",16,445,"8.0.0","network_flow",network,flow,"201,920","Oct 24, 2022 @ 23:26:26.638",event,"Oct 24, 2022 @ 23:26:26.638",connection,false,"EAT/////AP//////CP8AAAEKCgoDCgoKHvaZvQE","x86_64",false,fileserver,40beb5eb909e171860ceee669da56e1d,"10.10.10.30","02:42:0a:0a:0a:1e",fileserver,jessie,debian,"5.15.0-52-generic","Debian GNU/Linux","Debian GNU/Linux",debian,linux,"8 (jessie)","6,111","1:ehXQOojUuF8URsorLhhNk7ypi/Y=",34,tcp,ipv4,"3,391","10.10.10.3",18,"39,414",flow
"Oct 24, 2022 @ 23:26:50.004",L9eaCoQBDsc6tFfSihGB,".ds-packetbeat-8.4.3-2022.10.24-000001","-","45c9ca18-c015-4a56-b661-00257cbf8424",fileserver,"9be41ded-4014-4d05-a8f0-546ec13fe6bf",fileserver,packetbeat,"8.4.3",109,"-","-","ff02::fb","-","5,353","8.0.0","network_flow",network,flow,0,"Oct 24, 2022 @ 23:26:15.890",event,"Oct 24, 2022 @ 23:26:15.890",connection,false,"QAL///////8A//8g//8AAAH+gAAAAAAAAHAmrP/+xCiq/wIAAAAAAAAAAAAAAAAA++kU6RQ","x86_64",false,fileserver,40beb5eb909e171860ceee669da56e1d,"10.10.10.30","02:42:0a:0a:0a:1e",fileserver,jessie,debian,"5.15.0-52-generic","Debian GNU/Linux","Debian GNU/Linux",debian,linux,"8 (jessie)",109,"1:TPUDFvJiIgzWo+Y3w62rGRmCuto=",1,udp,ipv6,109,"fe80::7026:acff:fec4:28aa",1,"5,353",flow
"Oct 24, 2022 @ 23:26:50.002","_teaCoQBDsc6tFfSihB_",".ds-packetbeat-8.4.3-2022.10.24-000001","-","284bf25d-6e89-400e-95a1-037edfec5bc0","dvwa_db","6c71a53f-e22b-4efa-89c2-2686e21c53d3","dvwa_db",packetbeat,"8.4.3",697,557,557,"10.10.10.20",6,"3,306","8.0.0","network_flow",network,flow,"488,249","Oct 24, 2022 @ 23:25:53.614",event,"Oct 24, 2022 @ 23:25:53.613","connection, end",true,"EAz/////AP//////CAwAAAEKCgoKCgoKFObX6gyrAQAAAAAAAA","x86_64",false,"dvwa_db","-","10.10.10.20","02:42:0a:0a:0a:14","dvwa_db",jammy,debian,"5.15.0-52-generic",Ubuntu,Ubuntu,ubuntu,linux,"22.04.1 LTS (Jammy Jellyfish)","1,254","1:L674TSM3ZmCPKItpG4fB/+rtuyY=",14,tcp,ipv4,697,"10.10.10.10",8,"55,270",flow
"Oct 24, 2022 @ 23:26:50.002","_9eaCoQBDsc6tFfSihB_",".ds-packetbeat-8.4.3-2022.10.24-000001","-","284bf25d-6e89-400e-95a1-037edfec5bc0","dvwa_db","6c71a53f-e22b-4efa-89c2-2686e21c53d3","dvwa_db",packetbeat,"8.4.3",621,478,478,"10.10.10.20",5,"3,306","8.0.0","network_flow",network,flow,"258,660","Oct 24, 2022 @ 23:25:53.614",event,"Oct 24, 2022 @ 23:25:53.614","connection, end",true,"EAz/////AP//////CAwAAAEKCgoKCgoKFPLX6gysAQAAAAAAAA","x86_64",false,"dvwa_db","-","10.10.10.20","02:42:0a:0a:0a:14","dvwa_db",jammy,debian,"5.15.0-52-generic",Ubuntu,Ubuntu,ubuntu,linux,"22.04.1 LTS (Jammy Jellyfish)","1,099","1:A2rgZg1SapdgXm0NXnolF/c61y8=",12,tcp,ipv4,621,"10.10.10.10",7,"55,282",flow
"Oct 24, 2022 @ 23:26:50.002","ANeaCoQBDsc6tFfSihF_",".ds-packetbeat-8.4.3-2022.10.24-000001","-","284bf25d-6e89-400e-95a1-037edfec5bc0","dvwa_db","6c71a53f-e22b-4efa-89c2-2686e21c53d3","dvwa_db",packetbeat,"8.4.3","1,011","1,633","1,633","10.10.10.20",9,"3,306","8.0.0","network_flow",network,flow,"378,790","Oct 24, 2022 @ 23:25:53.614",event,"Oct 24, 2022 @ 23:25:53.614","connection, end",true,"EAz/////AP//////CAwAAAEKCgoKCgoKFPzX6gytAQAAAAAAAA","x86_64",false,"dvwa_db","-","10.10.10.20","02:42:0a:0a:0a:14","dvwa_db",jammy,debian,"5.15.0-52-generic",Ubuntu,Ubuntu,ubuntu,linux,"22.04.1 LTS (Jammy Jellyfish)","2,644","1:1hehFWYYMLvytJNrCS1HVOlfcyw=",18,tcp,ipv4,"1,011","10.10.10.10",9,"55,292",flow
"Oct 24, 2022 @ 23:26:50.002","AdeaCoQBDsc6tFfSihF_",".ds-packetbeat-8.4.3-2022.10.24-000001","-","284bf25d-6e89-400e-95a1-037edfec5bc0","dvwa_db","6c71a53f-e22b-4efa-89c2-2686e21c53d3","dvwa_db",packetbeat,"8.4.3",553,546,546,"10.10.10.20",6,"3,306","8.0.0","network_flow",network,flow,"206,049","Oct 24, 2022 @ 23:25:53.614",event,"Oct 24, 2022 @ 23:25:53.614","connection, end",true,"EAz/////AP//////CAwAAAEKCgoKCgoKFAzY6gyuAQAAAAAAAA","x86_64",false,"dvwa_db","-","10.10.10.20","02:42:0a:0a:0a:14","dvwa_db",jammy,debian,"5.15.0-52-generic",Ubuntu,Ubuntu,ubuntu,linux,"22.04.1 LTS (Jammy Jellyfish)","1,099","1:AHGGph+VMcpYBFR79c8Rvqnw6U8=",12,tcp,ipv4,553,"10.10.10.10",6,"55,308",flow
