"@timestamp","@version","_id","_index","_score","data_stream.dataset","data_stream.namespace","data_stream.type","host.architecture","host.containerized","host.hostname","host.id","host.ip","host.mac","host.name","host.os.codename","host.os.family","host.os.kernel","host.os.name","host.os.platform","host.os.type","host.os.version","http.request.method","http.request.referrer","http.response.body.bytes","http.response.status_code","http.version","log.file.path",message,"source.address",tags,timestamp,"url.original","user_agent.original"
"Oct 26, 2022 @ 03:24:39.000",1,GX6aEIQBWRBw5X7npH2L,".ds-logs-generic-default-2022.10.25-000001","-",generic,default,logs,"x86_64",true,a35f66243a1c,1c3cb7582be24460aea6df0fb649a22f,"10.10.10.2","02:42:0a:0a:0a:02",a35f66243a1c,hirsute,debian,"5.11.0-49-generic",Ubuntu,ubuntu,linux,"21.04 (Hirsute Hippo)",GET,"http://192.168.1.201:8888","4,375",200,"1.1","/var/log/apache2/access.log","10.10.10.1 - - [25/Oct/2022:19:24:39 +0000] ""GET /index.php?action=Login&module=Users HTTP/1.1"" 200 4375 ""http://192.168.1.201:8888"" ""Elastic-Heartbeat/8.4.3 (linux; amd64; c2f2aba479653563dbaabefe0f86f5579708ec94; 2022-09-27 15:30:48 +0000 UTC)""","10.10.10.1",apache,"25/Oct/2022:19:24:39 +0000","/index.php?action=Login&module=Users","Elastic-Heartbeat/8.4.3 (linux; amd64; c2f2aba479653563dbaabefe0f86f5579708ec94; 2022-09-27 15:30:48 +0000 UTC)"
"Oct 26, 2022 @ 03:24:39.000",1,Gn6aEIQBWRBw5X7npH2M,".ds-logs-generic-default-2022.10.25-000001","-",generic,default,logs,"x86_64",true,a35f66243a1c,1c3cb7582be24460aea6df0fb649a22f,"10.10.10.2","02:42:0a:0a:0a:02",a35f66243a1c,hirsute,debian,"5.11.0-49-generic",Ubuntu,ubuntu,linux,"21.04 (Hirsute Hippo)",GET,"-",396,301,"1.1","/var/log/apache2/access.log","10.10.10.1 - - [25/Oct/2022:19:24:39 +0000] ""GET / HTTP/1.1"" 301 396 ""-"" ""Elastic-Heartbeat/8.4.3 (linux; amd64; c2f2aba479653563dbaabefe0f86f5579708ec94; 2022-09-27 15:30:48 +0000 UTC)""","10.10.10.1",apache,"25/Oct/2022:19:24:39 +0000","/","Elastic-Heartbeat/8.4.3 (linux; amd64; c2f2aba479653563dbaabefe0f86f5579708ec94; 2022-09-27 15:30:48 +0000 UTC)"
"Oct 26, 2022 @ 03:24:29.000",1,FX6aEIQBWRBw5X7nmH3a,".ds-logs-generic-default-2022.10.25-000001","-",generic,default,logs,"x86_64",true,a35f66243a1c,1c3cb7582be24460aea6df0fb649a22f,"10.10.10.2","02:42:0a:0a:0a:02",a35f66243a1c,hirsute,debian,"5.11.0-49-generic",Ubuntu,ubuntu,linux,"21.04 (Hirsute Hippo)",GET,"-",396,301,"1.1","/var/log/apache2/access.log","10.10.10.1 - - [25/Oct/2022:19:24:29 +0000] ""GET / HTTP/1.1"" 301 396 ""-"" ""Elastic-Heartbeat/8.4.3 (linux; amd64; c2f2aba479653563dbaabefe0f86f5579708ec94; 2022-09-27 15:30:48 +0000 UTC)""","10.10.10.1",apache,"25/Oct/2022:19:24:29 +0000","/","Elastic-Heartbeat/8.4.3 (linux; amd64; c2f2aba479653563dbaabefe0f86f5579708ec94; 2022-09-27 15:30:48 +0000 UTC)"
"Oct 26, 2022 @ 03:24:29.000",1,Fn6aEIQBWRBw5X7nmH3a,".ds-logs-generic-default-2022.10.25-000001","-",generic,default,logs,"x86_64",true,a35f66243a1c,1c3cb7582be24460aea6df0fb649a22f,"10.10.10.2","02:42:0a:0a:0a:02",a35f66243a1c,hirsute,debian,"5.11.0-49-generic",Ubuntu,ubuntu,linux,"21.04 (Hirsute Hippo)",GET,"http://192.168.1.201:8888","4,375",200,"1.1","/var/log/apache2/access.log","10.10.10.1 - - [25/Oct/2022:19:24:29 +0000] ""GET /index.php?action=Login&module=Users HTTP/1.1"" 200 4375 ""http://192.168.1.201:8888"" ""Elastic-Heartbeat/8.4.3 (linux; amd64; c2f2aba479653563dbaabefe0f86f5579708ec94; 2022-09-27 15:30:48 +0000 UTC)""","10.10.10.1",apache,"25/Oct/2022:19:24:29 +0000","/index.php?action=Login&module=Users","Elastic-Heartbeat/8.4.3 (linux; amd64; c2f2aba479653563dbaabefe0f86f5579708ec94; 2022-09-27 15:30:48 +0000 UTC)"
"Oct 26, 2022 @ 03:24:19.000",1,"-36aEIQBWRBw5X7nXnw1",".ds-logs-generic-default-2022.10.25-000001","-",generic,default,logs,"x86_64",true,a35f66243a1c,1c3cb7582be24460aea6df0fb649a22f,"10.10.10.2","02:42:0a:0a:0a:02",a35f66243a1c,hirsute,debian,"5.11.0-49-generic",Ubuntu,ubuntu,linux,"21.04 (Hirsute Hippo)",GET,"-",396,301,"1.1","/var/log/apache2/access.log","10.10.10.1 - - [25/Oct/2022:19:24:19 +0000] ""GET / HTTP/1.1"" 301 396 ""-"" ""Elastic-Heartbeat/8.4.3 (linux; amd64; c2f2aba479653563dbaabefe0f86f5579708ec94; 2022-09-27 15:30:48 +0000 UTC)""","10.10.10.1",apache,"25/Oct/2022:19:24:19 +0000","/","Elastic-Heartbeat/8.4.3 (linux; amd64; c2f2aba479653563dbaabefe0f86f5579708ec94; 2022-09-27 15:30:48 +0000 UTC)"
"Oct 26, 2022 @ 03:24:19.000",1,"_H6aEIQBWRBw5X7nXnw1",".ds-logs-generic-default-2022.10.25-000001","-",generic,default,logs,"x86_64",true,a35f66243a1c,1c3cb7582be24460aea6df0fb649a22f,"10.10.10.2","02:42:0a:0a:0a:02",a35f66243a1c,hirsute,debian,"5.11.0-49-generic",Ubuntu,ubuntu,linux,"21.04 (Hirsute Hippo)",GET,"http://192.168.1.201:8888","4,375",200,"1.1","/var/log/apache2/access.log","10.10.10.1 - - [25/Oct/2022:19:24:19 +0000] ""GET /index.php?action=Login&module=Users HTTP/1.1"" 200 4375 ""http://192.168.1.201:8888"" ""Elastic-Heartbeat/8.4.3 (linux; amd64; c2f2aba479653563dbaabefe0f86f5579708ec94; 2022-09-27 15:30:48 +0000 UTC)""","10.10.10.1",apache,"25/Oct/2022:19:24:19 +0000","/index.php?action=Login&module=Users","Elastic-Heartbeat/8.4.3 (linux; amd64; c2f2aba479653563dbaabefe0f86f5579708ec94; 2022-09-27 15:30:48 +0000 UTC)"
"Oct 26, 2022 @ 03:24:09.000",1,6X6aEIQBWRBw5X7nQnzM,".ds-logs-generic-default-2022.10.25-000001","-",generic,default,logs,"x86_64",true,a35f66243a1c,1c3cb7582be24460aea6df0fb649a22f,"10.10.10.2","02:42:0a:0a:0a:02",a35f66243a1c,hirsute,debian,"5.11.0-49-generic",Ubuntu,ubuntu,linux,"21.04 (Hirsute Hippo)",GET,"http://192.168.1.201:8888","4,375",200,"1.1","/var/log/apache2/access.log","10.10.10.1 - - [25/Oct/2022:19:24:09 +0000] ""GET /index.php?action=Login&module=Users HTTP/1.1"" 200 4375 ""http://192.168.1.201:8888"" ""Elastic-Heartbeat/8.4.3 (linux; amd64; c2f2aba479653563dbaabefe0f86f5579708ec94; 2022-09-27 15:30:48 +0000 UTC)""","10.10.10.1",apache,"25/Oct/2022:19:24:09 +0000","/index.php?action=Login&module=Users","Elastic-Heartbeat/8.4.3 (linux; amd64; c2f2aba479653563dbaabefe0f86f5579708ec94; 2022-09-27 15:30:48 +0000 UTC)"
"Oct 26, 2022 @ 03:24:09.000",1,6H6aEIQBWRBw5X7nQnzM,".ds-logs-generic-default-2022.10.25-000001","-",generic,default,logs,"x86_64",true,a35f66243a1c,1c3cb7582be24460aea6df0fb649a22f,"10.10.10.2","02:42:0a:0a:0a:02",a35f66243a1c,hirsute,debian,"5.11.0-49-generic",Ubuntu,ubuntu,linux,"21.04 (Hirsute Hippo)",GET,"-",396,301,"1.1","/var/log/apache2/access.log","10.10.10.1 - - [25/Oct/2022:19:24:09 +0000] ""GET / HTTP/1.1"" 301 396 ""-"" ""Elastic-Heartbeat/8.4.3 (linux; amd64; c2f2aba479653563dbaabefe0f86f5579708ec94; 2022-09-27 15:30:48 +0000 UTC)""","10.10.10.1",apache,"25/Oct/2022:19:24:09 +0000","/","Elastic-Heartbeat/8.4.3 (linux; amd64; c2f2aba479653563dbaabefe0f86f5579708ec94; 2022-09-27 15:30:48 +0000 UTC)"
"Oct 26, 2022 @ 03:23:59.000",1,zX6aEIQBWRBw5X7nC3yd,".ds-logs-generic-default-2022.10.25-000001","-",generic,default,logs,"x86_64",true,a35f66243a1c,1c3cb7582be24460aea6df0fb649a22f,"10.10.10.2","02:42:0a:0a:0a:02",a35f66243a1c,hirsute,debian,"5.11.0-49-generic",Ubuntu,ubuntu,linux,"21.04 (Hirsute Hippo)",GET,"http://192.168.1.201:8888","4,375",200,"1.1","/var/log/apache2/access.log","10.10.10.1 - - [25/Oct/2022:19:23:59 +0000] ""GET /index.php?action=Login&module=Users HTTP/1.1"" 200 4375 ""http://192.168.1.201:8888"" ""Elastic-Heartbeat/8.4.3 (linux; amd64; c2f2aba479653563dbaabefe0f86f5579708ec94; 2022-09-27 15:30:48 +0000 UTC)""","10.10.10.1",apache,"25/Oct/2022:19:23:59 +0000","/index.php?action=Login&module=Users","Elastic-Heartbeat/8.4.3 (linux; amd64; c2f2aba479653563dbaabefe0f86f5579708ec94; 2022-09-27 15:30:48 +0000 UTC)"
"Oct 26, 2022 @ 03:23:59.000",1,1H6aEIQBWRBw5X7nC3yx,".ds-logs-generic-default-2022.10.25-000001","-",generic,default,logs,"x86_64",true,a35f66243a1c,1c3cb7582be24460aea6df0fb649a22f,"10.10.10.2","02:42:0a:0a:0a:02",a35f66243a1c,hirsute,debian,"5.11.0-49-generic",Ubuntu,ubuntu,linux,"21.04 (Hirsute Hippo)",GET,"-",396,301,"1.1","/var/log/apache2/access.log","10.10.10.1 - - [25/Oct/2022:19:23:59 +0000] ""GET / HTTP/1.1"" 301 396 ""-"" ""Elastic-Heartbeat/8.4.3 (linux; amd64; c2f2aba479653563dbaabefe0f86f5579708ec94; 2022-09-27 15:30:48 +0000 UTC)""","10.10.10.1",apache,"25/Oct/2022:19:23:59 +0000","/","Elastic-Heartbeat/8.4.3 (linux; amd64; c2f2aba479653563dbaabefe0f86f5579708ec94; 2022-09-27 15:30:48 +0000 UTC)"
