"@timestamp","@version","_id","_index","_score","data_stream.dataset","data_stream.namespace","data_stream.type","host.architecture","host.containerized","host.hostname","host.id","host.ip","host.mac","host.name","host.os.codename","host.os.family","host.os.kernel","host.os.name","host.os.platform","host.os.type","host.os.version","http.request.method","http.request.referrer","http.response.body.bytes","http.response.status_code","http.version","log.file.path",message,"source.address",tags,timestamp,"url.original","user_agent.original"
"Oct 26, 2022 @ 00:04:13.000",1,l47jD4QBwtSpbtrUKlQ2,".ds-logs-generic-default-2022.10.25-000001","-",generic,default,logs,"x86_64",true,41c63049a1d1,e68f59e1340d42b3bcce755dbb4df233,"10.10.10.2","02:42:0a:0a:0a:02",41c63049a1d1,hirsute,debian,"5.11.0-49-generic",Ubuntu,ubuntu,linux,"21.04 (Hirsute Hippo)",GET,"-",396,301,"1.1","/var/log/apache2/access.log","10.10.10.1 - - [25/Oct/2022:16:04:13 +0000] ""GET / HTTP/1.1"" 301 396 ""-"" ""Elastic-Heartbeat/8.4.3 (linux; amd64; c2f2aba479653563dbaabefe0f86f5579708ec94; 2022-09-27 15:30:48 +0000 UTC)""","10.10.10.1",apache,"25/Oct/2022:16:04:13 +0000","/","Elastic-Heartbeat/8.4.3 (linux; amd64; c2f2aba479653563dbaabefe0f86f5579708ec94; 2022-09-27 15:30:48 +0000 UTC)"
"Oct 26, 2022 @ 00:04:13.000",1,mI7jD4QBwtSpbtrUKlQ2,".ds-logs-generic-default-2022.10.25-000001","-",generic,default,logs,"x86_64",true,41c63049a1d1,e68f59e1340d42b3bcce755dbb4df233,"10.10.10.2","02:42:0a:0a:0a:02",41c63049a1d1,hirsute,debian,"5.11.0-49-generic",Ubuntu,ubuntu,linux,"21.04 (Hirsute Hippo)",GET,"http://192.168.1.201:8888","4,375",200,"1.1","/var/log/apache2/access.log","10.10.10.1 - - [25/Oct/2022:16:04:13 +0000] ""GET /index.php?action=Login&module=Users HTTP/1.1"" 200 4375 ""http://192.168.1.201:8888"" ""Elastic-Heartbeat/8.4.3 (linux; amd64; c2f2aba479653563dbaabefe0f86f5579708ec94; 2022-09-27 15:30:48 +0000 UTC)""","10.10.10.1",apache,"25/Oct/2022:16:04:13 +0000","/index.php?action=Login&module=Users","Elastic-Heartbeat/8.4.3 (linux; amd64; c2f2aba479653563dbaabefe0f86f5579708ec94; 2022-09-27 15:30:48 +0000 UTC)"
"Oct 26, 2022 @ 00:04:11.000",1,hI7jD4QBwtSpbtrUHlQD,".ds-logs-generic-default-2022.10.25-000001","-",generic,default,logs,"x86_64",true,41c63049a1d1,e68f59e1340d42b3bcce755dbb4df233,"10.10.10.2","02:42:0a:0a:0a:02",41c63049a1d1,hirsute,debian,"5.11.0-49-generic",Ubuntu,ubuntu,linux,"21.04 (Hirsute Hippo)",GET,"-",396,301,"1.1","/var/log/apache2/access.log","192.168.1.210 - - [25/Oct/2022:16:04:11 +0000] ""GET / HTTP/1.1"" 301 396 ""-"" ""Elastic-Heartbeat/8.4.3 (linux; amd64; c2f2aba479653563dbaabefe0f86f5579708ec94; 2022-09-27 15:30:48 +0000 UTC)""","192.168.1.210",apache,"25/Oct/2022:16:04:11 +0000","/","Elastic-Heartbeat/8.4.3 (linux; amd64; c2f2aba479653563dbaabefe0f86f5579708ec94; 2022-09-27 15:30:48 +0000 UTC)"
"Oct 26, 2022 @ 00:04:11.000",1,hY7jD4QBwtSpbtrUHlQD,".ds-logs-generic-default-2022.10.25-000001","-",generic,default,logs,"x86_64",true,41c63049a1d1,e68f59e1340d42b3bcce755dbb4df233,"10.10.10.2","02:42:0a:0a:0a:02",41c63049a1d1,hirsute,debian,"5.11.0-49-generic",Ubuntu,ubuntu,linux,"21.04 (Hirsute Hippo)",GET,"http://192.168.1.201:8888","4,375",200,"1.1","/var/log/apache2/access.log","192.168.1.210 - - [25/Oct/2022:16:04:11 +0000] ""GET /index.php?action=Login&module=Users HTTP/1.1"" 200 4375 ""http://192.168.1.201:8888"" ""Elastic-Heartbeat/8.4.3 (linux; amd64; c2f2aba479653563dbaabefe0f86f5579708ec94; 2022-09-27 15:30:48 +0000 UTC)""","192.168.1.210",apache,"25/Oct/2022:16:04:11 +0000","/index.php?action=Login&module=Users","Elastic-Heartbeat/8.4.3 (linux; amd64; c2f2aba479653563dbaabefe0f86f5579708ec94; 2022-09-27 15:30:48 +0000 UTC)"
"Oct 26, 2022 @ 00:04:03.000",1,R47jD4QBwtSpbtrUElRS,".ds-logs-generic-default-2022.10.25-000001","-",generic,default,logs,"x86_64",true,41c63049a1d1,e68f59e1340d42b3bcce755dbb4df233,"10.10.10.2","02:42:0a:0a:0a:02",41c63049a1d1,hirsute,debian,"5.11.0-49-generic",Ubuntu,ubuntu,linux,"21.04 (Hirsute Hippo)",GET,"-",396,301,"1.1","/var/log/apache2/access.log","10.10.10.1 - - [25/Oct/2022:16:04:03 +0000] ""GET / HTTP/1.1"" 301 396 ""-"" ""Elastic-Heartbeat/8.4.3 (linux; amd64; c2f2aba479653563dbaabefe0f86f5579708ec94; 2022-09-27 15:30:48 +0000 UTC)""","10.10.10.1",apache,"25/Oct/2022:16:04:03 +0000","/","Elastic-Heartbeat/8.4.3 (linux; amd64; c2f2aba479653563dbaabefe0f86f5579708ec94; 2022-09-27 15:30:48 +0000 UTC)"
"Oct 26, 2022 @ 00:04:03.000",1,SY7jD4QBwtSpbtrUElRW,".ds-logs-generic-default-2022.10.25-000001","-",generic,default,logs,"x86_64",true,41c63049a1d1,e68f59e1340d42b3bcce755dbb4df233,"10.10.10.2","02:42:0a:0a:0a:02",41c63049a1d1,hirsute,debian,"5.11.0-49-generic",Ubuntu,ubuntu,linux,"21.04 (Hirsute Hippo)",GET,"http://192.168.1.201:8888","4,375",200,"1.1","/var/log/apache2/access.log","10.10.10.1 - - [25/Oct/2022:16:04:03 +0000] ""GET /index.php?action=Login&module=Users HTTP/1.1"" 200 4375 ""http://192.168.1.201:8888"" ""Elastic-Heartbeat/8.4.3 (linux; amd64; c2f2aba479653563dbaabefe0f86f5579708ec94; 2022-09-27 15:30:48 +0000 UTC)""","10.10.10.1",apache,"25/Oct/2022:16:04:03 +0000","/index.php?action=Login&module=Users","Elastic-Heartbeat/8.4.3 (linux; amd64; c2f2aba479653563dbaabefe0f86f5579708ec94; 2022-09-27 15:30:48 +0000 UTC)"
"Oct 26, 2022 @ 00:04:01.000",1,Ro7jD4QBwtSpbtrUElRS,".ds-logs-generic-default-2022.10.25-000001","-",generic,default,logs,"x86_64",true,41c63049a1d1,e68f59e1340d42b3bcce755dbb4df233,"10.10.10.2","02:42:0a:0a:0a:02",41c63049a1d1,hirsute,debian,"5.11.0-49-generic",Ubuntu,ubuntu,linux,"21.04 (Hirsute Hippo)",GET,"-",396,301,"1.1","/var/log/apache2/access.log","192.168.1.210 - - [25/Oct/2022:16:04:01 +0000] ""GET / HTTP/1.1"" 301 396 ""-"" ""Elastic-Heartbeat/8.4.3 (linux; amd64; c2f2aba479653563dbaabefe0f86f5579708ec94; 2022-09-27 15:30:48 +0000 UTC)""","192.168.1.210",apache,"25/Oct/2022:16:04:01 +0000","/","Elastic-Heartbeat/8.4.3 (linux; amd64; c2f2aba479653563dbaabefe0f86f5579708ec94; 2022-09-27 15:30:48 +0000 UTC)"
"Oct 26, 2022 @ 00:04:01.000",1,SI7jD4QBwtSpbtrUElRW,".ds-logs-generic-default-2022.10.25-000001","-",generic,default,logs,"x86_64",true,41c63049a1d1,e68f59e1340d42b3bcce755dbb4df233,"10.10.10.2","02:42:0a:0a:0a:02",41c63049a1d1,hirsute,debian,"5.11.0-49-generic",Ubuntu,ubuntu,linux,"21.04 (Hirsute Hippo)",GET,"http://192.168.1.201:8888","4,375",200,"1.1","/var/log/apache2/access.log","192.168.1.210 - - [25/Oct/2022:16:04:01 +0000] ""GET /index.php?action=Login&module=Users HTTP/1.1"" 200 4375 ""http://192.168.1.201:8888"" ""Elastic-Heartbeat/8.4.3 (linux; amd64; c2f2aba479653563dbaabefe0f86f5579708ec94; 2022-09-27 15:30:48 +0000 UTC)""","192.168.1.210",apache,"25/Oct/2022:16:04:01 +0000","/index.php?action=Login&module=Users","Elastic-Heartbeat/8.4.3 (linux; amd64; c2f2aba479653563dbaabefe0f86f5579708ec94; 2022-09-27 15:30:48 +0000 UTC)"
"Oct 26, 2022 @ 00:03:53.000",1,4o7iD4QBwtSpbtrU11OH,".ds-logs-generic-default-2022.10.25-000001","-",generic,default,logs,"x86_64",true,41c63049a1d1,e68f59e1340d42b3bcce755dbb4df233,"10.10.10.2","02:42:0a:0a:0a:02",41c63049a1d1,hirsute,debian,"5.11.0-49-generic",Ubuntu,ubuntu,linux,"21.04 (Hirsute Hippo)",GET,"http://192.168.1.201:8888","4,375",200,"1.1","/var/log/apache2/access.log","10.10.10.1 - - [25/Oct/2022:16:03:53 +0000] ""GET /index.php?action=Login&module=Users HTTP/1.1"" 200 4375 ""http://192.168.1.201:8888"" ""Elastic-Heartbeat/8.4.3 (linux; amd64; c2f2aba479653563dbaabefe0f86f5579708ec94; 2022-09-27 15:30:48 +0000 UTC)""","10.10.10.1",apache,"25/Oct/2022:16:03:53 +0000","/index.php?action=Login&module=Users","Elastic-Heartbeat/8.4.3 (linux; amd64; c2f2aba479653563dbaabefe0f86f5579708ec94; 2022-09-27 15:30:48 +0000 UTC)"
"Oct 26, 2022 @ 00:03:53.000",1,5I7iD4QBwtSpbtrU11OI,".ds-logs-generic-default-2022.10.25-000001","-",generic,default,logs,"x86_64",true,41c63049a1d1,e68f59e1340d42b3bcce755dbb4df233,"10.10.10.2","02:42:0a:0a:0a:02",41c63049a1d1,hirsute,debian,"5.11.0-49-generic",Ubuntu,ubuntu,linux,"21.04 (Hirsute Hippo)",GET,"-",396,301,"1.1","/var/log/apache2/access.log","10.10.10.1 - - [25/Oct/2022:16:03:53 +0000] ""GET / HTTP/1.1"" 301 396 ""-"" ""Elastic-Heartbeat/8.4.3 (linux; amd64; c2f2aba479653563dbaabefe0f86f5579708ec94; 2022-09-27 15:30:48 +0000 UTC)""","10.10.10.1",apache,"25/Oct/2022:16:03:53 +0000","/","Elastic-Heartbeat/8.4.3 (linux; amd64; c2f2aba479653563dbaabefe0f86f5579708ec94; 2022-09-27 15:30:48 +0000 UTC)"
