"@timestamp","@version","@version.keyword","_id","_index","_score","agent.ephemeral_id","agent.ephemeral_id.keyword","agent.id","agent.id.keyword","agent.name","agent.name.keyword","agent.type","agent.type.keyword","agent.version","agent.version.keyword",day,"day.keyword",dayofweek,"dayofweek.keyword","ecs.version","ecs.version.keyword","event.dataset","event.dataset.keyword","event.original","event.original.keyword","host.architecture","host.architecture.keyword","host.containerized","host.hostname","host.hostname.keyword","host.ip","host.ip.keyword","host.mac","host.mac.keyword","host.name","host.name.keyword","host.os.codename","host.os.codename.keyword","host.os.family","host.os.family.keyword","host.os.kernel","host.os.kernel.keyword","host.os.name","host.os.name.keyword","host.os.platform","host.os.platform.keyword","host.os.type","host.os.type.keyword","host.os.version","host.os.version.keyword","input.type","input.type.keyword","log.file.path","log.file.path.keyword","log.offset",message,"message.keyword",month,"month.keyword",tags,"tags.keyword",time,"time.keyword","vsftpd_action","vsftpd_action.keyword","vsftpd_client_ip","vsftpd_client_ip.keyword","vsftpd_command","vsftpd_command.keyword","vsftpd_pid","vsftpd_pid.keyword","vsftpd_user","vsftpd_user.keyword",year,"year.keyword"
"Oct 20, 2022 @ 23:48:21.064",1,1,"wfQU9oMBsx1V2s_5zmsv","filebeat-2022.10.20","-","3db771dd-380f-4c85-abf0-31f39e08eac2","3db771dd-380f-4c85-abf0-31f39e08eac2","dc2287ad-332b-4c56-857d-8ebec7b82407","dc2287ad-332b-4c56-857d-8ebec7b82407",36b9d60cfba2,36b9d60cfba2,filebeat,filebeat,"8.4.3","8.4.3",20,20,Thu,Thu,"8.0.0","8.0.0",vsftpd,vsftpd,"Thu Oct 20 23:48:11 2022 [pid 69] CONNECT: Client ""192.168.20.3""","Thu Oct 20 23:48:11 2022 [pid 69] CONNECT: Client ""192.168.20.3""","x86_64","x86_64",true,36b9d60cfba2,36b9d60cfba2,"192.168.20.6","192.168.20.6","02:42:c0:a8:14:06","02:42:c0:a8:14:06",36b9d60cfba2,36b9d60cfba2,jammy,jammy,debian,debian,"5.4.0-124-generic","5.4.0-124-generic",Ubuntu,Ubuntu,ubuntu,ubuntu,linux,linux,"22.04.1 LTS (Jammy Jellyfish)","22.04.1 LTS (Jammy Jellyfish)",filestream,filestream,"/var/log/vsftpd.log","/var/log/vsftpd.log","22,848","Thu Oct 20 23:48:11 2022 [pid 69] CONNECT: Client ""192.168.20.3""","Thu Oct 20 23:48:11 2022 [pid 69] CONNECT: Client ""192.168.20.3""",Oct,Oct,"beats_input_codec_plain_applied, _grok_vsftpd_success","beats_input_codec_plain_applied, _grok_vsftpd_success","23:48:11","23:48:11",CONNECT,CONNECT,"192.168.20.3","192.168.20.3","-","-",69,69,"-","-",2022,2022
"Oct 20, 2022 @ 23:48:21.064",1,1,"wvQU9oMBsx1V2s_5zmsv","filebeat-2022.10.20","-","3db771dd-380f-4c85-abf0-31f39e08eac2","3db771dd-380f-4c85-abf0-31f39e08eac2","dc2287ad-332b-4c56-857d-8ebec7b82407","dc2287ad-332b-4c56-857d-8ebec7b82407",36b9d60cfba2,36b9d60cfba2,filebeat,filebeat,"8.4.3","8.4.3",20,20,Thu,Thu,"8.0.0","8.0.0",vsftpd,vsftpd,"Thu Oct 20 23:48:11 2022 [pid 69] FTP response: Client ""192.168.20.3"", ""220 (vsFTPd 2.3.4)""","Thu Oct 20 23:48:11 2022 [pid 69] FTP response: Client ""192.168.20.3"", ""220 (vsFTPd 2.3.4)""","x86_64","x86_64",true,36b9d60cfba2,36b9d60cfba2,"192.168.20.6","192.168.20.6","02:42:c0:a8:14:06","02:42:c0:a8:14:06",36b9d60cfba2,36b9d60cfba2,jammy,jammy,debian,debian,"5.4.0-124-generic","5.4.0-124-generic",Ubuntu,Ubuntu,ubuntu,ubuntu,linux,linux,"22.04.1 LTS (Jammy Jellyfish)","22.04.1 LTS (Jammy Jellyfish)",filestream,filestream,"/var/log/vsftpd.log","/var/log/vsftpd.log","22,913","Thu Oct 20 23:48:11 2022 [pid 69] FTP response: Client ""192.168.20.3"", ""220 (vsFTPd 2.3.4)""","Thu Oct 20 23:48:11 2022 [pid 69] FTP response: Client ""192.168.20.3"", ""220 (vsFTPd 2.3.4)""",Oct,Oct,"beats_input_codec_plain_applied, _grok_vsftpd_success","beats_input_codec_plain_applied, _grok_vsftpd_success","23:48:11","23:48:11","FTP response","FTP response","192.168.20.3","192.168.20.3","""220 (vsFTPd 2.3.4)""","""220 (vsFTPd 2.3.4)""",69,69,"-","-",2022,2022
"Oct 20, 2022 @ 23:47:47.059",1,1,"n_QU9oMBsx1V2s_5SWtY","filebeat-2022.10.20","-","3db771dd-380f-4c85-abf0-31f39e08eac2","3db771dd-380f-4c85-abf0-31f39e08eac2","dc2287ad-332b-4c56-857d-8ebec7b82407","dc2287ad-332b-4c56-857d-8ebec7b82407",36b9d60cfba2,36b9d60cfba2,filebeat,filebeat,"8.4.3","8.4.3",20,20,Thu,Thu,"8.0.0","8.0.0",vsftpd,vsftpd,"Thu Oct 20 23:47:41 2022 [pid 67] CONNECT: Client ""192.168.20.3""","Thu Oct 20 23:47:41 2022 [pid 67] CONNECT: Client ""192.168.20.3""","x86_64","x86_64",true,36b9d60cfba2,36b9d60cfba2,"192.168.20.6","192.168.20.6","02:42:c0:a8:14:06","02:42:c0:a8:14:06",36b9d60cfba2,36b9d60cfba2,jammy,jammy,debian,debian,"5.4.0-124-generic","5.4.0-124-generic",Ubuntu,Ubuntu,ubuntu,ubuntu,linux,linux,"22.04.1 LTS (Jammy Jellyfish)","22.04.1 LTS (Jammy Jellyfish)",filestream,filestream,"/var/log/vsftpd.log","/var/log/vsftpd.log","22,691","Thu Oct 20 23:47:41 2022 [pid 67] CONNECT: Client ""192.168.20.3""","Thu Oct 20 23:47:41 2022 [pid 67] CONNECT: Client ""192.168.20.3""",Oct,Oct,"beats_input_codec_plain_applied, _grok_vsftpd_success","beats_input_codec_plain_applied, _grok_vsftpd_success","23:47:41","23:47:41",CONNECT,CONNECT,"192.168.20.3","192.168.20.3","-","-",67,67,"-","-",2022,2022
"Oct 20, 2022 @ 23:47:47.059",1,1,"oPQU9oMBsx1V2s_5SWtm","filebeat-2022.10.20","-","3db771dd-380f-4c85-abf0-31f39e08eac2","3db771dd-380f-4c85-abf0-31f39e08eac2","dc2287ad-332b-4c56-857d-8ebec7b82407","dc2287ad-332b-4c56-857d-8ebec7b82407",36b9d60cfba2,36b9d60cfba2,filebeat,filebeat,"8.4.3","8.4.3",20,20,Thu,Thu,"8.0.0","8.0.0",vsftpd,vsftpd,"Thu Oct 20 23:47:41 2022 [pid 67] FTP response: Client ""192.168.20.3"", ""220 (vsFTPd 2.3.4)""","Thu Oct 20 23:47:41 2022 [pid 67] FTP response: Client ""192.168.20.3"", ""220 (vsFTPd 2.3.4)""","x86_64","x86_64",true,36b9d60cfba2,36b9d60cfba2,"192.168.20.6","192.168.20.6","02:42:c0:a8:14:06","02:42:c0:a8:14:06",36b9d60cfba2,36b9d60cfba2,jammy,jammy,debian,debian,"5.4.0-124-generic","5.4.0-124-generic",Ubuntu,Ubuntu,ubuntu,ubuntu,linux,linux,"22.04.1 LTS (Jammy Jellyfish)","22.04.1 LTS (Jammy Jellyfish)",filestream,filestream,"/var/log/vsftpd.log","/var/log/vsftpd.log","22,756","Thu Oct 20 23:47:41 2022 [pid 67] FTP response: Client ""192.168.20.3"", ""220 (vsFTPd 2.3.4)""","Thu Oct 20 23:47:41 2022 [pid 67] FTP response: Client ""192.168.20.3"", ""220 (vsFTPd 2.3.4)""",Oct,Oct,"beats_input_codec_plain_applied, _grok_vsftpd_success","beats_input_codec_plain_applied, _grok_vsftpd_success","23:47:41","23:47:41","FTP response","FTP response","192.168.20.3","192.168.20.3","""220 (vsFTPd 2.3.4)""","""220 (vsFTPd 2.3.4)""",67,67,"-","-",2022,2022
"Oct 20, 2022 @ 23:47:13.050",1,1,"bvQT9oMBsx1V2s_5xGt9","filebeat-2022.10.20","-","3db771dd-380f-4c85-abf0-31f39e08eac2","3db771dd-380f-4c85-abf0-31f39e08eac2","dc2287ad-332b-4c56-857d-8ebec7b82407","dc2287ad-332b-4c56-857d-8ebec7b82407",36b9d60cfba2,36b9d60cfba2,filebeat,filebeat,"8.4.3","8.4.3",20,20,Thu,Thu,"8.0.0","8.0.0",vsftpd,vsftpd,"Thu Oct 20 23:47:11 2022 [pid 65] FTP response: Client ""192.168.20.3"", ""220 (vsFTPd 2.3.4)""","Thu Oct 20 23:47:11 2022 [pid 65] FTP response: Client ""192.168.20.3"", ""220 (vsFTPd 2.3.4)""","x86_64","x86_64",true,36b9d60cfba2,36b9d60cfba2,"192.168.20.6","192.168.20.6","02:42:c0:a8:14:06","02:42:c0:a8:14:06",36b9d60cfba2,36b9d60cfba2,jammy,jammy,debian,debian,"5.4.0-124-generic","5.4.0-124-generic",Ubuntu,Ubuntu,ubuntu,ubuntu,linux,linux,"22.04.1 LTS (Jammy Jellyfish)","22.04.1 LTS (Jammy Jellyfish)",filestream,filestream,"/var/log/vsftpd.log","/var/log/vsftpd.log","22,599","Thu Oct 20 23:47:11 2022 [pid 65] FTP response: Client ""192.168.20.3"", ""220 (vsFTPd 2.3.4)""","Thu Oct 20 23:47:11 2022 [pid 65] FTP response: Client ""192.168.20.3"", ""220 (vsFTPd 2.3.4)""",Oct,Oct,"beats_input_codec_plain_applied, _grok_vsftpd_success","beats_input_codec_plain_applied, _grok_vsftpd_success","23:47:11","23:47:11","FTP response","FTP response","192.168.20.3","192.168.20.3","""220 (vsFTPd 2.3.4)""","""220 (vsFTPd 2.3.4)""",65,65,"-","-",2022,2022
"Oct 20, 2022 @ 23:47:13.050",1,1,"bfQT9oMBsx1V2s_5xGt8","filebeat-2022.10.20","-","3db771dd-380f-4c85-abf0-31f39e08eac2","3db771dd-380f-4c85-abf0-31f39e08eac2","dc2287ad-332b-4c56-857d-8ebec7b82407","dc2287ad-332b-4c56-857d-8ebec7b82407",36b9d60cfba2,36b9d60cfba2,filebeat,filebeat,"8.4.3","8.4.3",20,20,Thu,Thu,"8.0.0","8.0.0",vsftpd,vsftpd,"Thu Oct 20 23:47:11 2022 [pid 65] CONNECT: Client ""192.168.20.3""","Thu Oct 20 23:47:11 2022 [pid 65] CONNECT: Client ""192.168.20.3""","x86_64","x86_64",true,36b9d60cfba2,36b9d60cfba2,"192.168.20.6","192.168.20.6","02:42:c0:a8:14:06","02:42:c0:a8:14:06",36b9d60cfba2,36b9d60cfba2,jammy,jammy,debian,debian,"5.4.0-124-generic","5.4.0-124-generic",Ubuntu,Ubuntu,ubuntu,ubuntu,linux,linux,"22.04.1 LTS (Jammy Jellyfish)","22.04.1 LTS (Jammy Jellyfish)",filestream,filestream,"/var/log/vsftpd.log","/var/log/vsftpd.log","22,534","Thu Oct 20 23:47:11 2022 [pid 65] CONNECT: Client ""192.168.20.3""","Thu Oct 20 23:47:11 2022 [pid 65] CONNECT: Client ""192.168.20.3""",Oct,Oct,"beats_input_codec_plain_applied, _grok_vsftpd_success","beats_input_codec_plain_applied, _grok_vsftpd_success","23:47:11","23:47:11",CONNECT,CONNECT,"192.168.20.3","192.168.20.3","-","-",65,65,"-","-",2022,2022
"Oct 20, 2022 @ 23:46:49.043",1,1,"VfQT9oMBsx1V2s_5Zmuv","filebeat-2022.10.20","-","3db771dd-380f-4c85-abf0-31f39e08eac2","3db771dd-380f-4c85-abf0-31f39e08eac2","dc2287ad-332b-4c56-857d-8ebec7b82407","dc2287ad-332b-4c56-857d-8ebec7b82407",36b9d60cfba2,36b9d60cfba2,filebeat,filebeat,"8.4.3","8.4.3",20,20,Thu,Thu,"8.0.0","8.0.0",vsftpd,vsftpd,"Thu Oct 20 23:46:41 2022 [pid 63] CONNECT: Client ""192.168.20.3""","Thu Oct 20 23:46:41 2022 [pid 63] CONNECT: Client ""192.168.20.3""","x86_64","x86_64",true,36b9d60cfba2,36b9d60cfba2,"192.168.20.6","192.168.20.6","02:42:c0:a8:14:06","02:42:c0:a8:14:06",36b9d60cfba2,36b9d60cfba2,jammy,jammy,debian,debian,"5.4.0-124-generic","5.4.0-124-generic",Ubuntu,Ubuntu,ubuntu,ubuntu,linux,linux,"22.04.1 LTS (Jammy Jellyfish)","22.04.1 LTS (Jammy Jellyfish)",filestream,filestream,"/var/log/vsftpd.log","/var/log/vsftpd.log","22,377","Thu Oct 20 23:46:41 2022 [pid 63] CONNECT: Client ""192.168.20.3""","Thu Oct 20 23:46:41 2022 [pid 63] CONNECT: Client ""192.168.20.3""",Oct,Oct,"beats_input_codec_plain_applied, _grok_vsftpd_success","beats_input_codec_plain_applied, _grok_vsftpd_success","23:46:41","23:46:41",CONNECT,CONNECT,"192.168.20.3","192.168.20.3","-","-",63,63,"-","-",2022,2022
"Oct 20, 2022 @ 23:46:49.043",1,1,"VvQT9oMBsx1V2s_5Zmuv","filebeat-2022.10.20","-","3db771dd-380f-4c85-abf0-31f39e08eac2","3db771dd-380f-4c85-abf0-31f39e08eac2","dc2287ad-332b-4c56-857d-8ebec7b82407","dc2287ad-332b-4c56-857d-8ebec7b82407",36b9d60cfba2,36b9d60cfba2,filebeat,filebeat,"8.4.3","8.4.3",20,20,Thu,Thu,"8.0.0","8.0.0",vsftpd,vsftpd,"Thu Oct 20 23:46:41 2022 [pid 63] FTP response: Client ""192.168.20.3"", ""220 (vsFTPd 2.3.4)""","Thu Oct 20 23:46:41 2022 [pid 63] FTP response: Client ""192.168.20.3"", ""220 (vsFTPd 2.3.4)""","x86_64","x86_64",true,36b9d60cfba2,36b9d60cfba2,"192.168.20.6","192.168.20.6","02:42:c0:a8:14:06","02:42:c0:a8:14:06",36b9d60cfba2,36b9d60cfba2,jammy,jammy,debian,debian,"5.4.0-124-generic","5.4.0-124-generic",Ubuntu,Ubuntu,ubuntu,ubuntu,linux,linux,"22.04.1 LTS (Jammy Jellyfish)","22.04.1 LTS (Jammy Jellyfish)",filestream,filestream,"/var/log/vsftpd.log","/var/log/vsftpd.log","22,442","Thu Oct 20 23:46:41 2022 [pid 63] FTP response: Client ""192.168.20.3"", ""220 (vsFTPd 2.3.4)""","Thu Oct 20 23:46:41 2022 [pid 63] FTP response: Client ""192.168.20.3"", ""220 (vsFTPd 2.3.4)""",Oct,Oct,"beats_input_codec_plain_applied, _grok_vsftpd_success","beats_input_codec_plain_applied, _grok_vsftpd_success","23:46:41","23:46:41","FTP response","FTP response","192.168.20.3","192.168.20.3","""220 (vsFTPd 2.3.4)""","""220 (vsFTPd 2.3.4)""",63,63,"-","-",2022,2022
"Oct 20, 2022 @ 23:46:15.025",1,1,"I_QS9oMBsx1V2s_54WvY","filebeat-2022.10.20","-","3db771dd-380f-4c85-abf0-31f39e08eac2","3db771dd-380f-4c85-abf0-31f39e08eac2","dc2287ad-332b-4c56-857d-8ebec7b82407","dc2287ad-332b-4c56-857d-8ebec7b82407",36b9d60cfba2,36b9d60cfba2,filebeat,filebeat,"8.4.3","8.4.3",20,20,Thu,Thu,"8.0.0","8.0.0",vsftpd,vsftpd,"Thu Oct 20 23:46:11 2022 [pid 61] FTP response: Client ""192.168.20.3"", ""220 (vsFTPd 2.3.4)""","Thu Oct 20 23:46:11 2022 [pid 61] FTP response: Client ""192.168.20.3"", ""220 (vsFTPd 2.3.4)""","x86_64","x86_64",true,36b9d60cfba2,36b9d60cfba2,"192.168.20.6","192.168.20.6","02:42:c0:a8:14:06","02:42:c0:a8:14:06",36b9d60cfba2,36b9d60cfba2,jammy,jammy,debian,debian,"5.4.0-124-generic","5.4.0-124-generic",Ubuntu,Ubuntu,ubuntu,ubuntu,linux,linux,"22.04.1 LTS (Jammy Jellyfish)","22.04.1 LTS (Jammy Jellyfish)",filestream,filestream,"/var/log/vsftpd.log","/var/log/vsftpd.log","22,285","Thu Oct 20 23:46:11 2022 [pid 61] FTP response: Client ""192.168.20.3"", ""220 (vsFTPd 2.3.4)""","Thu Oct 20 23:46:11 2022 [pid 61] FTP response: Client ""192.168.20.3"", ""220 (vsFTPd 2.3.4)""",Oct,Oct,"beats_input_codec_plain_applied, _grok_vsftpd_success","beats_input_codec_plain_applied, _grok_vsftpd_success","23:46:11","23:46:11","FTP response","FTP response","192.168.20.3","192.168.20.3","""220 (vsFTPd 2.3.4)""","""220 (vsFTPd 2.3.4)""",61,61,"-","-",2022,2022
"Oct 20, 2022 @ 23:46:15.019",1,1,"IvQS9oMBsx1V2s_54WvP","filebeat-2022.10.20","-","3db771dd-380f-4c85-abf0-31f39e08eac2","3db771dd-380f-4c85-abf0-31f39e08eac2","dc2287ad-332b-4c56-857d-8ebec7b82407","dc2287ad-332b-4c56-857d-8ebec7b82407",36b9d60cfba2,36b9d60cfba2,filebeat,filebeat,"8.4.3","8.4.3",20,20,Thu,Thu,"8.0.0","8.0.0",vsftpd,vsftpd,"Thu Oct 20 23:46:11 2022 [pid 61] CONNECT: Client ""192.168.20.3""","Thu Oct 20 23:46:11 2022 [pid 61] CONNECT: Client ""192.168.20.3""","x86_64","x86_64",true,36b9d60cfba2,36b9d60cfba2,"192.168.20.6","192.168.20.6","02:42:c0:a8:14:06","02:42:c0:a8:14:06",36b9d60cfba2,36b9d60cfba2,jammy,jammy,debian,debian,"5.4.0-124-generic","5.4.0-124-generic",Ubuntu,Ubuntu,ubuntu,ubuntu,linux,linux,"22.04.1 LTS (Jammy Jellyfish)","22.04.1 LTS (Jammy Jellyfish)",filestream,filestream,"/var/log/vsftpd.log","/var/log/vsftpd.log","22,220","Thu Oct 20 23:46:11 2022 [pid 61] CONNECT: Client ""192.168.20.3""","Thu Oct 20 23:46:11 2022 [pid 61] CONNECT: Client ""192.168.20.3""",Oct,Oct,"beats_input_codec_plain_applied, _grok_vsftpd_success","beats_input_codec_plain_applied, _grok_vsftpd_success","23:46:11","23:46:11",CONNECT,CONNECT,"192.168.20.3","192.168.20.3","-","-",61,61,"-","-",2022,2022
