"@timestamp","log.file.path","syslog_hostname","syslog_message","syslog_program"
"Oct 22, 2022 @ 15:52:23.000","/var/log/auth.log",c2be3c5be205,"Received disconnect from 192.168.0.4 port 60484:11: disconnected by user",sshd
"Oct 22, 2022 @ 15:52:23.000","/var/log/auth.log",c2be3c5be205,"Disconnected from user adam 192.168.0.4 port 60484",sshd
"Oct 22, 2022 @ 15:52:23.000","/var/log/auth.log",c2be3c5be205,"syslogin_perform_logout: logout() returned an error",sshd
"Oct 22, 2022 @ 15:52:23.000","/var/log/auth.log",c2be3c5be205,"pam_unix(sshd:session): session closed for user adam",sshd
"Oct 22, 2022 @ 15:36:26.000","/var/log/auth.log",c2be3c5be205,"pam_limits(sudo:session): Could not set limit for 'core' to soft=-1, hard=-1: Operation not permitted; uid=1001,euid=0",sudo
"Oct 22, 2022 @ 15:36:26.000","/var/log/auth.log",c2be3c5be205,"pam_unix(sudo:session): session opened for user root(uid=0) by (uid=1001)",sudo
"Oct 22, 2022 @ 15:36:26.000","/var/log/auth.log",c2be3c5be205,"pam_unix(sudo:session): session closed for user root",sudo
"Oct 22, 2022 @ 15:36:26.000","/var/log/auth.log",c2be3c5be205,"    adam : TTY=pts/0 ; PWD=/home/adam ; USER=root ; COMMAND=/usr/bin/stat /usr/bin/service.sh",sudo
"Oct 22, 2022 @ 15:36:26.000","/var/log/auth.log",c2be3c5be205,"pam_env(sudo:session): Unable to open env file: /etc/default/locale: No such file or directory",sudo
"Oct 22, 2022 @ 15:36:06.000","/var/log/auth.log",c2be3c5be205,"    adam : TTY=pts/0 ; PWD=/home/adam ; USER=root ; COMMAND=/usr/bin/stat /etc/init.d/initservice.sh",sudo
"Oct 22, 2022 @ 15:36:06.000","/var/log/auth.log",c2be3c5be205,"pam_env(sudo:session): Unable to open env file: /etc/default/locale: No such file or directory",sudo
"Oct 22, 2022 @ 15:36:06.000","/var/log/auth.log",c2be3c5be205,"pam_unix(sudo:session): session closed for user root",sudo
"Oct 22, 2022 @ 15:36:06.000","/var/log/auth.log",c2be3c5be205,"pam_limits(sudo:session): Could not set limit for 'core' to soft=-1, hard=-1: Operation not permitted; uid=1001,euid=0",sudo
"Oct 22, 2022 @ 15:36:06.000","/var/log/auth.log",c2be3c5be205,"pam_unix(sudo:session): session opened for user root(uid=0) by (uid=1001)",sudo
"Oct 22, 2022 @ 15:35:41.000","/var/log/auth.log",c2be3c5be205,"pam_limits(sudo:session): Could not set limit for 'core' to soft=-1, hard=-1: Operation not permitted; uid=1001,euid=0",sudo
