"@timestamp","@version","@version.keyword","_id","_index","_score","agent.ephemeral_id","agent.ephemeral_id.keyword","agent.id","agent.id.keyword","agent.name","agent.name.keyword","agent.type","agent.type.keyword","agent.version","agent.version.keyword","ecs.version","ecs.version.keyword","event.original","event.original.keyword","fields.ssh-log","fields.ssh-log.keyword","host.name","host.name.keyword","input.type","input.type.keyword","log.file.path","log.file.path.keyword","log.offset",message,"message.keyword","received_at","received_from","received_from.keyword",server,"server.keyword","syslog_hostname","syslog_hostname.keyword","syslog_message","syslog_message.keyword","syslog_pid","syslog_pid.keyword","syslog_program","syslog_program.keyword","syslog_timestamp","syslog_timestamp.keyword",tags,"tags.keyword"
"Oct 25, 2022 @ 15:29:49.000",1,1,LmAMDoQBQoDvSlp1QcFp,"sqlserver-index--2022.10.25","-","3aa4964c-230d-4e96-9270-84ce5a6b7ca8","3aa4964c-230d-4e96-9270-84ce5a6b7ca8","904954b8-c235-4cc9-ac8e-1e2a1fecc667","904954b8-c235-4cc9-ac8e-1e2a1fecc667",c2be3c5be205,c2be3c5be205,filebeat,filebeat,"8.4.3","8.4.3","8.0.0","8.0.0","Oct 25 07:29:49 c2be3c5be205 sshd[401]: Received disconnect from 172.17.0.1 port 41514:11: disconnected by user","Oct 25 07:29:49 c2be3c5be205 sshd[401]: Received disconnect from 172.17.0.1 port 41514:11: disconnected by user",sqlserver,sqlserver,c2be3c5be205,c2be3c5be205,filestream,filestream,"/var/log/auth.log","/var/log/auth.log","22,610","Oct 25 07:29:49 c2be3c5be205 sshd[401]: Received disconnect from 172.17.0.1 port 41514:11: disconnected by user","Oct 25 07:29:49 c2be3c5be205 sshd[401]: Received disconnect from 172.17.0.1 port 41514:11: disconnected by user","Oct 25, 2022 @ 15:29:51.070","{""name"":""c2be3c5be205""}","{""name"":""c2be3c5be205""}",sql,sql,c2be3c5be205,c2be3c5be205,"Received disconnect from 172.17.0.1 port 41514:11: disconnected by user","Received disconnect from 172.17.0.1 port 41514:11: disconnected by user",401,401,sshd,sshd,"Oct 25 07:29:49","Oct 25 07:29:49","beats_input_codec_plain_applied","beats_input_codec_plain_applied"
"Oct 25, 2022 @ 15:29:49.000",1,1,L2AMDoQBQoDvSlp1QcFp,"sqlserver-index--2022.10.25","-","3aa4964c-230d-4e96-9270-84ce5a6b7ca8","3aa4964c-230d-4e96-9270-84ce5a6b7ca8","904954b8-c235-4cc9-ac8e-1e2a1fecc667","904954b8-c235-4cc9-ac8e-1e2a1fecc667",c2be3c5be205,c2be3c5be205,filebeat,filebeat,"8.4.3","8.4.3","8.0.0","8.0.0","Oct 25 07:29:49 c2be3c5be205 sshd[401]: Disconnected from user vagrant 172.17.0.1 port 41514","Oct 25 07:29:49 c2be3c5be205 sshd[401]: Disconnected from user vagrant 172.17.0.1 port 41514",sqlserver,sqlserver,c2be3c5be205,c2be3c5be205,filestream,filestream,"/var/log/auth.log","/var/log/auth.log","22,722","Oct 25 07:29:49 c2be3c5be205 sshd[401]: Disconnected from user vagrant 172.17.0.1 port 41514","Oct 25 07:29:49 c2be3c5be205 sshd[401]: Disconnected from user vagrant 172.17.0.1 port 41514","Oct 25, 2022 @ 15:29:51.213","{""name"":""c2be3c5be205""}","{""name"":""c2be3c5be205""}",sql,sql,c2be3c5be205,c2be3c5be205,"Disconnected from user vagrant 172.17.0.1 port 41514","Disconnected from user vagrant 172.17.0.1 port 41514",401,401,sshd,sshd,"Oct 25 07:29:49","Oct 25 07:29:49","beats_input_codec_plain_applied","beats_input_codec_plain_applied"
"Oct 25, 2022 @ 15:29:49.000",1,1,MGAMDoQBQoDvSlp1QcFp,"sqlserver-index--2022.10.25","-","3aa4964c-230d-4e96-9270-84ce5a6b7ca8","3aa4964c-230d-4e96-9270-84ce5a6b7ca8","904954b8-c235-4cc9-ac8e-1e2a1fecc667","904954b8-c235-4cc9-ac8e-1e2a1fecc667",c2be3c5be205,c2be3c5be205,filebeat,filebeat,"8.4.3","8.4.3","8.0.0","8.0.0","Oct 25 07:29:49 c2be3c5be205 sshd[390]: syslogin_perform_logout: logout() returned an error","Oct 25 07:29:49 c2be3c5be205 sshd[390]: syslogin_perform_logout: logout() returned an error",sqlserver,sqlserver,c2be3c5be205,c2be3c5be205,filestream,filestream,"/var/log/auth.log","/var/log/auth.log","22,815","Oct 25 07:29:49 c2be3c5be205 sshd[390]: syslogin_perform_logout: logout() returned an error","Oct 25 07:29:49 c2be3c5be205 sshd[390]: syslogin_perform_logout: logout() returned an error","Oct 25, 2022 @ 15:29:51.213","{""name"":""c2be3c5be205""}","{""name"":""c2be3c5be205""}",sql,sql,c2be3c5be205,c2be3c5be205,"syslogin_perform_logout: logout() returned an error","syslogin_perform_logout: logout() returned an error",390,390,sshd,sshd,"Oct 25 07:29:49","Oct 25 07:29:49","beats_input_codec_plain_applied","beats_input_codec_plain_applied"
"Oct 25, 2022 @ 15:29:49.000",1,1,MWAMDoQBQoDvSlp1QcFp,"sqlserver-index--2022.10.25","-","3aa4964c-230d-4e96-9270-84ce5a6b7ca8","3aa4964c-230d-4e96-9270-84ce5a6b7ca8","904954b8-c235-4cc9-ac8e-1e2a1fecc667","904954b8-c235-4cc9-ac8e-1e2a1fecc667",c2be3c5be205,c2be3c5be205,filebeat,filebeat,"8.4.3","8.4.3","8.0.0","8.0.0","Oct 25 07:29:49 c2be3c5be205 sshd[390]: pam_unix(sshd:session): session closed for user vagrant","Oct 25 07:29:49 c2be3c5be205 sshd[390]: pam_unix(sshd:session): session closed for user vagrant",sqlserver,sqlserver,c2be3c5be205,c2be3c5be205,filestream,filestream,"/var/log/auth.log","/var/log/auth.log","22,907","Oct 25 07:29:49 c2be3c5be205 sshd[390]: pam_unix(sshd:session): session closed for user vagrant","Oct 25 07:29:49 c2be3c5be205 sshd[390]: pam_unix(sshd:session): session closed for user vagrant","Oct 25, 2022 @ 15:29:51.213","{""name"":""c2be3c5be205""}","{""name"":""c2be3c5be205""}",sql,sql,c2be3c5be205,c2be3c5be205,"pam_unix(sshd:session): session closed for user vagrant","pam_unix(sshd:session): session closed for user vagrant",390,390,sshd,sshd,"Oct 25 07:29:49","Oct 25 07:29:49","beats_input_codec_plain_applied","beats_input_codec_plain_applied"
"Oct 25, 2022 @ 15:05:53.000",1,1,12D2DYQBQoDvSlp1Uq38,"sqlserver-index--2022.10.25","-","3aa4964c-230d-4e96-9270-84ce5a6b7ca8","3aa4964c-230d-4e96-9270-84ce5a6b7ca8","904954b8-c235-4cc9-ac8e-1e2a1fecc667","904954b8-c235-4cc9-ac8e-1e2a1fecc667",c2be3c5be205,c2be3c5be205,filebeat,filebeat,"8.4.3","8.4.3","8.0.0","8.0.0","Oct 25 07:05:53 c2be3c5be205 sudo: pam_limits(sudo:session): Could not set limit for 'core' to soft=-1, hard=-1: Operation not permitted; uid=1000,euid=0","Oct 25 07:05:53 c2be3c5be205 sudo: pam_limits(sudo:session): Could not set limit for 'core' to soft=-1, hard=-1: Operation not permitted; uid=1000,euid=0",sqlserver,sqlserver,c2be3c5be205,c2be3c5be205,filestream,filestream,"/var/log/auth.log","/var/log/auth.log","22,129","Oct 25 07:05:53 c2be3c5be205 sudo: pam_limits(sudo:session): Could not set limit for 'core' to soft=-1, hard=-1: Operation not permitted; uid=1000,euid=0","Oct 25 07:05:53 c2be3c5be205 sudo: pam_limits(sudo:session): Could not set limit for 'core' to soft=-1, hard=-1: Operation not permitted; uid=1000,euid=0","Oct 25, 2022 @ 15:05:56.641","{""name"":""c2be3c5be205""}","{""name"":""c2be3c5be205""}",sql,sql,c2be3c5be205,c2be3c5be205,"pam_limits(sudo:session): Could not set limit for 'core' to soft=-1, hard=-1: Operation not permitted; uid=1000,euid=0","pam_limits(sudo:session): Could not set limit for 'core' to soft=-1, hard=-1: Operation not permitted; uid=1000,euid=0","-","-",sudo,sudo,"Oct 25 07:05:53","Oct 25 07:05:53","beats_input_codec_plain_applied","beats_input_codec_plain_applied"
"Oct 25, 2022 @ 15:05:53.000",1,1,2GD2DYQBQoDvSlp1Uq38,"sqlserver-index--2022.10.25","-","3aa4964c-230d-4e96-9270-84ce5a6b7ca8","3aa4964c-230d-4e96-9270-84ce5a6b7ca8","904954b8-c235-4cc9-ac8e-1e2a1fecc667","904954b8-c235-4cc9-ac8e-1e2a1fecc667",c2be3c5be205,c2be3c5be205,filebeat,filebeat,"8.4.3","8.4.3","8.0.0","8.0.0","Oct 25 07:05:53 c2be3c5be205 sudo: pam_env(sudo:session): Unable to open env file: /etc/default/locale: No such file or directory","Oct 25 07:05:53 c2be3c5be205 sudo: pam_env(sudo:session): Unable to open env file: /etc/default/locale: No such file or directory",sqlserver,sqlserver,c2be3c5be205,c2be3c5be205,filestream,filestream,"/var/log/auth.log","/var/log/auth.log","22,283","Oct 25 07:05:53 c2be3c5be205 sudo: pam_env(sudo:session): Unable to open env file: /etc/default/locale: No such file or directory","Oct 25 07:05:53 c2be3c5be205 sudo: pam_env(sudo:session): Unable to open env file: /etc/default/locale: No such file or directory","Oct 25, 2022 @ 15:05:56.641","{""name"":""c2be3c5be205""}","{""name"":""c2be3c5be205""}",sql,sql,c2be3c5be205,c2be3c5be205,"pam_env(sudo:session): Unable to open env file: /etc/default/locale: No such file or directory","pam_env(sudo:session): Unable to open env file: /etc/default/locale: No such file or directory","-","-",sudo,sudo,"Oct 25 07:05:53","Oct 25 07:05:53","beats_input_codec_plain_applied","beats_input_codec_plain_applied"
"Oct 25, 2022 @ 15:05:53.000",1,1,2WD2DYQBQoDvSlp1Uq38,"sqlserver-index--2022.10.25","-","3aa4964c-230d-4e96-9270-84ce5a6b7ca8","3aa4964c-230d-4e96-9270-84ce5a6b7ca8","904954b8-c235-4cc9-ac8e-1e2a1fecc667","904954b8-c235-4cc9-ac8e-1e2a1fecc667",c2be3c5be205,c2be3c5be205,filebeat,filebeat,"8.4.3","8.4.3","8.0.0","8.0.0","Oct 25 07:05:53 c2be3c5be205 sudo: pam_unix(sudo:session): session opened for user root(uid=0) by (uid=1000)","Oct 25 07:05:53 c2be3c5be205 sudo: pam_unix(sudo:session): session opened for user root(uid=0) by (uid=1000)",sqlserver,sqlserver,c2be3c5be205,c2be3c5be205,filestream,filestream,"/var/log/auth.log","/var/log/auth.log","22,413","Oct 25 07:05:53 c2be3c5be205 sudo: pam_unix(sudo:session): session opened for user root(uid=0) by (uid=1000)","Oct 25 07:05:53 c2be3c5be205 sudo: pam_unix(sudo:session): session opened for user root(uid=0) by (uid=1000)","Oct 25, 2022 @ 15:05:56.641","{""name"":""c2be3c5be205""}","{""name"":""c2be3c5be205""}",sql,sql,c2be3c5be205,c2be3c5be205,"pam_unix(sudo:session): session opened for user root(uid=0) by (uid=1000)","pam_unix(sudo:session): session opened for user root(uid=0) by (uid=1000)","-","-",sudo,sudo,"Oct 25 07:05:53","Oct 25 07:05:53","beats_input_codec_plain_applied","beats_input_codec_plain_applied"
"Oct 25, 2022 @ 15:05:53.000",1,1,2mD2DYQBQoDvSlp1U60F,"sqlserver-index--2022.10.25","-","3aa4964c-230d-4e96-9270-84ce5a6b7ca8","3aa4964c-230d-4e96-9270-84ce5a6b7ca8","904954b8-c235-4cc9-ac8e-1e2a1fecc667","904954b8-c235-4cc9-ac8e-1e2a1fecc667",c2be3c5be205,c2be3c5be205,filebeat,filebeat,"8.4.3","8.4.3","8.0.0","8.0.0","Oct 25 07:05:53 c2be3c5be205 sudo:  vagrant : TTY=pts/0 ; PWD=/home/ubuntu ; USER=root ; COMMAND=/usr/bin/ls -li /home/adam/.ssh/authorized_keys","Oct 25 07:05:53 c2be3c5be205 sudo:  vagrant : TTY=pts/0 ; PWD=/home/ubuntu ; USER=root ; COMMAND=/usr/bin/ls -li /home/adam/.ssh/authorized_keys",sqlserver,sqlserver,c2be3c5be205,c2be3c5be205,filestream,filestream,"/var/log/auth.log","/var/log/auth.log","21,984","Oct 25 07:05:53 c2be3c5be205 sudo:  vagrant : TTY=pts/0 ; PWD=/home/ubuntu ; USER=root ; COMMAND=/usr/bin/ls -li /home/adam/.ssh/authorized_keys","Oct 25 07:05:53 c2be3c5be205 sudo:  vagrant : TTY=pts/0 ; PWD=/home/ubuntu ; USER=root ; COMMAND=/usr/bin/ls -li /home/adam/.ssh/authorized_keys","Oct 25, 2022 @ 15:05:56.641","{""name"":""c2be3c5be205""}","{""name"":""c2be3c5be205""}",sql,sql,c2be3c5be205,c2be3c5be205," vagrant : TTY=pts/0 ; PWD=/home/ubuntu ; USER=root ; COMMAND=/usr/bin/ls -li /home/adam/.ssh/authorized_keys"," vagrant : TTY=pts/0 ; PWD=/home/ubuntu ; USER=root ; COMMAND=/usr/bin/ls -li /home/adam/.ssh/authorized_keys","-","-",sudo,sudo,"Oct 25 07:05:53","Oct 25 07:05:53","beats_input_codec_plain_applied","beats_input_codec_plain_applied"
"Oct 25, 2022 @ 15:05:53.000",1,1,22D2DYQBQoDvSlp1U60F,"sqlserver-index--2022.10.25","-","3aa4964c-230d-4e96-9270-84ce5a6b7ca8","3aa4964c-230d-4e96-9270-84ce5a6b7ca8","904954b8-c235-4cc9-ac8e-1e2a1fecc667","904954b8-c235-4cc9-ac8e-1e2a1fecc667",c2be3c5be205,c2be3c5be205,filebeat,filebeat,"8.4.3","8.4.3","8.0.0","8.0.0","Oct 25 07:05:53 c2be3c5be205 sudo: pam_unix(sudo:session): session closed for user root","Oct 25 07:05:53 c2be3c5be205 sudo: pam_unix(sudo:session): session closed for user root",sqlserver,sqlserver,c2be3c5be205,c2be3c5be205,filestream,filestream,"/var/log/auth.log","/var/log/auth.log","22,522","Oct 25 07:05:53 c2be3c5be205 sudo: pam_unix(sudo:session): session closed for user root","Oct 25 07:05:53 c2be3c5be205 sudo: pam_unix(sudo:session): session closed for user root","Oct 25, 2022 @ 15:05:56.641","{""name"":""c2be3c5be205""}","{""name"":""c2be3c5be205""}",sql,sql,c2be3c5be205,c2be3c5be205,"pam_unix(sudo:session): session closed for user root","pam_unix(sudo:session): session closed for user root","-","-",sudo,sudo,"Oct 25 07:05:53","Oct 25 07:05:53","beats_input_codec_plain_applied","beats_input_codec_plain_applied"
"Oct 25, 2022 @ 15:04:59.000",1,1,"KGD1DYQBQoDvSlp1f63-","sqlserver-index--2022.10.25","-","3aa4964c-230d-4e96-9270-84ce5a6b7ca8","3aa4964c-230d-4e96-9270-84ce5a6b7ca8","904954b8-c235-4cc9-ac8e-1e2a1fecc667","904954b8-c235-4cc9-ac8e-1e2a1fecc667",c2be3c5be205,c2be3c5be205,filebeat,filebeat,"8.4.3","8.4.3","8.0.0","8.0.0","Oct 25 07:04:59 c2be3c5be205 sudo: pam_limits(sudo:session): Could not set limit for 'core' to soft=-1, hard=-1: Operation not permitted; uid=1000,euid=0","Oct 25 07:04:59 c2be3c5be205 sudo: pam_limits(sudo:session): Could not set limit for 'core' to soft=-1, hard=-1: Operation not permitted; uid=1000,euid=0",sqlserver,sqlserver,c2be3c5be205,c2be3c5be205,filestream,filestream,"/var/log/auth.log","/var/log/auth.log","21,503","Oct 25 07:04:59 c2be3c5be205 sudo: pam_limits(sudo:session): Could not set limit for 'core' to soft=-1, hard=-1: Operation not permitted; uid=1000,euid=0","Oct 25 07:04:59 c2be3c5be205 sudo: pam_limits(sudo:session): Could not set limit for 'core' to soft=-1, hard=-1: Operation not permitted; uid=1000,euid=0","Oct 25, 2022 @ 15:05:02.621","{""name"":""c2be3c5be205""}","{""name"":""c2be3c5be205""}",sql,sql,c2be3c5be205,c2be3c5be205,"pam_limits(sudo:session): Could not set limit for 'core' to soft=-1, hard=-1: Operation not permitted; uid=1000,euid=0","pam_limits(sudo:session): Could not set limit for 'core' to soft=-1, hard=-1: Operation not permitted; uid=1000,euid=0","-","-",sudo,sudo,"Oct 25 07:04:59","Oct 25 07:04:59","beats_input_codec_plain_applied","beats_input_codec_plain_applied"
