"@timestamp","agent.name",message
"Oct 24, 2022 @ 23:19:29.978","filebeat-honeypot","2022/10/24 15:19:28 [172.18.0.5:41294] authentication for user ""www-data"" with public key ""SHA256:kOAWI6TohqpqkFc6K5Jr9o8jgzqHjDUCx2eCLct2GgI"" rejected"
"Oct 24, 2022 @ 23:19:29.978","filebeat-honeypot","2022/10/24 15:19:28 [172.18.0.5:41296] authentication for user ""www-data"" with public key ""SHA256:kOAWI6TohqpqkFc6K5Jr9o8jgzqHjDUCx2eCLct2GgI"" rejected"
"Oct 24, 2022 @ 23:19:29.978","filebeat-honeypot","2022/10/24 15:19:29 [172.18.0.5:41298] authentication for user ""www-data"" with public key ""SHA256:kOAWI6TohqpqkFc6K5Jr9o8jgzqHjDUCx2eCLct2GgI"" rejected"
"Oct 24, 2022 @ 23:19:29.978","filebeat-honeypot","2022/10/24 15:19:29 [172.18.0.5:41300] authentication for user ""www-data"" with public key ""SHA256:kOAWI6TohqpqkFc6K5Jr9o8jgzqHjDUCx2eCLct2GgI"" rejected"
"Oct 24, 2022 @ 23:19:27.976","filebeat-honeypot","2022/10/24 15:19:26 [172.18.0.5:41286] authentication for user ""www-data"" with public key ""SHA256:kOAWI6TohqpqkFc6K5Jr9o8jgzqHjDUCx2eCLct2GgI"" rejected"
"Oct 24, 2022 @ 23:19:27.976","filebeat-honeypot","2022/10/24 15:19:26 [172.18.0.5:41288] authentication for user ""www-data"" with public key ""SHA256:kOAWI6TohqpqkFc6K5Jr9o8jgzqHjDUCx2eCLct2GgI"" rejected"
"Oct 24, 2022 @ 23:19:27.976","filebeat-honeypot","2022/10/24 15:19:27 [172.18.0.5:41290] authentication for user ""www-data"" with public key ""SHA256:kOAWI6TohqpqkFc6K5Jr9o8jgzqHjDUCx2eCLct2GgI"" rejected"
"Oct 24, 2022 @ 23:19:27.976","filebeat-honeypot","2022/10/24 15:19:27 [172.18.0.5:41292] authentication for user ""www-data"" with public key ""SHA256:kOAWI6TohqpqkFc6K5Jr9o8jgzqHjDUCx2eCLct2GgI"" rejected"
"Oct 24, 2022 @ 23:19:25.975","filebeat-honeypot","2022/10/24 15:19:24 [172.18.0.5:41278] authentication for user ""www-data"" with public key ""SHA256:kOAWI6TohqpqkFc6K5Jr9o8jgzqHjDUCx2eCLct2GgI"" rejected"
"Oct 24, 2022 @ 23:19:25.975","filebeat-honeypot","2022/10/24 15:19:24 [172.18.0.5:41280] authentication for user ""www-data"" with public key ""SHA256:kOAWI6TohqpqkFc6K5Jr9o8jgzqHjDUCx2eCLct2GgI"" rejected"
"Oct 24, 2022 @ 23:19:25.975","filebeat-honeypot","2022/10/24 15:19:25 [172.18.0.5:41282] authentication for user ""www-data"" with public key ""SHA256:kOAWI6TohqpqkFc6K5Jr9o8jgzqHjDUCx2eCLct2GgI"" rejected"
