"@timestamp","bytes_in","bytes_out","destination.ip","destination.port","destination.mac","host.name","source.ip","source.mac","source.port","network.transport","network.type","network.packets"
"Oct 23, 2022 @ 07:19:40.002",66B,66B,"172.20.0.4",8080,"02:42:ac:14:00:04",UbuntuIns,"172.20.0.6","02:42:ac:14:00:06",53014,tcp,ipv4,2
"Oct 23, 2022 @ 07:19:30.002",66B,66B,"172.20.0.4",8080,"02:42:ac:14:00:04",UbuntuIns,"172.20.0.6","02:42:ac:14:00:06",53014,tcp,ipv4,2
"Oct 23, 2022 @ 07:19:30.000",66B,66B,"172.20.0.4",8080,"02:42:ac:14:00:04",tomcat,"172.20.0.6","02:42:ac:14:00:06",53014,tcp,ipv4,2
"Oct 23, 2022 @ 07:19:20.002",66B,66B,"172.20.0.4",8080,"02:42:ac:14:00:04",UbuntuIns,"172.20.0.6","02:42:ac:14:00:06",53014,tcp,ipv4,2
"Oct 23, 2022 @ 07:19:20.000",66B,66B,"172.20.0.4",8080,"02:42:ac:14:00:04",tomcat,"172.20.0.6","02:42:ac:14:00:06",53014,tcp,ipv4,2
"Oct 23, 2022 @ 07:19:10.002",66B,66B,"172.20.0.4",8080,"02:42:ac:14:00:04",tomcat,"172.20.0.6","02:42:ac:14:00:06",53014,tcp,ipv4,2
"Oct 23, 2022 @ 07:19:10.002",66B,66B,"172.20.0.4",8080,"02:42:ac:14:00:04",UbuntuIns,"172.20.0.6","02:42:ac:14:00:06",53014,tcp,ipv4,2
"Oct 23, 2022 @ 07:19:00.002",66B,66B,"172.20.0.4",8080,"02:42:ac:14:00:04",UbuntuIns,"172.20.0.6","02:42:ac:14:00:06",53014,tcp,ipv4,2
"Oct 23, 2022 @ 07:19:00.000",66B,66B,"172.20.0.4",8080,"02:42:ac:14:00:04",tomcat,"172.20.0.6","02:42:ac:14:00:06",53014,tcp,ipv4,2
"Oct 23, 2022 @ 07:18:50.001",66B,66B,"172.20.0.4",8080,"02:42:ac:14:00:04",UbuntuIns,"172.20.0.6","02:42:ac:14:00:06",53014,tcp,ipv4,2
"Oct 23, 2022 @ 07:18:50.001",66B,66B,"172.20.0.4",8080,"02:42:ac:14:00:04",tomcat,"172.20.0.6","02:42:ac:14:00:06",53014,tcp,ipv4,2
"Oct 23, 2022 @ 07:18:40.002",66B,66B,"172.20.0.4",8080,"02:42:ac:14:00:04",UbuntuIns,"172.20.0.6","02:42:ac:14:00:06",53014,tcp,ipv4,2
