@timestamp,agent.hostname,bytes_in,bytes_out,destination.bytes,destination.ip,destination.packets,destination.port,event.duration,event.end,event.start,event.type,flow.final,host.id,host.ip,host.mac,host.os.codename,host.os.family,host.os.kernel,host.os.name,host.os.type,host.os.version,network.bytes,network.packets,network.transport,network.type,source.bytes,source.ip,source.packets,source.port
"Oct 24, 2022 @ 23:22:00.003",dvwa_db,432,611,611,127.0.0.1,6,"3,306","115,740","Oct 24, 2022 @ 23:21:23.790","Oct 24, 2022 @ 23:21:23.790",connection,False,-,10.10.10.20,02:42:0a:0a:0a:14,jammy,debian,5.15.0-52-generic,Ubuntu,linux,22.04.1 LTS (Jammy Jellyfish),"1,043",11,tcp,ipv4,432,127.0.0.1,5,"46,138"
"Oct 24, 2022 @ 23:22:00.003",dvwa_db,432,611,611,127.0.0.1,6,"3,306","113,150","Oct 24, 2022 @ 23:21:34.029","Oct 24, 2022 @ 23:21:34.029",connection,False,-,10.10.10.20,02:42:0a:0a:0a:14,jammy,debian,5.15.0-52-generic,Ubuntu,linux,22.04.1 LTS (Jammy Jellyfish),"1,043",11,tcp,ipv4,432,127.0.0.1,5,"47,506"
"Oct 24, 2022 @ 23:22:00.003",dvwa_db,553,546,546,10.10.10.20,6,"3,306","226,130","Oct 24, 2022 @ 23:21:40.690","Oct 24, 2022 @ 23:21:40.690",connection,False,-,10.10.10.20,02:42:0a:0a:0a:14,jammy,debian,5.15.0-52-generic,Ubuntu,linux,22.04.1 LTS (Jammy Jellyfish),"1,099",12,tcp,ipv4,553,10.10.10.10,6,"38,662"
"Oct 24, 2022 @ 23:22:00.003",dvwa_db,629,625,625,10.10.10.20,7,"3,306","674,539","Oct 24, 2022 @ 23:21:40.691","Oct 24, 2022 @ 23:21:40.690",connection,False,-,10.10.10.20,02:42:0a:0a:0a:14,jammy,debian,5.15.0-52-generic,Ubuntu,linux,22.04.1 LTS (Jammy Jellyfish),"1,254",14,tcp,ipv4,629,10.10.10.10,7,"38,678"
"Oct 24, 2022 @ 23:22:00.003",dvwa_db,621,478,478,10.10.10.20,5,"3,306","115,110","Oct 24, 2022 @ 23:21:40.691","Oct 24, 2022 @ 23:21:40.691",connection,False,-,10.10.10.20,02:42:0a:0a:0a:14,jammy,debian,5.15.0-52-generic,Ubuntu,linux,22.04.1 LTS (Jammy Jellyfish),"1,099",12,tcp,ipv4,621,10.10.10.10,7,"38,680"
"Oct 24, 2022 @ 23:22:00.003",dvwa_db,629,625,625,10.10.10.20,7,"3,306","160,640","Oct 24, 2022 @ 23:21:40.691","Oct 24, 2022 @ 23:21:40.691",connection,False,-,10.10.10.20,02:42:0a:0a:0a:14,jammy,debian,5.15.0-52-generic,Ubuntu,linux,22.04.1 LTS (Jammy Jellyfish),"1,254",14,tcp,ipv4,629,10.10.10.10,7,"38,694"
"Oct 24, 2022 @ 23:22:00.003",dvwa_db,621,478,478,10.10.10.20,5,"3,306","104,930","Oct 24, 2022 @ 23:21:40.691","Oct 24, 2022 @ 23:21:40.691",connection,False,-,10.10.10.20,02:42:0a:0a:0a:14,jammy,debian,5.15.0-52-generic,Ubuntu,linux,22.04.1 LTS (Jammy Jellyfish),"1,099",12,tcp,ipv4,621,10.10.10.10,7,"38,708"
"Oct 24, 2022 @ 23:22:00.003",dvwa_db,805,799,799,10.10.10.20,7,"3,306","237,170","Oct 24, 2022 @ 23:21:40.691","Oct 24, 2022 @ 23:21:40.691",connection,False,-,10.10.10.20,02:42:0a:0a:0a:14,jammy,debian,5.15.0-52-generic,Ubuntu,linux,22.04.1 LTS (Jammy Jellyfish),"1,604",16,tcp,ipv4,805,10.10.10.10,9,"38,720"
"Oct 24, 2022 @ 23:22:00.003",dvwa_db,553,546,546,10.10.10.20,6,"3,306","168,450","Oct 24, 2022 @ 23:21:40.691","Oct 24, 2022 @ 23:21:40.691",connection,False,-,10.10.10.20,02:42:0a:0a:0a:14,jammy,debian,5.15.0-52-generic,Ubuntu,linux,22.04.1 LTS (Jammy Jellyfish),"1,099",12,tcp,ipv4,553,10.10.10.10,6,"38,732"
"Oct 24, 2022 @ 23:22:00.003",dvwa_db,697,557,557,10.10.10.20,6,"3,306","169,610","Oct 24, 2022 @ 23:21:40.691","Oct 24, 2022 @ 23:21:40.691",connection,False,-,10.10.10.20,02:42:0a:0a:0a:14,jammy,debian,5.15.0-52-generic,Ubuntu,linux,22.04.1 LTS (Jammy Jellyfish),"1,254",14,tcp,ipv4,697,10.10.10.10,8,"38,736"
"Oct 24, 2022 @ 23:22:00.003",dvwa_db,553,546,546,10.10.10.20,6,"3,306","109,459","Oct 24, 2022 @ 23:21:40.691","Oct 24, 2022 @ 23:21:40.691",connection,False,-,10.10.10.20,02:42:0a:0a:0a:14,jammy,debian,5.15.0-52-generic,Ubuntu,linux,22.04.1 LTS (Jammy Jellyfish),"1,099",12,tcp,ipv4,553,10.10.10.10,6,"38,748"
"Oct 24, 2022 @ 23:22:00.003",dvwa_db,697,557,557,10.10.10.20,6,"3,306","261,979","Oct 24, 2022 @ 23:21:42.738","Oct 24, 2022 @ 23:21:42.737",connection,False,-,10.10.10.20,02:42:0a:0a:0a:14,jammy,debian,5.15.0-52-generic,Ubuntu,linux,22.04.1 LTS (Jammy Jellyfish),"1,254",14,tcp,ipv4,697,10.10.10.10,8,"34,628"
"Oct 24, 2022 @ 23:22:00.003",dvwa_db,553,546,546,10.10.10.20,6,"3,306","137,509","Oct 24, 2022 @ 23:21:42.738","Oct 24, 2022 @ 23:21:42.738",connection,False,-,10.10.10.20,02:42:0a:0a:0a:14,jammy,debian,5.15.0-52-generic,Ubuntu,linux,22.04.1 LTS (Jammy Jellyfish),"1,099",12,tcp,ipv4,553,10.10.10.10,6,"34,636"
