"@timestamp","_id","_index","_score","agent.ephemeral_id","agent.hostname","agent.id","agent.name","agent.type","agent.version","bytes_in","bytes_out","destination.bytes","destination.ip","destination.packets","destination.port","ecs.version","event.action","event.category","event.dataset","event.duration","event.end","event.kind","event.start","event.type","flow.final","flow.id","host.architecture","host.containerized","host.hostname","host.id","host.ip","host.mac","host.name","host.os.codename","host.os.family","host.os.kernel","host.os.name","host.os.name.text","host.os.platform","host.os.type","host.os.version","network.bytes","network.community_id","network.packets","network.transport","network.type","source.bytes","source.ip","source.packets","source.port",type
"Oct 24, 2022 @ 23:22:00.003",xdaWCoQBDsc6tFfSHdSw,".ds-packetbeat-8.4.3-2022.10.24-000001","-","284bf25d-6e89-400e-95a1-037edfec5bc0","dvwa_db","6c71a53f-e22b-4efa-89c2-2686e21c53d3","dvwa_db",packetbeat,"8.4.3",432,611,611,"127.0.0.1",6,"3,306","8.0.0","network_flow",network,flow,"115,740","Oct 24, 2022 @ 23:21:23.790",event,"Oct 24, 2022 @ 23:21:23.790",connection,false,"EAz/////AP//////CAwAAAF/AAABfwAAATq06gyxAAAAAAAAAA","x86_64",false,"dvwa_db","-","10.10.10.20","02:42:0a:0a:0a:14","dvwa_db",jammy,debian,"5.15.0-52-generic",Ubuntu,Ubuntu,ubuntu,linux,"22.04.1 LTS (Jammy Jellyfish)","1,043","1:yXqkSP5AwxkWbutVrExb3Ftzchc=",11,tcp,ipv4,432,"127.0.0.1",5,"46,138",flow
"Oct 24, 2022 @ 23:22:00.003",xtaWCoQBDsc6tFfSHdSw,".ds-packetbeat-8.4.3-2022.10.24-000001","-","284bf25d-6e89-400e-95a1-037edfec5bc0","dvwa_db","6c71a53f-e22b-4efa-89c2-2686e21c53d3","dvwa_db",packetbeat,"8.4.3",432,611,611,"127.0.0.1",6,"3,306","8.0.0","network_flow",network,flow,"113,150","Oct 24, 2022 @ 23:21:34.029",event,"Oct 24, 2022 @ 23:21:34.029",connection,false,"EAz/////AP//////CAwAAAF/AAABfwAAAZK56gyyAAAAAAAAAA","x86_64",false,"dvwa_db","-","10.10.10.20","02:42:0a:0a:0a:14","dvwa_db",jammy,debian,"5.15.0-52-generic",Ubuntu,Ubuntu,ubuntu,linux,"22.04.1 LTS (Jammy Jellyfish)","1,043","1:owYBYq6kbwYXhmVS1rJV5CS5yrQ=",11,tcp,ipv4,432,"127.0.0.1",5,"47,506",flow
"Oct 24, 2022 @ 23:22:00.003",ytaWCoQBDsc6tFfSHdSw,".ds-packetbeat-8.4.3-2022.10.24-000001","-","284bf25d-6e89-400e-95a1-037edfec5bc0","dvwa_db","6c71a53f-e22b-4efa-89c2-2686e21c53d3","dvwa_db",packetbeat,"8.4.3",553,546,546,"10.10.10.20",6,"3,306","8.0.0","network_flow",network,flow,"226,130","Oct 24, 2022 @ 23:21:40.690",event,"Oct 24, 2022 @ 23:21:40.690",connection,false,"EAz/////AP//////CAwAAAEKCgoKCgoKFAaX6gy2AAAAAAAAAA","x86_64",false,"dvwa_db","-","10.10.10.20","02:42:0a:0a:0a:14","dvwa_db",jammy,debian,"5.15.0-52-generic",Ubuntu,Ubuntu,ubuntu,linux,"22.04.1 LTS (Jammy Jellyfish)","1,099","1:TSWYVLzilefFRwlHKHXLirn7AZk=",12,tcp,ipv4,553,"10.10.10.10",6,"38,662",flow
"Oct 24, 2022 @ 23:22:00.003",y9aWCoQBDsc6tFfSHdSw,".ds-packetbeat-8.4.3-2022.10.24-000001","-","284bf25d-6e89-400e-95a1-037edfec5bc0","dvwa_db","6c71a53f-e22b-4efa-89c2-2686e21c53d3","dvwa_db",packetbeat,"8.4.3",629,625,625,"10.10.10.20",7,"3,306","8.0.0","network_flow",network,flow,"674,539","Oct 24, 2022 @ 23:21:40.691",event,"Oct 24, 2022 @ 23:21:40.690",connection,false,"EAz/////AP//////CAwAAAEKCgoKCgoKFBaX6gy3AAAAAAAAAA","x86_64",false,"dvwa_db","-","10.10.10.20","02:42:0a:0a:0a:14","dvwa_db",jammy,debian,"5.15.0-52-generic",Ubuntu,Ubuntu,ubuntu,linux,"22.04.1 LTS (Jammy Jellyfish)","1,254","1:izaxzsBFM9qUzLhcS2vvoHQK408=",14,tcp,ipv4,629,"10.10.10.10",7,"38,678",flow
"Oct 24, 2022 @ 23:22:00.003",zNaWCoQBDsc6tFfSHdSw,".ds-packetbeat-8.4.3-2022.10.24-000001","-","284bf25d-6e89-400e-95a1-037edfec5bc0","dvwa_db","6c71a53f-e22b-4efa-89c2-2686e21c53d3","dvwa_db",packetbeat,"8.4.3",621,478,478,"10.10.10.20",5,"3,306","8.0.0","network_flow",network,flow,"115,110","Oct 24, 2022 @ 23:21:40.691",event,"Oct 24, 2022 @ 23:21:40.691",connection,false,"EAz/////AP//////CAwAAAEKCgoKCgoKFBiX6gy4AAAAAAAAAA","x86_64",false,"dvwa_db","-","10.10.10.20","02:42:0a:0a:0a:14","dvwa_db",jammy,debian,"5.15.0-52-generic",Ubuntu,Ubuntu,ubuntu,linux,"22.04.1 LTS (Jammy Jellyfish)","1,099","1:c8dbrmTWQEHki9mQ21PF4/bdQk0=",12,tcp,ipv4,621,"10.10.10.10",7,"38,680",flow
"Oct 24, 2022 @ 23:22:00.003",zdaWCoQBDsc6tFfSHdSw,".ds-packetbeat-8.4.3-2022.10.24-000001","-","284bf25d-6e89-400e-95a1-037edfec5bc0","dvwa_db","6c71a53f-e22b-4efa-89c2-2686e21c53d3","dvwa_db",packetbeat,"8.4.3",629,625,625,"10.10.10.20",7,"3,306","8.0.0","network_flow",network,flow,"160,640","Oct 24, 2022 @ 23:21:40.691",event,"Oct 24, 2022 @ 23:21:40.691",connection,false,"EAz/////AP//////CAwAAAEKCgoKCgoKFCaX6gy5AAAAAAAAAA","x86_64",false,"dvwa_db","-","10.10.10.20","02:42:0a:0a:0a:14","dvwa_db",jammy,debian,"5.15.0-52-generic",Ubuntu,Ubuntu,ubuntu,linux,"22.04.1 LTS (Jammy Jellyfish)","1,254","1:LphfA9s5Hv79KorHwLk0vmXupdA=",14,tcp,ipv4,629,"10.10.10.10",7,"38,694",flow
"Oct 24, 2022 @ 23:22:00.003",ztaWCoQBDsc6tFfSHdSw,".ds-packetbeat-8.4.3-2022.10.24-000001","-","284bf25d-6e89-400e-95a1-037edfec5bc0","dvwa_db","6c71a53f-e22b-4efa-89c2-2686e21c53d3","dvwa_db",packetbeat,"8.4.3",621,478,478,"10.10.10.20",5,"3,306","8.0.0","network_flow",network,flow,"104,930","Oct 24, 2022 @ 23:21:40.691",event,"Oct 24, 2022 @ 23:21:40.691",connection,false,"EAz/////AP//////CAwAAAEKCgoKCgoKFDSX6gy6AAAAAAAAAA","x86_64",false,"dvwa_db","-","10.10.10.20","02:42:0a:0a:0a:14","dvwa_db",jammy,debian,"5.15.0-52-generic",Ubuntu,Ubuntu,ubuntu,linux,"22.04.1 LTS (Jammy Jellyfish)","1,099","1:rXJ/xrf/arajvCH7o4q3NKXMlmE=",12,tcp,ipv4,621,"10.10.10.10",7,"38,708",flow
"Oct 24, 2022 @ 23:22:00.003",z9aWCoQBDsc6tFfSHdSw,".ds-packetbeat-8.4.3-2022.10.24-000001","-","284bf25d-6e89-400e-95a1-037edfec5bc0","dvwa_db","6c71a53f-e22b-4efa-89c2-2686e21c53d3","dvwa_db",packetbeat,"8.4.3",805,799,799,"10.10.10.20",7,"3,306","8.0.0","network_flow",network,flow,"237,170","Oct 24, 2022 @ 23:21:40.691",event,"Oct 24, 2022 @ 23:21:40.691",connection,false,"EAz/////AP//////CAwAAAEKCgoKCgoKFECX6gy7AAAAAAAAAA","x86_64",false,"dvwa_db","-","10.10.10.20","02:42:0a:0a:0a:14","dvwa_db",jammy,debian,"5.15.0-52-generic",Ubuntu,Ubuntu,ubuntu,linux,"22.04.1 LTS (Jammy Jellyfish)","1,604","1:NiWqacXAp9TCBQC2MFPKFxwoR30=",16,tcp,ipv4,805,"10.10.10.10",9,"38,720",flow
"Oct 24, 2022 @ 23:22:00.003",0NaWCoQBDsc6tFfSHdSw,".ds-packetbeat-8.4.3-2022.10.24-000001","-","284bf25d-6e89-400e-95a1-037edfec5bc0","dvwa_db","6c71a53f-e22b-4efa-89c2-2686e21c53d3","dvwa_db",packetbeat,"8.4.3",553,546,546,"10.10.10.20",6,"3,306","8.0.0","network_flow",network,flow,"168,450","Oct 24, 2022 @ 23:21:40.691",event,"Oct 24, 2022 @ 23:21:40.691",connection,false,"EAz/////AP//////CAwAAAEKCgoKCgoKFEyX6gy8AAAAAAAAAA","x86_64",false,"dvwa_db","-","10.10.10.20","02:42:0a:0a:0a:14","dvwa_db",jammy,debian,"5.15.0-52-generic",Ubuntu,Ubuntu,ubuntu,linux,"22.04.1 LTS (Jammy Jellyfish)","1,099","1:rmgCXyvIwm+MYl+KdVlSKq7skpY=",12,tcp,ipv4,553,"10.10.10.10",6,"38,732",flow
"Oct 24, 2022 @ 23:22:00.003",0daWCoQBDsc6tFfSHdSw,".ds-packetbeat-8.4.3-2022.10.24-000001","-","284bf25d-6e89-400e-95a1-037edfec5bc0","dvwa_db","6c71a53f-e22b-4efa-89c2-2686e21c53d3","dvwa_db",packetbeat,"8.4.3",697,557,557,"10.10.10.20",6,"3,306","8.0.0","network_flow",network,flow,"169,610","Oct 24, 2022 @ 23:21:40.691",event,"Oct 24, 2022 @ 23:21:40.691",connection,false,"EAz/////AP//////CAwAAAEKCgoKCgoKFFCX6gy9AAAAAAAAAA","x86_64",false,"dvwa_db","-","10.10.10.20","02:42:0a:0a:0a:14","dvwa_db",jammy,debian,"5.15.0-52-generic",Ubuntu,Ubuntu,ubuntu,linux,"22.04.1 LTS (Jammy Jellyfish)","1,254","1:uMwLBkxd0Lfo7XNtyyP9C4j61dg=",14,tcp,ipv4,697,"10.10.10.10",8,"38,736",flow
