@timestamp,action,agent.hostname,client_ip,event.ingested,file_end,file_position,file_start,host.hostname,host.id,host.ip,host.mac,host.os.codename,host.os.family,host.os.kernel,host.os.name,host.os.type,host.os.version,message,name_of_service,success,timestamp,user_service
"Oct 24, 2022 @ 23:21:29.529",translate_name,fileserver,10.10.10.2,"Oct 24, 2022 @ 23:21:30.532",-,(empty),-,fileserver,40beb5eb909e171860ceee669da56e1d,10.10.10.30,02:42:0a:0a:0a:1e,jessie,debian,5.15.0-52-generic,Debian GNU/Linux,linux,8 (jessie),Oct 24 23:21:25 fileserver smbd_audit: sambacry|10.10.10.2|data|translate_name|fail (Operation not supported)|,data,fail (Operation not supported),Oct 24 23:21:25,sambacry
"Oct 24, 2022 @ 23:21:29.529",translate_name,fileserver,10.10.10.2,"Oct 24, 2022 @ 23:21:30.532",-,(empty),-,fileserver,40beb5eb909e171860ceee669da56e1d,10.10.10.30,02:42:0a:0a:0a:1e,jessie,debian,5.15.0-52-generic,Debian GNU/Linux,linux,8 (jessie),Oct 24 23:21:25 fileserver smbd_audit: sambacry|10.10.10.2|data|translate_name|fail (Operation not supported)|,data,fail (Operation not supported),Oct 24 23:21:25,sambacry
"Oct 24, 2022 @ 23:21:29.529",closedir,fileserver,10.10.10.2,"Oct 24, 2022 @ 23:21:30.532",-,(empty),-,fileserver,40beb5eb909e171860ceee669da56e1d,10.10.10.30,02:42:0a:0a:0a:1e,jessie,debian,5.15.0-52-generic,Debian GNU/Linux,linux,8 (jessie),Oct 24 23:21:25 fileserver smbd_audit: sambacry|10.10.10.2|data|closedir|ok|,data,ok,Oct 24 23:21:25,sambacry
"Oct 24, 2022 @ 23:21:29.529",realpath,fileserver,10.10.10.2,"Oct 24, 2022 @ 23:21:30.532",-,interesting_file.txt,-,fileserver,40beb5eb909e171860ceee669da56e1d,10.10.10.30,02:42:0a:0a:0a:1e,jessie,debian,5.15.0-52-generic,Debian GNU/Linux,linux,8 (jessie),Oct 24 23:21:25 fileserver smbd_audit: sambacry|10.10.10.2|data|realpath|fail (No such file or directory)|interesting_file.txt,data,fail (No such file or directory),Oct 24 23:21:25,sambacry
"Oct 24, 2022 @ 23:21:29.529",realpath,fileserver,10.10.10.2,"Oct 24, 2022 @ 23:21:30.532",-,.,-,fileserver,40beb5eb909e171860ceee669da56e1d,10.10.10.30,02:42:0a:0a:0a:1e,jessie,debian,5.15.0-52-generic,Debian GNU/Linux,linux,8 (jessie),Oct 24 23:21:25 fileserver smbd_audit: sambacry|10.10.10.2|data|realpath|ok|.,data,ok,Oct 24 23:21:25,sambacry
"Oct 24, 2022 @ 23:21:29.529",stat,fileserver,10.10.10.2,"Oct 24, 2022 @ 23:21:30.532",-,./interesting_file.txt,-,fileserver,40beb5eb909e171860ceee669da56e1d,10.10.10.30,02:42:0a:0a:0a:1e,jessie,debian,5.15.0-52-generic,Debian GNU/Linux,linux,8 (jessie),Oct 24 23:21:25 fileserver smbd_audit: sambacry|10.10.10.2|data|stat|fail (No such file or directory)|./interesting_file.txt,data,fail (No such file or directory),Oct 24 23:21:25,sambacry
"Oct 24, 2022 @ 23:21:29.529",get_real_filename,fileserver,10.10.10.2,"Oct 24, 2022 @ 23:21:30.532",-,./interesting_file.txt->(null),-,fileserver,40beb5eb909e171860ceee669da56e1d,10.10.10.30,02:42:0a:0a:0a:1e,jessie,debian,5.15.0-52-generic,Debian GNU/Linux,linux,8 (jessie),Oct 24 23:21:25 fileserver smbd_audit: sambacry|10.10.10.2|data|get_real_filename|fail (Operation not supported)|./interesting_file.txt->(null),data,fail (Operation not supported),Oct 24 23:21:25,sambacry
"Oct 24, 2022 @ 23:21:29.529",translate_name,fileserver,10.10.10.2,"Oct 24, 2022 @ 23:21:30.532",-,(empty),-,fileserver,40beb5eb909e171860ceee669da56e1d,10.10.10.30,02:42:0a:0a:0a:1e,jessie,debian,5.15.0-52-generic,Debian GNU/Linux,linux,8 (jessie),Oct 24 23:21:25 fileserver smbd_audit: sambacry|10.10.10.2|data|translate_name|fail (Operation not supported)|,data,fail (Operation not supported),Oct 24 23:21:25,sambacry
"Oct 24, 2022 @ 23:21:29.529",translate_name,fileserver,10.10.10.2,"Oct 24, 2022 @ 23:21:30.532",-,(empty),-,fileserver,40beb5eb909e171860ceee669da56e1d,10.10.10.30,02:42:0a:0a:0a:1e,jessie,debian,5.15.0-52-generic,Debian GNU/Linux,linux,8 (jessie),Oct 24 23:21:25 fileserver smbd_audit: sambacry|10.10.10.2|data|translate_name|fail (Operation not supported)|,data,fail (Operation not supported),Oct 24 23:21:25,sambacry
"Oct 24, 2022 @ 23:21:29.529",translate_name,fileserver,10.10.10.2,"Oct 24, 2022 @ 23:21:30.532",-,(empty),-,fileserver,40beb5eb909e171860ceee669da56e1d,10.10.10.30,02:42:0a:0a:0a:1e,jessie,debian,5.15.0-52-generic,Debian GNU/Linux,linux,8 (jessie),Oct 24 23:21:25 fileserver smbd_audit: sambacry|10.10.10.2|data|translate_name|fail (Operation not supported)|,data,fail (Operation not supported),Oct 24 23:21:25,sambacry
"Oct 24, 2022 @ 23:21:29.529",closedir,fileserver,10.10.10.2,"Oct 24, 2022 @ 23:21:30.532",-,(empty),-,fileserver,40beb5eb909e171860ceee669da56e1d,10.10.10.30,02:42:0a:0a:0a:1e,jessie,debian,5.15.0-52-generic,Debian GNU/Linux,linux,8 (jessie),Oct 24 23:21:25 fileserver smbd_audit: sambacry|10.10.10.2|data|closedir|ok|,data,ok,Oct 24 23:21:25,sambacry
"Oct 24, 2022 @ 23:21:29.529",chdir,fileserver,10.10.10.2,"Oct 24, 2022 @ 23:21:30.532",/,-,chdir,fileserver,40beb5eb909e171860ceee669da56e1d,10.10.10.30,02:42:0a:0a:0a:1e,jessie,debian,5.15.0-52-generic,Debian GNU/Linux,linux,8 (jessie),Oct 24 23:21:25 fileserver smbd_audit: sambacry|10.10.10.2|data|chdir|ok|chdir|/,data,ok,Oct 24 23:21:25,sambacry
"Oct 24, 2022 @ 23:21:29.529",disconnect,fileserver,10.10.10.2,"Oct 24, 2022 @ 23:21:30.532",-,data,-,fileserver,40beb5eb909e171860ceee669da56e1d,10.10.10.30,02:42:0a:0a:0a:1e,jessie,debian,5.15.0-52-generic,Debian GNU/Linux,linux,8 (jessie),Oct 24 23:21:25 fileserver smbd_audit: sambacry|10.10.10.2|data|disconnect|ok|data,data,ok,Oct 24 23:21:25,sambacry
