"@timestamp","_id","_index","_score",action,"agent.ephemeral_id","agent.hostname","agent.id","agent.name","agent.type","agent.version","client_ip","ecs.version","event.dataset","event.ingested","file_end","file_position","file_start","host.architecture","host.containerized","host.hostname","host.id","host.ip","host.mac","host.name","host.os.codename","host.os.family","host.os.kernel","host.os.name","host.os.name.text","host.os.platform","host.os.type","host.os.version",hostname,"input.type","log.file.path","log.offset",message,"name_of_service",success,timestamp,"user_service"
"Oct 24, 2022 @ 23:21:29.529","_NaVCoQBDsc6tFfSps2k",".ds-filebeat-8.4.3-2022.10.24-000001","-","translate_name","5d0cb3da-42a8-45c7-b1a4-de4d1318078a",fileserver,"ea2911dd-2454-43d6-8683-c96a80973fad",fileserver,filebeat,"8.4.3","10.10.10.2","8.0.0",samba,"Oct 24, 2022 @ 23:21:30.532","-","(empty)","-","x86_64",false,fileserver,40beb5eb909e171860ceee669da56e1d,"10.10.10.30","02:42:0a:0a:0a:1e",fileserver,jessie,debian,"5.15.0-52-generic","Debian GNU/Linux","Debian GNU/Linux",debian,linux,"8 (jessie)",fileserver,filestream,"/var/log/smb_audit.log","20,896","Oct 24 23:21:25 fileserver smbd_audit: sambacry|10.10.10.2|data|translate_name|fail (Operation not supported)|",data,"fail (Operation not supported)","Oct 24 23:21:25",sambacry
"Oct 24, 2022 @ 23:21:29.529","_daVCoQBDsc6tFfSps2k",".ds-filebeat-8.4.3-2022.10.24-000001","-","translate_name","5d0cb3da-42a8-45c7-b1a4-de4d1318078a",fileserver,"ea2911dd-2454-43d6-8683-c96a80973fad",fileserver,filebeat,"8.4.3","10.10.10.2","8.0.0",samba,"Oct 24, 2022 @ 23:21:30.532","-","(empty)","-","x86_64",false,fileserver,40beb5eb909e171860ceee669da56e1d,"10.10.10.30","02:42:0a:0a:0a:1e",fileserver,jessie,debian,"5.15.0-52-generic","Debian GNU/Linux","Debian GNU/Linux",debian,linux,"8 (jessie)",fileserver,filestream,"/var/log/smb_audit.log","21,007","Oct 24 23:21:25 fileserver smbd_audit: sambacry|10.10.10.2|data|translate_name|fail (Operation not supported)|",data,"fail (Operation not supported)","Oct 24 23:21:25",sambacry
"Oct 24, 2022 @ 23:21:29.529","_taVCoQBDsc6tFfSps2k",".ds-filebeat-8.4.3-2022.10.24-000001","-",closedir,"5d0cb3da-42a8-45c7-b1a4-de4d1318078a",fileserver,"ea2911dd-2454-43d6-8683-c96a80973fad",fileserver,filebeat,"8.4.3","10.10.10.2","8.0.0",samba,"Oct 24, 2022 @ 23:21:30.532","-","(empty)","-","x86_64",false,fileserver,40beb5eb909e171860ceee669da56e1d,"10.10.10.30","02:42:0a:0a:0a:1e",fileserver,jessie,debian,"5.15.0-52-generic","Debian GNU/Linux","Debian GNU/Linux",debian,linux,"8 (jessie)",fileserver,filestream,"/var/log/smb_audit.log","21,118","Oct 24 23:21:25 fileserver smbd_audit: sambacry|10.10.10.2|data|closedir|ok|",data,ok,"Oct 24 23:21:25",sambacry
"Oct 24, 2022 @ 23:21:29.529","_9aVCoQBDsc6tFfSps2k",".ds-filebeat-8.4.3-2022.10.24-000001","-",realpath,"5d0cb3da-42a8-45c7-b1a4-de4d1318078a",fileserver,"ea2911dd-2454-43d6-8683-c96a80973fad",fileserver,filebeat,"8.4.3","10.10.10.2","8.0.0",samba,"Oct 24, 2022 @ 23:21:30.532","-","interesting_file.txt","-","x86_64",false,fileserver,40beb5eb909e171860ceee669da56e1d,"10.10.10.30","02:42:0a:0a:0a:1e",fileserver,jessie,debian,"5.15.0-52-generic","Debian GNU/Linux","Debian GNU/Linux",debian,linux,"8 (jessie)",fileserver,filestream,"/var/log/smb_audit.log","21,195","Oct 24 23:21:25 fileserver smbd_audit: sambacry|10.10.10.2|data|realpath|fail (No such file or directory)|interesting_file.txt",data,"fail (No such file or directory)","Oct 24 23:21:25",sambacry
"Oct 24, 2022 @ 23:21:29.529",ANaVCoQBDsc6tFfSps6k,".ds-filebeat-8.4.3-2022.10.24-000001","-",realpath,"5d0cb3da-42a8-45c7-b1a4-de4d1318078a",fileserver,"ea2911dd-2454-43d6-8683-c96a80973fad",fileserver,filebeat,"8.4.3","10.10.10.2","8.0.0",samba,"Oct 24, 2022 @ 23:21:30.532","-",".","-","x86_64",false,fileserver,40beb5eb909e171860ceee669da56e1d,"10.10.10.30","02:42:0a:0a:0a:1e",fileserver,jessie,debian,"5.15.0-52-generic","Debian GNU/Linux","Debian GNU/Linux",debian,linux,"8 (jessie)",fileserver,filestream,"/var/log/smb_audit.log","21,322","Oct 24 23:21:25 fileserver smbd_audit: sambacry|10.10.10.2|data|realpath|ok|.",data,ok,"Oct 24 23:21:25",sambacry
"Oct 24, 2022 @ 23:21:29.529",AdaVCoQBDsc6tFfSps6k,".ds-filebeat-8.4.3-2022.10.24-000001","-",stat,"5d0cb3da-42a8-45c7-b1a4-de4d1318078a",fileserver,"ea2911dd-2454-43d6-8683-c96a80973fad",fileserver,filebeat,"8.4.3","10.10.10.2","8.0.0",samba,"Oct 24, 2022 @ 23:21:30.532","-","./interesting_file.txt","-","x86_64",false,fileserver,40beb5eb909e171860ceee669da56e1d,"10.10.10.30","02:42:0a:0a:0a:1e",fileserver,jessie,debian,"5.15.0-52-generic","Debian GNU/Linux","Debian GNU/Linux",debian,linux,"8 (jessie)",fileserver,filestream,"/var/log/smb_audit.log","21,400","Oct 24 23:21:25 fileserver smbd_audit: sambacry|10.10.10.2|data|stat|fail (No such file or directory)|./interesting_file.txt",data,"fail (No such file or directory)","Oct 24 23:21:25",sambacry
"Oct 24, 2022 @ 23:21:29.529",AtaVCoQBDsc6tFfSps6k,".ds-filebeat-8.4.3-2022.10.24-000001","-","get_real_filename","5d0cb3da-42a8-45c7-b1a4-de4d1318078a",fileserver,"ea2911dd-2454-43d6-8683-c96a80973fad",fileserver,filebeat,"8.4.3","10.10.10.2","8.0.0",samba,"Oct 24, 2022 @ 23:21:30.532","-","./interesting_file.txt->(null)","-","x86_64",false,fileserver,40beb5eb909e171860ceee669da56e1d,"10.10.10.30","02:42:0a:0a:0a:1e",fileserver,jessie,debian,"5.15.0-52-generic","Debian GNU/Linux","Debian GNU/Linux",debian,linux,"8 (jessie)",fileserver,filestream,"/var/log/smb_audit.log","21,525","Oct 24 23:21:25 fileserver smbd_audit: sambacry|10.10.10.2|data|get_real_filename|fail (Operation not supported)|./interesting_file.txt->(null)",data,"fail (Operation not supported)","Oct 24 23:21:25",sambacry
"Oct 24, 2022 @ 23:21:29.529",A9aVCoQBDsc6tFfSps6k,".ds-filebeat-8.4.3-2022.10.24-000001","-","translate_name","5d0cb3da-42a8-45c7-b1a4-de4d1318078a",fileserver,"ea2911dd-2454-43d6-8683-c96a80973fad",fileserver,filebeat,"8.4.3","10.10.10.2","8.0.0",samba,"Oct 24, 2022 @ 23:21:30.532","-","(empty)","-","x86_64",false,fileserver,40beb5eb909e171860ceee669da56e1d,"10.10.10.30","02:42:0a:0a:0a:1e",fileserver,jessie,debian,"5.15.0-52-generic","Debian GNU/Linux","Debian GNU/Linux",debian,linux,"8 (jessie)",fileserver,filestream,"/var/log/smb_audit.log","21,669","Oct 24 23:21:25 fileserver smbd_audit: sambacry|10.10.10.2|data|translate_name|fail (Operation not supported)|",data,"fail (Operation not supported)","Oct 24 23:21:25",sambacry
"Oct 24, 2022 @ 23:21:29.529",BNaVCoQBDsc6tFfSps6k,".ds-filebeat-8.4.3-2022.10.24-000001","-","translate_name","5d0cb3da-42a8-45c7-b1a4-de4d1318078a",fileserver,"ea2911dd-2454-43d6-8683-c96a80973fad",fileserver,filebeat,"8.4.3","10.10.10.2","8.0.0",samba,"Oct 24, 2022 @ 23:21:30.532","-","(empty)","-","x86_64",false,fileserver,40beb5eb909e171860ceee669da56e1d,"10.10.10.30","02:42:0a:0a:0a:1e",fileserver,jessie,debian,"5.15.0-52-generic","Debian GNU/Linux","Debian GNU/Linux",debian,linux,"8 (jessie)",fileserver,filestream,"/var/log/smb_audit.log","21,780","Oct 24 23:21:25 fileserver smbd_audit: sambacry|10.10.10.2|data|translate_name|fail (Operation not supported)|",data,"fail (Operation not supported)","Oct 24 23:21:25",sambacry
"Oct 24, 2022 @ 23:21:29.529",BdaVCoQBDsc6tFfSps6k,".ds-filebeat-8.4.3-2022.10.24-000001","-","translate_name","5d0cb3da-42a8-45c7-b1a4-de4d1318078a",fileserver,"ea2911dd-2454-43d6-8683-c96a80973fad",fileserver,filebeat,"8.4.3","10.10.10.2","8.0.0",samba,"Oct 24, 2022 @ 23:21:30.532","-","(empty)","-","x86_64",false,fileserver,40beb5eb909e171860ceee669da56e1d,"10.10.10.30","02:42:0a:0a:0a:1e",fileserver,jessie,debian,"5.15.0-52-generic","Debian GNU/Linux","Debian GNU/Linux",debian,linux,"8 (jessie)",fileserver,filestream,"/var/log/smb_audit.log","21,891","Oct 24 23:21:25 fileserver smbd_audit: sambacry|10.10.10.2|data|translate_name|fail (Operation not supported)|",data,"fail (Operation not supported)","Oct 24 23:21:25",sambacry
"Oct 24, 2022 @ 23:21:29.529",BtaVCoQBDsc6tFfSps6k,".ds-filebeat-8.4.3-2022.10.24-000001","-",closedir,"5d0cb3da-42a8-45c7-b1a4-de4d1318078a",fileserver,"ea2911dd-2454-43d6-8683-c96a80973fad",fileserver,filebeat,"8.4.3","10.10.10.2","8.0.0",samba,"Oct 24, 2022 @ 23:21:30.532","-","(empty)","-","x86_64",false,fileserver,40beb5eb909e171860ceee669da56e1d,"10.10.10.30","02:42:0a:0a:0a:1e",fileserver,jessie,debian,"5.15.0-52-generic","Debian GNU/Linux","Debian GNU/Linux",debian,linux,"8 (jessie)",fileserver,filestream,"/var/log/smb_audit.log","22,002","Oct 24 23:21:25 fileserver smbd_audit: sambacry|10.10.10.2|data|closedir|ok|",data,ok,"Oct 24 23:21:25",sambacry
"Oct 24, 2022 @ 23:21:29.529",B9aVCoQBDsc6tFfSps6k,".ds-filebeat-8.4.3-2022.10.24-000001","-",chdir,"5d0cb3da-42a8-45c7-b1a4-de4d1318078a",fileserver,"ea2911dd-2454-43d6-8683-c96a80973fad",fileserver,filebeat,"8.4.3","10.10.10.2","8.0.0",samba,"Oct 24, 2022 @ 23:21:30.532","/","-",chdir,"x86_64",false,fileserver,40beb5eb909e171860ceee669da56e1d,"10.10.10.30","02:42:0a:0a:0a:1e",fileserver,jessie,debian,"5.15.0-52-generic","Debian GNU/Linux","Debian GNU/Linux",debian,linux,"8 (jessie)",fileserver,filestream,"/var/log/smb_audit.log","22,079","Oct 24 23:21:25 fileserver smbd_audit: sambacry|10.10.10.2|data|chdir|ok|chdir|/",data,ok,"Oct 24 23:21:25",sambacry
"Oct 24, 2022 @ 23:21:29.529",CNaVCoQBDsc6tFfSps6k,".ds-filebeat-8.4.3-2022.10.24-000001","-",disconnect,"5d0cb3da-42a8-45c7-b1a4-de4d1318078a",fileserver,"ea2911dd-2454-43d6-8683-c96a80973fad",fileserver,filebeat,"8.4.3","10.10.10.2","8.0.0",samba,"Oct 24, 2022 @ 23:21:30.532","-",data,"-","x86_64",false,fileserver,40beb5eb909e171860ceee669da56e1d,"10.10.10.30","02:42:0a:0a:0a:1e",fileserver,jessie,debian,"5.15.0-52-generic","Debian GNU/Linux","Debian GNU/Linux",debian,linux,"8 (jessie)",fileserver,filestream,"/var/log/smb_audit.log","22,160","Oct 24 23:21:25 fileserver smbd_audit: sambacry|10.10.10.2|data|disconnect|ok|data",data,ok,"Oct 24 23:21:25",sambacry
"Oct 24, 2022 @ 23:21:29.529",CdaVCoQBDsc6tFfSps6k,".ds-filebeat-8.4.3-2022.10.24-000001","-",connect,"5d0cb3da-42a8-45c7-b1a4-de4d1318078a",fileserver,"ea2911dd-2454-43d6-8683-c96a80973fad",fileserver,filebeat,"8.4.3","10.10.10.3","8.0.0",samba,"Oct 24, 2022 @ 23:21:30.532","-","IPC$","-","x86_64",false,fileserver,40beb5eb909e171860ceee669da56e1d,"10.10.10.30","02:42:0a:0a:0a:1e",fileserver,jessie,debian,"5.15.0-52-generic","Debian GNU/Linux","Debian GNU/Linux",debian,linux,"8 (jessie)",fileserver,filestream,"/var/log/smb_audit.log","22,243","Oct 24 23:21:25 fileserver smbd_audit: sambacry|10.10.10.3|IPC_|connect|ok|IPC$","IPC_",ok,"Oct 24 23:21:25",sambacry
