,LogName,RuleName,UtcTime,ProcessGuid,ProcessId,QueryName,QueryStatus,QueryResults,Image,User,EventType,TargetObject,Details,FileVersion,Description,Product,Company,OriginalFileName,CommandLine,CurrentDirectory,LogonGuid,LogonId,TerminalSessionId,IntegrityLevel,Hashes,ParentProcessGuid,ParentProcessId,ParentCommandLine,ParentUser,TargetFilename,CreationUtcTime,Protocol,Initiated,SourceIp,SourceHostname,SourcePort,SourcePortName,DestinationIp,DestinationHostname,DestinationPort,DestinationPortName
0," Registry value set:
",InvDB-Path,2022-10-24 07:45:18.991,{fb91fd7c-4211-6356-2a00-000000000c00},2192,,,,C:\Windows\System32\svchost.exe,NT AUTHORITY\SYSTEM,SetValue,\REGISTRY\A\{d60e01ab-83bb-bd2e-81ec-1ed8e256e1dc}\Root\InventoryApplicationFile\sysmon.exe|a86c985e9a28fe14\LowerCaseLongPath,c:\windows\sysmon.exe,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1," Registry value set:
",InvDB-Pub,2022-10-24 07:45:18.991,{fb91fd7c-4211-6356-2a00-000000000c00},2192,,,,C:\Windows\System32\svchost.exe,NT AUTHORITY\SYSTEM,SetValue,\REGISTRY\A\{d60e01ab-83bb-bd2e-81ec-1ed8e256e1dc}\Root\InventoryApplicationFile\sysmon.exe|a86c985e9a28fe14\Publisher,sysinternals - www.sysinternals.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2," Registry value set:
",InvDB-CompileTimeClaim,2022-10-24 07:45:18.991,{fb91fd7c-4211-6356-2a00-000000000c00},2192,,,,C:\Windows\System32\svchost.exe,NT AUTHORITY\SYSTEM,SetValue,\REGISTRY\A\{d60e01ab-83bb-bd2e-81ec-1ed8e256e1dc}\Root\InventoryApplicationFile\sysmon.exe|a86c985e9a28fe14\LinkDate,09/29/2022 16:28:05,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3," Registry value set:
",InvDB-Ver,2022-10-24 07:45:18.991,{fb91fd7c-4211-6356-2a00-000000000c00},2192,,,,C:\Windows\System32\svchost.exe,NT AUTHORITY\SYSTEM,SetValue,\REGISTRY\A\{d60e01ab-83bb-bd2e-81ec-1ed8e256e1dc}\Root\InventoryApplicationFile\sysmon.exe|a86c985e9a28fe14\BinProductVersion,14.1.0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4," Process Create:
",-,2022-10-24 07:45:19.002,{fb91fd7c-428f-6356-7d00-000000000c00},3220,,,,C:\Windows\Sysmon.exe,NT AUTHORITY\SYSTEM,,,,14.1,System activity monitor,Sysinternals Sysmon,Sysinternals - www.sysinternals.com,-,C:\Windows\Sysmon.exe,C:\Windows\system32\,{fb91fd7c-d176-6355-e703-000000000000},0x3E7,0,System,"MD5=0C6809BE65DE9AD3764521063817C475,SHA256=0F1AF990B9A2429E6EECA681FA174756B0BA1E129E428CAFF8E1D9D52C519934,IMPHASH=9F6C36511A328F748FB0A9C4C934D9B0",{fb91fd7c-d175-6355-0b00-000000000c00},564,C:\Windows\system32\services.exe,NT AUTHORITY\SYSTEM,,,,,,,,,,,,
5," Process Create:
",-,2022-10-24 07:45:19.083,{fb91fd7c-428f-6356-7e00-000000000c00},2932,,,,C:\Windows\System32\wbem\unsecapp.exe,NT AUTHORITY\SYSTEM,,,,10.0.17763.1 (WinBuild.160101.0800),Sink to receive asynchronous callbacks for WMI client application,MicrosoftÂ® WindowsÂ® Operating System,Microsoft Corporation,unsecapp.dll,C:\Windows\system32\wbem\unsecapp.exe -Embedding,C:\Windows\system32\,{fb91fd7c-d176-6355-e703-000000000000},0x3E7,0,System,"MD5=8B0E699F01BDD3B9AD741D1BD7343248,SHA256=8095D4D7726438F8665E00C1A405AB94DB6358DC14740783795CF8617A64F19E,IMPHASH=9E0E0DA3FF0E183298AEDC6F7ECB7E05",{fb91fd7c-d178-6355-0d00-000000000c00},748,C:\Windows\system32\svchost.exe -k DcomLaunch -p,NT AUTHORITY\SYSTEM,,,,,,,,,,,,
6," Process terminated:
",-,2022-10-24 07:45:20.126,{fb91fd7c-428e-6356-7700-000000000c00},3764,,,,C:\Users\vagrant\AppData\Local\Temp\1\Sysmon.exe,MSHOME\vagrant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7," Registry value set:
",InvDB-Path,2022-10-24 07:45:20.441,{fb91fd7c-4211-6356-2a00-000000000c00},2192,,,,C:\Windows\System32\svchost.exe,NT AUTHORITY\SYSTEM,SetValue,\REGISTRY\A\{d60e01ab-83bb-bd2e-81ec-1ed8e256e1dc}\Root\InventoryApplicationFile\sysmon.exe|cde1f21b7abb205f\LowerCaseLongPath,c:\program files\sysmon\sysmon.exe,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8," Registry value set:
",InvDB-Pub,2022-10-24 07:45:20.441,{fb91fd7c-4211-6356-2a00-000000000c00},2192,,,,C:\Windows\System32\svchost.exe,NT AUTHORITY\SYSTEM,SetValue,\REGISTRY\A\{d60e01ab-83bb-bd2e-81ec-1ed8e256e1dc}\Root\InventoryApplicationFile\sysmon.exe|cde1f21b7abb205f\Publisher,sysinternals - www.sysinternals.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9," Registry value set:
",InvDB-CompileTimeClaim,2022-10-24 07:45:20.441,{fb91fd7c-4211-6356-2a00-000000000c00},2192,,,,C:\Windows\System32\svchost.exe,NT AUTHORITY\SYSTEM,SetValue,\REGISTRY\A\{d60e01ab-83bb-bd2e-81ec-1ed8e256e1dc}\Root\InventoryApplicationFile\sysmon.exe|cde1f21b7abb205f\LinkDate,09/29/2022 16:32:27,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10," Registry value set:
",InvDB-Ver,2022-10-24 07:45:20.441,{fb91fd7c-4211-6356-2a00-000000000c00},2192,,,,C:\Windows\System32\svchost.exe,NT AUTHORITY\SYSTEM,SetValue,\REGISTRY\A\{d60e01ab-83bb-bd2e-81ec-1ed8e256e1dc}\Root\InventoryApplicationFile\sysmon.exe|cde1f21b7abb205f\BinProductVersion,14.1.0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11," Registry value set:
",-,2022-10-24 07:45:26.693,{fb91fd7c-424d-6356-5b00-000000000c00},976,,,,C:\Windows\Explorer.EXE,MSHOME\vagrant,SetValue,HKU\S-1-5-21-2437433168-2044137156-215967098-1000\Software\Microsoft\Windows\CurrentVersion\Shell Extensions\Cached\{E44E9428-BDBC-4987-A099-40DC8FD255E7} {7F9185B0-CB92-43C5-80A9-92277A4F7B54} 0xFFFF,Binary Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12," Process Create:
",-,2022-10-24 07:45:26.709,{fb91fd7c-4296-6356-8000-000000000c00},2972,,,,C:\Windows\System32\OpenWith.exe,MSHOME\vagrant,,,,10.0.17763.1075 (WinBuild.160101.0800),Pick an app,MicrosoftÂ® WindowsÂ® Operating System,Microsoft Corporation,OpenWith.exe,C:\Windows\system32\OpenWith.exe -Embedding,C:\Windows\system32\,{fb91fd7c-424a-6356-8339-030000000000},0x33983,1,High,"MD5=2CBE77C5FE6617C174954532A0C189BB,SHA256=79F13786B0EE6EB813ECD90C739FF48F078DFAE6B8F7AEDFEB526FFE86B81EB2,IMPHASH=A77B6C517B9F2590BF7CEBD852A3DD71",{fb91fd7c-d178-6355-0d00-000000000c00},748,C:\Windows\system32\svchost.exe -k DcomLaunch -p,NT AUTHORITY\SYSTEM,,,,,,,,,,,,
13," Registry value set:
",InvDB-Path,2022-10-24 07:45:27.022,{fb91fd7c-4211-6356-2a00-000000000c00},2192,,,,C:\Windows\System32\svchost.exe,NT AUTHORITY\SYSTEM,SetValue,\REGISTRY\A\{d60e01ab-83bb-bd2e-81ec-1ed8e256e1dc}\Root\InventoryApplicationFile\openwith.exe|5c91e48dda5e9a2a\LowerCaseLongPath,c:\windows\system32\openwith.exe,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14," Registry value set:
",InvDB-Pub,2022-10-24 07:45:27.022,{fb91fd7c-4211-6356-2a00-000000000c00},2192,,,,C:\Windows\System32\svchost.exe,NT AUTHORITY\SYSTEM,SetValue,\REGISTRY\A\{d60e01ab-83bb-bd2e-81ec-1ed8e256e1dc}\Root\InventoryApplicationFile\openwith.exe|5c91e48dda5e9a2a\Publisher,microsoft corporation,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15," Registry value set:
",InvDB-CompileTimeClaim,2022-10-24 07:45:27.022,{fb91fd7c-4211-6356-2a00-000000000c00},2192,,,,C:\Windows\System32\svchost.exe,NT AUTHORITY\SYSTEM,SetValue,\REGISTRY\A\{d60e01ab-83bb-bd2e-81ec-1ed8e256e1dc}\Root\InventoryApplicationFile\openwith.exe|5c91e48dda5e9a2a\LinkDate,08/13/2077 01:50:53,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16," Registry value set:
",InvDB-Ver,2022-10-24 07:45:27.022,{fb91fd7c-4211-6356-2a00-000000000c00},2192,,,,C:\Windows\System32\svchost.exe,NT AUTHORITY\SYSTEM,SetValue,\REGISTRY\A\{d60e01ab-83bb-bd2e-81ec-1ed8e256e1dc}\Root\InventoryApplicationFile\openwith.exe|5c91e48dda5e9a2a\BinProductVersion,10.0.17763.1075,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17," Process Create:
",-,2022-10-24 07:45:29.889,{fb91fd7c-4299-6356-8100-000000000c00},3772,,,,C:\Windows\System32\notepad.exe,MSHOME\vagrant,,,,10.0.17763.475 (WinBuild.160101.0800),Notepad,MicrosoftÂ® WindowsÂ® Operating System,Microsoft Corporation,NOTEPAD.EXE,"""C:\Windows\system32\NOTEPAD.EXE"" C:\Program Files\Winlogbeat\winlogbeat.yml",C:\Windows\system32\,{fb91fd7c-424a-6356-8339-030000000000},0x33983,1,High,"MD5=0E61079D3283687D2E279272966AE99D,SHA256=A92056D772260B39A876D01552496B2F8B4610A0B1E084952FE1176784E2CE77,IMPHASH=C8922BE3DCDFEB5994C9EEE7745DC22E",{fb91fd7c-4296-6356-8000-000000000c00},2972,C:\Windows\system32\OpenWith.exe -Embedding,MSHOME\vagrant,,,,,,,,,,,,
18," Registry value set:
",InvDB-Path,2022-10-24 07:45:29.975,{fb91fd7c-4211-6356-2a00-000000000c00},2192,,,,C:\Windows\System32\svchost.exe,NT AUTHORITY\SYSTEM,SetValue,\REGISTRY\A\{d60e01ab-83bb-bd2e-81ec-1ed8e256e1dc}\Root\InventoryApplicationFile\notepad.exe|8a29d0c6d8c68f8e\LowerCaseLongPath,c:\windows\system32\notepad.exe,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19," Registry value set:
",InvDB-Pub,2022-10-24 07:45:29.975,{fb91fd7c-4211-6356-2a00-000000000c00},2192,,,,C:\Windows\System32\svchost.exe,NT AUTHORITY\SYSTEM,SetValue,\REGISTRY\A\{d60e01ab-83bb-bd2e-81ec-1ed8e256e1dc}\Root\InventoryApplicationFile\notepad.exe|8a29d0c6d8c68f8e\Publisher,microsoft corporation,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20," Registry value set:
",InvDB-CompileTimeClaim,2022-10-24 07:45:29.975,{fb91fd7c-4211-6356-2a00-000000000c00},2192,,,,C:\Windows\System32\svchost.exe,NT AUTHORITY\SYSTEM,SetValue,\REGISTRY\A\{d60e01ab-83bb-bd2e-81ec-1ed8e256e1dc}\Root\InventoryApplicationFile\notepad.exe|8a29d0c6d8c68f8e\LinkDate,11/26/1996 04:52:33,,,,,,,,,,,,,,,,,,,,,,,,,,,,
