@timestamp,agent.hostname,auditd.log.AUID,auditd.log.EGID,auditd.log.EUID,auditd.log.FSGID,auditd.log.FSUID,auditd.log.GID,auditd.log.OGID,auditd.log.OLD-AUID,auditd.log.SGID,auditd.log.SUID,auditd.log.SYSCALL,auditd.log.UID,auditd.log.a0,auditd.log.a1,auditd.log.a2,auditd.log.a3,auditd.log.arch,auditd.log.cap_fe,auditd.log.cap_fi,auditd.log.cap_fp,auditd.log.cap_frootid,auditd.log.cap_fver,auditd.log.dev,auditd.log.epoch,auditd.log.fe,auditd.log.fi,auditd.log.fp,auditd.log.frootid,auditd.log.fver,auditd.log.grantors,auditd.log.hostname,auditd.log.inode,auditd.log.item,auditd.log.items,auditd.log.key,auditd.log.kv,auditd.log.laddr,auditd.log.lport,auditd.log.mode,auditd.log.name,auditd.log.nametype,auditd.log.nlnk-fam,auditd.log.nlnk-pid,auditd.log.old_auid,auditd.log.old_pa,auditd.log.old_pe,auditd.log.old_pi,auditd.log.old_pp,auditd.log.old_ses,auditd.log.op,auditd.log.pa,auditd.log.pe,auditd.log.pi,auditd.log.pp,auditd.log.proctitle,auditd.log.rdev,auditd.log.record_type,auditd.log.saddr,auditd.log.saddr_fam,auditd.log.sequence,auditd.log.ses,auditd.log.subj_apparmor,auditd.log.success,auditd.log.syscall,auditd.log.tty,auditd.log.uid,error.message,event.action,event.category,event.ingested,event.module,event.original,event.outcome,event.type,fileset.name,host.hostname,host.id,host.ip,host.mac,host.os.codename,host.os.family,host.os.kernel,host.os.name,host.os.type,host.os.version,message,network.direction,process.args,process.args_count,process.executable,process.executable.text,process.exit_code,process.name,process.name.text,process.parent.pid,process.pid,process.working_directory,process.working_directory.text,service.type,source.address,source.as.number,source.as.organization.name,source.as.organization.name.text,source.geo.city_name,source.geo.continent_name,source.geo.country_iso_code,source.geo.country_name,source.geo.location,source.geo.region_iso_code,source.geo.region_name,source.ip,traefik.access.geoip.city_name,traefik.access.geoip.continent_name,traefik.access.geoip.country_iso_code,traefik.access.geoip.location,traefik.access.geoip.region_iso_code,traefik.access.geoip.region_name,user.audit.id,user.effective.group.id,user.effective.id,user.effective.name,user.effective.name.text,user.filesystem.group.id,user.filesystem.id,user.group.id,user.id,user.name,user.name.text,user.owner.group.id,user.owner.id,user.saved.group.id,user.saved.id,user.terminal
"Oct 24, 2022 @ 23:30:13.581",dvwa_web,unset,root,root,root,root,root,-,-,root,root,socket,root,2,80801,0,0,x86_64,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,"T1011_Exfiltration_Over_Other_Network_Medium""ARCH=x86_64",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"484,935",4294967295,-,yes,41,(none),-,-,syscall,process,"Oct 24, 2022 @ 23:30:17.451",auditd,"type=SYSCALL msg=audit(1666625413.581:484935): arch=c000003e syscall=41 success=yes exit=11 a0=2 a1=80801 a2=0 a3=0 items=0 ppid=244083 pid=244084 auid=4294967295 uid=0 gid=0 euid=0 suid=0 fsuid=0 egid=0 sgid=0 fsgid=0 tty=(none) ses=4294967295 comm=""metricbeat"" exe=""/usr/share/metricbeat/bin/metricbeat"" subj=? key=""T1011_Exfiltration_Over_Other_Network_Medium""ARCH=x86_64 SYSCALL=socket AUID=""unset"" UID=""root"" GID=""root"" EUID=""root"" SUID=""root"" FSUID=""root"" EGID=""root"" SGID=""root"" FSGID=""root""",-,info,log,dvwa_web,bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b",bullseye,debian,5.15.0-52-generic,Debian GNU/Linux,linux,11 (bullseye),-,-,-,-,/usr/share/metricbeat/bin/metricbeat,/usr/share/metricbeat/bin/metricbeat,11,metricbeat,metricbeat,"244,083","244,084",-,-,auditd,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4294967295,0,0,-,-,0,0,0,0,-,-,-,-,0,0,-
"Oct 24, 2022 @ 23:30:13.581",dvwa_web,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,/usr/share/metricbeat/bin/metricbeat^@-c^@/etc/metricbeat/metricbeat.yml^@--path.home^@/usr/share/metricbeat^@--path.config^@/etc/metr,-,-,-,-,"484,935",-,-,-,-,-,-,-,proctitle,-,"Oct 24, 2022 @ 23:30:17.451",auditd,type=PROCTITLE msg=audit(1666625413.581:484935): proctitle=2F7573722F73686172652F6D6574726963626561742F62696E2F6D657472696362656174002D63002F6574632F6D6574726963626561742F6D6574726963626561742E796D6C002D2D706174682E686F6D65002F7573722F73686172652F6D657472696362656174002D2D706174682E636F6E666967002F6574632F6D657472,-,-,log,dvwa_web,bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b",bullseye,debian,5.15.0-52-generic,Debian GNU/Linux,linux,11 (bullseye),-,-,-,-,-,-,-,-,-,-,-,-,-,auditd,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Oct 24, 2022 @ 23:30:13.581",dvwa_web,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"484,935",-,unconfined,-,-,-,-,-,unknown[1420],-,"Oct 24, 2022 @ 23:30:17.451",auditd,type=UNKNOWN[1420] msg=audit(1666625413.581:484935): subj_apparmor=unconfined,-,-,log,dvwa_web,bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b",bullseye,debian,5.15.0-52-generic,Debian GNU/Linux,linux,11 (bullseye),-,-,-,-,-,-,-,-,-,-,-,-,-,auditd,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Oct 24, 2022 @ 23:30:09.445",dvwa_web,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1666625408.925,-,-,-,-,-,-,-,-,-,-,-,saddr=020000357F00000B0000000000000000SADDR={ saddr_fam=inet laddr=127.0.0.11 lport=53 },127.0.0.11,53,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,SOCKADDR,020000357F00000B0000000000000000SADDR={,inet,"484,930",-,-,-,-,-,-,field [auditd.log.kv] does not contain value_split [=],-,-,"Oct 24, 2022 @ 23:30:09.543",auditd,-,-,-,log,dvwa_web,bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b",bullseye,debian,5.15.0-52-generic,Debian GNU/Linux,linux,11 (bullseye),type=SOCKADDR msg=audit(1666625408.925:484930): saddr=020000357F00000B0000000000000000SADDR={ saddr_fam=inet laddr=127.0.0.11 lport=53 },-,-,-,-,-,-,-,-,-,-,-,-,auditd,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Oct 24, 2022 @ 23:30:09.445",dvwa_web,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1666625408.929,-,-,-,-,-,-,-,-,-,-,-,saddr=020000357F00000B0000000000000000SADDR={ saddr_fam=inet laddr=127.0.0.11 lport=53 },127.0.0.11,53,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,SOCKADDR,020000357F00000B0000000000000000SADDR={,inet,"484,933",-,-,-,-,-,-,field [auditd.log.kv] does not contain value_split [=],-,-,"Oct 24, 2022 @ 23:30:09.546",auditd,-,-,-,log,dvwa_web,bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b",bullseye,debian,5.15.0-52-generic,Debian GNU/Linux,linux,11 (bullseye),type=SOCKADDR msg=audit(1666625408.929:484933): saddr=020000357F00000B0000000000000000SADDR={ saddr_fam=inet laddr=127.0.0.11 lport=53 },-,-,-,-,-,-,-,-,-,-,-,-,auditd,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Oct 24, 2022 @ 23:30:09.444",dvwa_web,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1666625408.925,-,-,-,-,-,-,-,-,-,-,-,saddr=020000357F00000BF0A3730200000000SADDR={ saddr_fam=inet laddr=127.0.0.11 lport=53 },127.0.0.11,53,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,SOCKADDR,020000357F00000BF0A3730200000000SADDR={,inet,"484,926",-,-,-,-,-,-,field [auditd.log.kv] does not contain value_split [=],-,-,"Oct 24, 2022 @ 23:30:09.539",auditd,-,-,-,log,dvwa_web,bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b",bullseye,debian,5.15.0-52-generic,Debian GNU/Linux,linux,11 (bullseye),type=SOCKADDR msg=audit(1666625408.925:484926): saddr=020000357F00000BF0A3730200000000SADDR={ saddr_fam=inet laddr=127.0.0.11 lport=53 },-,-,-,-,-,-,-,-,-,-,-,-,auditd,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Oct 24, 2022 @ 23:30:09.444",dvwa_web,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1666625408.925,-,-,-,-,-,-,-,-,-,-,-,saddr=020000507B7B7B7B0000000000000000SADDR={ saddr_fam=inet laddr=123.123.123.123 lport=80 },123.123.123.123,80,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,SOCKADDR,020000507B7B7B7B0000000000000000SADDR={,inet,"484,928",-,-,-,-,-,-,field [auditd.log.kv] does not contain value_split [=],-,-,"Oct 24, 2022 @ 23:30:09.541",auditd,-,-,-,log,dvwa_web,bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b",bullseye,debian,5.15.0-52-generic,Debian GNU/Linux,linux,11 (bullseye),type=SOCKADDR msg=audit(1666625408.925:484928): saddr=020000507B7B7B7B0000000000000000SADDR={ saddr_fam=inet laddr=123.123.123.123 lport=80 },-,-,-,-,-,-,-,-,-,-,-,-,auditd,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Oct 24, 2022 @ 23:30:09.443",dvwa_web,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1666625408.921,-,-,-,-,-,-,-,-,-,-,-,saddr=020000357F00000BF0A3730200000000SADDR={ saddr_fam=inet laddr=127.0.0.11 lport=53 },127.0.0.11,53,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,SOCKADDR,020000357F00000BF0A3730200000000SADDR={,inet,"484,922",-,-,-,-,-,-,field [auditd.log.kv] does not contain value_split [=],-,-,"Oct 24, 2022 @ 23:30:09.536",auditd,-,-,-,log,dvwa_web,bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b",bullseye,debian,5.15.0-52-generic,Debian GNU/Linux,linux,11 (bullseye),type=SOCKADDR msg=audit(1666625408.921:484922): saddr=020000357F00000BF0A3730200000000SADDR={ saddr_fam=inet laddr=127.0.0.11 lport=53 },-,-,-,-,-,-,-,-,-,-,-,-,auditd,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Oct 24, 2022 @ 23:30:09.443",dvwa_web,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1666625408.921,-,-,-,-,-,-,-,-,-,-,-,saddr=020000507B7B7B7B0000000000000000SADDR={ saddr_fam=inet laddr=123.123.123.123 lport=80 },123.123.123.123,80,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,SOCKADDR,020000507B7B7B7B0000000000000000SADDR={,inet,"484,924",-,-,-,-,-,-,field [auditd.log.kv] does not contain value_split [=],-,-,"Oct 24, 2022 @ 23:30:09.538",auditd,-,-,-,log,dvwa_web,bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b",bullseye,debian,5.15.0-52-generic,Debian GNU/Linux,linux,11 (bullseye),type=SOCKADDR msg=audit(1666625408.921:484924): saddr=020000507B7B7B7B0000000000000000SADDR={ saddr_fam=inet laddr=123.123.123.123 lport=80 },-,-,-,-,-,-,-,-,-,-,-,-,auditd,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Oct 24, 2022 @ 23:30:09.438",dvwa_web,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1666625408.917,-,-,-,-,-,-,-,-,-,-,-,saddr=020000357F00000B0000000000000000SADDR={ saddr_fam=inet laddr=127.0.0.11 lport=53 },127.0.0.11,53,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,SOCKADDR,020000357F00000B0000000000000000SADDR={,inet,"484,919",-,-,-,-,-,-,field [auditd.log.kv] does not contain value_split [=],-,-,"Oct 24, 2022 @ 23:30:09.528",auditd,-,-,-,log,dvwa_web,bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b",bullseye,debian,5.15.0-52-generic,Debian GNU/Linux,linux,11 (bullseye),type=SOCKADDR msg=audit(1666625408.917:484919): saddr=020000357F00000B0000000000000000SADDR={ saddr_fam=inet laddr=127.0.0.11 lport=53 },-,-,-,-,-,-,-,-,-,-,-,-,auditd,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
