,LogName,RuleName,UtcTime,ProcessGuid,ProcessId,QueryName,QueryStatus,QueryResults,Image,User,EventType,TargetObject,Details,FileVersion,Description,Product,Company,OriginalFileName,CommandLine,CurrentDirectory,LogonGuid,LogonId,TerminalSessionId,IntegrityLevel,Hashes,ParentProcessGuid,ParentProcessId,ParentCommandLine,ParentUser,TargetFilename,CreationUtcTime,Protocol,Initiated,SourceIp,SourceHostname,SourcePort,SourcePortName,DestinationIp,DestinationHostname,DestinationPort,DestinationPortName
0," Dns query:
",-,2022-10-25 01:30:12.305,{fb91fd7c-3af2-6357-2a00-000000000d00},2248,DC,0,fe80::b9ef:a298:4cca:56f7;::ffff:10.0.0.2;,C:\Windows\system32\DFSRs.exe,NT AUTHORITY\SYSTEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1," Dns query:
",-,2022-10-25 01:30:12.309,{fb91fd7c-3af2-6357-2a00-000000000d00},2248,dc.mshome.net,0,fe80::b9ef:a298:4cca:56f7;::ffff:10.0.0.2;,C:\Windows\System32\dfsrs.exe,NT AUTHORITY\SYSTEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2," Dns query:
",-,2022-10-25 01:30:12.322,{fb91fd7c-3af2-6357-2a00-000000000d00},2248,DC,0,fe80::b9ef:a298:4cca:56f7;::ffff:10.0.0.2;,C:\Windows\System32\dfsrs.exe,NT AUTHORITY\SYSTEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3," Registry value set:
","Suspicious,ImageBeginWithBackslash",2022-10-25 01:30:14.511,{fb91fd7c-3bd4-6357-b300-000000000d00},3032,,,,\\?\C:\Windows\system32\wbem\WMIADAP.EXE,NT AUTHORITY\SYSTEM,SetValue,HKLM\System\CurrentControlSet\Services\WmiApRpl\Performance\PerfIniFile,WmiApRpl.ini,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4," Registry value set:
","Suspicious,ImageBeginWithBackslash",2022-10-25 01:30:14.511,{fb91fd7c-3bd4-6357-b300-000000000d00},3032,,,,\\?\C:\Windows\system32\wbem\WMIADAP.EXE,NT AUTHORITY\SYSTEM,SetValue,HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Perflib\Updating,WmiApRpl,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5," Registry value set:
","Suspicious,ImageBeginWithBackslash",2022-10-25 01:30:14.589,{fb91fd7c-3bd4-6357-b300-000000000d00},3032,,,,\\?\C:\Windows\system32\wbem\WMIADAP.EXE,NT AUTHORITY\SYSTEM,SetValue,HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Perflib\Last Counter,DWORD (0x000029f6),,,,,,,,,,,,,,,,,,,,,,,,,,,,
6," Registry value set:
","Suspicious,ImageBeginWithBackslash",2022-10-25 01:30:14.589,{fb91fd7c-3bd4-6357-b300-000000000d00},3032,,,,\\?\C:\Windows\system32\wbem\WMIADAP.EXE,NT AUTHORITY\SYSTEM,SetValue,HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Perflib\Last Help,DWORD (0x000029f7),,,,,,,,,,,,,,,,,,,,,,,,,,,,
7," Registry value set:
","Suspicious,ImageBeginWithBackslash",2022-10-25 01:30:14.589,{fb91fd7c-3bd4-6357-b300-000000000d00},3032,,,,\\?\C:\Windows\system32\wbem\WMIADAP.EXE,NT AUTHORITY\SYSTEM,SetValue,HKLM\System\CurrentControlSet\Services\WmiApRpl\Performance\Last Counter,DWORD (0x000029f6),,,,,,,,,,,,,,,,,,,,,,,,,,,,
8," Registry value set:
","Suspicious,ImageBeginWithBackslash",2022-10-25 01:30:14.589,{fb91fd7c-3bd4-6357-b300-000000000d00},3032,,,,\\?\C:\Windows\system32\wbem\WMIADAP.EXE,NT AUTHORITY\SYSTEM,SetValue,HKLM\System\CurrentControlSet\Services\WmiApRpl\Performance\Last Help,DWORD (0x000029f7),,,,,,,,,,,,,,,,,,,,,,,,,,,,
9," Registry value set:
","Suspicious,ImageBeginWithBackslash",2022-10-25 01:30:14.589,{fb91fd7c-3bd4-6357-b300-000000000d00},3032,,,,\\?\C:\Windows\system32\wbem\WMIADAP.EXE,NT AUTHORITY\SYSTEM,SetValue,HKLM\System\CurrentControlSet\Services\WmiApRpl\Performance\First Counter,DWORD (0x00002950),,,,,,,,,,,,,,,,,,,,,,,,,,,,
10," Registry value set:
","Suspicious,ImageBeginWithBackslash",2022-10-25 01:30:14.589,{fb91fd7c-3bd4-6357-b300-000000000d00},3032,,,,\\?\C:\Windows\system32\wbem\WMIADAP.EXE,NT AUTHORITY\SYSTEM,SetValue,HKLM\System\CurrentControlSet\Services\WmiApRpl\Performance\First Help,DWORD (0x00002951),,,,,,,,,,,,,,,,,,,,,,,,,,,,
11," Registry value set:
","Suspicious,ImageBeginWithBackslash",2022-10-25 01:30:14.589,{fb91fd7c-3bd4-6357-b300-000000000d00},3032,,,,\\?\C:\Windows\system32\wbem\WMIADAP.EXE,NT AUTHORITY\SYSTEM,SetValue,HKLM\System\CurrentControlSet\Services\WmiApRpl\Performance\Object List,10576 10582 10592 10602 10622 10666 10676 10714 10720 10736,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12," Registry object added or deleted:
","Suspicious,ImageBeginWithBackslash",2022-10-25 01:30:14.589,{fb91fd7c-3bd4-6357-b300-000000000d00},3032,,,,\\?\C:\Windows\system32\wbem\WMIADAP.EXE,NT AUTHORITY\SYSTEM,DeleteValue,HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Perflib\Updating,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13," Registry value set:
","Suspicious,ImageBeginWithBackslash",2022-10-25 01:30:17.608,{fb91fd7c-3bd4-6357-b300-000000000d00},3032,,,,\\?\C:\Windows\system32\wbem\WMIADAP.EXE,NT AUTHORITY\SYSTEM,SetValue,HKLM\SOFTWARE\Microsoft\Wbem\PROVIDERS\Performance\Performance Data,Binary Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14," Registry object added or deleted:
","Suspicious,ImageBeginWithBackslash",2022-10-25 01:30:17.608,{fb91fd7c-3bd4-6357-b300-000000000d00},3032,,,,\\?\C:\Windows\system32\wbem\WMIADAP.EXE,NT AUTHORITY\SYSTEM,DeleteKey,HKLM\SOFTWARE\Microsoft\Wbem\WDM\DREDGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15," Registry value set:
","Suspicious,ImageBeginWithBackslash",2022-10-25 01:30:17.608,{fb91fd7c-3bd4-6357-b300-000000000d00},3032,,,,\\?\C:\Windows\system32\wbem\WMIADAP.EXE,NT AUTHORITY\SYSTEM,SetValue,HKLM\SOFTWARE\Microsoft\Wbem\WDM\DREDGE\C:\Windows\system32\kernelbase.dll[MofResourceName],"LowDateTime:-2046434960,HighDateTime:30812468***Binary mof compiled successfully",,,,,,,,,,,,,,,,,,,,,,,,,,,,
16," Registry value set:
","Suspicious,ImageBeginWithBackslash",2022-10-25 01:30:17.608,{fb91fd7c-3bd4-6357-b300-000000000d00},3032,,,,\\?\C:\Windows\system32\wbem\WMIADAP.EXE,NT AUTHORITY\SYSTEM,SetValue,HKLM\SOFTWARE\Microsoft\Wbem\WDM\DREDGE\C:\Windows\system32\en-US\kernelbase.dll.mui[MofResourceName],"LowDateTime:1136161067,HighDateTime:30812468***Binary mof compiled successfully",,,,,,,,,,,,,,,,,,,,,,,,,,,,
17," Registry value set:
","Suspicious,ImageBeginWithBackslash",2022-10-25 01:30:17.608,{fb91fd7c-3bd4-6357-b300-000000000d00},3032,,,,\\?\C:\Windows\system32\wbem\WMIADAP.EXE,NT AUTHORITY\SYSTEM,SetValue,HKLM\SOFTWARE\Microsoft\Wbem\WDM\DREDGE\C:\Windows\System32\drivers\ACPI.sys[ACPIMOFResource],"LowDateTime:1012034017,HighDateTime:30762326***Binary mof compiled successfully",,,,,,,,,,,,,,,,,,,,,,,,,,,,
18," Registry value set:
","Suspicious,ImageBeginWithBackslash",2022-10-25 01:30:17.608,{fb91fd7c-3bd4-6357-b300-000000000d00},3032,,,,\\?\C:\Windows\system32\wbem\WMIADAP.EXE,NT AUTHORITY\SYSTEM,SetValue,HKLM\SOFTWARE\Microsoft\Wbem\WDM\DREDGE\C:\Windows\System32\drivers\en-US\ACPI.sys.mui[ACPIMOFResource],"LowDateTime:-1765236356,HighDateTime:30690582***Binary mof compiled successfully",,,,,,,,,,,,,,,,,,,,,,,,,,,,
19," Registry value set:
","Suspicious,ImageBeginWithBackslash",2022-10-25 01:30:17.608,{fb91fd7c-3bd4-6357-b300-000000000d00},3032,,,,\\?\C:\Windows\system32\wbem\WMIADAP.EXE,NT AUTHORITY\SYSTEM,SetValue,HKLM\SOFTWARE\Microsoft\Wbem\WDM\DREDGE\C:\Windows\System32\drivers\mssmbios.sys[MofResource],"LowDateTime:1893732959,HighDateTime:30690566***Binary mof compiled successfully",,,,,,,,,,,,,,,,,,,,,,,,,,,,
20," Registry value set:
","Suspicious,ImageBeginWithBackslash",2022-10-25 01:30:17.608,{fb91fd7c-3bd4-6357-b300-000000000d00},3032,,,,\\?\C:\Windows\system32\wbem\WMIADAP.EXE,NT AUTHORITY\SYSTEM,SetValue,HKLM\SOFTWARE\Microsoft\Wbem\WDM\DREDGE\C:\Windows\System32\drivers\en-US\mssmbios.sys.mui[MofResource],"LowDateTime:-1928706890,HighDateTime:30690582***Binary mof compiled successfully",,,,,,,,,,,,,,,,,,,,,,,,,,,,
21," Registry value set:
","Suspicious,ImageBeginWithBackslash",2022-10-25 01:30:17.608,{fb91fd7c-3bd4-6357-b300-000000000d00},3032,,,,\\?\C:\Windows\system32\wbem\WMIADAP.EXE,NT AUTHORITY\SYSTEM,SetValue,HKLM\SOFTWARE\Microsoft\Wbem\WDM\DREDGE\C:\Windows\System32\drivers\intelppm.sys[PROCESSORWMI],"LowDateTime:1012968473,HighDateTime:30762326***Binary mof compiled successfully",,,,,,,,,,,,,,,,,,,,,,,,,,,,
22," Registry value set:
","Suspicious,ImageBeginWithBackslash",2022-10-25 01:30:17.608,{fb91fd7c-3bd4-6357-b300-000000000d00},3032,,,,\\?\C:\Windows\system32\wbem\WMIADAP.EXE,NT AUTHORITY\SYSTEM,SetValue,HKLM\SOFTWARE\Microsoft\Wbem\WDM\DREDGE\C:\Windows\System32\drivers\en-US\intelppm.sys.mui[PROCESSORWMI],"LowDateTime:-1928706890,HighDateTime:30690582***Binary mof compiled successfully",,,,,,,,,,,,,,,,,,,,,,,,,,,,
23," Registry value set:
","Suspicious,ImageBeginWithBackslash",2022-10-25 01:30:17.608,{fb91fd7c-3bd4-6357-b300-000000000d00},3032,,,,\\?\C:\Windows\system32\wbem\WMIADAP.EXE,NT AUTHORITY\SYSTEM,SetValue,HKLM\SOFTWARE\Microsoft\Wbem\PROVIDERS\Performance\Performance Refresh,DWORD (0x00000000),,,,,,,,,,,,,,,,,,,,,,,,,,,,
24," Registry value set:
","Suspicious,ImageBeginWithBackslash",2022-10-25 01:30:17.608,{fb91fd7c-3bd4-6357-b300-000000000d00},3032,,,,\\?\C:\Windows\system32\wbem\WMIADAP.EXE,NT AUTHORITY\SYSTEM,SetValue,HKLM\SOFTWARE\Microsoft\Wbem\PROVIDERS\Performance\Performance Refreshed,DWORD (0x00000001),,,,,,,,,,,,,,,,,,,,,,,,,,,,
25," Dns query:
",-,2022-10-25 01:30:29.025,{fb91fd7c-ca57-6356-0c00-000000000d00},580,DC,0,fe80::b9ef:a298:4cca:56f7;::ffff:10.0.0.2;,C:\Windows\System32\lsass.exe,NT AUTHORITY\SYSTEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26," Dns query:
",-,2022-10-25 01:30:29.052,{fb91fd7c-ca57-6356-0c00-000000000d00},580,_ldap._tcp.mshome.net.,9501,type:  6 ;,C:\Windows\System32\lsass.exe,NT AUTHORITY\SYSTEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27," Dns query:
",-,2022-10-25 01:30:29.053,{fb91fd7c-ca57-6356-0c00-000000000d00},580,dc.mshome.net,0,fe80::b9ef:a298:4cca:56f7;::ffff:10.0.0.2;,C:\Windows\System32\lsass.exe,NT AUTHORITY\SYSTEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28," Dns query:
",-,2022-10-25 01:30:29.062,{fb91fd7c-ca57-6356-0c00-000000000d00},580,_ldap._tcp.Default-First-Site-Name._sites.mshome.net.,9501,type:  6 ;,C:\Windows\System32\lsass.exe,NT AUTHORITY\SYSTEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29," Dns query:
",-,2022-10-25 01:30:29.073,{fb91fd7c-ca57-6356-0c00-000000000d00},580,_ldap._tcp.pdc._msdcs.mshome.net.,9501,type:  6 ;,C:\Windows\System32\lsass.exe,NT AUTHORITY\SYSTEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30," Dns query:
",-,2022-10-25 01:30:29.083,{fb91fd7c-ca57-6356-0c00-000000000d00},580,_ldap._tcp.9fe8ac58-c533-44f7-8b29-af9b47219cc5.domains._msdcs.mshome.net.,9501,type:  6 ;,C:\Windows\System32\lsass.exe,NT AUTHORITY\SYSTEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31," Dns query:
",-,2022-10-25 01:30:29.094,{fb91fd7c-ca57-6356-0c00-000000000d00},580,680675dc-ed72-4ea9-80ef-ff2e2d83d0f3._msdcs.mshome.net.,0,type:  5 dc.mshome.net;type:  6 ;,C:\Windows\System32\lsass.exe,NT AUTHORITY\SYSTEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32," Dns query:
",-,2022-10-25 01:30:29.098,{fb91fd7c-ca57-6356-0c00-000000000d00},580,_msdcs.mshome.net.,0,type:  6 ;,C:\Windows\System32\lsass.exe,NT AUTHORITY\SYSTEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33," Dns query:
",-,2022-10-25 01:30:29.107,{fb91fd7c-ca57-6356-0c00-000000000d00},580,_msdcs.mshome.net.,0,type:  2 dc.mshome.net;10.0.0.2;,C:\Windows\System32\lsass.exe,NT AUTHORITY\SYSTEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34," Dns query:
",-,2022-10-25 01:30:29.109,{fb91fd7c-ca57-6356-0c00-000000000d00},580,680675dc-ed72-4ea9-80ef-ff2e2d83d0f3._msdcs.mshome.net.,0,type:  5 dc.mshome.net;,C:\Windows\System32\lsass.exe,NT AUTHORITY\SYSTEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35," Dns query:
",-,2022-10-25 01:30:29.115,{fb91fd7c-ca57-6356-0c00-000000000d00},580,_ldap._tcp.dc._msdcs.mshome.net.,9501,type:  6 ;,C:\Windows\System32\lsass.exe,NT AUTHORITY\SYSTEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
