@timestamp,agent.hostname,event.category,event.created,event.ingested,event.original,event.outcome,host.hostname,host.id,host.ip,host.mac,host.name,host.os.codename,host.os.family,host.os.kernel,host.os.name,host.os.platform,host.os.type,host.os.version,http.request.method,http.request.referrer,http.response.body.bytes,http.response.status_code,http.version,service.type,source.address,source.as.organization.name,source.geo.city_name,source.geo.continent_name,source.geo.country_iso_code,source.geo.country_name,source.geo.location,source.geo.region_iso_code,source.geo.region_name,traefik.access.user_agent.name,traefik.access.user_agent.original,traefik.access.user_agent.os_name,url.extension,url.original,url.path,url.query,user_agent.device.name,user_agent.version
"Oct 24, 2022 @ 23:24:57.000",dvwa_web,web,"Oct 24, 2022 @ 23:25:03.865","Oct 24, 2022 @ 23:25:04.866","127.0.0.1 - - [24/Oct/2022:23:24:57 +0800] ""GET /server-status?auto= HTTP/1.1"" 200 604 ""-"" ""Elastic-Metricbeat/8.4.3 (linux; amd64; c2f2aba479653563dbaabefe0f86f5579708ec94; 2022-09-27 15:34:12 +0000 UTC)""",success,dvwa_web,bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b",dvwa_web,bullseye,debian,5.15.0-52-generic,Debian GNU/Linux,debian,linux,11 (bullseye),GET,-,604,200,1.1,apache,127.0.0.1,-,-,-,-,-,-,-,-,Other,Elastic-Metricbeat/8.4.3 (linux; amd64; c2f2aba479653563dbaabefe0f86f5579708ec94; 2022-09-27 15:34:12 +0000 UTC),Linux,-,/server-status?auto=,/server-status,auto=,Other,-
"Oct 24, 2022 @ 23:24:47.000",dvwa_web,web,"Oct 24, 2022 @ 23:24:48.860","Oct 24, 2022 @ 23:24:49.534","127.0.0.1 - - [24/Oct/2022:23:24:47 +0800] ""GET /server-status?auto= HTTP/1.1"" 200 607 ""-"" ""Elastic-Metricbeat/8.4.3 (linux; amd64; c2f2aba479653563dbaabefe0f86f5579708ec94; 2022-09-27 15:34:12 +0000 UTC)""",success,dvwa_web,bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b",dvwa_web,bullseye,debian,5.15.0-52-generic,Debian GNU/Linux,debian,linux,11 (bullseye),GET,-,607,200,1.1,apache,127.0.0.1,-,-,-,-,-,-,-,-,Other,Elastic-Metricbeat/8.4.3 (linux; amd64; c2f2aba479653563dbaabefe0f86f5579708ec94; 2022-09-27 15:34:12 +0000 UTC),Linux,-,/server-status?auto=,/server-status,auto=,Other,-
"Oct 24, 2022 @ 23:24:45.000",dvwa_web,web,"Oct 24, 2022 @ 23:24:45.858","Oct 24, 2022 @ 23:24:46.589","123.123.123.3 - - [24/Oct/2022:23:24:45 +0800] ""GET /login.php HTTP/1.1"" 200 1182 ""-"" ""Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:105.0) Gecko/20100101 Firefox/105.0""",success,dvwa_web,bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b",dvwa_web,bullseye,debian,5.15.0-52-generic,Debian GNU/Linux,debian,linux,11 (bullseye),GET,-,"1,182",200,1.1,apache,123.123.123.3,China Unicom Beijing Province Network,Beijing,Asia,CN,China,POINT (116.3861 39.9143),CN-BJ,Beijing,Firefox,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:105.0) Gecko/20100101 Firefox/105.0,Ubuntu,php,/login.php,/login.php,-,Other,105.0.
"Oct 24, 2022 @ 23:24:45.000",dvwa_web,web,"Oct 24, 2022 @ 23:24:45.858","Oct 24, 2022 @ 23:24:46.589","123.123.123.3 - - [24/Oct/2022:23:24:45 +0800] ""POST /login.php HTTP/1.1"" 302 363 ""-"" ""Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:105.0) Gecko/20100101 Firefox/105.0""",success,dvwa_web,bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b",dvwa_web,bullseye,debian,5.15.0-52-generic,Debian GNU/Linux,debian,linux,11 (bullseye),POST,-,363,302,1.1,apache,123.123.123.3,China Unicom Beijing Province Network,Beijing,Asia,CN,China,POINT (116.3861 39.9143),CN-BJ,Beijing,Firefox,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:105.0) Gecko/20100101 Firefox/105.0,Ubuntu,php,/login.php,/login.php,-,Other,105.0.
"Oct 24, 2022 @ 23:24:45.000",dvwa_web,web,"Oct 24, 2022 @ 23:24:45.858","Oct 24, 2022 @ 23:24:46.590","123.123.123.3 - - [24/Oct/2022:23:24:45 +0800] ""GET /index.php HTTP/1.1"" 200 2908 ""-"" ""Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:105.0) Gecko/20100101 Firefox/105.0""",success,dvwa_web,bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b",dvwa_web,bullseye,debian,5.15.0-52-generic,Debian GNU/Linux,debian,linux,11 (bullseye),GET,-,"2,908",200,1.1,apache,123.123.123.3,China Unicom Beijing Province Network,Beijing,Asia,CN,China,POINT (116.3861 39.9143),CN-BJ,Beijing,Firefox,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:105.0) Gecko/20100101 Firefox/105.0,Ubuntu,php,/index.php,/index.php,-,Other,105.0.
"Oct 24, 2022 @ 23:24:45.000",dvwa_web,web,"Oct 24, 2022 @ 23:24:45.858","Oct 24, 2022 @ 23:24:46.590","123.123.123.3 - - [24/Oct/2022:23:24:45 +0800] ""GET /index.php HTTP/1.1"" 200 2881 ""-"" ""Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:105.0) Gecko/20100101 Firefox/105.0""",success,dvwa_web,bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b",dvwa_web,bullseye,debian,5.15.0-52-generic,Debian GNU/Linux,debian,linux,11 (bullseye),GET,-,"2,881",200,1.1,apache,123.123.123.3,China Unicom Beijing Province Network,Beijing,Asia,CN,China,POINT (116.3861 39.9143),CN-BJ,Beijing,Firefox,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:105.0) Gecko/20100101 Firefox/105.0,Ubuntu,php,/index.php,/index.php,-,Other,105.0.
"Oct 24, 2022 @ 23:24:45.000",dvwa_web,web,"Oct 24, 2022 @ 23:24:45.858","Oct 24, 2022 @ 23:24:46.590","123.123.123.3 - - [24/Oct/2022:23:24:45 +0800] ""GET /vulnerabilities/sqli_blind/ HTTP/1.1"" 200 1698 ""-"" ""Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:105.0) Gecko/20100101 Firefox/105.0""",success,dvwa_web,bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b",dvwa_web,bullseye,debian,5.15.0-52-generic,Debian GNU/Linux,debian,linux,11 (bullseye),GET,-,"1,698",200,1.1,apache,123.123.123.3,China Unicom Beijing Province Network,Beijing,Asia,CN,China,POINT (116.3861 39.9143),CN-BJ,Beijing,Firefox,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:105.0) Gecko/20100101 Firefox/105.0,Ubuntu,-,/vulnerabilities/sqli_blind/,/vulnerabilities/sqli_blind/,-,Other,105.0.
"Oct 24, 2022 @ 23:24:45.000",dvwa_web,web,"Oct 24, 2022 @ 23:24:45.858","Oct 24, 2022 @ 23:24:46.590","123.123.123.3 - - [24/Oct/2022:23:24:45 +0800] ""GET /vulnerabilities/sqli/ HTTP/1.1"" 200 1691 ""-"" ""Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:105.0) Gecko/20100101 Firefox/105.0""",success,dvwa_web,bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b",dvwa_web,bullseye,debian,5.15.0-52-generic,Debian GNU/Linux,debian,linux,11 (bullseye),GET,-,"1,691",200,1.1,apache,123.123.123.3,China Unicom Beijing Province Network,Beijing,Asia,CN,China,POINT (116.3861 39.9143),CN-BJ,Beijing,Firefox,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:105.0) Gecko/20100101 Firefox/105.0,Ubuntu,-,/vulnerabilities/sqli/,/vulnerabilities/sqli/,-,Other,105.0.
"Oct 24, 2022 @ 23:24:45.000",dvwa_web,web,"Oct 24, 2022 @ 23:24:45.858","Oct 24, 2022 @ 23:24:46.590","123.123.123.3 - - [24/Oct/2022:23:24:45 +0800] ""GET /logout.php HTTP/1.1"" 302 363 ""-"" ""Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:105.0) Gecko/20100101 Firefox/105.0""",success,dvwa_web,bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b",dvwa_web,bullseye,debian,5.15.0-52-generic,Debian GNU/Linux,debian,linux,11 (bullseye),GET,-,363,302,1.1,apache,123.123.123.3,China Unicom Beijing Province Network,Beijing,Asia,CN,China,POINT (116.3861 39.9143),CN-BJ,Beijing,Firefox,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:105.0) Gecko/20100101 Firefox/105.0,Ubuntu,php,/logout.php,/logout.php,-,Other,105.0.
"Oct 24, 2022 @ 23:24:45.000",dvwa_web,web,"Oct 24, 2022 @ 23:24:45.858","Oct 24, 2022 @ 23:24:46.590","123.123.123.3 - - [24/Oct/2022:23:24:45 +0800] ""GET /login.php HTTP/1.1"" 200 1043 ""-"" ""Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:105.0) Gecko/20100101 Firefox/105.0""",success,dvwa_web,bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b",dvwa_web,bullseye,debian,5.15.0-52-generic,Debian GNU/Linux,debian,linux,11 (bullseye),GET,-,"1,043",200,1.1,apache,123.123.123.3,China Unicom Beijing Province Network,Beijing,Asia,CN,China,POINT (116.3861 39.9143),CN-BJ,Beijing,Firefox,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:105.0) Gecko/20100101 Firefox/105.0,Ubuntu,php,/login.php,/login.php,-,Other,105.0.
"Oct 24, 2022 @ 23:24:41.000",dvwa_web,web,"Oct 24, 2022 @ 23:24:44.856","Oct 24, 2022 @ 23:24:45.529","123.123.123.2 - - [24/Oct/2022:23:24:41 +0800] ""GET /login.php HTTP/1.1"" 200 1182 ""-"" ""Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:105.0) Gecko/20100101 Firefox/105.0""",success,dvwa_web,bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b",dvwa_web,bullseye,debian,5.15.0-52-generic,Debian GNU/Linux,debian,linux,11 (bullseye),GET,-,"1,182",200,1.1,apache,123.123.123.2,China Unicom Beijing Province Network,Beijing,Asia,CN,China,POINT (116.3861 39.9143),CN-BJ,Beijing,Firefox,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:105.0) Gecko/20100101 Firefox/105.0,Ubuntu,php,/login.php,/login.php,-,Other,105.0.
