@timestamp,agent.hostname,bytes_in,bytes_out,destination.bytes,destination.ip,destination.packets,destination.port,event.duration,event.end,event.start,event.type,flow.final,host.id,host.ip,host.mac,host.os.codename,host.os.family,host.os.kernel,host.os.name,host.os.type,host.os.version,network.bytes,network.packets,network.transport,network.type,source.bytes,source.ip,source.packets,source.port
"Oct 24, 2022 @ 23:25:00.003",fileserver,"482,264","28,676","28,676",10.10.10.110,121,"9,200","350,720,784,828","Oct 24, 2022 @ 23:24:51.406","Oct 24, 2022 @ 23:19:00.685",connection,False,40beb5eb909e171860ceee669da56e1d,10.10.10.30,02:42:0a:0a:0a:1e,jessie,debian,5.15.0-52-generic,Debian GNU/Linux,linux,8 (jessie),"510,940",306,tcp,ipv4,"482,264",10.10.10.30,185,"60,192"
"Oct 24, 2022 @ 23:25:00.003",fileserver,"765,726","44,812","44,812",10.10.10.110,199,"9,200","350,208,823,640","Oct 24, 2022 @ 23:24:53.966","Oct 24, 2022 @ 23:19:03.757",connection,False,40beb5eb909e171860ceee669da56e1d,10.10.10.30,02:42:0a:0a:0a:1e,jessie,debian,5.15.0-52-generic,Debian GNU/Linux,linux,8 (jessie),"810,538",473,tcp,ipv4,"765,726",10.10.10.30,274,"60,450"
"Oct 24, 2022 @ 23:25:00.003",fileserver,"145,192","5,837","5,837",10.10.10.110,44,"9,200","73,212,621,496","Oct 24, 2022 @ 23:24:45.774","Oct 24, 2022 @ 23:23:32.561",connection,False,40beb5eb909e171860ceee669da56e1d,10.10.10.30,02:42:0a:0a:0a:1e,jessie,debian,5.15.0-52-generic,Debian GNU/Linux,linux,8 (jessie),"151,029",91,tcp,ipv4,"145,192",10.10.10.30,47,"47,640"
"Oct 24, 2022 @ 23:25:00.003",fileserver,"3,424","2,727","2,727",10.10.10.30,16,445,"280,160","Oct 24, 2022 @ 23:24:26.318","Oct 24, 2022 @ 23:24:26.318","connection, end",True,40beb5eb909e171860ceee669da56e1d,10.10.10.30,02:42:0a:0a:0a:1e,jessie,debian,5.15.0-52-generic,Debian GNU/Linux,linux,8 (jessie),"6,151",34,tcp,ipv4,"3,424",10.10.10.2,18,"42,166"
"Oct 24, 2022 @ 23:25:00.003",fileserver,"3,428","2,727","2,727",10.10.10.30,16,445,"219,630","Oct 24, 2022 @ 23:24:26.319","Oct 24, 2022 @ 23:24:26.318","connection, end",True,40beb5eb909e171860ceee669da56e1d,10.10.10.30,02:42:0a:0a:0a:1e,jessie,debian,5.15.0-52-generic,Debian GNU/Linux,linux,8 (jessie),"6,155",34,tcp,ipv4,"3,428",10.10.10.3,18,"37,874"
"Oct 24, 2022 @ 23:25:00.003",fileserver,"3,783","3,281","3,281",10.10.10.30,18,445,"512,264,113","Oct 24, 2022 @ 23:24:56.525","Oct 24, 2022 @ 23:24:56.013",connection,False,40beb5eb909e171860ceee669da56e1d,10.10.10.30,02:42:0a:0a:0a:1e,jessie,debian,5.15.0-52-generic,Debian GNU/Linux,linux,8 (jessie),"7,064",38,tcp,ipv4,"3,783",10.10.10.2,20,"58,692"
"Oct 24, 2022 @ 23:25:00.003",fileserver,"3,391","2,720","2,720",10.10.10.30,16,445,"244,070","Oct 24, 2022 @ 23:24:56.526","Oct 24, 2022 @ 23:24:56.525",connection,False,40beb5eb909e171860ceee669da56e1d,10.10.10.30,02:42:0a:0a:0a:1e,jessie,debian,5.15.0-52-generic,Debian GNU/Linux,linux,8 (jessie),"6,111",34,tcp,ipv4,"3,391",10.10.10.3,18,"41,146"
"Oct 24, 2022 @ 23:25:00.001",dvwa_db,621,478,478,10.10.10.20,5,"3,306","347,120","Oct 24, 2022 @ 23:24:45.518","Oct 24, 2022 @ 23:24:45.517",connection,False,-,10.10.10.20,02:42:0a:0a:0a:14,jammy,debian,5.15.0-52-generic,Ubuntu,linux,22.04.1 LTS (Jammy Jellyfish),"1,099",12,tcp,ipv4,621,10.10.10.10,7,"53,422"
"Oct 24, 2022 @ 23:25:00.001",dvwa_web,737,867,867,10.10.10.20,8,"3,306","1,116,699","Oct 24, 2022 @ 23:24:34.896","Oct 24, 2022 @ 23:24:34.895",connection,False,bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b",bullseye,debian,5.15.0-52-generic,Debian GNU/Linux,linux,11 (bullseye),"1,604",16,tcp,ipv4,737,10.10.10.10,8,"52,466"
"Oct 24, 2022 @ 23:25:00.001",dvwa_web,553,546,546,10.10.10.20,6,"3,306","830,049","Oct 24, 2022 @ 23:24:34.896","Oct 24, 2022 @ 23:24:34.896",connection,False,bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b",bullseye,debian,5.15.0-52-generic,Debian GNU/Linux,linux,11 (bullseye),"1,099",12,tcp,ipv4,553,10.10.10.10,6,"52,474"
"Oct 24, 2022 @ 23:25:00.001",dvwa_web,939,"23,528","23,528",123.123.123.123,6,80,"5,009,373","Oct 24, 2022 @ 23:24:34.902","Oct 24, 2022 @ 23:24:34.897",connection,False,bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b",bullseye,debian,5.15.0-52-generic,Debian GNU/Linux,linux,11 (bullseye),"24,467",14,tcp,ipv4,939,123.123.123.4,8,"33,350"
"Oct 24, 2022 @ 23:25:00.001",dvwa_web,819,"3,875","3,875",123.123.123.123,4,80,"972,919","Oct 24, 2022 @ 23:24:34.903","Oct 24, 2022 @ 23:24:34.902",connection,False,bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b",bullseye,debian,5.15.0-52-generic,Debian GNU/Linux,linux,11 (bullseye),"4,694",10,tcp,ipv4,819,123.123.123.4,6,"33,364"
"Oct 24, 2022 @ 23:25:00.001",dvwa_web,697,557,557,10.10.10.20,6,"3,306","227,260","Oct 24, 2022 @ 23:24:34.903","Oct 24, 2022 @ 23:24:34.903",connection,False,bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b",bullseye,debian,5.15.0-52-generic,Debian GNU/Linux,linux,11 (bullseye),"1,254",14,tcp,ipv4,697,10.10.10.10,8,"52,484"
"Oct 24, 2022 @ 23:25:00.001",dvwa_web,621,478,478,10.10.10.20,5,"3,306","105,220","Oct 24, 2022 @ 23:24:34.903","Oct 24, 2022 @ 23:24:34.903",connection,False,bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b",bullseye,debian,5.15.0-52-generic,Debian GNU/Linux,linux,11 (bullseye),"1,099",12,tcp,ipv4,621,10.10.10.10,7,"52,486"
"Oct 24, 2022 @ 23:25:00.001",dvwa_web,"1,255","1,755","1,755",123.123.123.123,5,80,"527,229","Oct 24, 2022 @ 23:24:34.904","Oct 24, 2022 @ 23:24:34.903",connection,False,bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b",bullseye,debian,5.15.0-52-generic,Debian GNU/Linux,linux,11 (bullseye),"3,010",12,tcp,ipv4,"1,255",123.123.123.4,7,"33,380"
"Oct 24, 2022 @ 23:25:00.001",dvwa_web,629,625,625,10.10.10.20,7,"3,306","213,800","Oct 24, 2022 @ 23:24:34.904","Oct 24, 2022 @ 23:24:34.903",connection,False,bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b",bullseye,debian,5.15.0-52-generic,Debian GNU/Linux,linux,11 (bullseye),"1,254",14,tcp,ipv4,629,10.10.10.10,7,"52,490"
"Oct 24, 2022 @ 23:25:00.001",dvwa_web,553,546,546,10.10.10.20,6,"3,306","104,530","Oct 24, 2022 @ 23:24:34.904","Oct 24, 2022 @ 23:24:34.904",connection,False,bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b",bullseye,debian,5.15.0-52-generic,Debian GNU/Linux,linux,11 (bullseye),"1,099",12,tcp,ipv4,553,10.10.10.10,6,"52,502"
"Oct 24, 2022 @ 23:25:00.001",dvwa_web,551,954,954,127.0.0.1,5,80,"5,097,382,810","Oct 24, 2022 @ 23:24:42.555","Oct 24, 2022 @ 23:24:37.457",connection,False,bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b",bullseye,debian,5.15.0-52-generic,Debian GNU/Linux,linux,11 (bullseye),"1,505",10,tcp,ipv4,551,127.0.0.1,5,"55,798"
"Oct 24, 2022 @ 23:25:00.001",dvwa_web,735,"1,462","1,462",123.123.123.123,4,80,"1,570,469","Oct 24, 2022 @ 23:24:41.551","Oct 24, 2022 @ 23:24:41.549",connection,False,bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b",bullseye,debian,5.15.0-52-generic,Debian GNU/Linux,linux,11 (bullseye),"2,197",10,tcp,ipv4,735,123.123.123.2,6,"49,792"
