"@timestamp","_id","_index","_score","agent.ephemeral_id","agent.hostname","agent.id","agent.name","agent.type","agent.version","bytes_in","bytes_out","destination.bytes","destination.ip","destination.packets","destination.port","ecs.version","event.action","event.category","event.dataset","event.duration","event.end","event.kind","event.start","event.type","flow.final","flow.id","host.architecture","host.containerized","host.hostname","host.id","host.ip","host.mac","host.name","host.os.codename","host.os.family","host.os.kernel","host.os.name","host.os.name.text","host.os.platform","host.os.type","host.os.version","network.bytes","network.community_id","network.packets","network.transport","network.type","source.bytes","source.ip","source.packets","source.port",type
"Oct 24, 2022 @ 23:25:00.003",INaYCoQBDsc6tFfS3PrO,".ds-packetbeat-8.4.3-2022.10.24-000001","-","45c9ca18-c015-4a56-b661-00257cbf8424",fileserver,"9be41ded-4014-4d05-a8f0-546ec13fe6bf",fileserver,packetbeat,"8.4.3","482,264","28,676","28,676","10.10.10.110",121,"9,200","8.0.0","network_flow",network,flow,"350,720,784,828","Oct 24, 2022 @ 23:24:51.406",event,"Oct 24, 2022 @ 23:19:00.685",connection,false,"EAT/////AP//////CP8AAAEKCgoeCgoKbiDr8CM","x86_64",false,fileserver,40beb5eb909e171860ceee669da56e1d,"10.10.10.30","02:42:0a:0a:0a:1e",fileserver,jessie,debian,"5.15.0-52-generic","Debian GNU/Linux","Debian GNU/Linux",debian,linux,"8 (jessie)","510,940","1:1ftWw6/0HUicUjVpKUWs8etBjmk=",306,tcp,ipv4,"482,264","10.10.10.30",185,"60,192",flow
"Oct 24, 2022 @ 23:25:00.003",IdaYCoQBDsc6tFfS3PrO,".ds-packetbeat-8.4.3-2022.10.24-000001","-","45c9ca18-c015-4a56-b661-00257cbf8424",fileserver,"9be41ded-4014-4d05-a8f0-546ec13fe6bf",fileserver,packetbeat,"8.4.3","765,726","44,812","44,812","10.10.10.110",199,"9,200","8.0.0","network_flow",network,flow,"350,208,823,640","Oct 24, 2022 @ 23:24:53.966",event,"Oct 24, 2022 @ 23:19:03.757",connection,false,"EAT/////AP//////CP8AAAEKCgoeCgoKbiLs8CM","x86_64",false,fileserver,40beb5eb909e171860ceee669da56e1d,"10.10.10.30","02:42:0a:0a:0a:1e",fileserver,jessie,debian,"5.15.0-52-generic","Debian GNU/Linux","Debian GNU/Linux",debian,linux,"8 (jessie)","810,538","1:cp77MWgq3DlRxNEudDgtl1ro8sY=",473,tcp,ipv4,"765,726","10.10.10.30",274,"60,450",flow
"Oct 24, 2022 @ 23:25:00.003",ItaYCoQBDsc6tFfS3PrO,".ds-packetbeat-8.4.3-2022.10.24-000001","-","45c9ca18-c015-4a56-b661-00257cbf8424",fileserver,"9be41ded-4014-4d05-a8f0-546ec13fe6bf",fileserver,packetbeat,"8.4.3","145,192","5,837","5,837","10.10.10.110",44,"9,200","8.0.0","network_flow",network,flow,"73,212,621,496","Oct 24, 2022 @ 23:24:45.774",event,"Oct 24, 2022 @ 23:23:32.561",connection,false,"EAT/////AP//////CP8AAAEKCgoeCgoKbhi68CM","x86_64",false,fileserver,40beb5eb909e171860ceee669da56e1d,"10.10.10.30","02:42:0a:0a:0a:1e",fileserver,jessie,debian,"5.15.0-52-generic","Debian GNU/Linux","Debian GNU/Linux",debian,linux,"8 (jessie)","151,029","1:ynK/wUfPW7wnr7sHsTjGsq8pArQ=",91,tcp,ipv4,"145,192","10.10.10.30",47,"47,640",flow
"Oct 24, 2022 @ 23:25:00.003",I9aYCoQBDsc6tFfS3PrO,".ds-packetbeat-8.4.3-2022.10.24-000001","-","45c9ca18-c015-4a56-b661-00257cbf8424",fileserver,"9be41ded-4014-4d05-a8f0-546ec13fe6bf",fileserver,packetbeat,"8.4.3","3,424","2,727","2,727","10.10.10.30",16,445,"8.0.0","network_flow",network,flow,"280,160","Oct 24, 2022 @ 23:24:26.318",event,"Oct 24, 2022 @ 23:24:26.318","connection, end",true,"EAT/////AP//////CP8AAAEKCgoCCgoKHrakvQE","x86_64",false,fileserver,40beb5eb909e171860ceee669da56e1d,"10.10.10.30","02:42:0a:0a:0a:1e",fileserver,jessie,debian,"5.15.0-52-generic","Debian GNU/Linux","Debian GNU/Linux",debian,linux,"8 (jessie)","6,151","1:eU/9la+ggKFrnBIQx9iCFq9P7Kw=",34,tcp,ipv4,"3,424","10.10.10.2",18,"42,166",flow
"Oct 24, 2022 @ 23:25:00.003",JNaYCoQBDsc6tFfS3PrO,".ds-packetbeat-8.4.3-2022.10.24-000001","-","45c9ca18-c015-4a56-b661-00257cbf8424",fileserver,"9be41ded-4014-4d05-a8f0-546ec13fe6bf",fileserver,packetbeat,"8.4.3","3,428","2,727","2,727","10.10.10.30",16,445,"8.0.0","network_flow",network,flow,"219,630","Oct 24, 2022 @ 23:24:26.319",event,"Oct 24, 2022 @ 23:24:26.318","connection, end",true,"EAT/////AP//////CP8AAAEKCgoDCgoKHvKTvQE","x86_64",false,fileserver,40beb5eb909e171860ceee669da56e1d,"10.10.10.30","02:42:0a:0a:0a:1e",fileserver,jessie,debian,"5.15.0-52-generic","Debian GNU/Linux","Debian GNU/Linux",debian,linux,"8 (jessie)","6,155","1:ukoTWaIbRZvEDz+8Tq5A9JExglQ=",34,tcp,ipv4,"3,428","10.10.10.3",18,"37,874",flow
"Oct 24, 2022 @ 23:25:00.003",JdaYCoQBDsc6tFfS3PrO,".ds-packetbeat-8.4.3-2022.10.24-000001","-","45c9ca18-c015-4a56-b661-00257cbf8424",fileserver,"9be41ded-4014-4d05-a8f0-546ec13fe6bf",fileserver,packetbeat,"8.4.3","3,783","3,281","3,281","10.10.10.30",18,445,"8.0.0","network_flow",network,flow,"512,264,113","Oct 24, 2022 @ 23:24:56.525",event,"Oct 24, 2022 @ 23:24:56.013",connection,false,"EAT/////AP//////CP8AAAEKCgoCCgoKHkTlvQE","x86_64",false,fileserver,40beb5eb909e171860ceee669da56e1d,"10.10.10.30","02:42:0a:0a:0a:1e",fileserver,jessie,debian,"5.15.0-52-generic","Debian GNU/Linux","Debian GNU/Linux",debian,linux,"8 (jessie)","7,064","1:66HUw00ND+rMPZ2vzk7koFoxFNg=",38,tcp,ipv4,"3,783","10.10.10.2",20,"58,692",flow
"Oct 24, 2022 @ 23:25:00.003",JtaYCoQBDsc6tFfS3PrO,".ds-packetbeat-8.4.3-2022.10.24-000001","-","45c9ca18-c015-4a56-b661-00257cbf8424",fileserver,"9be41ded-4014-4d05-a8f0-546ec13fe6bf",fileserver,packetbeat,"8.4.3","3,391","2,720","2,720","10.10.10.30",16,445,"8.0.0","network_flow",network,flow,"244,070","Oct 24, 2022 @ 23:24:56.526",event,"Oct 24, 2022 @ 23:24:56.525",connection,false,"EAT/////AP//////CP8AAAEKCgoDCgoKHrqgvQE","x86_64",false,fileserver,40beb5eb909e171860ceee669da56e1d,"10.10.10.30","02:42:0a:0a:0a:1e",fileserver,jessie,debian,"5.15.0-52-generic","Debian GNU/Linux","Debian GNU/Linux",debian,linux,"8 (jessie)","6,111","1:gZY2MyINh4zbHZWwCKHCUcMpgCc=",34,tcp,ipv4,"3,391","10.10.10.3",18,"41,146",flow
"Oct 24, 2022 @ 23:25:00.001",P9aYCoQBDsc6tFfS3PrP,".ds-packetbeat-8.4.3-2022.10.24-000001","-","284bf25d-6e89-400e-95a1-037edfec5bc0","dvwa_db","6c71a53f-e22b-4efa-89c2-2686e21c53d3","dvwa_db",packetbeat,"8.4.3",621,478,478,"10.10.10.20",5,"3,306","8.0.0","network_flow",network,flow,"347,120","Oct 24, 2022 @ 23:24:45.518",event,"Oct 24, 2022 @ 23:24:45.517",connection,false,"EAz/////AP//////CAwAAAEKCgoKCgoKFK7Q6gxoAQAAAAAAAA","x86_64",false,"dvwa_db","-","10.10.10.20","02:42:0a:0a:0a:14","dvwa_db",jammy,debian,"5.15.0-52-generic",Ubuntu,Ubuntu,ubuntu,linux,"22.04.1 LTS (Jammy Jellyfish)","1,099","1:ZzqH/OxpJuV18P3zGMm8y4yMtx4=",12,tcp,ipv4,621,"10.10.10.10",7,"53,422",flow
"Oct 24, 2022 @ 23:25:00.001",VNaYCoQBDsc6tFfS3PrR,".ds-packetbeat-8.4.3-2022.10.24-000001","-","78c09f9d-9974-414d-ad01-dfd3da18d681","dvwa_web","3e603bcc-039f-4e01-9d12-067947d134a0","dvwa_web",packetbeat,"8.4.3",737,867,867,"10.10.10.20",8,"3,306","8.0.0","network_flow",network,flow,"1,116,699","Oct 24, 2022 @ 23:24:34.896",event,"Oct 24, 2022 @ 23:24:34.895",connection,false,"EAz/////AP//////CAwAAAEKCgoKCgoKFPLM6gwIAgAAAAAAAA","x86_64",false,"dvwa_web",bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b","dvwa_web",bullseye,debian,"5.15.0-52-generic","Debian GNU/Linux","Debian GNU/Linux",debian,linux,"11 (bullseye)","1,604","1:5ZjnuXPa4vn02mYu8IffU34bpzk=",16,tcp,ipv4,737,"10.10.10.10",8,"52,466",flow
"Oct 24, 2022 @ 23:25:00.001",VdaYCoQBDsc6tFfS3PrR,".ds-packetbeat-8.4.3-2022.10.24-000001","-","78c09f9d-9974-414d-ad01-dfd3da18d681","dvwa_web","3e603bcc-039f-4e01-9d12-067947d134a0","dvwa_web",packetbeat,"8.4.3",553,546,546,"10.10.10.20",6,"3,306","8.0.0","network_flow",network,flow,"830,049","Oct 24, 2022 @ 23:24:34.896",event,"Oct 24, 2022 @ 23:24:34.896",connection,false,"EAz/////AP//////CAwAAAEKCgoKCgoKFPrM6gwJAgAAAAAAAA","x86_64",false,"dvwa_web",bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b","dvwa_web",bullseye,debian,"5.15.0-52-generic","Debian GNU/Linux","Debian GNU/Linux",debian,linux,"11 (bullseye)","1,099","1:O9vlfHsHK2hriJ52v//vWbhBIpg=",12,tcp,ipv4,553,"10.10.10.10",6,"52,474",flow
