@timestamp,agent.hostname,command,cwd,event.ingested,filename,host.hostname,host.id,host.ip,host.mac,host.name,host.os.codename,host.os.family,host.os.kernel,host.os.name,host.os.type,host.os.version,message,sid,tty,uid
"Oct 24, 2022 @ 23:25:02.591",dvwa_web,ls,/exploits/Persistence,"Oct 24, 2022 @ 23:25:03.592",/bin/ls,dvwa_web,bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b",dvwa_web,bullseye,debian,5.15.0-52-generic,Debian GNU/Linux,linux,11 (bullseye),[uid:0 sid:256075 tty:/dev/pts/0 cwd:/exploits/Persistence filename:/bin/ls]: ls,256075,/dev/pts/0,0
"Oct 24, 2022 @ 23:24:56.590",dvwa_web,service cron status,/exploits/Persistence,"Oct 24, 2022 @ 23:24:57.546",/usr/sbin/service,dvwa_web,bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b",dvwa_web,bullseye,debian,5.15.0-52-generic,Debian GNU/Linux,linux,11 (bullseye),[uid:0 sid:256075 tty:/dev/pts/0 cwd:/exploits/Persistence filename:/usr/sbin/service]: service cron status,256075,/dev/pts/0,0
"Oct 24, 2022 @ 23:24:56.590",dvwa_web,basename /usr/sbin/service,/exploits/Persistence,"Oct 24, 2022 @ 23:24:57.546",/usr/bin/basename,dvwa_web,bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b",dvwa_web,bullseye,debian,5.15.0-52-generic,Debian GNU/Linux,linux,11 (bullseye),[uid:0 sid:256075 tty:/dev/pts/0 cwd:/exploits/Persistence filename:/usr/bin/basename]: basename /usr/sbin/service,256075,/dev/pts/0,0
"Oct 24, 2022 @ 23:24:56.590",dvwa_web,basename /usr/sbin/service,/exploits/Persistence,"Oct 24, 2022 @ 23:24:57.546",/usr/bin/basename,dvwa_web,bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b",dvwa_web,bullseye,debian,5.15.0-52-generic,Debian GNU/Linux,linux,11 (bullseye),[uid:0 sid:256075 tty:/dev/pts/0 cwd:/exploits/Persistence filename:/usr/bin/basename]: basename /usr/sbin/service,256075,/dev/pts/0,0
"Oct 24, 2022 @ 23:24:56.590",dvwa_web,env -i LANG= LANGUAGE= LC_CTYPE= LC_NUMERIC= LC_TIME= LC_COLLATE= LC_MONETARY= LC_MESSAGES= LC_PAPER= LC_NAME= LC_ADDRESS= LC_TELEPHONE= LC_MEASUREMENT= LC_IDENTIFICATION= LC_ALL= PATH=/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin TERM=xterm /etc/init.d/cron status,/,"Oct 24, 2022 @ 23:24:57.546",/usr/local/sbin/env,dvwa_web,bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b",dvwa_web,bullseye,debian,5.15.0-52-generic,Debian GNU/Linux,linux,11 (bullseye),[uid:0 sid:256075 tty:/dev/pts/0 cwd:/ filename:/usr/local/sbin/env]: env -i LANG= LANGUAGE= LC_CTYPE= LC_NUMERIC= LC_TIME= LC_COLLATE= LC_MONETARY= LC_MESSAGES= LC_PAPER= LC_NAME= LC_ADDRESS= LC_TELEPHONE= LC_MEASUREMENT= LC_IDENTIFICATION= LC_ALL= PATH=/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin TERM=xterm /etc/init.d/cron status,256075,/dev/pts/0,0
"Oct 24, 2022 @ 23:24:56.590",dvwa_web,env -i LANG= LANGUAGE= LC_CTYPE= LC_NUMERIC= LC_TIME= LC_COLLATE= LC_MONETARY= LC_MESSAGES= LC_PAPER= LC_NAME= LC_ADDRESS= LC_TELEPHONE= LC_MEASUREMENT= LC_IDENTIFICATION= LC_ALL= PATH=/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin TERM=xterm /etc/init.d/cron status,/,"Oct 24, 2022 @ 23:24:57.546",/usr/local/bin/env,dvwa_web,bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b",dvwa_web,bullseye,debian,5.15.0-52-generic,Debian GNU/Linux,linux,11 (bullseye),[uid:0 sid:256075 tty:/dev/pts/0 cwd:/ filename:/usr/local/bin/env]: env -i LANG= LANGUAGE= LC_CTYPE= LC_NUMERIC= LC_TIME= LC_COLLATE= LC_MONETARY= LC_MESSAGES= LC_PAPER= LC_NAME= LC_ADDRESS= LC_TELEPHONE= LC_MEASUREMENT= LC_IDENTIFICATION= LC_ALL= PATH=/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin TERM=xterm /etc/init.d/cron status,256075,/dev/pts/0,0
"Oct 24, 2022 @ 23:24:56.590",dvwa_web,env -i LANG= LANGUAGE= LC_CTYPE= LC_NUMERIC= LC_TIME= LC_COLLATE= LC_MONETARY= LC_MESSAGES= LC_PAPER= LC_NAME= LC_ADDRESS= LC_TELEPHONE= LC_MEASUREMENT= LC_IDENTIFICATION= LC_ALL= PATH=/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin TERM=xterm /etc/init.d/cron status,/,"Oct 24, 2022 @ 23:24:57.546",/usr/sbin/env,dvwa_web,bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b",dvwa_web,bullseye,debian,5.15.0-52-generic,Debian GNU/Linux,linux,11 (bullseye),[uid:0 sid:256075 tty:/dev/pts/0 cwd:/ filename:/usr/sbin/env]: env -i LANG= LANGUAGE= LC_CTYPE= LC_NUMERIC= LC_TIME= LC_COLLATE= LC_MONETARY= LC_MESSAGES= LC_PAPER= LC_NAME= LC_ADDRESS= LC_TELEPHONE= LC_MEASUREMENT= LC_IDENTIFICATION= LC_ALL= PATH=/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin TERM=xterm /etc/init.d/cron status,256075,/dev/pts/0,0
"Oct 24, 2022 @ 23:24:56.590",dvwa_web,env -i LANG= LANGUAGE= LC_CTYPE= LC_NUMERIC= LC_TIME= LC_COLLATE= LC_MONETARY= LC_MESSAGES= LC_PAPER= LC_NAME= LC_ADDRESS= LC_TELEPHONE= LC_MEASUREMENT= LC_IDENTIFICATION= LC_ALL= PATH=/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin TERM=xterm /etc/init.d/cron status,/,"Oct 24, 2022 @ 23:24:57.546",/usr/bin/env,dvwa_web,bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b",dvwa_web,bullseye,debian,5.15.0-52-generic,Debian GNU/Linux,linux,11 (bullseye),[uid:0 sid:256075 tty:/dev/pts/0 cwd:/ filename:/usr/bin/env]: env -i LANG= LANGUAGE= LC_CTYPE= LC_NUMERIC= LC_TIME= LC_COLLATE= LC_MONETARY= LC_MESSAGES= LC_PAPER= LC_NAME= LC_ADDRESS= LC_TELEPHONE= LC_MEASUREMENT= LC_IDENTIFICATION= LC_ALL= PATH=/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin TERM=xterm /etc/init.d/cron status,256075,/dev/pts/0,0
"Oct 24, 2022 @ 23:24:56.590",dvwa_web,run-parts --lsbsysinit --list /lib/lsb/init-functions.d,/,"Oct 24, 2022 @ 23:24:57.546",/bin/run-parts,dvwa_web,bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b",dvwa_web,bullseye,debian,5.15.0-52-generic,Debian GNU/Linux,linux,11 (bullseye),[uid:0 sid:256075 tty:/dev/pts/0 cwd:/ filename:/bin/run-parts]: run-parts --lsbsysinit --list /lib/lsb/init-functions.d,256075,/dev/pts/0,0
"Oct 24, 2022 @ 23:24:56.590",dvwa_web,cat /etc/timezone,/,"Oct 24, 2022 @ 23:24:57.546",/bin/cat,dvwa_web,bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b",dvwa_web,bullseye,debian,5.15.0-52-generic,Debian GNU/Linux,linux,11 (bullseye),[uid:0 sid:256075 tty:/dev/pts/0 cwd:/ filename:/bin/cat]: cat /etc/timezone,256075,/dev/pts/0,0
