@timestamp,event.action,event.type,file.extension,file.path
"Oct 22, 2022 @ 21:55:49.278","updated, attributes_modified",change,cache,/etc/ld.so.cache
"Oct 22, 2022 @ 21:55:49.275",moved,change,-,/etc/ld.so.cache~
"Oct 22, 2022 @ 21:55:49.271",attributes_modified,change,-,/etc/ld.so.cache~
"Oct 22, 2022 @ 21:55:49.256",created,creation,cache~,/etc/ld.so.cache~
"Oct 22, 2022 @ 21:55:45.346","updated, attributes_modified",change,-,/etc/python3/debian_config
"Oct 22, 2022 @ 21:55:45.279",created,creation,-,/etc/python3
"Oct 22, 2022 @ 21:55:45.279",created,creation,-,/etc/python3/debian_config
"Oct 22, 2022 @ 21:55:26.253",moved,change,-,/etc/mailcap.new
"Oct 22, 2022 @ 21:55:26.253",created,creation,-,/etc/mailcap
"Oct 22, 2022 @ 21:55:26.248",created,creation,new,/etc/mailcap.new
"Oct 22, 2022 @ 21:55:26.142",created,creation,order,/etc/mailcap.order
"Oct 22, 2022 @ 21:55:26.131",moved,change,-,/etc/mailcap.order.dpkg-new
"Oct 22, 2022 @ 21:55:26.108",created,creation,types,/etc/mime.types
"Oct 22, 2022 @ 21:55:26.107",moved,change,-,/etc/mime.types.dpkg-new
"Oct 22, 2022 @ 21:55:26.061",moved,change,-,/etc/python3.4/sitecustomize.py.dpkg-new
"Oct 22, 2022 @ 21:55:26.061",created,creation,py,/etc/python3.4/sitecustomize.py
"Oct 22, 2022 @ 21:55:25.847",created,creation,mime,/etc/magic.mime
"Oct 22, 2022 @ 21:55:25.846",moved,change,-,/etc/magic.mime.dpkg-new
"Oct 22, 2022 @ 21:55:25.837",moved,change,-,/etc/magic.dpkg-new
"Oct 22, 2022 @ 21:55:25.837",created,creation,-,/etc/magic
"Oct 22, 2022 @ 21:55:21.959",created,creation,-,/usr/bin/pybuild
"Oct 22, 2022 @ 21:55:21.942",moved,change,-,/usr/bin/pybuild.dpkg-new
"Oct 22, 2022 @ 21:55:21.863",created,creation,-,/usr/bin/dh_pypy
"Oct 22, 2022 @ 21:55:21.854",moved,change,-,/usr/bin/dh_pypy.dpkg-new
"Oct 22, 2022 @ 21:55:21.850",created,creation,-,/usr/bin/dh_python3
"Oct 22, 2022 @ 21:55:21.844",moved,change,-,/usr/bin/dh_python3.dpkg-new
"Oct 22, 2022 @ 21:55:21.842",attributes_modified,change,-,/usr/bin/dh_pypy.dpkg-new
"Oct 22, 2022 @ 21:55:21.842",attributes_modified,change,-,/usr/bin/dh_pypy.dpkg-new
"Oct 22, 2022 @ 21:55:21.834",created,creation,-,/usr/bin/dh_pypy.dpkg-new
"Oct 22, 2022 @ 21:55:21.755",created,creation,-,/usr/bin/dh_python3.dpkg-new
"Oct 22, 2022 @ 21:55:21.361",created,creation,-,/usr/bin/pdb3
"Oct 22, 2022 @ 21:55:21.358",moved,change,-,/usr/bin/pdb3.dpkg-new
"Oct 22, 2022 @ 21:55:21.338",moved,change,-,/usr/bin/pygettext3.dpkg-new
"Oct 22, 2022 @ 21:55:21.338",created,creation,-,/usr/bin/pygettext3
"Oct 22, 2022 @ 21:55:21.336",created,creation,-,/usr/bin/pydoc3
"Oct 22, 2022 @ 21:55:21.329",moved,change,-,/usr/bin/pydoc3.dpkg-new
"Oct 22, 2022 @ 21:55:21.328",attributes_modified,change,-,/usr/bin/pygettext3.dpkg-new
"Oct 22, 2022 @ 21:55:21.326",created,creation,-,/usr/bin/pygettext3.dpkg-new
"Oct 22, 2022 @ 21:55:21.326",attributes_modified,change,-,/usr/bin/pygettext3.dpkg-new
"Oct 22, 2022 @ 21:55:21.311",created,creation,-,/usr/bin/pydoc3.dpkg-new
"Oct 22, 2022 @ 21:55:20.838",moved,change,-,/usr/bin/py3versions.dpkg-new
"Oct 22, 2022 @ 21:55:20.838",created,creation,-,/usr/bin/py3versions
"Oct 22, 2022 @ 21:55:20.837",created,creation,-,/usr/bin/python3
"Oct 22, 2022 @ 21:55:20.777",moved,change,-,/usr/bin/python3.dpkg-new
"Oct 22, 2022 @ 21:55:20.774",moved,change,-,/usr/bin/python3m.dpkg-new
