"@timestamp","_id","_index","_score","agent.ephemeral_id","agent.hostname","agent.id","agent.name","agent.type","agent.version","ecs.version","event.dataset","event.module","fileset.name","host.architecture","host.containerized","host.hostname","host.ip","host.mac","host.name","host.os.codename","host.os.family","host.os.kernel","host.os.name","host.os.name.text","host.os.platform","host.os.type","host.os.version","input.type","log.file.path","log.offset",logsource,message,"message_id","postfix.mail.auth_method","postfix.mail.bytes","postfix.mail.commands","postfix.mail.from","postfix.mail.login_username","postfix.mail.nrcpt","postfix.mail.queue_id","postfix.mail.remote_address","postfix.mail.remote_host","program.name","program.pid","service.type","source.ip",tags
"Oct 24, 2022 @ 07:04:03.000",KaFOCoQBnzfJo7CM5s0w,".ds-postfix-8.3.3-2022.10.22-000001","-","20ff4931-a050-4914-95ac-1400218c6cdd",emailserver,"c193ce2e-d5f1-4130-9ad0-d38eb437a647",emailserver,filebeat,"8.3.3","8.0.0","postfix.mail",postfix,mail,"x86_64",true,emailserver,"10.0.10.25","02:42:0a:00:0a:19",emailserver,bullseye,debian,"5.15.0-52-generic","Debian GNU/Linux","Debian GNU/Linux",debian,linux,"11 (bullseye)",log,"/var/log/mail.log","100,721",emailserver,"statistics: max connection rate 96/60s for (smtp:10.0.0.1) at Oct 24 14:00:01","-","-","-","-","-","-","-","-","-","-","postfix/anvil",188,postfix,"-","_geoip_database_unavailable_GeoLite2-City.mmdb, _geoip_database_unavailable_GeoLite2-ASN.mmdb"
"Oct 24, 2022 @ 07:04:03.000",KqFOCoQBnzfJo7CM5s0w,".ds-postfix-8.3.3-2022.10.22-000001","-","20ff4931-a050-4914-95ac-1400218c6cdd",emailserver,"c193ce2e-d5f1-4130-9ad0-d38eb437a647",emailserver,filebeat,"8.3.3","8.0.0","postfix.mail",postfix,mail,"x86_64",true,emailserver,"10.0.10.25","02:42:0a:00:0a:19",emailserver,bullseye,debian,"5.15.0-52-generic","Debian GNU/Linux","Debian GNU/Linux",debian,linux,"11 (bullseye)",log,"/var/log/mail.log","100,847",emailserver,"statistics: max connection count 2 for (smtp:10.0.0.1) at Oct 24 14:00:41","-","-","-","-","-","-","-","-","-","-","postfix/anvil",188,postfix,"-","_geoip_database_unavailable_GeoLite2-City.mmdb, _geoip_database_unavailable_GeoLite2-ASN.mmdb"
"Oct 24, 2022 @ 07:04:03.000",K6FOCoQBnzfJo7CM5s0w,".ds-postfix-8.3.3-2022.10.22-000001","-","20ff4931-a050-4914-95ac-1400218c6cdd",emailserver,"c193ce2e-d5f1-4130-9ad0-d38eb437a647",emailserver,filebeat,"8.3.3","8.0.0","postfix.mail",postfix,mail,"x86_64",true,emailserver,"10.0.10.25","02:42:0a:00:0a:19",emailserver,bullseye,debian,"5.15.0-52-generic","Debian GNU/Linux","Debian GNU/Linux",debian,linux,"11 (bullseye)",log,"/var/log/mail.log","100,969",emailserver,"statistics: max cache size 1 at Oct 24 13:59:25","-","-","-","-","-","-","-","-","-","-","postfix/anvil",188,postfix,"-","_geoip_database_unavailable_GeoLite2-City.mmdb, _geoip_database_unavailable_GeoLite2-ASN.mmdb"
"Oct 24, 2022 @ 07:00:42.000",d6FLCoQBnzfJo7CMxcV6,".ds-postfix-8.3.3-2022.10.22-000001","-","20ff4931-a050-4914-95ac-1400218c6cdd",emailserver,"c193ce2e-d5f1-4130-9ad0-d38eb437a647",emailserver,filebeat,"8.3.3","8.0.0","postfix.mail",postfix,mail,"x86_64",true,emailserver,"10.0.10.25","02:42:0a:00:0a:19",emailserver,bullseye,debian,"5.15.0-52-generic","Debian GNU/Linux","Debian GNU/Linux",debian,linux,"11 (bullseye)",log,"/var/log/mail.log","96,095",emailserver,"connect from unknown[10.0.0.1]","-","-","-","-","-","-","-","-","10.0.0.1",unknown,"postfix/smtpd",186,postfix,"10.0.0.1","_geoip_database_unavailable_GeoLite2-City.mmdb, _geoip_database_unavailable_GeoLite2-ASN.mmdb"
"Oct 24, 2022 @ 07:00:42.000",eKFLCoQBnzfJo7CMxcV6,".ds-postfix-8.3.3-2022.10.22-000001","-","20ff4931-a050-4914-95ac-1400218c6cdd",emailserver,"c193ce2e-d5f1-4130-9ad0-d38eb437a647",emailserver,filebeat,"8.3.3","8.0.0","postfix.mail",postfix,mail,"x86_64",true,emailserver,"10.0.10.25","02:42:0a:00:0a:19",emailserver,bullseye,debian,"5.15.0-52-generic","Debian GNU/Linux","Debian GNU/Linux",debian,linux,"11 (bullseye)",log,"/var/log/mail.log","96,174",emailserver,"client=unknown[10.0.0.1], sasl_method=LOGIN, sasl_username=hannah@test.com","-",LOGIN,"-","-","-","hannah@test.com","-",BF8502262A5,"10.0.0.1",unknown,"postfix/smtpd",186,postfix,"10.0.0.1","_geoip_database_unavailable_GeoLite2-City.mmdb, _geoip_database_unavailable_GeoLite2-ASN.mmdb"
"Oct 24, 2022 @ 07:00:42.000",eaFLCoQBnzfJo7CMxcV6,".ds-postfix-8.3.3-2022.10.22-000001","-","20ff4931-a050-4914-95ac-1400218c6cdd",emailserver,"c193ce2e-d5f1-4130-9ad0-d38eb437a647",emailserver,filebeat,"8.3.3","8.0.0","postfix.mail",postfix,mail,"x86_64",true,emailserver,"10.0.10.25","02:42:0a:00:0a:19",emailserver,bullseye,debian,"5.15.0-52-generic","Debian GNU/Linux","Debian GNU/Linux",debian,linux,"11 (bullseye)",log,"/var/log/mail.log","96,310",emailserver,"message-id=<>","(empty)","-","-","-","-","-","-",BF8502262A5,"-","-","postfix/cleanup",195,postfix,"-","_geoip_database_unavailable_GeoLite2-City.mmdb, _geoip_database_unavailable_GeoLite2-ASN.mmdb"
"Oct 24, 2022 @ 07:00:42.000",eqFLCoQBnzfJo7CMxcV6,".ds-postfix-8.3.3-2022.10.22-000001","-","20ff4931-a050-4914-95ac-1400218c6cdd",emailserver,"c193ce2e-d5f1-4130-9ad0-d38eb437a647",emailserver,filebeat,"8.3.3","8.0.0","postfix.mail",postfix,mail,"x86_64",true,emailserver,"10.0.10.25","02:42:0a:00:0a:19",emailserver,bullseye,debian,"5.15.0-52-generic","Debian GNU/Linux","Debian GNU/Linux",debian,linux,"11 (bullseye)",log,"/var/log/mail.log","96,387",emailserver,"from=<hannah@test.com>, size=245, nrcpt=1 (queue active)","-","-",245,"-","hannah@test.com","-",1,BF8502262A5,"-","-","postfix/qmgr",106,postfix,"-","_geoip_database_unavailable_GeoLite2-City.mmdb, _geoip_database_unavailable_GeoLite2-ASN.mmdb"
"Oct 24, 2022 @ 07:00:42.000",e6FLCoQBnzfJo7CMxcV6,".ds-postfix-8.3.3-2022.10.22-000001","-","20ff4931-a050-4914-95ac-1400218c6cdd",emailserver,"c193ce2e-d5f1-4130-9ad0-d38eb437a647",emailserver,filebeat,"8.3.3","8.0.0","postfix.mail",postfix,mail,"x86_64",true,emailserver,"10.0.10.25","02:42:0a:00:0a:19",emailserver,bullseye,debian,"5.15.0-52-generic","Debian GNU/Linux","Debian GNU/Linux",debian,linux,"11 (bullseye)",log,"/var/log/mail.log","96,504",emailserver,"disconnect from unknown[10.0.0.1] auth=1 mail=1 rcpt=1 data=1 commands=4","-","-","-","auth=1, mail=1, rcpt=1, data=1, commands=4","-","-","-","-","10.0.0.1",unknown,"postfix/smtpd",186,postfix,"10.0.0.1","_geoip_database_unavailable_GeoLite2-City.mmdb, _geoip_database_unavailable_GeoLite2-ASN.mmdb"
"Oct 24, 2022 @ 07:00:42.000",fKFLCoQBnzfJo7CMxcV6,".ds-postfix-8.3.3-2022.10.22-000001","-","20ff4931-a050-4914-95ac-1400218c6cdd",emailserver,"c193ce2e-d5f1-4130-9ad0-d38eb437a647",emailserver,filebeat,"8.3.3","8.0.0","postfix.mail",postfix,mail,"x86_64",true,emailserver,"10.0.10.25","02:42:0a:00:0a:19",emailserver,bullseye,debian,"5.15.0-52-generic","Debian GNU/Linux","Debian GNU/Linux",debian,linux,"11 (bullseye)",log,"/var/log/mail.log","96,625",emailserver,"to=<support@test.com>, relay=virtual, delay=0, delays=0/0/0/0, dsn=2.0.0, status=sent (delivered to maildir)","-","-","-","-","-","-","-",BF8502262A5,"-","-","postfix/virtual",192,postfix,"-","_geoip_database_unavailable_GeoLite2-City.mmdb, _geoip_database_unavailable_GeoLite2-ASN.mmdb"
"Oct 24, 2022 @ 07:00:42.000",faFLCoQBnzfJo7CMxcV6,".ds-postfix-8.3.3-2022.10.22-000001","-","20ff4931-a050-4914-95ac-1400218c6cdd",emailserver,"c193ce2e-d5f1-4130-9ad0-d38eb437a647",emailserver,filebeat,"8.3.3","8.0.0","postfix.mail",postfix,mail,"x86_64",true,emailserver,"10.0.10.25","02:42:0a:00:0a:19",emailserver,bullseye,debian,"5.15.0-52-generic","Debian GNU/Linux","Debian GNU/Linux",debian,linux,"11 (bullseye)",log,"/var/log/mail.log","96,797",emailserver,removed,"-","-","-","-","-","-","-",BF8502262A5,"-","-","postfix/qmgr",106,postfix,"-","_geoip_database_unavailable_GeoLite2-City.mmdb, _geoip_database_unavailable_GeoLite2-ASN.mmdb"
"Oct 24, 2022 @ 07:00:42.000",fqFLCoQBnzfJo7CMxcV6,".ds-postfix-8.3.3-2022.10.22-000001","-","20ff4931-a050-4914-95ac-1400218c6cdd",emailserver,"c193ce2e-d5f1-4130-9ad0-d38eb437a647",emailserver,filebeat,"8.3.3","8.0.0","postfix.mail",postfix,mail,"x86_64",true,emailserver,"10.0.10.25","02:42:0a:00:0a:19",emailserver,bullseye,debian,"5.15.0-52-generic","Debian GNU/Linux","Debian GNU/Linux",debian,linux,"11 (bullseye)",log,"/var/log/mail.log","96,865",emailserver,"connect from unknown[10.0.0.1]","-","-","-","-","-","-","-","-","10.0.0.1",unknown,"postfix/smtpd",191,postfix,"10.0.0.1","_geoip_database_unavailable_GeoLite2-City.mmdb, _geoip_database_unavailable_GeoLite2-ASN.mmdb"
