"@timestamp","destination.ip","source.ip","destination.port","network.transport","source.port","destination.bytes"
"Oct 22, 2022 @ 15:02:30.001","192.168.0.3","192.168.0.4",22,tcp,59300,"11.5KB"
"Oct 22, 2022 @ 15:02:20.001","192.168.0.3","192.168.0.4",22,tcp,59300,"11.5KB"
"Oct 22, 2022 @ 15:02:10.002","192.168.0.3","192.168.0.4",22,tcp,59300,"11.5KB"
"Oct 22, 2022 @ 15:02:00.000","192.168.0.3","192.168.0.4",22,tcp,59300,"11.5KB"
"Oct 22, 2022 @ 15:01:50.001","192.168.0.3","192.168.0.4",22,tcp,59300,"11.5KB"
"Oct 22, 2022 @ 15:01:40.001","192.168.0.3","192.168.0.4",22,tcp,59300,"11.5KB"
"Oct 22, 2022 @ 15:01:30.001","192.168.0.3","192.168.0.4",22,tcp,59300,"7.8KB"
"Oct 22, 2022 @ 15:01:20.000","192.168.0.3","192.168.0.4",22,tcp,59300,"4.5KB"
"Oct 22, 2022 @ 14:52:00.001","192.168.0.3","192.168.0.4",22,tcp,59300,"3.6KB"
"Oct 22, 2022 @ 14:51:50.001","192.168.0.3","192.168.0.4",22,tcp,59300,"3.6KB"
"Oct 22, 2022 @ 14:51:40.001","192.168.0.3","192.168.0.4",22,tcp,59300,"3.6KB"
"Oct 22, 2022 @ 14:51:30.000","192.168.0.3","192.168.0.4",22,tcp,59300,"3.6KB"
"Oct 22, 2022 @ 14:51:20.000","192.168.0.3","192.168.0.4",22,tcp,59300,3KB
"Oct 22, 2022 @ 14:46:00.002","192.168.0.3","192.168.0.4",22,tcp,59300,"2.3KB"
"Oct 22, 2022 @ 14:45:50.001","192.168.0.3","192.168.0.4",22,tcp,59300,"2.3KB"
"Oct 22, 2022 @ 14:45:40.001","192.168.0.3","192.168.0.4",22,tcp,59300,"2.3KB"
"Oct 22, 2022 @ 14:45:30.000","192.168.0.3","192.168.0.4",22,tcp,59300,"2.3KB"
"Oct 22, 2022 @ 14:45:20.000","192.168.0.3","192.168.0.4",22,tcp,59300,"2.3KB"
"Oct 22, 2022 @ 14:45:10.002","192.168.0.3","192.168.0.4",22,tcp,59300,"2.3KB"
"Oct 21, 2022 @ 18:30:20.001","192.168.0.3","192.168.0.4",22,tcp,34852,74B
"Oct 21, 2022 @ 18:30:10.001","192.168.0.3","192.168.0.4",22,tcp,34852,74B
"Oct 21, 2022 @ 18:30:00.001","192.168.0.3","192.168.0.4",22,tcp,34852,74B
"Oct 21, 2022 @ 18:29:50.001","192.168.0.3","192.168.0.4",22,tcp,34852,74B
"Oct 21, 2022 @ 18:15:20.001","192.168.0.3","192.168.0.4",22,tcp,54476,74B
"Oct 21, 2022 @ 18:15:10.002","192.168.0.3","192.168.0.4",22,tcp,54476,74B
"Oct 21, 2022 @ 18:15:00.002","192.168.0.3","192.168.0.4",22,tcp,54476,74B
"Oct 21, 2022 @ 18:14:50.001","192.168.0.3","192.168.0.4",22,tcp,54476,74B
"Oct 21, 2022 @ 18:14:40.001","192.168.0.3","192.168.0.4",22,tcp,54476,74B
"Oct 21, 2022 @ 18:14:30.002","192.168.0.3","192.168.0.4",22,tcp,54476,74B
