,@timestamp,agent.name,destination.bytes,destination.ip,destination.packets,destination.port,event.action,event.dataset,event.end,event.start,event.type,flow.final,host.mac,host.os.name,host.os.version,network.bytes,network.packets,network.type,source.bytes,source.ip,source.packets,source.port,type
0,"Oct 25, 2022 @ 01:21:40.499",webserver,176B,192.168.106.130,3,8001,network_flow,flow,"Oct 25, 2022 @ 01:21:25.021","Oct 25, 2022 @ 01:21:15.261",connection,False,"02:42:0a:00:00:14, 02:42:ac:11:00:04",Debian GNU/Linux,11 (bullseye),496B,8,ipv4,320B,172.17.0.4,5,53268,flow
1,"Oct 25, 2022 @ 01:21:40.499",webserver,232B,192.168.106.130,4,8001,network_flow,flow,"Oct 25, 2022 @ 01:21:35.291","Oct 25, 2022 @ 01:21:25.021",connection,False,"02:42:0a:00:00:14, 02:42:ac:11:00:04",Debian GNU/Linux,11 (bullseye),552B,9,ipv4,320B,172.17.0.4,5,53276,flow
2,"Oct 25, 2022 @ 01:21:40.499",webserver,232B,192.168.106.130,4,8001,network_flow,flow,"Oct 25, 2022 @ 01:21:15.261","Oct 25, 2022 @ 01:21:05.000",connection,False,"02:42:0a:00:00:14, 02:42:ac:11:00:04",Debian GNU/Linux,11 (bullseye),552B,9,ipv4,320B,172.17.0.4,5,53258,flow
3,"Oct 25, 2022 @ 01:21:40.499",webserver,120B,192.168.106.130,2,8001,network_flow,flow,"Oct 25, 2022 @ 01:21:35.291","Oct 25, 2022 @ 01:21:35.291",connection,False,"02:42:0a:00:00:14, 02:42:ac:11:00:04",Debian GNU/Linux,11 (bullseye),384B,6,ipv4,264B,172.17.0.4,4,53284,flow
4,"Oct 25, 2022 @ 01:21:40.499",webserver,176B,192.168.106.130,3,8001,network_flow,flow,"Oct 25, 2022 @ 01:21:05.000","Oct 25, 2022 @ 01:20:55.300",connection,False,"02:42:0a:00:00:14, 02:42:ac:11:00:04",Debian GNU/Linux,11 (bullseye),496B,8,ipv4,320B,172.17.0.4,5,53250,flow
5,"Oct 25, 2022 @ 01:21:30.498",webserver,176B,192.168.106.130,3,8001,network_flow,flow,"Oct 25, 2022 @ 01:21:25.021","Oct 25, 2022 @ 01:21:15.261",connection,False,"02:42:0a:00:00:14, 02:42:ac:11:00:04",Debian GNU/Linux,11 (bullseye),496B,8,ipv4,320B,172.17.0.4,5,53268,flow
6,"Oct 25, 2022 @ 01:21:30.498",webserver,232B,192.168.106.130,4,8001,network_flow,flow,"Oct 25, 2022 @ 01:20:35.391","Oct 25, 2022 @ 01:20:25.191","connection, end",True,"02:42:0a:00:00:14, 02:42:ac:11:00:04",Debian GNU/Linux,11 (bullseye),552B,9,ipv4,320B,172.17.0.4,5,53222,flow
7,"Oct 25, 2022 @ 01:21:30.498",webserver,176B,192.168.106.130,3,8001,network_flow,flow,"Oct 25, 2022 @ 01:21:25.021","Oct 25, 2022 @ 01:21:25.021",connection,False,"02:42:0a:00:00:14, 02:42:ac:11:00:04",Debian GNU/Linux,11 (bullseye),440B,7,ipv4,264B,172.17.0.4,4,53276,flow
8,"Oct 25, 2022 @ 01:21:30.498",webserver,176B,192.168.106.130,3,8001,network_flow,flow,"Oct 25, 2022 @ 01:20:45.080","Oct 25, 2022 @ 01:20:35.391","connection, end",True,"02:42:0a:00:00:14, 02:42:ac:11:00:04",Debian GNU/Linux,11 (bullseye),496B,8,ipv4,320B,172.17.0.4,5,53230,flow
9,"Oct 25, 2022 @ 01:21:30.498",webserver,232B,192.168.106.130,4,8001,network_flow,flow,"Oct 25, 2022 @ 01:20:55.300","Oct 25, 2022 @ 01:20:45.080","connection, end",True,"02:42:0a:00:00:14, 02:42:ac:11:00:04",Debian GNU/Linux,11 (bullseye),552B,9,ipv4,320B,172.17.0.4,5,53242,flow
