"@timestamp","_id","_index","_score","agent.ephemeral_id","agent.hostname","agent.id","agent.name","agent.type","agent.version","ecs.version","event.category","event.created","event.dataset","event.ingested","event.kind","event.module","event.original","event.outcome","event.timezone","event.type","fileset.name","host.architecture","host.containerized","host.hostname","host.id","host.ip","host.mac","host.name","host.os.codename","host.os.family","host.os.kernel","host.os.name","host.os.name.text","host.os.platform","host.os.type","host.os.version","http.request.method","http.response.body.bytes","http.response.status_code","http.version","input.type","log.file.path","log.offset","nginx.access.remote_ip_list","related.ip","service.type","source.address","source.ip","traefik.access.user_agent.name","traefik.access.user_agent.original","url.extension","url.original","url.original.text","url.path","user_agent.device.name","user_agent.name","user_agent.original","user_agent.original.text"
"Oct 24, 2022 @ 07:34:18.000",arfFCYQBSPzQqAiXqdRk,".ds-filebeat-8.3.3-2022.10.24-000001","-","a69ac8da-ed3f-433a-8aef-d52c83724d9f",web,"d5242a58-c49b-4b15-bc66-4e1016f5963b",web,filebeat,"8.3.3","1.12.0",web,"Oct 24, 2022 @ 07:34:18.743","nginx.access","Oct 24, 2022 @ 07:34:19.747",event,nginx,"192.168.207.142 - - [24/Oct/2022:11:34:18 +0000] ""GET /favicon.ico HTTP/1.1"" 404 162 ""-"" ""Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html)""",failure,"+00:00",access,access,"x86_64",false,web,0d71a11eed4745ffa8928a1f03c074f7,"172.16.0.3","02:42:ac:10:00:03",web,jammy,debian,"5.15.0-30-generic",Ubuntu,Ubuntu,ubuntu,linux,"22.04.1 LTS (Jammy Jellyfish)",GET,162B,404,"1.1",log,"/var/log/nginx/access.log","1,863,498","192.168.207.142","192.168.207.142",nginx,"192.168.207.142","192.168.207.142",Other,"Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html)",ico,"/favicon.ico","/favicon.ico","/favicon.ico",Other,Other,"Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html)","Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html)"
"Oct 24, 2022 @ 07:34:18.000",a7fFCYQBSPzQqAiXqdRk,".ds-filebeat-8.3.3-2022.10.24-000001","-","a69ac8da-ed3f-433a-8aef-d52c83724d9f",web,"d5242a58-c49b-4b15-bc66-4e1016f5963b",web,filebeat,"8.3.3","1.12.0",web,"Oct 24, 2022 @ 07:34:18.743","nginx.access","Oct 24, 2022 @ 07:34:19.747",event,nginx,"192.168.207.142 - - [24/Oct/2022:11:34:18 +0000] ""OPTIONS / HTTP/1.1"" 405 166 ""-"" ""Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html)""",failure,"+00:00",access,access,"x86_64",false,web,0d71a11eed4745ffa8928a1f03c074f7,"172.16.0.3","02:42:ac:10:00:03",web,jammy,debian,"5.15.0-30-generic",Ubuntu,Ubuntu,ubuntu,linux,"22.04.1 LTS (Jammy Jellyfish)",OPTIONS,166B,405,"1.1",log,"/var/log/nginx/access.log","1,863,669","192.168.207.142","192.168.207.142",nginx,"192.168.207.142","192.168.207.142",Other,"Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html)","-","/","/","/",Other,Other,"Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html)","Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html)"
"Oct 24, 2022 @ 07:34:18.000",bLfFCYQBSPzQqAiXqdRk,".ds-filebeat-8.3.3-2022.10.24-000001","-","a69ac8da-ed3f-433a-8aef-d52c83724d9f",web,"d5242a58-c49b-4b15-bc66-4e1016f5963b",web,filebeat,"8.3.3","1.12.0",web,"Oct 24, 2022 @ 07:34:18.743","nginx.access","Oct 24, 2022 @ 07:34:19.747",event,nginx,"192.168.207.142 - - [24/Oct/2022:11:34:18 +0000] ""POST / HTTP/1.1"" 200 810 ""-"" ""Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html)""",success,"+00:00",access,access,"x86_64",false,web,0d71a11eed4745ffa8928a1f03c074f7,"172.16.0.3","02:42:ac:10:00:03",web,jammy,debian,"5.15.0-30-generic",Ubuntu,Ubuntu,ubuntu,linux,"22.04.1 LTS (Jammy Jellyfish)",POST,810B,200,"1.1",log,"/var/log/nginx/access.log","1,863,833","192.168.207.142","192.168.207.142",nginx,"192.168.207.142","192.168.207.142",Other,"Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html)","-","/","/","/",Other,Other,"Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html)","Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html)"
"Oct 24, 2022 @ 07:34:18.000",bbfFCYQBSPzQqAiXqdRk,".ds-filebeat-8.3.3-2022.10.24-000001","-","a69ac8da-ed3f-433a-8aef-d52c83724d9f",web,"d5242a58-c49b-4b15-bc66-4e1016f5963b",web,filebeat,"8.3.3","1.12.0",web,"Oct 24, 2022 @ 07:34:18.743","nginx.access","Oct 24, 2022 @ 07:34:19.747",event,nginx,"192.168.207.142 - - [24/Oct/2022:11:34:18 +0000] ""OPTIONS / HTTP/1.1"" 405 166 ""-"" ""Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html)""",failure,"+00:00",access,access,"x86_64",false,web,0d71a11eed4745ffa8928a1f03c074f7,"172.16.0.3","02:42:ac:10:00:03",web,jammy,debian,"5.15.0-30-generic",Ubuntu,Ubuntu,ubuntu,linux,"22.04.1 LTS (Jammy Jellyfish)",OPTIONS,166B,405,"1.1",log,"/var/log/nginx/access.log","1,863,994","192.168.207.142","192.168.207.142",nginx,"192.168.207.142","192.168.207.142",Other,"Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html)","-","/","/","/",Other,Other,"Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html)","Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html)"
"Oct 24, 2022 @ 07:34:18.000",brfFCYQBSPzQqAiXqdRk,".ds-filebeat-8.3.3-2022.10.24-000001","-","a69ac8da-ed3f-433a-8aef-d52c83724d9f",web,"d5242a58-c49b-4b15-bc66-4e1016f5963b",web,filebeat,"8.3.3","1.12.0",web,"Oct 24, 2022 @ 07:34:18.743","nginx.access","Oct 24, 2022 @ 07:34:19.747",event,nginx,"192.168.207.142 - - [24/Oct/2022:11:34:18 +0000] ""OPTIONS / HTTP/1.1"" 405 166 ""-"" ""Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html)""",failure,"+00:00",access,access,"x86_64",false,web,0d71a11eed4745ffa8928a1f03c074f7,"172.16.0.3","02:42:ac:10:00:03",web,jammy,debian,"5.15.0-30-generic",Ubuntu,Ubuntu,ubuntu,linux,"22.04.1 LTS (Jammy Jellyfish)",OPTIONS,166B,405,"1.1",log,"/var/log/nginx/access.log","1,864,158","192.168.207.142","192.168.207.142",nginx,"192.168.207.142","192.168.207.142",Other,"Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html)","-","/","/","/",Other,Other,"Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html)","Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html)"
"Oct 24, 2022 @ 07:34:18.000",b7fFCYQBSPzQqAiXqdRk,".ds-filebeat-8.3.3-2022.10.24-000001","-","a69ac8da-ed3f-433a-8aef-d52c83724d9f",web,"d5242a58-c49b-4b15-bc66-4e1016f5963b",web,filebeat,"8.3.3","1.12.0",web,"Oct 24, 2022 @ 07:34:18.743","nginx.access","Oct 24, 2022 @ 07:34:19.747",event,nginx,"192.168.207.142 - - [24/Oct/2022:11:34:18 +0000] ""OPTIONS / HTTP/1.1"" 405 166 ""-"" ""Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html)""",failure,"+00:00",access,access,"x86_64",false,web,0d71a11eed4745ffa8928a1f03c074f7,"172.16.0.3","02:42:ac:10:00:03",web,jammy,debian,"5.15.0-30-generic",Ubuntu,Ubuntu,ubuntu,linux,"22.04.1 LTS (Jammy Jellyfish)",OPTIONS,166B,405,"1.1",log,"/var/log/nginx/access.log","1,864,322","192.168.207.142","192.168.207.142",nginx,"192.168.207.142","192.168.207.142",Other,"Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html)","-","/","/","/",Other,Other,"Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html)","Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html)"
"Oct 24, 2022 @ 07:34:18.000",cLfFCYQBSPzQqAiXqdRk,".ds-filebeat-8.3.3-2022.10.24-000001","-","a69ac8da-ed3f-433a-8aef-d52c83724d9f",web,"d5242a58-c49b-4b15-bc66-4e1016f5963b",web,filebeat,"8.3.3","1.12.0",web,"Oct 24, 2022 @ 07:34:18.743","nginx.access","Oct 24, 2022 @ 07:34:19.748",event,nginx,"192.168.207.142 - - [24/Oct/2022:11:34:18 +0000] ""OPTIONS / HTTP/1.1"" 405 166 ""-"" ""Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html)""",failure,"+00:00",access,access,"x86_64",false,web,0d71a11eed4745ffa8928a1f03c074f7,"172.16.0.3","02:42:ac:10:00:03",web,jammy,debian,"5.15.0-30-generic",Ubuntu,Ubuntu,ubuntu,linux,"22.04.1 LTS (Jammy Jellyfish)",OPTIONS,166B,405,"1.1",log,"/var/log/nginx/access.log","1,864,486","192.168.207.142","192.168.207.142",nginx,"192.168.207.142","192.168.207.142",Other,"Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html)","-","/","/","/",Other,Other,"Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html)","Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html)"
"Oct 24, 2022 @ 07:34:18.000",cbfFCYQBSPzQqAiXrdRL,".ds-filebeat-8.3.3-2022.10.24-000001","-","a69ac8da-ed3f-433a-8aef-d52c83724d9f",web,"d5242a58-c49b-4b15-bc66-4e1016f5963b",web,filebeat,"8.3.3","1.12.0",web,"Oct 24, 2022 @ 07:34:19.744","nginx.access","Oct 24, 2022 @ 07:34:20.746",event,nginx,"192.168.207.142 - - [24/Oct/2022:11:34:18 +0000] ""OPTIONS / HTTP/1.1"" 405 166 ""-"" ""Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html)""",failure,"+00:00",access,access,"x86_64",false,web,0d71a11eed4745ffa8928a1f03c074f7,"172.16.0.3","02:42:ac:10:00:03",web,jammy,debian,"5.15.0-30-generic",Ubuntu,Ubuntu,ubuntu,linux,"22.04.1 LTS (Jammy Jellyfish)",OPTIONS,166B,405,"1.1",log,"/var/log/nginx/access.log","1,864,650","192.168.207.142","192.168.207.142",nginx,"192.168.207.142","192.168.207.142",Other,"Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html)","-","/","/","/",Other,Other,"Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html)","Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html)"
"Oct 24, 2022 @ 07:34:17.000",VLfFCYQBSPzQqAiXpdSm,".ds-filebeat-8.3.3-2022.10.24-000001","-","a69ac8da-ed3f-433a-8aef-d52c83724d9f",web,"d5242a58-c49b-4b15-bc66-4e1016f5963b",web,filebeat,"8.3.3","1.12.0",web,"Oct 24, 2022 @ 07:34:17.742","nginx.access","Oct 24, 2022 @ 07:34:18.774",event,nginx,"192.168.207.142 - - [24/Oct/2022:11:34:17 +0000] ""OPTIONS / HTTP/1.1"" 405 166 ""-"" ""Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html)""",failure,"+00:00",access,access,"x86_64",false,web,0d71a11eed4745ffa8928a1f03c074f7,"172.16.0.3","02:42:ac:10:00:03",web,jammy,debian,"5.15.0-30-generic",Ubuntu,Ubuntu,ubuntu,linux,"22.04.1 LTS (Jammy Jellyfish)",OPTIONS,166B,405,"1.1",log,"/var/log/nginx/access.log","1,859,954","192.168.207.142","192.168.207.142",nginx,"192.168.207.142","192.168.207.142",Other,"Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html)","-","/","/","/",Other,Other,"Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html)","Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html)"
"Oct 24, 2022 @ 07:34:17.000",VbfFCYQBSPzQqAiXpdSm,".ds-filebeat-8.3.3-2022.10.24-000001","-","a69ac8da-ed3f-433a-8aef-d52c83724d9f",web,"d5242a58-c49b-4b15-bc66-4e1016f5963b",web,filebeat,"8.3.3","1.12.0",web,"Oct 24, 2022 @ 07:34:17.742","nginx.access","Oct 24, 2022 @ 07:34:18.787",event,nginx,"192.168.207.142 - - [24/Oct/2022:11:34:17 +0000] ""GET /nmaplowercheck1666611258 HTTP/1.1"" 404 162 ""-"" ""Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html)""",failure,"+00:00",access,access,"x86_64",false,web,0d71a11eed4745ffa8928a1f03c074f7,"172.16.0.3","02:42:ac:10:00:03",web,jammy,debian,"5.15.0-30-generic",Ubuntu,Ubuntu,ubuntu,linux,"22.04.1 LTS (Jammy Jellyfish)",GET,162B,404,"1.1",log,"/var/log/nginx/access.log","1,860,118","192.168.207.142","192.168.207.142",nginx,"192.168.207.142","192.168.207.142",Other,"Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html)","-","/nmaplowercheck1666611258","/nmaplowercheck1666611258","/nmaplowercheck1666611258",Other,Other,"Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html)","Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html)"
