"@timestamp","bytes_in","bytes_out","destination.ip","destination.port","destination.mac","host.name","source.ip","source.mac","source.port","network.transport","network.type","network.packets"
"Oct 23, 2022 @ 06:46:30.002","2.2KB","2.1KB","172.20.0.6",22,"02:42:ac:14:00:06",UbuntuIns,"172.20.0.5","02:42:ac:14:00:05",59356,tcp,ipv4,18
"Oct 23, 2022 @ 06:46:20.002","2.2KB","2.1KB","172.20.0.6",22,"02:42:ac:14:00:06",UbuntuIns,"172.20.0.5","02:42:ac:14:00:05",59356,tcp,ipv4,18
"Oct 23, 2022 @ 06:46:20.001","2.2KB","2.1KB","172.20.0.6",22,"02:42:ac:14:00:06",ubuntu20,"172.20.0.5","02:42:ac:14:00:05",59356,tcp,ipv4,18
"Oct 23, 2022 @ 06:46:10.002","2.2KB","2.1KB","172.20.0.6",22,"02:42:ac:14:00:06",UbuntuIns,"172.20.0.5","02:42:ac:14:00:05",59356,tcp,ipv4,18
"Oct 23, 2022 @ 06:46:10.001","2.2KB","2.1KB","172.20.0.6",22,"02:42:ac:14:00:06",ubuntu20,"172.20.0.5","02:42:ac:14:00:05",59356,tcp,ipv4,18
"Oct 23, 2022 @ 06:46:00.003","2.2KB","2.1KB","172.20.0.6",22,"02:42:ac:14:00:06",UbuntuIns,"172.20.0.5","02:42:ac:14:00:05",59356,tcp,ipv4,18
"Oct 23, 2022 @ 06:46:00.002","2.2KB","2.1KB","172.20.0.6",22,"02:42:ac:14:00:06",ubuntu20,"172.20.0.5","02:42:ac:14:00:05",59356,tcp,ipv4,18
"Oct 23, 2022 @ 06:45:50.002","2.2KB","2.1KB","172.20.0.6",22,"02:42:ac:14:00:06",UbuntuIns,"172.20.0.5","02:42:ac:14:00:05",59356,tcp,ipv4,18
"Oct 23, 2022 @ 06:45:50.001","2.2KB","2.1KB","172.20.0.6",22,"02:42:ac:14:00:06",ubuntu20,"172.20.0.5","02:42:ac:14:00:05",59356,tcp,ipv4,18
"Oct 23, 2022 @ 06:45:40.002","2.2KB","2.1KB","172.20.0.6",22,"02:42:ac:14:00:06",UbuntuIns,"172.20.0.5","02:42:ac:14:00:05",59356,tcp,ipv4,18
"Oct 23, 2022 @ 06:45:40.002","2.2KB","2.1KB","172.20.0.6",22,"02:42:ac:14:00:06",ubuntu20,"172.20.0.5","02:42:ac:14:00:05",59356,tcp,ipv4,18
