"@timestamp","_id","_index","_score","agent.ephemeral_id","agent.hostname","agent.id","agent.name","agent.type","agent.version","bytes_in","bytes_out","client.bytes","client.ip","client.port","destination.bytes","destination.domain","destination.ip","destination.port","ecs.version","event.category","event.dataset","event.duration","event.end","event.kind","event.start","event.type","host.architecture","host.containerized","host.hostname","host.id","host.ip","host.mac","host.name","host.os.codename","host.os.family","host.os.kernel","host.os.name","host.os.name.text","host.os.platform","host.os.type","host.os.version","http.request.body.bytes","http.request.bytes","http.request.headers.content-length","http.request.headers.content-type","http.request.method","http.response.body.bytes","http.response.bytes","http.response.headers.content-length","http.response.headers.content-type","http.response.status_code","http.response.status_phrase","http.version",method,"network.bytes","network.community_id","network.direction","network.protocol","network.transport","network.type",query,"related.hosts","related.ip","server.bytes","server.domain","server.ip","server.port","source.bytes","source.ip","source.port",status,type,"url.domain","url.extension","url.full","url.full.text","url.path","url.port","url.query","url.scheme","user_agent.original","user_agent.original.text"
"Oct 24, 2022 @ 22:16:18.255","P2xZCoQBuPHkiK7O9_LJ",".ds-packetbeat-8.4.3-2022.10.21-000001","-","b1f63b84-b570-4844-b454-06604fc52e78",6502fff7073b,"db9fe2bf-3a6e-4386-9ce8-e9e3b0ab6bf5",6502fff7073b,packetbeat,"8.4.3",235B,"1.3KB",235B,"172.16.0.9",47952,"1.3KB","3204_webapp_1.3204_companyABC","172.16.0.2",8080,"8.0.0",network,http,"1.7","Oct 24, 2022 @ 22:16:18.257",event,"Oct 24, 2022 @ 22:16:18.255","connection, protocol","x86_64",false,6502fff7073b,b26468769e4940f5ae029e74a095fd54,"172.16.0.9","02:42:ac:10:00:09",6502fff7073b,jammy,debian,"5.15.0-52-generic",Ubuntu,Ubuntu,ubuntu,linux,"22.04.1 LTS (Jammy Jellyfish)","-",235B,0,"-",OPTIONS,"1.1KB","1.3KB","1,086","text/html;charset=utf-8",405,"method not allowed","1.1",OPTIONS,"1.5KB","1:xXKGkdYgTl0PK7fQy5RH1/hmCDs=",egress,http,tcp,ipv4,"OPTIONS /","3204_webapp_1.3204_companyABC","172.16.0.9, 172.16.0.2","1.3KB","3204_webapp_1.3204_companyABC","172.16.0.2",8080,235B,"172.16.0.9",47952,Error,http,"3204_webapp_1.3204_companyABC","-","http://3204_webapp_1.3204_companyABC:8080/","http://3204_webapp_1.3204_companyABC:8080/","/",8080,"-",http,"Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html)","Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html)"
"Oct 24, 2022 @ 22:16:18.252","PmxZCoQBuPHkiK7O9_LJ",".ds-packetbeat-8.4.3-2022.10.21-000001","-","b1f63b84-b570-4844-b454-06604fc52e78",6502fff7073b,"db9fe2bf-3a6e-4386-9ce8-e9e3b0ab6bf5",6502fff7073b,packetbeat,"8.4.3",237B,"1.3KB",237B,"172.16.0.9",47926,"1.3KB","3204_webapp_1.3204_companyABC","172.16.0.2",8080,"8.0.0",network,http,"1.6","Oct 24, 2022 @ 22:16:18.254",event,"Oct 24, 2022 @ 22:16:18.252","connection, protocol","x86_64",false,6502fff7073b,b26468769e4940f5ae029e74a095fd54,"172.16.0.9","02:42:ac:10:00:09",6502fff7073b,jammy,debian,"5.15.0-52-generic",Ubuntu,Ubuntu,ubuntu,linux,"22.04.1 LTS (Jammy Jellyfish)","-",237B,0,"-",OPTIONS,"1.1KB","1.3KB","1,086","text/html;charset=utf-8",405,"method not allowed","1.1",OPTIONS,"1.5KB","1:RZgUPcProOn4S8tOIVbMLGKLA5I=",egress,http,tcp,ipv4,"OPTIONS /","3204_webapp_1.3204_companyABC","172.16.0.9, 172.16.0.2","1.3KB","3204_webapp_1.3204_companyABC","172.16.0.2",8080,237B,"172.16.0.9",47926,Error,http,"3204_webapp_1.3204_companyABC","-","http://3204_webapp_1.3204_companyABC:8080/","http://3204_webapp_1.3204_companyABC:8080/","/",8080,"-",http,"Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html)","Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html)"
"Oct 24, 2022 @ 22:16:18.249","O2xZCoQBuPHkiK7O9_LJ",".ds-packetbeat-8.4.3-2022.10.21-000001","-","b1f63b84-b570-4844-b454-06604fc52e78",6502fff7073b,"db9fe2bf-3a6e-4386-9ce8-e9e3b0ab6bf5",6502fff7073b,packetbeat,"8.4.3",237B,"1.3KB",237B,"172.16.0.9",47920,"1.3KB","3204_webapp_1.3204_companyABC","172.16.0.2",8080,"8.0.0",network,http,"1.6","Oct 24, 2022 @ 22:16:18.250",event,"Oct 24, 2022 @ 22:16:18.249","connection, protocol","x86_64",false,6502fff7073b,b26468769e4940f5ae029e74a095fd54,"172.16.0.9","02:42:ac:10:00:09",6502fff7073b,jammy,debian,"5.15.0-52-generic",Ubuntu,Ubuntu,ubuntu,linux,"22.04.1 LTS (Jammy Jellyfish)","-",237B,0,"-",OPTIONS,"1.1KB","1.3KB","1,086","text/html;charset=utf-8",405,"method not allowed","1.1",OPTIONS,"1.5KB","1:oQZw4cwDo27bJ7We9gsiMu/T508=",egress,http,tcp,ipv4,"OPTIONS /","3204_webapp_1.3204_companyABC","172.16.0.9, 172.16.0.2","1.3KB","3204_webapp_1.3204_companyABC","172.16.0.2",8080,237B,"172.16.0.9",47920,Error,http,"3204_webapp_1.3204_companyABC","-","http://3204_webapp_1.3204_companyABC:8080/","http://3204_webapp_1.3204_companyABC:8080/","/",8080,"-",http,"Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html)","Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html)"
"Oct 24, 2022 @ 22:16:18.235","OmxZCoQBuPHkiK7O9_LJ",".ds-packetbeat-8.4.3-2022.10.21-000001","-","b1f63b84-b570-4844-b454-06604fc52e78",6502fff7073b,"db9fe2bf-3a6e-4386-9ce8-e9e3b0ab6bf5",6502fff7073b,packetbeat,"8.4.3",176B,"1.3KB",176B,"172.16.0.9",47906,"1.3KB","3204_webapp_1.3204_companyABC","172.16.0.2",8080,"8.0.0",network,http,"13.2","Oct 24, 2022 @ 22:16:18.248",event,"Oct 24, 2022 @ 22:16:18.235","connection, protocol","x86_64",false,6502fff7073b,b26468769e4940f5ae029e74a095fd54,"172.16.0.9","02:42:ac:10:00:09",6502fff7073b,jammy,debian,"5.15.0-52-generic",Ubuntu,Ubuntu,ubuntu,linux,"22.04.1 LTS (Jammy Jellyfish)","-",176B,0,"-",OPTIONS,"1.1KB","1.3KB","1,086","text/html;charset=utf-8",405,"method not allowed","1.1",OPTIONS,"1.4KB","1:LVzRcI7aCkHKkUwIz2Shuty8FgM=",egress,http,tcp,ipv4,"OPTIONS /","3204_webapp_1.3204_companyABC","172.16.0.9, 172.16.0.2","1.3KB","3204_webapp_1.3204_companyABC","172.16.0.2",8080,176B,"172.16.0.9",47906,Error,http,"3204_webapp_1.3204_companyABC","-","http://3204_webapp_1.3204_companyABC:8080/","http://3204_webapp_1.3204_companyABC:8080/","/",8080,"-",http,"Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html)","Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html)"
"Oct 24, 2022 @ 22:16:18.234","OGxZCoQBuPHkiK7O9_LJ",".ds-packetbeat-8.4.3-2022.10.21-000001","-","b1f63b84-b570-4844-b454-06604fc52e78",6502fff7073b,"db9fe2bf-3a6e-4386-9ce8-e9e3b0ab6bf5",6502fff7073b,packetbeat,"8.4.3",235B,"1.3KB",235B,"172.16.0.9",47892,"1.3KB","3204_webapp_1.3204_companyABC","172.16.0.2",8080,"8.0.0",network,http,"2.0","Oct 24, 2022 @ 22:16:18.236",event,"Oct 24, 2022 @ 22:16:18.234","connection, protocol","x86_64",false,6502fff7073b,b26468769e4940f5ae029e74a095fd54,"172.16.0.9","02:42:ac:10:00:09",6502fff7073b,jammy,debian,"5.15.0-52-generic",Ubuntu,Ubuntu,ubuntu,linux,"22.04.1 LTS (Jammy Jellyfish)","-",235B,0,"-",OPTIONS,"1.1KB","1.3KB","1,086","text/html;charset=utf-8",405,"method not allowed","1.1",OPTIONS,"1.5KB","1:SgmOIrY5QVtRLAr9RU185XWazvA=",egress,http,tcp,ipv4,"OPTIONS /","3204_webapp_1.3204_companyABC","172.16.0.9, 172.16.0.2","1.3KB","3204_webapp_1.3204_companyABC","172.16.0.2",8080,235B,"172.16.0.9",47892,Error,http,"3204_webapp_1.3204_companyABC","-","http://3204_webapp_1.3204_companyABC:8080/","http://3204_webapp_1.3204_companyABC:8080/","/",8080,"-",http,"Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html)","Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html)"
"Oct 24, 2022 @ 22:16:18.227","NWxZCoQBuPHkiK7O9_LJ",".ds-packetbeat-8.4.3-2022.10.21-000001","-","b1f63b84-b570-4844-b454-06604fc52e78",6502fff7073b,"db9fe2bf-3a6e-4386-9ce8-e9e3b0ab6bf5",6502fff7073b,packetbeat,"8.4.3",236B,"1.3KB",236B,"172.16.0.9",47866,"1.3KB","3204_webapp_1.3204_companyABC","172.16.0.2",8080,"8.0.0",network,http,"2.1","Oct 24, 2022 @ 22:16:18.229",event,"Oct 24, 2022 @ 22:16:18.227","connection, protocol","x86_64",false,6502fff7073b,b26468769e4940f5ae029e74a095fd54,"172.16.0.9","02:42:ac:10:00:09",6502fff7073b,jammy,debian,"5.15.0-52-generic",Ubuntu,Ubuntu,ubuntu,linux,"22.04.1 LTS (Jammy Jellyfish)","-",236B,0,"-",OPTIONS,"1.1KB","1.3KB","1,086","text/html;charset=utf-8",405,"method not allowed","1.1",OPTIONS,"1.5KB","1:WHRlQCArhTcgpbf9FVd52hLPK1g=",egress,http,tcp,ipv4,"OPTIONS /","3204_webapp_1.3204_companyABC","172.16.0.9, 172.16.0.2","1.3KB","3204_webapp_1.3204_companyABC","172.16.0.2",8080,236B,"172.16.0.9",47866,Error,http,"3204_webapp_1.3204_companyABC","-","http://3204_webapp_1.3204_companyABC:8080/","http://3204_webapp_1.3204_companyABC:8080/","/",8080,"-",http,"Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html)","Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html)"
"Oct 24, 2022 @ 22:16:18.227","NmxZCoQBuPHkiK7O9_LJ",".ds-packetbeat-8.4.3-2022.10.21-000001","-","b1f63b84-b570-4844-b454-06604fc52e78",6502fff7073b,"db9fe2bf-3a6e-4386-9ce8-e9e3b0ab6bf5",6502fff7073b,packetbeat,"8.4.3",192B,"2.6KB",192B,"172.16.0.9",47880,"2.6KB","3204_webapp_1.3204_companyABC","172.16.0.2",8080,"8.0.0",network,http,"5.6","Oct 24, 2022 @ 22:16:18.233",event,"Oct 24, 2022 @ 22:16:18.227","connection, protocol","x86_64",false,6502fff7073b,b26468769e4940f5ae029e74a095fd54,"172.16.0.9","02:42:ac:10:00:09",6502fff7073b,jammy,debian,"5.15.0-52-generic",Ubuntu,Ubuntu,ubuntu,linux,"22.04.1 LTS (Jammy Jellyfish)","-",192B,0,"-",POST,"2.4KB","2.6KB","2,469","text/html;charset=ISO-8859-1",200,ok,"1.1",POST,"2.8KB","1:RB/OxqzqC0ouwpsXZ8VVn1O/rvI=",egress,http,tcp,ipv4,"POST /","3204_webapp_1.3204_companyABC","172.16.0.9, 172.16.0.2","2.6KB","3204_webapp_1.3204_companyABC","172.16.0.2",8080,192B,"172.16.0.9",47880,OK,http,"3204_webapp_1.3204_companyABC","-","http://3204_webapp_1.3204_companyABC:8080/","http://3204_webapp_1.3204_companyABC:8080/","/",8080,"-",http,"Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html)","Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html)"
"Oct 24, 2022 @ 22:16:18.204","MmxZCoQBuPHkiK7O9_LJ",".ds-packetbeat-8.4.3-2022.10.21-000001","-","b1f63b84-b570-4844-b454-06604fc52e78",6502fff7073b,"db9fe2bf-3a6e-4386-9ce8-e9e3b0ab6bf5",6502fff7073b,packetbeat,"8.4.3",173B,249B,173B,"172.16.0.9",47832,249B,"3204_webapp_1.3204_companyABC","172.16.0.2",8080,"8.0.0",network,http,"8.9","Oct 24, 2022 @ 22:16:18.212",event,"Oct 24, 2022 @ 22:16:18.204","connection, protocol","x86_64",false,6502fff7073b,b26468769e4940f5ae029e74a095fd54,"172.16.0.9","02:42:ac:10:00:09",6502fff7073b,jammy,debian,"5.15.0-52-generic",Ubuntu,Ubuntu,ubuntu,linux,"22.04.1 LTS (Jammy Jellyfish)","-",173B,0,"-",HEAD,"-",249B,0,"text/html;charset=ISO-8859-1",200,ok,"1.1",HEAD,422B,"1:OGhGyUuGDvY3DsZkSZ43OB1VZ1E=",egress,http,tcp,ipv4,"HEAD /","3204_webapp_1.3204_companyABC","172.16.0.9, 172.16.0.2",249B,"3204_webapp_1.3204_companyABC","172.16.0.2",8080,173B,"172.16.0.9",47832,OK,http,"3204_webapp_1.3204_companyABC","-","http://3204_webapp_1.3204_companyABC:8080/","http://3204_webapp_1.3204_companyABC:8080/","/",8080,"-",http,"Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html)","Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html)"
"Oct 24, 2022 @ 22:16:18.204","M2xZCoQBuPHkiK7O9_LJ",".ds-packetbeat-8.4.3-2022.10.21-000001","-","b1f63b84-b570-4844-b454-06604fc52e78",6502fff7073b,"db9fe2bf-3a6e-4386-9ce8-e9e3b0ab6bf5",6502fff7073b,packetbeat,"8.4.3",233B,"1.3KB",233B,"172.16.0.9",47848,"1.3KB","3204_webapp_1.3204_companyABC","172.16.0.2",8080,"8.0.0",network,http,"14.4","Oct 24, 2022 @ 22:16:18.218",event,"Oct 24, 2022 @ 22:16:18.204","connection, protocol","x86_64",false,6502fff7073b,b26468769e4940f5ae029e74a095fd54,"172.16.0.9","02:42:ac:10:00:09",6502fff7073b,jammy,debian,"5.15.0-52-generic",Ubuntu,Ubuntu,ubuntu,linux,"22.04.1 LTS (Jammy Jellyfish)","-",233B,0,"-",OPTIONS,"1.1KB","1.3KB","1,086","text/html;charset=utf-8",405,"method not allowed","1.1",OPTIONS,"1.5KB","1:rGWKbPJLJm45/PafT+zb9l0sMh4=",egress,http,tcp,ipv4,"OPTIONS /","3204_webapp_1.3204_companyABC","172.16.0.9, 172.16.0.2","1.3KB","3204_webapp_1.3204_companyABC","172.16.0.2",8080,233B,"172.16.0.9",47848,Error,http,"3204_webapp_1.3204_companyABC","-","http://3204_webapp_1.3204_companyABC:8080/","http://3204_webapp_1.3204_companyABC:8080/","/",8080,"-",http,"Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html)","Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html)"
"Oct 24, 2022 @ 22:16:18.204","NGxZCoQBuPHkiK7O9_LJ",".ds-packetbeat-8.4.3-2022.10.21-000001","-","b1f63b84-b570-4844-b454-06604fc52e78",6502fff7073b,"db9fe2bf-3a6e-4386-9ce8-e9e3b0ab6bf5",6502fff7073b,packetbeat,"8.4.3",172B,"2.6KB",172B,"172.16.0.9",47862,"2.6KB","3204_webapp_1.3204_companyABC","172.16.0.2",8080,"8.0.0",network,http,"19.4","Oct 24, 2022 @ 22:16:18.223",event,"Oct 24, 2022 @ 22:16:18.204","connection, protocol","x86_64",false,6502fff7073b,b26468769e4940f5ae029e74a095fd54,"172.16.0.9","02:42:ac:10:00:09",6502fff7073b,jammy,debian,"5.15.0-52-generic",Ubuntu,Ubuntu,ubuntu,linux,"22.04.1 LTS (Jammy Jellyfish)","-",172B,0,"-",GET,"2.4KB","2.6KB","2,469","text/html;charset=ISO-8859-1",200,ok,"1.1",GET,"2.8KB","1:VbP0/+gfu3O9ajbygGq2AK7afz4=",egress,http,tcp,ipv4,"GET /","3204_webapp_1.3204_companyABC","172.16.0.9, 172.16.0.2","2.6KB","3204_webapp_1.3204_companyABC","172.16.0.2",8080,172B,"172.16.0.9",47862,OK,http,"3204_webapp_1.3204_companyABC","-","http://3204_webapp_1.3204_companyABC:8080/","http://3204_webapp_1.3204_companyABC:8080/","/",8080,"-",http,"Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html)","Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html)"
