@timestamp,destination.ip,source.ip,network.transport,destination.port,source.port
"Oct 21, 2022 @ 18:30:20.001",192.168.0.3,192.168.0.4,tcp,21,51306
"Oct 21, 2022 @ 18:30:20.001",192.168.0.3,192.168.0.4,tcp,22,34852
"Oct 21, 2022 @ 18:30:20.001",192.168.0.3,192.168.0.4,tcp,23,49028
"Oct 21, 2022 @ 18:30:20.001",192.168.0.3,192.168.0.4,tcp,110,39146
"Oct 21, 2022 @ 18:30:20.001",192.168.0.3,192.168.0.4,tcp,69,32846
"Oct 21, 2022 @ 18:30:20.001",192.168.0.3,192.168.0.4,tcp,80,33958
"Oct 21, 2022 @ 18:30:20.001",192.168.0.3,192.168.0.4,tcp,8080,55664
"Oct 21, 2022 @ 18:30:20.001",192.168.0.3,192.168.0.4,tcp,443,57288
"Oct 21, 2022 @ 18:30:20.001",192.168.0.3,192.168.0.4,tcp,80,33968
"Oct 21, 2022 @ 18:30:10.001",192.168.0.3,192.168.0.4,tcp,21,51306
"Oct 21, 2022 @ 18:30:10.001",192.168.0.3,192.168.0.4,tcp,22,34852
"Oct 21, 2022 @ 18:30:10.001",192.168.0.3,192.168.0.4,tcp,23,49028
"Oct 21, 2022 @ 18:30:10.001",192.168.0.3,192.168.0.4,tcp,110,39146
"Oct 21, 2022 @ 18:30:10.001",192.168.0.3,192.168.0.4,tcp,69,32846
"Oct 21, 2022 @ 18:30:10.001",192.168.0.3,192.168.0.4,tcp,80,33958
"Oct 21, 2022 @ 18:30:10.001",192.168.0.3,192.168.0.4,tcp,8080,55664
"Oct 21, 2022 @ 18:30:10.001",192.168.0.3,192.168.0.4,tcp,443,57288
"Oct 21, 2022 @ 18:30:10.001",192.168.0.3,192.168.0.4,tcp,80,33968
"Oct 21, 2022 @ 18:30:00.001",192.168.0.3,192.168.0.4,tcp,21,51306
"Oct 21, 2022 @ 18:30:00.001",192.168.0.3,192.168.0.4,tcp,22,34852
"Oct 21, 2022 @ 18:30:00.001",192.168.0.3,192.168.0.4,tcp,23,49028
"Oct 21, 2022 @ 18:30:00.001",192.168.0.3,192.168.0.4,tcp,110,39146
"Oct 21, 2022 @ 18:30:00.001",192.168.0.3,192.168.0.4,tcp,69,32846
"Oct 21, 2022 @ 18:30:00.001",192.168.0.3,192.168.0.4,tcp,80,33958
"Oct 21, 2022 @ 18:30:00.001",192.168.0.3,192.168.0.4,tcp,8080,55664
"Oct 21, 2022 @ 18:30:00.001",192.168.0.3,192.168.0.4,tcp,443,57288
"Oct 21, 2022 @ 18:30:00.001",192.168.0.3,192.168.0.4,tcp,80,33968
"Oct 21, 2022 @ 18:29:50.001",192.168.0.3,192.168.0.4,tcp,21,51306
"Oct 21, 2022 @ 18:29:50.001",192.168.0.3,192.168.0.4,tcp,22,34852
"Oct 21, 2022 @ 18:29:50.001",192.168.0.3,192.168.0.4,tcp,23,49028
"Oct 21, 2022 @ 18:29:50.001",192.168.0.3,192.168.0.4,tcp,110,39146
"Oct 21, 2022 @ 18:29:50.001",192.168.0.3,192.168.0.4,tcp,69,32846
"Oct 21, 2022 @ 18:29:50.001",192.168.0.3,192.168.0.4,tcp,80,33958
"Oct 21, 2022 @ 18:29:50.001",192.168.0.3,192.168.0.4,tcp,8080,55664
"Oct 21, 2022 @ 18:29:50.001",192.168.0.3,192.168.0.4,tcp,443,57288
"Oct 21, 2022 @ 18:29:50.001",192.168.0.3,192.168.0.4,tcp,80,33968
"Oct 21, 2022 @ 18:15:20.001",192.168.0.3,192.168.0.4,tcp,110,33288
"Oct 21, 2022 @ 18:15:20.001",192.168.0.3,192.168.0.4,tcp,23,51042
"Oct 21, 2022 @ 18:15:20.001",192.168.0.3,192.168.0.4,tcp,21,46244
"Oct 21, 2022 @ 18:15:20.001",192.168.0.3,192.168.0.4,tcp,22,54476
"Oct 21, 2022 @ 18:15:20.001",192.168.0.3,192.168.0.4,tcp,69,46486
"Oct 21, 2022 @ 18:15:20.001",192.168.0.3,192.168.0.4,tcp,80,60004
